Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.1906840205192566, 0.7953076362609863, 1.6185981621674728e-06]","[0.3600427508354187, 0.793066143989563, -0.10855971276760101]","[0.5498875975608826, 0.6952043175697327, -0.13759243488311768]","[0.7059110999107361, 0.6261560320854187, -0.15811005234718323]","[0.832527220249176, 0.5562649965286255, -0.1766091287136078]","[0.5011371374130249, 0.46863096952438354, -0.05285139009356499]","[0.6144570112228394, 0.3268129229545593, -0.0926705002784729]","[0.6887701749801636, 0.24022150039672852, -0.11939148604869843]","[0.7512518763542175, 0.16165247559547424, -0.13936863839626312]","[0.40081286430358887, 0.41771695017814636, -0.042478252202272415]","[0.4341380298137665, 0.22604471445083618, -0.09351875633001328]","[0.47040894627571106, 0.11459866166114807, -0.13137052953243256]","[0.49540379643440247, 0.01204383373260498, -0.1493569165468216]","[0.28899940848350525, 0.41990694403648376, -0.046981215476989746]","[0.2770705819129944, 0.3278096914291382, -0.15668152272701263]","[0.25429195165634155, 0.47628021240234375, -0.1912889927625656]","[0.24952322244644165, 0.5738370418548584, -0.18249759078025818]","[0.1835443079471588, 0.4585411250591278, -0.058270011097192764]","[0.17548781633377075, 0.41589656472206116, -0.16687439382076263]","[0.17455992102622986, 0.5304952263832092, -0.19341719150543213]","[0.19014397263526917, 0.6165990233421326, -0.18805651366710663]"
"[0.12154167890548706, 0.6900680065155029, 1.5591676856274717e-06]","[0.2985253930091858, 0.7284146547317505, -0.1095634251832962]","[0.5053375959396362, 0.6844818592071533, -0.14315345883369446]","[0.6746127605438232, 0.6614360809326172, -0.17124433815479279]","[0.8188722133636475, 0.6428924798965454, -0.19605189561843872]","[0.5169879794120789, 0.43899422883987427, -0.05677001178264618]","[0.6695358753204346, 0.32729271054267883, -0.11134528368711472]","[0.770717978477478, 0.2610616385936737, -0.14490966498851776]","[0.8493456840515137, 0.19972917437553406, -0.1669072061777115]","[0.42495012283325195, 0.36755383014678955, -0.04941931366920471]","[0.5214217305183411, 0.1816934049129486, -0.1188524141907692]","[0.590785562992096, 0.07844194769859314, -0.1610339879989624]","[0.6411529183387756, -0.018601715564727783, -0.17846232652664185]","[0.3126128911972046, 0.3506186604499817, -0.057862695306539536]","[0.3254728317260742, 0.25348663330078125, -0.17920686304569244]","[0.2871798872947693, 0.38958802819252014, -0.2106999009847641]","[0.2748923897743225, 0.4851779639720917, -0.19619114696979523]","[0.19932812452316284, 0.36528825759887695, -0.073464035987854]","[0.20269963145256042, 0.31362655758857727, -0.1804257035255432]","[0.18839463591575623, 0.42450788617134094, -0.20163841545581818]","[0.1957094371318817, 0.5114511251449585, -0.19221359491348267]"
"[0.2422250211238861, 0.8451991081237793, 5.930828024247603e-07]","[0.4322446286678314, 0.7861908078193665, -0.048600900918245316]","[0.6016450524330139, 0.625404953956604, -0.035454243421554565]","[0.7213037014007568, 0.5360122323036194, -0.025981660932302475]","[0.8316675424575806, 0.4948452115058899, -0.01800544001162052]","[0.48989325761795044, 0.44311732053756714, 0.03236532583832741]","[0.5643741488456726, 0.28958451747894287, 0.032209184020757675]","[0.6020997762680054, 0.19359275698661804, 0.024415273219347]","[0.634878933429718, 0.09904226660728455, 0.009399127215147018]","[0.3929298520088196, 0.42004626989364624, 0.022855492308735847]","[0.40828371047973633, 0.24344933032989502, 0.0018825518200173974]","[0.4311235547065735, 0.12669992446899414, -0.032652348279953]","[0.4448462128639221, 0.013654112815856934, -0.05839601531624794]","[0.2891175150871277, 0.4412371516227722, 0.0016868988750502467]","[0.31098634004592896, 0.3418438136577606, -0.07285262644290924]","[0.33313584327697754, 0.48627880215644836, -0.10626613348722458]","[0.3501434326171875, 0.5813891291618347, -0.10961832106113434]","[0.18506214022636414, 0.47817012667655945, -0.022784030064940453]","[0.20415201783180237, 0.38270366191864014, -0.09485235065221786]","[0.23343831300735474, 0.4659310281276703, -0.11691392958164215]","[0.2695314288139343, 0.5403011441230774, -0.12248388677835464]"
"[0.1255379617214203, 0.6810905337333679, 1.2594065310622682e-06]","[0.2867547273635864, 0.740198016166687, -0.07606711983680725]","[0.46894383430480957, 0.7052372694015503, -0.10606663674116135]","[0.6109839081764221, 0.6865422129631042, -0.13948163390159607]","[0.7269084453582764, 0.7093864679336548, -0.17107854783535004]","[0.5080684423446655, 0.4420764446258545, -0.03959251567721367]","[0.6558035612106323, 0.3511998653411865, -0.08959054946899414]","[0.7454650402069092, 0.28891605138778687, -0.12462539225816727]","[0.8202305436134338, 0.23210172355175018, -0.15306270122528076]","[0.42927086353302, 0.3747399151325226, -0.04984192177653313]","[0.5415551066398621, 0.21770042181015015, -0.12103962153196335]","[0.6238116025924683, 0.12391689419746399, -0.16815327107906342]","[0.6905818581581116, 0.04023495316505432, -0.19612041115760803]","[0.3259262144565582, 0.35294753313064575, -0.07134217768907547]","[0.4194081425666809, 0.23026317358016968, -0.19222770631313324]","[0.3887794613838196, 0.35750317573547363, -0.2199866622686386]","[0.3577534556388855, 0.45662230253219604, -0.20830103754997253]","[0.21277666091918945, 0.3661595582962036, -0.09760134667158127]","[0.28560468554496765, 0.31780219078063965, -0.21128849685192108]","[0.2754768133163452, 0.41199061274528503, -0.23816373944282532]","[0.25666263699531555, 0.4918665587902069, -0.23540423810482025]"
"[0.45076265931129456, 0.936928391456604, 1.3728720205108402e-06]","[0.587248682975769, 0.818512499332428, -0.09375011175870895]","[0.6729915142059326, 0.6019710898399353, -0.10925517231225967]","[0.7433435916900635, 0.44525423645973206, -0.1189655065536499]","[0.783344030380249, 0.31065458059310913, -0.1262815147638321]","[0.4745941162109375, 0.4749162495136261, -0.03777806833386421]","[0.47278088331222534, 0.2875230610370636, -0.06379508227109909]","[0.4724256694316864, 0.17529109120368958, -0.07948938757181168]","[0.4654804468154907, 0.07390013337135315, -0.09509969502687454]","[0.3653039336204529, 0.5060714483261108, -0.0338459387421608]","[0.25879576802253723, 0.32382649183273315, -0.08077441900968552]","[0.2117457091808319, 0.20573055744171143, -0.11785660684108734]","[0.15533795952796936, 0.1057291328907013, -0.13779158890247345]","[0.2814086675643921, 0.5856242775917053, -0.042886022478342056]","[0.2221333086490631, 0.509172797203064, -0.14875589311122894]","[0.3072027564048767, 0.6308999061584473, -0.18550555408000946]","[0.3658468723297119, 0.7083181738853455, -0.18056167662143707]","[0.22459200024604797, 0.684603214263916, -0.05725555121898651]","[0.21244946122169495, 0.6508158445358276, -0.159966841340065]","[0.2933914065361023, 0.7321279048919678, -0.18774205446243286]","[0.36116552352905273, 0.7836558222770691, -0.18732865154743195]"
"[0.475300669670105, 0.9334824085235596, 6.430883559005451e-07]","[0.6211060881614685, 0.8125840425491333, -0.09127262979745865]","[0.6915711164474487, 0.5851194858551025, -0.10478284955024719]","[0.7170236706733704, 0.4082241356372833, -0.11009897291660309]","[0.7291375398635864, 0.26287704706192017, -0.11603213101625443]","[0.4992040991783142, 0.4851992726325989, -0.05374898388981819]","[0.4556165933609009, 0.2946503162384033, -0.07753036171197891]","[0.4302658140659332, 0.18259674310684204, -0.0910576656460762]","[0.4015107750892639, 0.07323205471038818, -0.10562336444854736]","[0.3938390612602234, 0.5250195264816284, -0.04680434614419937]","[0.24992117285728455, 0.3601359724998474, -0.09760014712810516]","[0.17752468585968018, 0.2464998960494995, -0.1377892792224884]","[0.10300001502037048, 0.13834598660469055, -0.15936575829982758]","[0.31965377926826477, 0.6100888252258301, -0.04901181533932686]","[0.26667022705078125, 0.5605722665786743, -0.1489223688840866]","[0.37055504322052, 0.6828603148460388, -0.18609370291233063]","[0.4474780261516571, 0.753680944442749, -0.18457411229610443]","[0.27288031578063965, 0.7087341547012329, -0.05524156987667084]","[0.2500671148300171, 0.6886950135231018, -0.14907266199588776]","[0.3329342305660248, 0.7655717134475708, -0.17111271619796753]","[0.4102839231491089, 0.8061929941177368, -0.1688230335712433]"
"[0.3746655583381653, 0.9237521886825562, 7.428787967000972e-07]","[0.5312169194221497, 0.8201586008071899, -0.06402280181646347]","[0.6389951705932617, 0.622645914554596, -0.06537942588329315]","[0.7185035943984985, 0.4808758497238159, -0.06937633454799652]","[0.8014592528343201, 0.388787180185318, -0.0721844732761383]","[0.4894881546497345, 0.45875799655914307, 0.000880336039699614]","[0.5105629563331604, 0.2822161316871643, -0.027758803218603134]","[0.512872576713562, 0.17386412620544434, -0.04915333166718483]","[0.5126383304595947, 0.0740848183631897, -0.06627048552036285]","[0.38685035705566406, 0.46257489919662476, -0.004801390692591667]","[0.3504375219345093, 0.26946741342544556, -0.05065146088600159]","[0.338928759098053, 0.14939317107200623, -0.08771231025457382]","[0.3227611780166626, 0.04059898853302002, -0.10738814622163773]","[0.2943806052207947, 0.5107667446136475, -0.02252299152314663]","[0.25770336389541626, 0.4118896424770355, -0.11785557121038437]","[0.3081490993499756, 0.5483351349830627, -0.14296115934848785]","[0.3475947380065918, 0.6423332691192627, -0.1304832398891449]","[0.20914766192436218, 0.5789422988891602, -0.04451337084174156]","[0.18235597014427185, 0.49474382400512695, -0.12262102961540222]","[0.23140305280685425, 0.5746634602546692, -0.13256271183490753]","[0.2817310690879822, 0.643239438533783, -0.12197988480329514]"
"[0.6588131189346313, 0.8233529329299927, 1.2924716656925739e-06]","[0.6989178657531738, 0.657314658164978, -0.1022520661354065]","[0.6739634275436401, 0.45012590289115906, -0.12403296679258347]","[0.6454814672470093, 0.2889714539051056, -0.1382826715707779]","[0.5914880633354187, 0.15950319170951843, -0.14981548488140106]","[0.47036030888557434, 0.4365435242652893, -0.03977149724960327]","[0.36912041902542114, 0.29337942600250244, -0.072578564286232]","[0.3058006167411804, 0.21086792647838593, -0.09515338391065598]","[0.24576909840106964, 0.13869708776474, -0.11241866648197174]","[0.40157416462898254, 0.5156266689300537, -0.027298448607325554]","[0.23107211291790009, 0.4186078906059265, -0.08117471635341644]","[0.13274067640304565, 0.3440997004508972, -0.12473740428686142]","[0.03711336851119995, 0.28831493854522705, -0.14797180891036987]","[0.37403422594070435, 0.6199045181274414, -0.02774471417069435]","[0.2625020146369934, 0.5869119167327881, -0.13594116270542145]","[0.3916250467300415, 0.6445060968399048, -0.16908064484596252]","[0.4828488528728485, 0.6741621494293213, -0.1601092666387558]","[0.36991560459136963, 0.7278454303741455, -0.03369540348649025]","[0.3006872832775116, 0.705743134021759, -0.1327735334634781]","[0.39630869030952454, 0.7358102202415466, -0.15261691808700562]","[0.47645238041877747, 0.7459250688552856, -0.14524586498737335]"
"[0.507414698600769, 0.9533208608627319, 3.0783061788497434e-07]","[0.6358057856559753, 0.7976266145706177, -0.05036834254860878]","[0.6749998927116394, 0.570699155330658, -0.046686187386512756]","[0.6980406641960144, 0.40367743372917175, -0.047640759497880936]","[0.745470404624939, 0.2896724045276642, -0.04905419051647186]","[0.47607481479644775, 0.46271461248397827, 0.008397072553634644]","[0.43625813722610474, 0.28282129764556885, -0.011363041587173939]","[0.4070107042789459, 0.1855938732624054, -0.028981590643525124]","[0.3748936653137207, 0.09180405735969543, -0.04693891480565071]","[0.3814472556114197, 0.5052976608276367, -0.0035083487164229155]","[0.2814866304397583, 0.3331568241119385, -0.03972242400050163]","[0.22926175594329834, 0.2242846041917801, -0.07618822157382965]","[0.17203515768051147, 0.11903232336044312, -0.10117527097463608]","[0.31083470582962036, 0.5874406695365906, -0.025390509516000748]","[0.24861004948616028, 0.49529948830604553, -0.10888424515724182]","[0.34260064363479614, 0.6052466034889221, -0.13388924300670624]","[0.41013211011886597, 0.681254506111145, -0.12871260941028595]","[0.251970112323761, 0.684511661529541, -0.050519753247499466]","[0.1947735846042633, 0.603955864906311, -0.12176990509033203]","[0.268213152885437, 0.6619203090667725, -0.1326042115688324]","[0.34185266494750977, 0.7127833366394043, -0.1274997591972351]"
"[0.35933175683021545, 0.919689953327179, 5.659586008732731e-07]","[0.5538151264190674, 0.7966445684432983, -0.04622815176844597]","[0.6640522480010986, 0.611836314201355, -0.018818018957972527]","[0.727428674697876, 0.458904892206192, 0.0023623360320925713]","[0.7844818830490112, 0.3532582223415375, 0.024740368127822876]","[0.5106120705604553, 0.43050581216812134, 0.1057843267917633]","[0.5401971936225891, 0.26272737979888916, 0.11800655722618103]","[0.5476157665252686, 0.16493439674377441, 0.10956574231386185]","[0.5504428148269653, 0.0661352276802063, 0.09346327930688858]","[0.4068167805671692, 0.43822404742240906, 0.10218463093042374]","[0.3565766215324402, 0.2571341395378113, 0.08720998466014862]","[0.33851343393325806, 0.1400843858718872, 0.04410383105278015]","[0.31451770663261414, 0.021869033575057983, 0.014862854033708572]","[0.3138771057128906, 0.4929400384426117, 0.0826735720038414]","[0.2618902027606964, 0.3765500485897064, 0.003171504009515047]","[0.309743195772171, 0.5142528414726257, -0.04516848176717758]","[0.35407111048698425, 0.6036485433578491, -0.05341910198330879]","[0.2229764759540558, 0.5668302178382874, 0.06049591302871704]","[0.18319225311279297, 0.48578399419784546, -0.021395515650510788]","[0.22362729907035828, 0.5680218935012817, -0.05613219738006592]","[0.28386634588241577, 0.6319378614425659, -0.06577043235301971]"
