Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.33298420906066895, 0.5368436574935913, 1.4845322482415213e-07]","[0.5096737742424011, 0.5687147378921509, -0.06803100556135178]","[0.7084625959396362, 0.5170803070068359, -0.16517099738121033]","[0.8605884313583374, 0.44221237301826477, -0.2611049711704254]","[0.9671062231063843, 0.38525354862213135, -0.35852089524269104]","[0.6578412055969238, 0.5657097101211548, -0.23918622732162476]","[0.7687801718711853, 0.4440447688102722, -0.3624313771724701]","[0.8120366334915161, 0.35055482387542725, -0.4269469082355499]","[0.8557292222976685, 0.32196497917175293, -0.4576340913772583]","[0.5356888175010681, 0.5095645785331726, -0.2557341158390045]","[0.6131770014762878, 0.35697001218795776, -0.35859614610671997]","[0.6213935017585754, 0.3145567774772644, -0.3744003176689148]","[0.6263086795806885, 0.3436007797718048, -0.3875108063220978]","[0.41206496953964233, 0.45777231454849243, -0.27294406294822693]","[0.47299450635910034, 0.32651811838150024, -0.3591993451118469]","[0.48056143522262573, 0.2869352400302887, -0.359384149312973]","[0.48621490597724915, 0.30482202768325806, -0.355952650308609]","[0.29146838188171387, 0.4007614850997925, -0.295540452003479]","[0.33823302388191223, 0.30178067088127136, -0.36644601821899414]","[0.35705292224884033, 0.2524415850639343, -0.3756769597530365]","[0.3853296637535095, 0.254003643989563, -0.37995007634162903]"
"[0.4889450669288635, 0.8195115923881531, -4.007991094567842e-07]","[0.6885947585105896, 0.7265639901161194, -0.03935474157333374]","[0.8019007444381714, 0.4597645103931427, -0.034066665917634964]","[0.7966959476470947, 0.23447808623313904, -0.02378176525235176]","[0.7615038752555847, 0.08987092971801758, 0.003272000700235367]","[0.6629267930984497, 0.2999803125858307, -0.03825701028108597]","[0.6550743579864502, 0.16684412956237793, -0.09359919279813766]","[0.6648083329200745, 0.34872889518737793, -0.09927785396575928]","[0.6470106244087219, 0.39582639932632446, -0.09754282981157303]","[0.4947700500488281, 0.3165045976638794, -0.045599400997161865]","[0.5361069440841675, 0.18691888451576233, -0.12952150404453278]","[0.5748757719993591, 0.40606847405433655, -0.15142804384231567]","[0.5509161353111267, 0.4522853493690491, -0.15105606615543365]","[0.36413103342056274, 0.3790736496448517, -0.05555552616715431]","[0.3967077434062958, 0.2505422830581665, -0.15029892325401306]","[0.4626454710960388, 0.46700942516326904, -0.11342509090900421]","[0.4366486668586731, 0.5155655145645142, -0.06887096911668777]","[0.24152308702468872, 0.43153616786003113, -0.06460822373628616]","[0.2947648763656616, 0.35485053062438965, -0.12787415087223053]","[0.3525353968143463, 0.49607810378074646, -0.09148876368999481]","[0.33702725172042847, 0.5302586555480957, -0.05159633606672287]"
"[0.631882905960083, 0.6721758842468262, -1.5029266933197505e-06]","[0.7536801099777222, 0.5198322534561157, -0.10219214856624603]","[0.7074645757675171, 0.26946568489074707, -0.119697205722332]","[0.5512736439704895, 0.11274629831314087, -0.11845263093709946]","[0.42831718921661377, 0.03092898428440094, -0.09675541520118713]","[0.4696466326713562, 0.23543213307857513, -0.07187342643737793]","[0.3833000361919403, 0.12446199357509613, -0.1549343317747116]","[0.5086709856987, 0.2477036416530609, -0.1603979915380478]","[0.5584160089492798, 0.31499674916267395, -0.14791853725910187]","[0.37310606241226196, 0.3446601331233978, -0.05097828805446625]","[0.2982504069805145, 0.22773483395576477, -0.16474825143814087]","[0.4719846844673157, 0.3713497221469879, -0.16923412680625916]","[0.5116056799888611, 0.4225257635116577, -0.141545832157135]","[0.3112502694129944, 0.4667646288871765, -0.04535038769245148]","[0.2535806894302368, 0.3738490641117096, -0.17505021393299103]","[0.42589354515075684, 0.4981457591056824, -0.12972162663936615]","[0.46203380823135376, 0.5382838249206543, -0.06560907512903214]","[0.26745909452438354, 0.6031324863433838, -0.043617743998765945]","[0.22620001435279846, 0.5271155834197998, -0.12929163873195648]","[0.3717396855354309, 0.608034610748291, -0.09295577555894852]","[0.4074751138687134, 0.6315184831619263, -0.044978294521570206]"
"[0.5814152956008911, 0.22664862871170044, -1.6278341945508146e-06]","[0.7161176204681396, 0.34839460253715515, -0.049386315047740936]","[0.8308632373809814, 0.43379440903663635, -0.09239764511585236]","[0.8559260368347168, 0.49452558159828186, -0.13547511398792267]","[0.8287023305892944, 0.5255213379859924, -0.1800842434167862]","[0.8069072365760803, 0.3222070336341858, -0.0991288423538208]","[0.8193016052246094, 0.3233133852481842, -0.17223919928073883]","[0.7267789244651794, 0.4149121046066284, -0.22940745949745178]","[0.6756211519241333, 0.48604917526245117, -0.2652732729911804]","[0.689334511756897, 0.25437697768211365, -0.1088525652885437]","[0.7041581869125366, 0.21752974390983582, -0.16778475046157837]","[0.5992103219032288, 0.3446652889251709, -0.20435339212417603]","[0.5442391633987427, 0.4462760090827942, -0.2375200241804123]","[0.5654423832893372, 0.19736604392528534, -0.1228480190038681]","[0.5901415944099426, 0.15483608841896057, -0.18492761254310608]","[0.4993508756160736, 0.280821293592453, -0.21857452392578125]","[0.44713541865348816, 0.3789258897304535, -0.24259468913078308]","[0.4501913785934448, 0.15545451641082764, -0.14120860397815704]","[0.4484633803367615, 0.14073535799980164, -0.20288045704364777]","[0.3938612639904022, 0.2229456901550293, -0.22922147810459137]","[0.3675123453140259, 0.30287542939186096, -0.2472638636827469]"
"[0.5988641977310181, 0.7566872835159302, -5.833383625031274e-07]","[0.7519999146461487, 0.559968113899231, -0.07019209116697311]","[0.7126466035842896, 0.26387566328048706, -0.07319729030132294]","[0.5690518617630005, 0.07647311687469482, -0.0698610246181488]","[0.43526050448417664, 0.02888035774230957, -0.04748076945543289]","[0.5337706804275513, 0.21102923154830933, -0.004096604883670807]","[0.40686821937561035, 0.12845104932785034, -0.08918872475624084]","[0.49467530846595764, 0.2765117585659027, -0.1420404016971588]","[0.5432038307189941, 0.31104546785354614, -0.1737048327922821]","[0.41157734394073486, 0.3377832770347595, -0.0018663484370335937]","[0.3155316412448883, 0.257752925157547, -0.07173927128314972]","[0.45218226313591003, 0.42285341024398804, -0.09053787589073181]","[0.4967423677444458, 0.4091852307319641, -0.0966094508767128]","[0.3266415297985077, 0.4688934087753296, -0.017814889550209045]","[0.24216219782829285, 0.4061473608016968, -0.0981549322605133]","[0.3812154531478882, 0.5329564213752747, -0.07299356907606125]","[0.42468389868736267, 0.5221701264381409, -0.044627971947193146]","[0.2518497705459595, 0.5819723606109619, -0.04004541411995888]","[0.2001798450946808, 0.5517430305480957, -0.0859791561961174]","[0.29125866293907166, 0.6285359263420105, -0.05844565108418465]","[0.3241690695285797, 0.6256258487701416, -0.03243252635002136]"
"[0.6456203460693359, 0.6356425285339355, -6.601495101676846e-07]","[0.6720152497291565, 0.43260884284973145, -0.00721244141459465]","[0.6187554597854614, 0.24354372918605804, 0.02365109696984291]","[0.5279959440231323, 0.11039154976606369, 0.04799709469079971]","[0.43595945835113525, 0.05567456781864166, 0.07684680074453354]","[0.5930996537208557, 0.23163191974163055, 0.13673295080661774]","[0.5151244401931763, 0.09748754650354385, 0.14355789124965668]","[0.49832722544670105, 0.11708113551139832, 0.1231110543012619]","[0.5001009702682495, 0.15570397675037384, 0.110298290848732]","[0.5570787191390991, 0.27008265256881714, 0.14166617393493652]","[0.48788365721702576, 0.15113887190818787, 0.15305748581886292]","[0.48550450801849365, 0.18506237864494324, 0.12039797753095627]","[0.4951137900352478, 0.22831715643405914, 0.09613676369190216]","[0.5323017239570618, 0.31452491879463196, 0.134718120098114]","[0.4613783359527588, 0.21649214625358582, 0.13775523006916046]","[0.4648512005805969, 0.25087037682533264, 0.10859522223472595]","[0.4826706647872925, 0.2971016466617584, 0.08977841585874557]","[0.5215402841567993, 0.3634258508682251, 0.1264876425266266]","[0.4577622413635254, 0.27053919434547424, 0.1372888833284378]","[0.454383909702301, 0.282076895236969, 0.13683120906352997]","[0.46459126472473145, 0.3123753070831299, 0.13622303307056427]"
"[0.4720074534416199, 0.8041989803314209, 1.7966063126095833e-07]","[0.7063522338867188, 0.6602952480316162, -0.022869283333420753]","[0.7864634394645691, 0.4140564203262329, -0.01570572331547737]","[0.7377997040748596, 0.20852947235107422, -0.014343908056616783]","[0.6273967027664185, 0.11232945322990417, -0.009773017838597298]","[0.6590443849563599, 0.31129205226898193, 0.03285801038146019]","[0.5913028120994568, 0.1334700584411621, -0.02550661563873291]","[0.6115660667419434, 0.23533828556537628, -0.07266420871019363]","[0.6538429260253906, 0.32564038038253784, -0.10418868809938431]","[0.5258197784423828, 0.34431082010269165, 0.012578628957271576]","[0.45909425616264343, 0.1681320071220398, -0.05320366099476814]","[0.5020215511322021, 0.3070100247859955, -0.09131679683923721]","[0.5385753512382507, 0.4017624258995056, -0.10825616121292114]","[0.39810919761657715, 0.400380939245224, -0.01769997738301754]","[0.32687294483184814, 0.23985455930233002, -0.08871623873710632]","[0.3828061521053314, 0.3719179034233093, -0.08928800374269485]","[0.42984431982040405, 0.45942288637161255, -0.07631438970565796]","[0.276159405708313, 0.4800735414028168, -0.04940596967935562]","[0.21723294258117676, 0.35262247920036316, -0.09837940335273743]","[0.2660084664821625, 0.435146689414978, -0.08860812336206436]","[0.3143889307975769, 0.5013471841812134, -0.07286285609006882]"
"[0.5984164476394653, 0.7089115381240845, -1.595355001882126e-06]","[0.7616668939590454, 0.5928961038589478, -0.09331700205802917]","[0.7540943622589111, 0.32029977440834045, -0.099566251039505]","[0.6296942234039307, 0.12460385262966156, -0.08791685849428177]","[0.5191051959991455, 0.03402461111545563, -0.05674775689840317]","[0.5224091410636902, 0.24483908712863922, -0.06260237097740173]","[0.45040398836135864, 0.11446398496627808, -0.14072632789611816]","[0.5443176627159119, 0.25486692786216736, -0.14794310927391052]","[0.584353506565094, 0.32729992270469666, -0.13777019083499908]","[0.4113759398460388, 0.3358420729637146, -0.0403406023979187]","[0.3454010486602783, 0.20517516136169434, -0.15050067007541656]","[0.4866846203804016, 0.3738763928413391, -0.15575923025608063]","[0.5268258452415466, 0.4325055778026581, -0.12906108796596527]","[0.32632067799568176, 0.4407905042171478, -0.032427556812763214]","[0.27399927377700806, 0.3388192057609558, -0.15412333607673645]","[0.4183550179004669, 0.4878908097743988, -0.10709686577320099]","[0.45615968108177185, 0.5364963412284851, -0.04362398386001587]","[0.24872209131717682, 0.5552287101745605, -0.028410259634256363]","[0.21288369596004486, 0.47681039571762085, -0.10560403019189835]","[0.3331105709075928, 0.5807393789291382, -0.06967926770448685]","[0.36430996656417847, 0.6097012758255005, -0.024150023236870766]"
"[0.5462101697921753, 0.3439170718193054, 3.727655268903618e-07]","[0.5256780385971069, 0.43770307302474976, -0.06735799461603165]","[0.43579035997390747, 0.49381205439567566, -0.14073333144187927]","[0.3441886305809021, 0.5086690187454224, -0.21037611365318298]","[0.2926783561706543, 0.5088393688201904, -0.27394258975982666]","[0.21590110659599304, 0.3791171908378601, -0.18508251011371613]","[0.14109483361244202, 0.3989551365375519, -0.2907097041606903]","[0.22581800818443298, 0.4770943224430084, -0.34111642837524414]","[0.3146601915359497, 0.5460265278816223, -0.3657819330692291]","[0.2712240517139435, 0.29747992753982544, -0.19386394321918488]","[0.221377432346344, 0.2976900637149811, -0.29059967398643494]","[0.31488358974456787, 0.4114311933517456, -0.31360581517219543]","[0.4091380536556244, 0.48445361852645874, -0.3367873728275299]","[0.3749169111251831, 0.22422543168067932, -0.20579791069030762]","[0.3396803140640259, 0.20136593282222748, -0.3076176941394806]","[0.41361385583877563, 0.3263421654701233, -0.31546157598495483]","[0.48312607407569885, 0.4116016626358032, -0.3153519928455353]","[0.5017961859703064, 0.166039377450943, -0.22333113849163055]","[0.48870202898979187, 0.11454851180315018, -0.29588887095451355]","[0.5355121493339539, 0.20268628001213074, -0.3035884201526642]","[0.5779107809066772, 0.2759154140949249, -0.3098529875278473]"
"[0.4435734748840332, 0.7466315031051636, -6.733150144100364e-07]","[0.6760358214378357, 0.7197041511535645, -0.050294429063797]","[0.8005265593528748, 0.46430355310440063, -0.05018813908100128]","[0.8038924336433411, 0.2344977855682373, -0.04404941946268082]","[0.805414617061615, 0.10202895104885101, -0.018874533474445343]","[0.6756590604782104, 0.28027230501174927, -0.05660031735897064]","[0.6638581156730652, 0.13847635686397552, -0.1226203665137291]","[0.6683246493339539, 0.32149794697761536, -0.12881942093372345]","[0.6624294519424438, 0.38036519289016724, -0.125485360622406]","[0.5158787369728088, 0.2779952883720398, -0.060145389288663864]","[0.5494160652160645, 0.16610701382160187, -0.13633987307548523]","[0.5805772542953491, 0.38140347599983215, -0.14127665758132935]","[0.5654009580612183, 0.40754616260528564, -0.13461185991764069]","[0.38773107528686523, 0.31620359420776367, -0.07230513542890549]","[0.429798424243927, 0.2239474654197693, -0.16703440248966217]","[0.4750261604785919, 0.4310784339904785, -0.13693003356456757]","[0.45057395100593567, 0.44343245029449463, -0.10086021572351456]","[0.2708325982093811, 0.3502962291240692, -0.08588026463985443]","[0.3364330530166626, 0.3065534234046936, -0.15584708750247955]","[0.368774950504303, 0.44007790088653564, -0.13606278598308563]","[0.3324773907661438, 0.45594024658203125, -0.11103396862745285]"
