Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.7356148958206177, 0.8441257476806641, 7.318079155993473e-07]","[0.7761791944503784, 0.6741330027580261, -0.053497493267059326]","[0.7025070190429688, 0.4951075315475464, -0.060780514031648636]","[0.5415433049201965, 0.4298032224178314, -0.06592004746198654]","[0.4184008240699768, 0.49732479453086853, -0.06859865039587021]","[0.5808018445968628, 0.3925010859966278, 0.01799403876066208]","[0.48026707768440247, 0.2489301860332489, 0.003200248349457979]","[0.40761780738830566, 0.17055031657218933, -0.026058226823806763]","[0.34391161799430847, 0.10618001222610474, -0.05260118097066879]","[0.48898786306381226, 0.43415728211402893, 0.01766292005777359]","[0.37580814957618713, 0.28805285692214966, 0.014778231270611286]","[0.2999173700809479, 0.19472037255764008, -0.013587922789156437]","[0.23337125778198242, 0.12266319990158081, -0.03974852338433266]","[0.4313639998435974, 0.5039059519767761, 0.0063932896591722965]","[0.31207075715065, 0.37741830945014954, -0.002657184610143304]","[0.24783119559288025, 0.2923078238964081, -0.03427942469716072]","[0.1895616352558136, 0.23237377405166626, -0.05856601148843765]","[0.3974875211715698, 0.5999431610107422, -0.013226218521595001]","[0.30685651302337646, 0.5011060833930969, -0.021980902180075645]","[0.2529571056365967, 0.42805248498916626, -0.035232871770858765]","[0.20509758591651917, 0.37100866436958313, -0.04814267158508301]"
"[0.7350853085517883, 0.8819701671600342, 6.691925023005751e-07]","[0.8113298416137695, 0.7248424291610718, -0.0643971636891365]","[0.7618672251701355, 0.5398080945014954, -0.07752640545368195]","[0.5825034379959106, 0.46679458022117615, -0.08524063974618912]","[0.4382384717464447, 0.5036646723747253, -0.09206449240446091]","[0.5986891388893127, 0.42377832531929016, -0.003993825521320105]","[0.4974134564399719, 0.27786707878112793, -0.029500514268875122]","[0.4202336370944977, 0.19946619868278503, -0.0665205717086792]","[0.35041487216949463, 0.1387844681739807, -0.09786556661128998]","[0.49237656593322754, 0.4582436978816986, -0.0024671636056154966]","[0.3733116388320923, 0.30464881658554077, -0.016238614916801453]","[0.292384535074234, 0.2097388207912445, -0.056043073534965515]","[0.21812596917152405, 0.13747712969779968, -0.09005594998598099]","[0.42793363332748413, 0.5223270058631897, -0.01124387327581644]","[0.3065437078475952, 0.38851431012153625, -0.03173249214887619]","[0.2429039180278778, 0.299981951713562, -0.07087434828281403]","[0.18167921900749207, 0.23268641531467438, -0.09960711002349854]","[0.3842138648033142, 0.6191352605819702, -0.027563344687223434]","[0.2892896234989166, 0.5148189067840576, -0.04567664861679077]","[0.23969408869743347, 0.44270414113998413, -0.06126527115702629]","[0.1945667266845703, 0.3825187385082245, -0.07466940581798553]"
"[0.5390605330467224, 0.9125900268554688, 6.142196866676386e-07]","[0.6408962607383728, 0.7776145935058594, -0.07086647301912308]","[0.6597118377685547, 0.5839909911155701, -0.07808361202478409]","[0.5394115447998047, 0.460997998714447, -0.07707609236240387]","[0.4142879247665405, 0.4426742494106293, -0.07196082174777985]","[0.6091394424438477, 0.43914544582366943, 0.005776697304099798]","[0.573514461517334, 0.26078546047210693, -0.004949151538312435]","[0.5387194156646729, 0.15661653876304626, -0.02917454019188881]","[0.5112481713294983, 0.067416250705719, -0.05266924947500229]","[0.5086640119552612, 0.44408559799194336, 0.01788982003927231]","[0.4611209034919739, 0.26234543323516846, 0.01611490547657013]","[0.42984962463378906, 0.14501309394836426, -0.01285277958959341]","[0.40492117404937744, 0.04885900020599365, -0.04024040699005127]","[0.42654183506965637, 0.48377105593681335, 0.01794424094259739]","[0.37917453050613403, 0.3196865916252136, 0.009902240708470345]","[0.362857460975647, 0.21614857017993927, -0.024314384907484055]","[0.3451261520385742, 0.12904468178749084, -0.0529656745493412]","[0.3517618179321289, 0.5506078004837036, 0.009078268893063068]","[0.3131658434867859, 0.42852500081062317, -0.0017641731537878513]","[0.297374427318573, 0.3444793224334717, -0.018342794850468636]","[0.28511837124824524, 0.26593929529190063, -0.03495025634765625]"
"[0.668501079082489, 0.8661454916000366, 4.0185304328588245e-07]","[0.7166773080825806, 0.7330108284950256, -0.07192298769950867]","[0.6770188212394714, 0.5659043192863464, -0.09586510062217712]","[0.5173336863517761, 0.48583030700683594, -0.11183639615774155]","[0.38388991355895996, 0.48008298873901367, -0.12531381845474243]","[0.5916932821273804, 0.4241953194141388, -0.0395234115421772]","[0.5020495653152466, 0.263896644115448, -0.0746174231171608]","[0.4317414164543152, 0.17500610649585724, -0.11249563843011856]","[0.3693087100982666, 0.10048374533653259, -0.1438003033399582]","[0.4970289170742035, 0.44652748107910156, -0.035427678376436234]","[0.3984829783439636, 0.2820671498775482, -0.05840504914522171]","[0.3329215347766876, 0.1841413527727127, -0.09475719183683395]","[0.2768554985523224, 0.1030748188495636, -0.12567998468875885]","[0.4335167109966278, 0.5018064975738525, -0.040896475315093994]","[0.3338552713394165, 0.3568182587623596, -0.06511133909225464]","[0.28202545642852783, 0.269797146320343, -0.09862350672483444]","[0.2329237461090088, 0.19704967737197876, -0.1245235875248909]","[0.3905414938926697, 0.58712238073349, -0.05442725494503975]","[0.31012600660324097, 0.4772098958492279, -0.0768766850233078]","[0.2675683796405792, 0.40467262268066406, -0.09247877448797226]","[0.22947987914085388, 0.3436567485332489, -0.10542188584804535]"
"[0.2704651951789856, 0.7432453632354736, 6.367154128383845e-07]","[0.40515613555908203, 0.7587317228317261, -0.06449822336435318]","[0.5495175719261169, 0.6624893546104431, -0.08293504267930984]","[0.5640060901641846, 0.49964258074760437, -0.0940590426325798]","[0.5176217555999756, 0.3815001845359802, -0.10432257503271103]","[0.6204649806022644, 0.5351487398147583, -0.038169268518686295]","[0.7223551273345947, 0.40344780683517456, -0.06896977871656418]","[0.777489423751831, 0.3134523034095764, -0.09997245669364929]","[0.8188930153846741, 0.23330843448638916, -0.1260010153055191]","[0.5639537572860718, 0.46077001094818115, -0.03706134110689163]","[0.6739762425422668, 0.3166581094264984, -0.060339029878377914]","[0.7418134212493896, 0.2263355851173401, -0.09435028582811356]","[0.793096661567688, 0.14659559726715088, -0.12119700759649277]","[0.49092379212379456, 0.427421510219574, -0.04406015947461128]","[0.5853936672210693, 0.2880382835865021, -0.07339987903833389]","[0.64656662940979, 0.21076399087905884, -0.10966002196073532]","[0.6942592263221741, 0.1387389898300171, -0.13446396589279175]","[0.397629976272583, 0.41579288244247437, -0.057218037545681]","[0.47025856375694275, 0.3050246834754944, -0.08911062777042389]","[0.5235110521316528, 0.2412518858909607, -0.11106143146753311]","[0.5677506923675537, 0.18364217877388, -0.1261986941099167]"
"[0.2700905501842499, 0.8300021290779114, 8.850477115629474e-07]","[0.4288029670715332, 0.7929818630218506, -0.07481236755847931]","[0.5634782314300537, 0.6659818291664124, -0.0878959372639656]","[0.5516847372055054, 0.4916732907295227, -0.09071072936058044]","[0.4579325318336487, 0.39836814999580383, -0.08866263180971146]","[0.6173983812332153, 0.5331382751464844, -0.011259535327553749]","[0.7016050815582275, 0.37034884095191956, -0.030420418828725815]","[0.7431416511535645, 0.26146066188812256, -0.057652704417705536]","[0.7761762738227844, 0.17392873764038086, -0.08121029287576675]","[0.5368072986602783, 0.4651402235031128, 0.00046214458416216075]","[0.6182335019111633, 0.29587817192077637, -0.008263780735433102]","[0.6734436750411987, 0.18240296840667725, -0.03683481365442276]","[0.7137317657470703, 0.092771977186203, -0.06063985079526901]","[0.4495919346809387, 0.43876004219055176, 0.0007082447991706431]","[0.519315242767334, 0.2809820771217346, -0.015204958617687225]","[0.5742374062538147, 0.19078806042671204, -0.048390574753284454]","[0.6136512756347656, 0.11376446485519409, -0.07200965285301208]","[0.35010287165641785, 0.4422593116760254, -0.0075890980660915375]","[0.40654394030570984, 0.3234558701515198, -0.025852831080555916]","[0.4501582682132721, 0.2505175769329071, -0.04223010316491127]","[0.4864789843559265, 0.18548423051834106, -0.05473818629980087]"
"[0.3971666097640991, 0.9019346237182617, 7.61943738325499e-07]","[0.5197702050209045, 0.8349120616912842, -0.08516252785921097]","[0.5897923707962036, 0.6793466210365295, -0.11338096112012863]","[0.5101926326751709, 0.5269109010696411, -0.1306532621383667]","[0.4081534743309021, 0.4464396834373474, -0.14500676095485687]","[0.6050792336463928, 0.5110242366790771, -0.0567631870508194]","[0.6300390958786011, 0.32338762283325195, -0.09721799939870834]","[0.6357243657112122, 0.2070540487766266, -0.1343507468700409]","[0.6376522779464722, 0.10724571347236633, -0.1631636917591095]","[0.5143839716911316, 0.4721914529800415, -0.04706951603293419]","[0.5407819151878357, 0.27822262048721313, -0.07907113432884216]","[0.5589838624000549, 0.15171873569488525, -0.1166282668709755]","[0.5713359117507935, 0.047578513622283936, -0.14453884959220886]","[0.4299619495868683, 0.4763520359992981, -0.04771938920021057]","[0.4436107873916626, 0.29777318239212036, -0.08048978447914124]","[0.46440887451171875, 0.19153961539268494, -0.11778607964515686]","[0.47873157262802124, 0.09967195987701416, -0.1428430825471878]","[0.34344521164894104, 0.5140507817268372, -0.05690956488251686]","[0.35082608461380005, 0.3759499788284302, -0.08913715928792953]","[0.3639497756958008, 0.2923023998737335, -0.10962425917387009]","[0.37554726004600525, 0.21910715103149414, -0.12299606949090958]"
"[0.39071178436279297, 0.8979936838150024, 8.390036327909911e-07]","[0.539087176322937, 0.822260856628418, -0.06270036846399307]","[0.6313347220420837, 0.6529619693756104, -0.07454521954059601]","[0.5763564109802246, 0.4898676574230194, -0.08095792680978775]","[0.45036906003952026, 0.43191713094711304, -0.08458545804023743]","[0.639170229434967, 0.5031442642211914, -0.004952177871018648]","[0.6825906038284302, 0.3284043073654175, -0.022816427052021027]","[0.6979493498802185, 0.21752747893333435, -0.05179866775870323]","[0.7108351588249207, 0.12298399209976196, -0.07877179980278015]","[0.5475230813026428, 0.45990893244743347, -0.0034693321213126183]","[0.5871182084083557, 0.2783365845680237, -0.010477348230779171]","[0.6125425100326538, 0.15695089101791382, -0.040599431842565536]","[0.6293033957481384, 0.05522492527961731, -0.06809859722852707]","[0.4556419253349304, 0.45949357748031616, -0.012381581589579582]","[0.47963690757751465, 0.28479400277137756, -0.02658933401107788]","[0.5065644383430481, 0.17843523621559143, -0.06274691224098206]","[0.5206661224365234, 0.08939042687416077, -0.0903145894408226]","[0.35908210277557373, 0.4921126663684845, -0.029470054432749748]","[0.37865567207336426, 0.3597709536552429, -0.04545844346284866]","[0.40227073431015015, 0.27288487553596497, -0.06315319240093231]","[0.41612866520881653, 0.19929027557373047, -0.07889101654291153]"
"[0.3909198045730591, 0.8752754926681519, 4.5028687623016594e-07]","[0.5625894665718079, 0.8197343945503235, -0.05531676113605499]","[0.664234459400177, 0.6400043368339539, -0.05402587354183197]","[0.5963672995567322, 0.46026167273521423, -0.04863885045051575]","[0.47213900089263916, 0.40856292843818665, -0.04231880232691765]","[0.6357831954956055, 0.49500587582588196, 0.010774288326501846]","[0.6638370156288147, 0.33426856994628906, -0.0016310862265527248]","[0.6685780882835388, 0.2266448736190796, -0.02550692856311798]","[0.6714447140693665, 0.13190504908561707, -0.05133180692791939]","[0.5458641648292542, 0.45490145683288574, 0.009280146099627018]","[0.5734332203865051, 0.272927850484848, -0.0017481256509199739]","[0.5958475470542908, 0.15143555402755737, -0.03209580481052399]","[0.6142129302024841, 0.04804113507270813, -0.06086725369095802]","[0.458685964345932, 0.4527972340583801, -0.0034808116033673286]","[0.4816063642501831, 0.2750874161720276, -0.028646055608987808]","[0.5113099813461304, 0.16020706295967102, -0.06926330178976059]","[0.527901291847229, 0.06303128600120544, -0.10010328143835068]","[0.3624066114425659, 0.47373905777931213, -0.022940421476960182]","[0.3872550427913666, 0.3265470266342163, -0.053344979882240295]","[0.41123685240745544, 0.22714850306510925, -0.08099959790706635]","[0.4281253516674042, 0.13722610473632812, -0.10466378927230835]"
"[0.6830442547798157, 0.8616147041320801, 7.777438781886303e-07]","[0.7328017950057983, 0.7025229930877686, -0.06991191953420639]","[0.6802294254302979, 0.5223711133003235, -0.08319807052612305]","[0.5204863548278809, 0.45059269666671753, -0.09004426002502441]","[0.38474026322364807, 0.4784426987171173, -0.09315897524356842]","[0.5924971103668213, 0.4013289213180542, 0.0015716641210019588]","[0.5014961361885071, 0.241193026304245, -0.015123467892408371]","[0.43454378843307495, 0.1523958444595337, -0.043490149080753326]","[0.3784021735191345, 0.0779866874217987, -0.06939556449651718]","[0.49553075432777405, 0.4365050494670868, 0.008651578798890114]","[0.39506015181541443, 0.2801184058189392, 0.0028073673602193594]","[0.3263378143310547, 0.17788085341453552, -0.027136407792568207]","[0.267107218503952, 0.09940475225448608, -0.05482327938079834]","[0.4282875061035156, 0.5016984939575195, 0.0031939707696437836]","[0.3231298625469208, 0.36204293370246887, -0.010567085817456245]","[0.27053049206733704, 0.2710186839103699, -0.04666246101260185]","[0.21960309147834778, 0.19971540570259094, -0.07470101118087769]","[0.3823701739311218, 0.5925507545471191, -0.01141692977398634]","[0.30407223105430603, 0.4871346354484558, -0.027823753654956818]","[0.2577510476112366, 0.4115516245365143, -0.046631813049316406]","[0.21339261531829834, 0.3468010127544403, -0.06355220824480057]"
