Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.3693271279335022, 0.26869887113571167, 1.112733116315212e-06]","[0.5479784607887268, 0.3046450912952423, 0.020168596878647804]","[0.6872800588607788, 0.30910468101501465, -0.005340695846825838]","[0.77927565574646, 0.3591013550758362, -0.04329153522849083]","[0.8455137610435486, 0.4255622625350952, -0.08028935641050339]","[0.7734813094139099, 0.14141348004341125, -0.03838528320193291]","[0.8850340247154236, 0.2697618305683136, -0.10660086572170258]","[0.9131327271461487, 0.3798215985298157, -0.15229322016239166]","[0.9196007251739502, 0.4660874605178833, -0.18156678974628448]","[0.7291598916053772, 0.14387142658233643, -0.08892421424388885]","[0.8660832047462463, 0.26983386278152466, -0.15906424820423126]","[0.9091314077377319, 0.39256954193115234, -0.19531384110450745]","[0.9240112900733948, 0.4895956516265869, -0.21759848296642303]","[0.6628125309944153, 0.1778203547000885, -0.14072813093662262]","[0.8106138110160828, 0.26807382702827454, -0.20617841184139252]","[0.8710980415344238, 0.383950799703598, -0.22957827150821686]","[0.9026583433151245, 0.4788329601287842, -0.23965807259082794]","[0.5867161750793457, 0.23592516779899597, -0.18999169766902924]","[0.7035970091819763, 0.29719656705856323, -0.23928029835224152]","[0.7790378928184509, 0.3669464588165283, -0.2570938766002655]","[0.8341696858406067, 0.43402159214019775, -0.26621371507644653]"
"[0.40733203291893005, 0.32342255115509033, 1.1438439742050832e-06]","[0.5706586837768555, 0.34510570764541626, 0.024256881326436996]","[0.7003904581069946, 0.31777286529541016, 0.0015140136238187551]","[0.7988619804382324, 0.33183354139328003, -0.03327547013759613]","[0.8792442679405212, 0.3688344359397888, -0.0706724002957344]","[0.7371982336044312, 0.10916345566511154, -0.04657607153058052]","[0.8579767942428589, 0.22777555882930756, -0.11202111095190048]","[0.9205688238143921, 0.3154815435409546, -0.15897178649902344]","[0.9659504890441895, 0.39491885900497437, -0.19245481491088867]","[0.6969164609909058, 0.10924864560365677, -0.0989542007446289]","[0.8453136682510376, 0.23178614675998688, -0.167810320854187]","[0.9198747277259827, 0.33086052536964417, -0.2019934356212616]","[0.9740132093429565, 0.4151262044906616, -0.22467836737632751]","[0.6438137292861938, 0.14995190501213074, -0.150783509016037]","[0.803861141204834, 0.2365797758102417, -0.21542055904865265]","[0.8872393369674683, 0.32546961307525635, -0.23562130331993103]","[0.9486293196678162, 0.4000798165798187, -0.24511002004146576]","[0.5892238616943359, 0.21965104341506958, -0.1996440291404724]","[0.7147843837738037, 0.26482659578323364, -0.24803705513477325]","[0.7930731177330017, 0.3083011507987976, -0.2613832950592041]","[0.8557038903236389, 0.3510335683822632, -0.2685876786708832]"
"[0.2936145067214966, 0.37630695104599, 9.562809282215312e-07]","[0.4280531108379364, 0.3043370246887207, 0.02769731730222702]","[0.5076157450675964, 0.2128572165966034, 0.015905730426311493]","[0.5829018354415894, 0.17758725583553314, -0.009686460718512535]","[0.6471413373947144, 0.17806939780712128, -0.033729057759046555]","[0.4458857476711273, 0.019634880125522614, 0.003797869198024273]","[0.6070500612258911, 0.05825744941830635, -0.047154609113931656]","[0.6956234574317932, 0.12687839567661285, -0.0894894003868103]","[0.7523660659790039, 0.1915585994720459, -0.11704296618700027]","[0.42494189739227295, 0.022597961127758026, -0.03942371904850006]","[0.6151551604270935, 0.059215690940618515, -0.08909188210964203]","[0.7060245275497437, 0.14002948999404907, -0.11632075160741806]","[0.7587064504623413, 0.21506208181381226, -0.13165049254894257]","[0.41122275590896606, 0.06141655147075653, -0.08364066481590271]","[0.5926335453987122, 0.07994595170021057, -0.13060957193374634]","[0.6825220584869385, 0.16117039322853088, -0.1421917974948883]","[0.7335561513900757, 0.23075315356254578, -0.14433126151561737]","[0.4046449065208435, 0.1287010908126831, -0.1259162724018097]","[0.5459942817687988, 0.15167488157749176, -0.15690168738365173]","[0.6172942519187927, 0.2050733119249344, -0.15651275217533112]","[0.660679817199707, 0.2532411813735962, -0.152269646525383]"
"[0.31598764657974243, 0.49583786725997925, 2.10842017622781e-06]","[0.4690675437450409, 0.5342274904251099, -0.1728658527135849]","[0.5916796326637268, 0.5244974493980408, -0.33928173780441284]","[0.7118876576423645, 0.4592425227165222, -0.46536532044410706]","[0.8316595554351807, 0.34239715337753296, -0.5896131992340088]","[0.348588228225708, 0.3570791482925415, -0.508395254611969]","[0.4158087372779846, 0.27257007360458374, -0.6976515650749207]","[0.5476462841033936, 0.2061631679534912, -0.7811213731765747]","[0.6557839512825012, 0.17668412625789642, -0.8225838541984558]","[0.30026131868362427, 0.2671031057834625, -0.4767685532569885]","[0.41458791494369507, 0.14790809154510498, -0.6563470959663391]","[0.5734590291976929, 0.10867693275213242, -0.695400059223175]","[0.6960775256156921, 0.13088442385196686, -0.7169044017791748]","[0.2987174689769745, 0.20877422392368317, -0.4413977861404419]","[0.4057595729827881, 0.08293304592370987, -0.611868143081665]","[0.5542546510696411, 0.048723191022872925, -0.6533087491989136]","[0.6733306050300598, 0.06595759093761444, -0.6670287847518921]","[0.3334742784500122, 0.17408807575702667, -0.40856683254241943]","[0.4283144474029541, 0.07473349571228027, -0.538963794708252]","[0.5407025814056396, 0.051383696496486664, -0.5856305360794067]","[0.6385812759399414, 0.06796597689390182, -0.6104884147644043]"
"[0.3052176833152771, 0.6052936315536499, 1.7029340142471483e-06]","[0.457499235868454, 0.5194118618965149, -0.0461094044148922]","[0.5603947043418884, 0.4269964098930359, -0.14079059660434723]","[0.6753273606300354, 0.36121049523353577, -0.2384106069803238]","[0.7877854108810425, 0.25612813234329224, -0.33673569560050964]","[0.2828535735607147, 0.21631401777267456, -0.19968676567077637]","[0.40596315264701843, 0.10303240269422531, -0.31077027320861816]","[0.5305109024047852, 0.07645410299301147, -0.365092396736145]","[0.6283243894577026, 0.0815177857875824, -0.397365003824234]","[0.2360910028219223, 0.24072307348251343, -0.24064281582832336]","[0.37344515323638916, 0.11143289506435394, -0.35899943113327026]","[0.5263789296150208, 0.07422362267971039, -0.4004334807395935]","[0.6519414782524109, 0.08345324546098709, -0.42687973380088806]","[0.23685939610004425, 0.2889569401741028, -0.2837051749229431]","[0.3608683943748474, 0.14413855969905853, -0.3881189227104187]","[0.5128432512283325, 0.09576620906591415, -0.41861528158187866]","[0.6349276900291443, 0.09080955386161804, -0.4336566925048828]","[0.2849408984184265, 0.34672778844833374, -0.3280658721923828]","[0.38095569610595703, 0.2122168093919754, -0.40696293115615845]","[0.48922014236450195, 0.14401695132255554, -0.4384293854236603]","[0.5861374139785767, 0.11595498025417328, -0.45896026492118835]"
"[0.39026933908462524, 0.25722381472587585, 1.4426253756028018e-06]","[0.5218924880027771, 0.2586250901222229, -0.019130434840917587]","[0.6438091397285461, 0.22215420007705688, -0.04456992819905281]","[0.7358779907226562, 0.22971922159194946, -0.07258635759353638]","[0.8104305267333984, 0.2606821656227112, -0.09769022464752197]","[0.6750454902648926, 0.04525018483400345, -0.03349373862147331]","[0.7939664125442505, 0.14439332485198975, -0.09598106890916824]","[0.8540074825286865, 0.23285531997680664, -0.14622420072555542]","[0.8984622359275818, 0.3085426688194275, -0.17956037819385529]","[0.6533174514770508, 0.05248201638460159, -0.05292539671063423]","[0.7850382328033447, 0.16079078614711761, -0.1179477646946907]","[0.8561092615127563, 0.2588503658771515, -0.15562190115451813]","[0.9144542217254639, 0.3429616093635559, -0.17822781205177307]","[0.6205592751502991, 0.08895204961299896, -0.0775335431098938]","[0.758001446723938, 0.17877469956874847, -0.13943524658679962]","[0.8420132398605347, 0.266586035490036, -0.16254490613937378]","[0.905814528465271, 0.3401263356208801, -0.17109379172325134]","[0.5791856646537781, 0.14439336955547333, -0.10388907045125961]","[0.6972299814224243, 0.20632274448871613, -0.15004190802574158]","[0.7714524865150452, 0.2611178457736969, -0.16495026648044586]","[0.8322088718414307, 0.30950602889060974, -0.1706700325012207]"
"[0.292036235332489, 0.5156866312026978, 1.0536049330767128e-06]","[0.3011658191680908, 0.37905779480934143, 0.06857370585203171]","[0.3052770495414734, 0.2666070759296417, 0.057273026555776596]","[0.3542962372303009, 0.18542815744876862, 0.024979330599308014]","[0.4164067208766937, 0.1310553401708603, -0.012644471600651741]","[0.17061170935630798, 0.1656152307987213, -0.004319311119616032]","[0.32532569766044617, 0.07902450859546661, -0.038511332124471664]","[0.42133161425590515, 0.05340619385242462, -0.059014949947595596]","[0.4948193430900574, 0.04431764781475067, -0.07404541224241257]","[0.17171701788902283, 0.19307991862297058, -0.0718904659152031]","[0.3304364085197449, 0.09801055490970612, -0.1035047098994255]","[0.4381866455078125, 0.06508196890354156, -0.10963021218776703]","[0.5264232158660889, 0.050646692514419556, -0.11666759848594666]","[0.2004997432231903, 0.2420194447040558, -0.13502587378025055]","[0.3424946963787079, 0.12876972556114197, -0.16107028722763062]","[0.45044395327568054, 0.09081676602363586, -0.15520904958248138]","[0.5327332019805908, 0.06978586316108704, -0.15441739559173584]","[0.2564358115196228, 0.30106469988822937, -0.19300882518291473]","[0.35442569851875305, 0.19028475880622864, -0.21232019364833832]","[0.4295230209827423, 0.14027497172355652, -0.2067946344614029]","[0.491732120513916, 0.10487599670886993, -0.2041807621717453]"
"[0.29512977600097656, 0.5623830556869507, 4.5461686681846913e-07]","[0.38835492730140686, 0.3997885584831238, 0.048040393739938736]","[0.4242802858352661, 0.2805316150188446, 0.019761916249990463]","[0.46612200140953064, 0.18913060426712036, -0.02725544013082981]","[0.5140946507453918, 0.10558024793863297, -0.08201225847005844]","[0.2536123991012573, 0.14311039447784424, -0.0662965476512909]","[0.35626235604286194, 0.06058770418167114, -0.14892585575580597]","[0.4748384356498718, 0.03885415196418762, -0.2023032307624817]","[0.570541501045227, 0.037846699357032776, -0.23364347219467163]","[0.21840088069438934, 0.18516609072685242, -0.13540473580360413]","[0.34073925018310547, 0.07913225889205933, -0.21777375042438507]","[0.47519636154174805, 0.04122637212276459, -0.2515527307987213]","[0.5794745087623596, 0.051279231905937195, -0.2700308859348297]","[0.21706527471542358, 0.259392112493515, -0.20050808787345886]","[0.3176634609699249, 0.1404915601015091, -0.2734993100166321]","[0.45172518491744995, 0.08937946707010269, -0.28934627771377563]","[0.557242751121521, 0.08185319602489471, -0.29215213656425476]","[0.2479245960712433, 0.344260036945343, -0.2601894438266754]","[0.3214866816997528, 0.22841526567935944, -0.31731170415878296]","[0.4165046811103821, 0.17082402110099792, -0.32771050930023193]","[0.5031218528747559, 0.14669457077980042, -0.3286344110965729]"
"[0.42335259914398193, 0.35427629947662354, 1.247013074134884e-06]","[0.5716562271118164, 0.3246893584728241, 0.01412486657500267]","[0.6882607936859131, 0.26592886447906494, -0.00019276008242741227]","[0.7851406931877136, 0.2593233585357666, -0.024250337854027748]","[0.8726695775985718, 0.2825651466846466, -0.047422122210264206]","[0.6738375425338745, 0.061737075448036194, 0.0018259395146742463]","[0.7902724742889404, 0.13680024445056915, -0.04472062364220619]","[0.8660363554954529, 0.19918715953826904, -0.08643819391727448]","[0.9210543632507324, 0.25723087787628174, -0.11572414636611938]","[0.6333261132240295, 0.058104537427425385, -0.03456782177090645]","[0.7725812792778015, 0.13984645903110504, -0.08498832583427429]","[0.8580957651138306, 0.2137816995382309, -0.11572851985692978]","[0.9215341806411743, 0.27981647849082947, -0.13455645740032196]","[0.5907270312309265, 0.09185408800840378, -0.07329888641834259]","[0.740176260471344, 0.14885999262332916, -0.12385882437229156]","[0.836126446723938, 0.2133249193429947, -0.13880546391010284]","[0.9063423871994019, 0.26851677894592285, -0.143011212348938]","[0.5490853190422058, 0.1561088114976883, -0.11131110787391663]","[0.6878343820571899, 0.19548767805099487, -0.14716966450214386]","[0.7694118022918701, 0.23488101363182068, -0.15120261907577515]","[0.8304362893104553, 0.26758721470832825, -0.14986872673034668]"
"[0.36018887162208557, 0.31001362204551697, 1.6481924376421375e-06]","[0.48435842990875244, 0.2849816381931305, -0.031130407005548477]","[0.617570698261261, 0.24343249201774597, -0.04785902053117752]","[0.7327141165733337, 0.27770179510116577, -0.06390015780925751]","[0.8193585872650146, 0.3273468017578125, -0.07344088703393936]","[0.6706186532974243, 0.05536915361881256, 0.020277654752135277]","[0.809679388999939, 0.16086262464523315, -0.013659628108143806]","[0.8783663511276245, 0.2515612840652466, -0.05392033979296684]","[0.9269345998764038, 0.3273750841617584, -0.08307816088199615]","[0.6563007831573486, 0.06993494927883148, 0.016630860045552254]","[0.8057093024253845, 0.1706574261188507, -0.0205563772469759]","[0.878913164138794, 0.2653908133506775, -0.058123715221881866]","[0.9349496960639954, 0.3563953936100006, -0.08116235584020615]","[0.6300618052482605, 0.11199706047773361, 0.004868833348155022]","[0.7721444368362427, 0.19120168685913086, -0.029418446123600006]","[0.8538304567337036, 0.27573949098587036, -0.05245405435562134]","[0.9178617000579834, 0.3540751039981842, -0.06359856575727463]","[0.5900582671165466, 0.18107660114765167, -0.011005210690200329]","[0.7125993967056274, 0.24087552726268768, -0.034226007759571075]","[0.7784907817840576, 0.29113641381263733, -0.04257875680923462]","[0.8322703242301941, 0.33810126781463623, -0.04489004611968994]"
