Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.44384464621543884, 0.8958392143249512, 3.1944514944370894e-07]","[0.591392993927002, 0.8020000457763672, -0.05819256976246834]","[0.7068304419517517, 0.65195631980896, -0.0686878189444542]","[0.6441903114318848, 0.5156530737876892, -0.07173655182123184]","[0.512770414352417, 0.5163288116455078, -0.06730569154024124]","[0.5802114605903625, 0.4401424825191498, 0.0007172236801125109]","[0.5797724723815918, 0.25670915842056274, -0.026596004143357277]","[0.5774994492530823, 0.15211090445518494, -0.04926920309662819]","[0.5603514909744263, 0.05506986379623413, -0.0716262236237526]","[0.4714146554470062, 0.4545136094093323, -0.0004918056656606495]","[0.4583703577518463, 0.31105419993400574, -0.03460384160280228]","[0.49073827266693115, 0.46056461334228516, -0.037093114107847214]","[0.5104482769966125, 0.5120031237602234, -0.026239240542054176]","[0.3778151869773865, 0.49935999512672424, -0.010446464642882347]","[0.35216814279556274, 0.3860572576522827, -0.05808422341942787]","[0.4018922448158264, 0.5163976550102234, -0.029965955764055252]","[0.4234800338745117, 0.5582326054573059, 0.0031055198051035404]","[0.28531575202941895, 0.579355776309967, -0.02721843123435974]","[0.2735340893268585, 0.48348379135131836, -0.052597835659980774]","[0.326643168926239, 0.5668781995773315, -0.013709431514143944]","[0.3414398431777954, 0.6148874163627625, 0.021704593673348427]"
"[0.13730323314666748, 0.68593430519104, 3.1651623544348695e-07]","[0.31749844551086426, 0.7739900350570679, -0.03393694758415222]","[0.494748055934906, 0.7500578165054321, -0.03259879723191261]","[0.6223569512367249, 0.6331477761268616, -0.029347870498895645]","[0.5417384505271912, 0.5293536186218262, -0.026109745725989342]","[0.5778275728225708, 0.5219638347625732, -0.007512438111007214]","[0.7330111861228943, 0.40227606892585754, -0.02810487523674965]","[0.822098970413208, 0.32713526487350464, -0.06231730803847313]","[0.891444206237793, 0.2606203258037567, -0.09881632030010223]","[0.5169890522956848, 0.44950172305107117, -0.017396338284015656]","[0.6446990370750427, 0.3304075598716736, -0.05778103321790695]","[0.6028790473937988, 0.4091184139251709, -0.09220536798238754]","[0.5588563084602356, 0.4725334048271179, -0.11350490897893906]","[0.43390214443206787, 0.3973129987716675, -0.02919776923954487]","[0.5616179704666138, 0.26649653911590576, -0.06631389260292053]","[0.5309502482414246, 0.3658595085144043, -0.07058654725551605]","[0.46961382031440735, 0.4511145353317261, -0.06801988929510117]","[0.32571956515312195, 0.374521404504776, -0.045999836176633835]","[0.4390748143196106, 0.26048922538757324, -0.07583381235599518]","[0.4436587691307068, 0.3284233808517456, -0.07460148632526398]","[0.40094614028930664, 0.4008985161781311, -0.07193105667829514]"
"[0.6896048784255981, 0.8346655368804932, 3.0974240416981047e-07]","[0.7835034132003784, 0.7027117013931274, -0.08441832661628723]","[0.7480391263961792, 0.5069947242736816, -0.10100175440311432]","[0.5829371213912964, 0.41920334100723267, -0.11073463410139084]","[0.44675254821777344, 0.47442442178726196, -0.11863348633050919]","[0.5524544715881348, 0.3975442945957184, -0.022722167894244194]","[0.42486321926116943, 0.2587747871875763, -0.03742513433098793]","[0.3271833658218384, 0.17292380332946777, -0.05888088792562485]","[0.25524652004241943, 0.10937759280204773, -0.08357640355825424]","[0.450411319732666, 0.4585212767124176, -0.010041467845439911]","[0.30634623765945435, 0.32671594619750977, -0.052207913249731064]","[0.34801048040390015, 0.3620719909667969, -0.08838243037462234]","[0.41416019201278687, 0.4267648756504059, -0.10244326293468475]","[0.39209991693496704, 0.5317890644073486, -0.005019649863243103]","[0.2638062834739685, 0.42553457617759705, -0.055071376264095306]","[0.3167431652545929, 0.45094946026802063, -0.08326457440853119]","[0.38666969537734985, 0.5227124094963074, -0.08784478157758713]","[0.3514499068260193, 0.6203942894935608, -0.007905189879238605]","[0.23836535215377808, 0.527886688709259, -0.04889218881726265]","[0.26611119508743286, 0.5207372903823853, -0.06559339910745621]","[0.32789021730422974, 0.5672984719276428, -0.06963750720024109]"
"[0.7289060354232788, 0.8089145421981812, 1.1071424665942686e-07]","[0.7843525409698486, 0.6547175049781799, -0.044579505920410156]","[0.7309069633483887, 0.4988478124141693, -0.06219477951526642]","[0.5859634876251221, 0.4482475817203522, -0.07911187410354614]","[0.47011667490005493, 0.502882182598114, -0.09678364545106888]","[0.5343062877655029, 0.37628668546676636, -0.012042067013680935]","[0.4013363718986511, 0.25239884853363037, -0.03621922433376312]","[0.3148398995399475, 0.17649993300437927, -0.06502990424633026]","[0.23737457394599915, 0.12421239912509918, -0.09356100112199783]","[0.45250841975212097, 0.448373943567276, -0.018617866560816765]","[0.3382807970046997, 0.3325624465942383, -0.05077340826392174]","[0.4292225241661072, 0.4038085341453552, -0.06444010138511658]","[0.4925945997238159, 0.44948527216911316, -0.06574537605047226]","[0.4059123396873474, 0.5365180373191833, -0.03050476871430874]","[0.2832222580909729, 0.43336784839630127, -0.06503839790821075]","[0.3852202892303467, 0.4884409010410309, -0.05201185122132301]","[0.45911353826522827, 0.5440995097160339, -0.034647922962903976]","[0.38353514671325684, 0.651983916759491, -0.04816213250160217]","[0.27076035737991333, 0.566805362701416, -0.07920156419277191]","[0.34175413846969604, 0.5801042318344116, -0.0653030201792717]","[0.41419723629951477, 0.6117280125617981, -0.049081187695264816]"
"[0.3192756175994873, 0.771294355392456, 4.2475593886592833e-07]","[0.4841678738594055, 0.7926281690597534, -0.08012357354164124]","[0.6515398025512695, 0.7121299505233765, -0.10068905353546143]","[0.7108233571052551, 0.5745770931243896, -0.11658039689064026]","[0.6428704857826233, 0.47200778126716614, -0.1326013207435608]","[0.6419786214828491, 0.464916467666626, -0.02333577163517475]","[0.7221135497093201, 0.3089372217655182, -0.04724135249853134]","[0.7668083906173706, 0.20256422460079193, -0.07593847811222076]","[0.7991671562194824, 0.12086182832717896, -0.10338633507490158]","[0.5510982871055603, 0.40837791562080383, -0.011710491962730885]","[0.6152531504631042, 0.2573040723800659, -0.06925247609615326]","[0.6026941537857056, 0.3336031436920166, -0.10910717397928238]","[0.5734233856201172, 0.4254823625087738, -0.12385477125644684]","[0.4562910199165344, 0.3815193772315979, -0.007884490303695202]","[0.5139185190200806, 0.2268788069486618, -0.06282645463943481]","[0.5240493416786194, 0.2885289192199707, -0.08572215586900711]","[0.49166667461395264, 0.382118821144104, -0.08802362531423569]","[0.3488098978996277, 0.370077908039093, -0.012033989652991295]","[0.4044429063796997, 0.23245203495025635, -0.059775885194540024]","[0.4339136481285095, 0.2626921832561493, -0.0768759548664093]","[0.4202653169631958, 0.340564489364624, -0.08015528321266174]"
"[0.2170829474925995, 0.7771955728530884, -6.621967685305208e-08]","[0.3926556408405304, 0.7879727482795715, -0.04960676655173302]","[0.5542030334472656, 0.7418075799942017, -0.0502152144908905]","[0.5797156691551208, 0.5952039361000061, -0.039525192230939865]","[0.48518308997154236, 0.5118839740753174, -0.018862133845686913]","[0.6043146848678589, 0.5070064067840576, -0.0005648189689964056]","[0.7175668478012085, 0.36813536286354065, -0.039342887699604034]","[0.7841827869415283, 0.2855236828327179, -0.07790235430002213]","[0.8353642225265503, 0.20025426149368286, -0.10945702344179153]","[0.5115171074867249, 0.44725969433784485, 0.003647449193522334]","[0.592745304107666, 0.3313160240650177, -0.02235862798988819]","[0.5187915563583374, 0.4764222502708435, -0.02012261003255844]","[0.4940528869628906, 0.5290874242782593, -0.009288894943892956]","[0.40943896770477295, 0.4157685935497284, -0.0007921371143311262]","[0.467050164937973, 0.31037962436676025, -0.03496827930212021]","[0.4177793860435486, 0.4481537640094757, 0.00471275020390749]","[0.40082189440727234, 0.5034433603286743, 0.04223119467496872]","[0.28666940331459045, 0.4276524782180786, -0.01178932934999466]","[0.33442264795303345, 0.3406461477279663, -0.025295738130807877]","[0.32826316356658936, 0.43824538588523865, 0.023355359211564064]","[0.3115183413028717, 0.48816558718681335, 0.06483063101768494]"
"[0.2763248383998871, 0.8308727741241455, 3.1183688520286523e-07]","[0.44542813301086426, 0.8248965740203857, -0.05681399255990982]","[0.581035852432251, 0.717411994934082, -0.07360589504241943]","[0.584419846534729, 0.5645895004272461, -0.08795182406902313]","[0.48048922419548035, 0.47952690720558167, -0.10138390213251114]","[0.6218125224113464, 0.5000840425491333, -0.008462990634143353]","[0.6963788270950317, 0.3321368098258972, -0.030477013438940048]","[0.7369958162307739, 0.22196286916732788, -0.05578558146953583]","[0.7623295187950134, 0.12770241498947144, -0.08119550347328186]","[0.5279783010482788, 0.4448533356189728, -0.010717847384512424]","[0.600147545337677, 0.3015408515930176, -0.048149216920137405]","[0.5632992386817932, 0.4077635705471039, -0.06236166134476662]","[0.5394555926322937, 0.48518049716949463, -0.060270607471466064]","[0.4286542534828186, 0.4265271723270416, -0.02036522887647152]","[0.4869275689125061, 0.27765679359436035, -0.06415483355522156]","[0.4713670611381531, 0.39062637090682983, -0.05660166218876839]","[0.4419699013233185, 0.47985246777534485, -0.03822910413146019]","[0.3131382465362549, 0.44001904129981995, -0.03662532567977905]","[0.36435431241989136, 0.31114882230758667, -0.07268465310335159]","[0.37991899251937866, 0.38192781805992126, -0.06102413684129715]","[0.36684587597846985, 0.4634125828742981, -0.04388147592544556]"
"[0.24995079636573792, 0.8132588863372803, 3.493726126180263e-07]","[0.4113025665283203, 0.8455479741096497, -0.09005393087863922]","[0.5697094202041626, 0.7761352062225342, -0.1336771696805954]","[0.6253054141998291, 0.629421591758728, -0.17433784902095795]","[0.5212610363960266, 0.5331721305847168, -0.21724002063274384]","[0.5849955677986145, 0.49782857298851013, -0.04963124170899391]","[0.6608767509460449, 0.3256223201751709, -0.08736058324575424]","[0.7043099999427795, 0.2095339447259903, -0.11262185871601105]","[0.7286543846130371, 0.11582309007644653, -0.1343841701745987]","[0.48715171217918396, 0.45208361744880676, -0.041987672448158264]","[0.5622659921646118, 0.2812899947166443, -0.10698305070400238]","[0.526064932346344, 0.3966386020183563, -0.12410670518875122]","[0.502269983291626, 0.48625534772872925, -0.11399772763252258]","[0.3959570527076721, 0.43328750133514404, -0.0430014431476593]","[0.4495660066604614, 0.2790701389312744, -0.11431048065423965]","[0.43113458156585693, 0.3929648995399475, -0.10488522797822952]","[0.39697930216789246, 0.5014067888259888, -0.07532716542482376]","[0.2899574935436249, 0.43728166818618774, -0.052373673766851425]","[0.3339482545852661, 0.2985038757324219, -0.1151161789894104]","[0.3430744409561157, 0.37119361758232117, -0.10796001553535461]","[0.3246691823005676, 0.471893846988678, -0.085361547768116]"
"[0.2790747880935669, 0.8436951637268066, 3.354755619966454e-07]","[0.4567921757698059, 0.8246673345565796, -0.03982146084308624]","[0.6030805706977844, 0.7120227813720703, -0.05169744789600372]","[0.6154903173446655, 0.5529400706291199, -0.06472769379615784]","[0.4966256320476532, 0.4724723696708679, -0.07847624272108078]","[0.6101592183113098, 0.4736246168613434, -0.002284551504999399]","[0.6681652665138245, 0.30397510528564453, -0.020793097093701363]","[0.7083832025527954, 0.19479534029960632, -0.04818059131503105]","[0.73180091381073, 0.09425631165504456, -0.07840979099273682]","[0.5180189609527588, 0.4309975802898407, -0.016080623492598534]","[0.5915725231170654, 0.27857425808906555, -0.050329845398664474]","[0.5757038593292236, 0.4028903543949127, -0.06825162470340729]","[0.5544471144676208, 0.4842718839645386, -0.07229387760162354]","[0.421792596578598, 0.42242705821990967, -0.03463873639702797]","[0.4744526147842407, 0.26933038234710693, -0.07243695110082626]","[0.4775562882423401, 0.3971831798553467, -0.06454038619995117]","[0.45318859815597534, 0.4818740785121918, -0.04982719197869301]","[0.30915433168411255, 0.44170451164245605, -0.05901409313082695]","[0.36224207282066345, 0.2995007038116455, -0.0852632075548172]","[0.3889239430427551, 0.38132375478744507, -0.06940387934446335]","[0.3757191002368927, 0.4612095355987549, -0.053812794387340546]"
"[0.5833198428153992, 0.750163197517395, -6.294393273265086e-08]","[0.6945528984069824, 0.6687914729118347, -0.08381679654121399]","[0.7114284038543701, 0.5383721590042114, -0.12394756823778152]","[0.6112107038497925, 0.46155858039855957, -0.15820764005184174]","[0.4877549111843109, 0.4677693843841553, -0.19350406527519226]","[0.5526366829872131, 0.36788004636764526, -0.07428290694952011]","[0.45383086800575256, 0.20767928659915924, -0.12018793821334839]","[0.3821796178817749, 0.12700481712818146, -0.1510954350233078]","[0.32290834188461304, 0.06633028388023376, -0.17558196187019348]","[0.4558787941932678, 0.412924587726593, -0.06595349311828613]","[0.36268049478530884, 0.26444491744041443, -0.13644179701805115]","[0.404710590839386, 0.34971708059310913, -0.16537877917289734]","[0.45753371715545654, 0.427937388420105, -0.16910722851753235]","[0.3843976557254791, 0.47495314478874207, -0.06383587419986725]","[0.2900978922843933, 0.34368696808815, -0.1341104358434677]","[0.3452494740486145, 0.4215797781944275, -0.13394886255264282]","[0.40612345933914185, 0.5054148435592651, -0.11558559536933899]","[0.3289031982421875, 0.5610288381576538, -0.06828770041465759]","[0.24790838360786438, 0.4647867679595947, -0.1250583678483963]","[0.2966081500053406, 0.4982793927192688, -0.1230078935623169]","[0.3589433431625366, 0.5579746961593628, -0.10839267820119858]"
