Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.3780978322029114, 0.41000425815582275, 1.4542254689331457e-07]","[0.48386555910110474, 0.3845532536506653, -0.09778718650341034]","[0.58016037940979, 0.3442476987838745, -0.18109196424484253]","[0.6152563095092773, 0.36501359939575195, -0.2600598931312561]","[0.5863101482391357, 0.3991543650627136, -0.3318284749984741]","[0.5711137652397156, 0.08613479137420654, -0.15296831727027893]","[0.5708274245262146, 0.11957401782274246, -0.2827111482620239]","[0.5746681690216064, 0.26895442605018616, -0.3534170091152191]","[0.5780537128448486, 0.36126476526260376, -0.38931915163993835]","[0.4130898118019104, 0.08769287168979645, -0.17006991803646088]","[0.4128890037536621, 0.10522487759590149, -0.3022286295890808]","[0.44331908226013184, 0.2694990932941437, -0.33307817578315735]","[0.4622693955898285, 0.3509382903575897, -0.33616387844085693]","[0.2727844715118408, 0.1444164216518402, -0.2010958194732666]","[0.29107075929641724, 0.1894679069519043, -0.3307288587093353]","[0.33633214235305786, 0.3341488838195801, -0.3231300115585327]","[0.3650915026664734, 0.3969517946243286, -0.29629120230674744]","[0.16964247822761536, 0.24390815198421478, -0.24028050899505615]","[0.2051856815814972, 0.32465648651123047, -0.3259526789188385]","[0.262262761592865, 0.42769408226013184, -0.31726622581481934]","[0.30709269642829895, 0.4677799940109253, -0.2972988486289978]"
"[0.44438040256500244, 0.5659181475639343, -6.636564648943022e-07]","[0.5637154579162598, 0.4724992513656616, -0.06038779765367508]","[0.6329954862594604, 0.36442631483078003, -0.10381048172712326]","[0.5830872654914856, 0.3252997398376465, -0.14237351715564728]","[0.4639453589916229, 0.3553816080093384, -0.1770048439502716]","[0.4253816604614258, 0.12080221623182297, -0.07482410967350006]","[0.48191216588020325, 0.11251042783260345, -0.13578544557094574]","[0.5426502227783203, 0.20622289180755615, -0.1818588227033615]","[0.5493255853652954, 0.26694202423095703, -0.2127131074666977]","[0.3046388030052185, 0.15896062552928925, -0.08792075514793396]","[0.3031066656112671, 0.0918106809258461, -0.14815214276313782]","[0.3990624248981476, 0.18958666920661926, -0.178258016705513]","[0.44120681285858154, 0.2777631878852844, -0.19224049150943756]","[0.21828921139240265, 0.24305129051208496, -0.10541100054979324]","[0.19911304116249084, 0.16238276660442352, -0.17575734853744507]","[0.3204757273197174, 0.2548742890357971, -0.17452950775623322]","[0.37675365805625916, 0.33613866567611694, -0.16063258051872253]","[0.1627809852361679, 0.3631780743598938, -0.1258237063884735]","[0.17390774190425873, 0.29556965827941895, -0.18690064549446106]","[0.2713911235332489, 0.3432663679122925, -0.1750781089067459]","[0.32462942600250244, 0.3970884084701538, -0.1541544646024704]"
"[0.6067845821380615, 0.8393340110778809, 3.596107092107559e-07]","[0.7306828498840332, 0.6856893301010132, -0.05000879615545273]","[0.7350113391876221, 0.45048201084136963, -0.05568261444568634]","[0.5796775817871094, 0.31917044520378113, -0.06581663340330124]","[0.4235353469848633, 0.3969845771789551, -0.06915681809186935]","[0.555866539478302, 0.2710096538066864, 0.012072943150997162]","[0.4788963794708252, 0.0810394436120987, -0.04564649984240532]","[0.5307604074478149, 0.09126663208007812, -0.09698870778083801]","[0.5803175568580627, 0.19078560173511505, -0.11959091573953629]","[0.4317256808280945, 0.30459845066070557, 0.007565919775515795]","[0.31800198554992676, 0.10755936801433563, -0.03883809223771095]","[0.39551159739494324, 0.13822445273399353, -0.07805605232715607]","[0.4511987864971161, 0.2475646436214447, -0.09011850506067276]","[0.3368460536003113, 0.3771247863769531, -0.008145258761942387]","[0.2159193456172943, 0.1871069073677063, -0.0444474034011364]","[0.30484557151794434, 0.210229754447937, -0.05329202115535736]","[0.3680127263069153, 0.31010156869888306, -0.04355527460575104]","[0.2568303346633911, 0.4805116653442383, -0.03155684843659401]","[0.16790053248405457, 0.3330886960029602, -0.06340786069631577]","[0.23899981379508972, 0.32478639483451843, -0.06669043004512787]","[0.3083948493003845, 0.3983200490474701, -0.0552971214056015]"
"[0.4651142656803131, 0.6361681222915649, 8.178909638445475e-08]","[0.6004543900489807, 0.5633436441421509, -0.08304719626903534]","[0.6745724081993103, 0.4456576406955719, -0.13448569178581238]","[0.5877230763435364, 0.39691463112831116, -0.18218018114566803]","[0.45739811658859253, 0.44044747948646545, -0.22237326204776764]","[0.5265567302703857, 0.20808178186416626, -0.07387781143188477]","[0.5037476420402527, 0.08643894642591476, -0.17185135185718536]","[0.5528750419616699, 0.1826716512441635, -0.23632484674453735]","[0.5827144980430603, 0.2907862067222595, -0.26587817072868347]","[0.38603702187538147, 0.22776611149311066, -0.07561642676591873]","[0.3455435335636139, 0.07652051001787186, -0.17318344116210938]","[0.41580575704574585, 0.21239708364009857, -0.2123442441225052]","[0.4550977945327759, 0.3285329341888428, -0.21756300330162048]","[0.27196478843688965, 0.28033503890037537, -0.08988139778375626]","[0.2264922857284546, 0.14609792828559875, -0.18085382878780365]","[0.3029801845550537, 0.27000078558921814, -0.17845994234085083]","[0.3544362187385559, 0.3741266429424286, -0.15304258465766907]","[0.18960276246070862, 0.3703908920288086, -0.11092044413089752]","[0.17002487182617188, 0.29733598232269287, -0.1722419559955597]","[0.24134798347949982, 0.3728404641151428, -0.1592613160610199]","[0.2963259220123291, 0.4431476294994354, -0.13333097100257874]"
"[0.33454200625419617, 0.4570293426513672, 5.8705563787953e-07]","[0.49939095973968506, 0.3953481912612915, -0.1243920549750328]","[0.5820997953414917, 0.3594626784324646, -0.22468428313732147]","[0.5433213710784912, 0.40361762046813965, -0.31504395604133606]","[0.4487159550189972, 0.46760573983192444, -0.39716818928718567]","[0.4309282898902893, 0.1099403128027916, -0.19762022793293]","[0.4031457006931305, 0.12113627046346664, -0.3447619378566742]","[0.4430084228515625, 0.260051965713501, -0.43569591641426086]","[0.4680188298225403, 0.3357941508293152, -0.49002718925476074]","[0.30130282044410706, 0.18975992500782013, -0.20721128582954407]","[0.25554704666137695, 0.1904813051223755, -0.36341509222984314]","[0.3481430411338806, 0.33893072605133057, -0.41372764110565186]","[0.4096232056617737, 0.40303611755371094, -0.43384474515914917]","[0.19512739777565002, 0.2997782230377197, -0.23061233758926392]","[0.17116491496562958, 0.3266967833042145, -0.3905673027038574]","[0.2809731364250183, 0.4464532434940338, -0.3945649564266205]","[0.3583085536956787, 0.4951964318752289, -0.37297767400741577]","[0.13594987988471985, 0.4287145137786865, -0.26258400082588196]","[0.1315022110939026, 0.4758308529853821, -0.3780790865421295]","[0.2197953313589096, 0.5422435998916626, -0.38346123695373535]","[0.2916789650917053, 0.5603097081184387, -0.37301987409591675]"
"[0.630912721157074, 0.8261635899543762, -1.2661881498843286e-07]","[0.40225252509117126, 0.7885953187942505, -0.05358997359871864]","[0.2582605481147766, 0.6266226768493652, -0.08785539865493774]","[0.2580065131187439, 0.4497680366039276, -0.12604762613773346]","[0.2918460965156555, 0.3358958661556244, -0.15697355568408966]","[0.30710163712501526, 0.4196498990058899, -0.038598645478487015]","[0.2995419502258301, 0.20294740796089172, -0.13768640160560608]","[0.29037874937057495, 0.22837650775909424, -0.21495553851127625]","[0.31771379709243774, 0.32519465684890747, -0.2560577094554901]","[0.4141761064529419, 0.3807981312274933, -0.05725603923201561]","[0.42258965969085693, 0.14150890707969666, -0.1610012650489807]","[0.4121553599834442, 0.1935340017080307, -0.2245779037475586]","[0.43220674991607666, 0.3132466673851013, -0.2515290677547455]","[0.5321131944656372, 0.37823429703712463, -0.08805553615093231]","[0.5361334681510925, 0.17480513453483582, -0.17989495396614075]","[0.538162350654602, 0.24484877288341522, -0.209232360124588]","[0.5630802512168884, 0.3696656823158264, -0.21077239513397217]","[0.6709690093994141, 0.4055904746055603, -0.12458432465791702]","[0.7030032873153687, 0.23533618450164795, -0.20180478692054749]","[0.6845653653144836, 0.24337919056415558, -0.2239687442779541]","[0.6787289381027222, 0.3063584566116333, -0.22475552558898926]"
"[0.5532406568527222, 0.6520059108734131, -4.406659570577176e-07]","[0.6853622794151306, 0.5058298707008362, -0.0914950966835022]","[0.6793525218963623, 0.38146770000457764, -0.1468789130449295]","[0.5298576354980469, 0.3924252986907959, -0.19692903757095337]","[0.405091792345047, 0.4718865156173706, -0.23148933053016663]","[0.3953336775302887, 0.1898782104253769, -0.07631561905145645]","[0.2793809175491333, 0.13778939843177795, -0.18988683819770813]","[0.38130009174346924, 0.2701922059059143, -0.26134029030799866]","[0.46943530440330505, 0.3403914272785187, -0.30055832862854004]","[0.27595219016075134, 0.294644296169281, -0.07681138068437576]","[0.15224941074848175, 0.23048511147499084, -0.1964636594057083]","[0.29987090826034546, 0.3634226322174072, -0.23206013441085815]","[0.3908885717391968, 0.4171523153781891, -0.23566073179244995]","[0.20186392962932587, 0.4093027114868164, -0.09426074475049973]","[0.09046544134616852, 0.35095900297164917, -0.20943474769592285]","[0.22868548333644867, 0.4494093656539917, -0.19761191308498383]","[0.32998037338256836, 0.49051475524902344, -0.16373734176158905]","[0.1818522810935974, 0.5317455530166626, -0.11924631893634796]","[0.10515329241752625, 0.5087015628814697, -0.19074249267578125]","[0.20649783313274384, 0.5525626540184021, -0.17766709625720978]","[0.29726800322532654, 0.5622195601463318, -0.1517176777124405]"
"[0.5566157698631287, 0.7999073266983032, 7.990713584149489e-07]","[0.7068220376968384, 0.6821664571762085, -0.041887953877449036]","[0.7565058469772339, 0.4379216432571411, -0.04083692654967308]","[0.6390272974967957, 0.2864287495613098, -0.04336646944284439]","[0.4768778085708618, 0.35490310192108154, -0.04308931156992912]","[0.5628997087478638, 0.27093440294265747, -0.003426425391808152]","[0.49768853187561035, 0.0713086724281311, -0.06389910727739334]","[0.5646572113037109, 0.06509584188461304, -0.11602877825498581]","[0.6173005104064941, 0.16981194913387299, -0.13887940347194672]","[0.44387632608413696, 0.2922600209712982, -0.012465580366551876]","[0.35375744104385376, 0.07707276940345764, -0.07100526243448257]","[0.44700679183006287, 0.124391570687294, -0.10955201834440231]","[0.4978048801422119, 0.2604175806045532, -0.11628805100917816]","[0.3415275812149048, 0.3556470572948456, -0.03021990694105625]","[0.24886736273765564, 0.15638145804405212, -0.07664746046066284]","[0.34850001335144043, 0.19919981062412262, -0.07881774753332138]","[0.40427929162979126, 0.31323254108428955, -0.06113411858677864]","[0.24711260199546814, 0.45184123516082764, -0.05420326441526413]","[0.1778889298439026, 0.2927619218826294, -0.09423520416021347]","[0.2604629695415497, 0.3112390339374542, -0.09163648635149002]","[0.3182961344718933, 0.40012672543525696, -0.07422219216823578]"
"[0.34688425064086914, 0.550933837890625, 6.217946406650299e-07]","[0.4776894450187683, 0.5025919675827026, -0.08692292869091034]","[0.5727214813232422, 0.4088851511478424, -0.15480774641036987]","[0.6260467767715454, 0.38630595803260803, -0.2260751724243164]","[0.6251410245895386, 0.3890531361103058, -0.2911509871482849]","[0.4888792932033539, 0.15615977346897125, -0.09067707508802414]","[0.4705812633037567, 0.04541913419961929, -0.19514621794223785]","[0.5325733423233032, 0.1133301705121994, -0.2599732279777527]","[0.5653411149978638, 0.21476535499095917, -0.2917267084121704]","[0.3524474501609802, 0.18108218908309937, -0.10448745638132095]","[0.3315069079399109, 0.077994205057621, -0.21607622504234314]","[0.41511839628219604, 0.21689410507678986, -0.25067198276519775]","[0.4584771394729614, 0.31960999965667725, -0.2538799047470093]","[0.2366011142730713, 0.24798911809921265, -0.13279639184474945]","[0.2322891801595688, 0.1948917806148529, -0.2449025958776474]","[0.32515954971313477, 0.3220847547054291, -0.24730612337589264]","[0.36632511019706726, 0.40317073464393616, -0.22534434497356415]","[0.1428549587726593, 0.3490716218948364, -0.1691437065601349]","[0.16820776462554932, 0.3490470051765442, -0.2450868934392929]","[0.25380295515060425, 0.4354002773761749, -0.24126949906349182]","[0.29981961846351624, 0.49007076025009155, -0.22388525307178497]"
"[0.45303043723106384, 0.811864972114563, -8.276431913145643e-07]","[0.6417889595031738, 0.7493093013763428, -0.09337491542100906]","[0.724826455116272, 0.5409575700759888, -0.11525267362594604]","[0.6094350218772888, 0.369842529296875, -0.13046839833259583]","[0.44434186816215515, 0.3644290566444397, -0.13644172251224518]","[0.6632668375968933, 0.3136511743068695, -0.04883398115634918]","[0.6511010527610779, 0.09676617383956909, -0.11899043619632721]","[0.651445746421814, 0.15478301048278809, -0.17048580944538116]","[0.6496232151985168, 0.2604670822620392, -0.19600839912891388]","[0.5257166028022766, 0.2981169819831848, -0.03840193152427673]","[0.5003239512443542, 0.0646255612373352, -0.09411853551864624]","[0.5142632126808167, 0.15535980463027954, -0.1360584795475006]","[0.5326643586158752, 0.260327011346817, -0.15359961986541748]","[0.405235230922699, 0.32415926456451416, -0.041594695299863815]","[0.3625824749469757, 0.10043300688266754, -0.09236657619476318]","[0.4008285105228424, 0.1788800060749054, -0.11451113224029541]","[0.4351051449775696, 0.29896438121795654, -0.11797219514846802]","[0.28451991081237793, 0.3932648301124573, -0.053828924894332886]","[0.25538793206214905, 0.23617680370807648, -0.0952606201171875]","[0.3038845658302307, 0.2531984746456146, -0.10491392761468887]","[0.3460908830165863, 0.3436625897884369, -0.10289740562438965]"
