Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.6385665535926819, 0.8992109298706055, 1.784505059276853e-07]","[0.7319666743278503, 0.7493365406990051, -0.044262077659368515]","[0.7481292486190796, 0.5290183424949646, -0.04633507505059242]","[0.6874301433563232, 0.37327057123184204, -0.05283220484852791]","[0.577336311340332, 0.34260186553001404, -0.053696781396865845]","[0.5678128600120544, 0.42932695150375366, 0.035921551287174225]","[0.5044034719467163, 0.2767356336116791, -0.022339345887303352]","[0.511942982673645, 0.2916278839111328, -0.07717175036668777]","[0.5332589745521545, 0.34976378083229065, -0.10292287170886993]","[0.4757069945335388, 0.45487087965011597, 0.03344890847802162]","[0.38525813817977905, 0.28831034898757935, 0.013066929765045643]","[0.3222119212150574, 0.18403631448745728, -0.017999131232500076]","[0.26838892698287964, 0.10295286774635315, -0.039479222148656845]","[0.4128720760345459, 0.5082616209983826, 0.013872125186026096]","[0.32293301820755005, 0.3589537739753723, -0.006553099025040865]","[0.2704625129699707, 0.2617419362068176, -0.02400270663201809]","[0.22776532173156738, 0.1854398101568222, -0.03439738228917122]","[0.36012905836105347, 0.5911688208580017, -0.01448338944464922]","[0.29581114649772644, 0.482069730758667, -0.025215372443199158]","[0.2529185116291046, 0.4047485888004303, -0.025744086131453514]","[0.2172427773475647, 0.3297686278820038, -0.025039535015821457]"
"[0.5522231459617615, 0.9246609807014465, 7.438245575031033e-08]","[0.6728792786598206, 0.7739046812057495, -0.024138428270816803]","[0.7024396061897278, 0.5561504364013672, -0.016410736367106438]","[0.679250180721283, 0.39819931983947754, -0.01812174916267395]","[0.5798544883728027, 0.34461700916290283, -0.019161494448781013]","[0.5591161251068115, 0.4405941665172577, 0.059739790856838226]","[0.5297251343727112, 0.297183632850647, 0.016503170132637024]","[0.5263824462890625, 0.29260194301605225, -0.03476554527878761]","[0.5157144069671631, 0.3157319724559784, -0.0658431127667427]","[0.4771943688392639, 0.44463229179382324, 0.041161734610795975]","[0.4143005609512329, 0.2661168575286865, 0.025357825681567192]","[0.37256044149398804, 0.15116026997566223, -0.013622570782899857]","[0.3272190988063812, 0.05985167622566223, -0.04461446404457092]","[0.41062992811203003, 0.48853129148483276, 0.007913833484053612]","[0.3516320586204529, 0.31833964586257935, -0.018192602321505547]","[0.3176502287387848, 0.20745226740837097, -0.05170460417866707]","[0.2823328375816345, 0.11646649241447449, -0.07558734714984894]","[0.34911829233169556, 0.5637769103050232, -0.031114956364035606]","[0.30888795852661133, 0.44042184948921204, -0.05523529648780823]","[0.2799305021762848, 0.3559056520462036, -0.06846796721220016]","[0.2519203722476959, 0.27488192915916443, -0.07889062166213989]"
"[0.27804407477378845, 0.854530930519104, 5.883697440367541e-07]","[0.46132636070251465, 0.8139522075653076, -0.032507460564374924]","[0.6124938726425171, 0.6754558086395264, -0.029603643342852592]","[0.6940513849258423, 0.5459003448486328, -0.034161850810050964]","[0.6738545894622803, 0.4325280487537384, -0.03702196851372719]","[0.578629732131958, 0.49548980593681335, 0.0640333741903305]","[0.6453368663787842, 0.35850778222084045, 0.0225905142724514]","[0.6557338237762451, 0.345024049282074, -0.028212809935212135]","[0.6347410082817078, 0.36489319801330566, -0.05670826882123947]","[0.5117009282112122, 0.443703830242157, 0.05272045359015465]","[0.5809068083763123, 0.26957011222839355, 0.04141072928905487]","[0.6222923398017883, 0.1486838161945343, 0.005968358833342791]","[0.64781653881073, 0.050110816955566406, -0.02137526497244835]","[0.43092989921569824, 0.4303334653377533, 0.024896102026104927]","[0.49591922760009766, 0.26500529050827026, 0.007729395292699337]","[0.5381923913955688, 0.15664267539978027, -0.021007083356380463]","[0.5701233148574829, 0.06683236360549927, -0.042210765182971954]","[0.33363887667655945, 0.4422662854194641, -0.010170446708798409]","[0.38466405868530273, 0.3232371509075165, -0.02542842924594879]","[0.4174697697162628, 0.241612046957016, -0.034845564514398575]","[0.45598340034484863, 0.16609320044517517, -0.04281923547387123]"
"[0.3209758400917053, 0.9028384685516357, 2.788904396311409e-07]","[0.483988881111145, 0.8712795972824097, -0.06125883385539055]","[0.6451190114021301, 0.724876344203949, -0.07873181253671646]","[0.72461998462677, 0.5707051157951355, -0.09963735938072205]","[0.6563382744789124, 0.4767996668815613, -0.11314024776220322]","[0.5959653854370117, 0.5126156806945801, 0.017506282776594162]","[0.6425517201423645, 0.35456377267837524, -0.0518442839384079]","[0.6389772891998291, 0.39582446217536926, -0.11093572527170181]","[0.616818368434906, 0.4764784574508667, -0.13720397651195526]","[0.5062078237533569, 0.4620591998100281, 0.01630610041320324]","[0.5407535433769226, 0.25891491770744324, -0.007986278273165226]","[0.5508973598480225, 0.14210009574890137, -0.03845321387052536]","[0.5581390857696533, 0.042876362800598145, -0.05823281407356262]","[0.42025989294052124, 0.45377618074417114, -0.003943643998354673]","[0.4468781352043152, 0.2646576166152954, -0.030057333409786224]","[0.4688848853111267, 0.14693960547447205, -0.046540286391973495]","[0.4832555055618286, 0.050369709730148315, -0.05503261461853981]","[0.32648947834968567, 0.4755064845085144, -0.03461843356490135]","[0.3449878394603729, 0.3324239253997803, -0.0488155260682106]","[0.3578444719314575, 0.2393491268157959, -0.048475995659828186]","[0.3755316138267517, 0.1551356017589569, -0.04591002315282822]"
"[0.13220760226249695, 0.6572833061218262, -1.483534106228035e-06]","[0.14320433139801025, 0.5497643947601318, -0.058290641754865646]","[0.28280240297317505, 0.4044025242328644, -0.09220925718545914]","[0.3955191671848297, 0.2995317280292511, -0.12798823416233063]","[0.4835699796676636, 0.24922260642051697, -0.1631709635257721]","[0.4402177035808563, 0.4938458800315857, -0.059841547161340714]","[0.5449388027191162, 0.36646291613578796, -0.11982595175504684]","[0.5516315698623657, 0.3087192475795746, -0.16470074653625488]","[0.5696165561676025, 0.28211966156959534, -0.1929093897342682]","[0.47493651509284973, 0.5720860958099365, -0.06210655719041824]","[0.5878728032112122, 0.4370275139808655, -0.11372267454862595]","[0.5754964351654053, 0.39525148272514343, -0.1435341089963913]","[0.574908435344696, 0.3881486654281616, -0.16150686144828796]","[0.4969291388988495, 0.6610037088394165, -0.07258620113134384]","[0.6309962868690491, 0.5470293760299683, -0.14150549471378326]","[0.615666389465332, 0.4774587154388428, -0.16403569281101227]","[0.5923634767532349, 0.44791966676712036, -0.16723401844501495]","[0.50115966796875, 0.7545160055160522, -0.08728685230016708]","[0.6582052707672119, 0.664790153503418, -0.15294486284255981]","[0.6513856649398804, 0.5803672671318054, -0.16244980692863464]","[0.6034050583839417, 0.5222203135490417, -0.15640027821063995]"
"[0.35748007893562317, 0.910362958908081, 5.804229203931754e-07]","[0.5037301778793335, 0.8463013172149658, -0.044347964227199554]","[0.6426709890365601, 0.7013351917266846, -0.06296388059854507]","[0.7183175086975098, 0.5668191909790039, -0.08836851269006729]","[0.6661624312400818, 0.4664944112300873, -0.11090438812971115]","[0.5609500408172607, 0.4892185628414154, 0.004572032950818539]","[0.5954003930091858, 0.32283011078834534, -0.06648949533700943]","[0.620363712310791, 0.3324657678604126, -0.12269973009824753]","[0.6183330416679382, 0.4007081389427185, -0.147797629237175]","[0.47217321395874023, 0.4601459503173828, -0.00934641994535923]","[0.4982539117336273, 0.2633034586906433, -0.041524823755025864]","[0.5158606171607971, 0.14073389768600464, -0.0724555179476738]","[0.5301831960678101, 0.042016029357910156, -0.09350208193063736]","[0.38858628273010254, 0.4738593101501465, -0.03931625932455063]","[0.4056720435619354, 0.2921638488769531, -0.07298717647790909]","[0.4236993193626404, 0.16853630542755127, -0.09270955622196198]","[0.4391327202320099, 0.07033839821815491, -0.10519938170909882]","[0.2961042821407318, 0.5156493782997131, -0.07744694501161575]","[0.3065120577812195, 0.3848942220211029, -0.10548357665538788]","[0.31653735041618347, 0.2880485951900482, -0.11446494609117508]","[0.3336605131626129, 0.19740965962409973, -0.11912636458873749]"
"[0.6407473087310791, 0.9103294610977173, 1.5245456097545684e-07]","[0.7276409864425659, 0.7601561546325684, -0.05413965508341789]","[0.750996470451355, 0.5552334785461426, -0.06931628286838531]","[0.6776769757270813, 0.41354018449783325, -0.08717267215251923]","[0.5528651475906372, 0.401010125875473, -0.09800729900598526]","[0.563489556312561, 0.4354783892631531, 0.02399224229156971]","[0.49071240425109863, 0.29861944913864136, -0.03680445998907089]","[0.4936147928237915, 0.3300628662109375, -0.09023387730121613]","[0.5066652894020081, 0.39563119411468506, -0.11422120779752731]","[0.4673997163772583, 0.4603852331638336, 0.021408218890428543]","[0.3650233745574951, 0.2937663793563843, -0.00021518036373890936]","[0.30093348026275635, 0.19417469203472137, -0.03050566278398037]","[0.24445146322250366, 0.10686922073364258, -0.04967019706964493]","[0.40766602754592896, 0.5168212056159973, 0.0021745236590504646]","[0.3026043176651001, 0.36559000611305237, -0.021551713347434998]","[0.2525233030319214, 0.267084002494812, -0.03626719489693642]","[0.21132630109786987, 0.18418969213962555, -0.04214109480381012]","[0.3638226389884949, 0.6036362051963806, -0.026250937953591347]","[0.2895545959472656, 0.4880775213241577, -0.03731662780046463]","[0.24795565009117126, 0.41182926297187805, -0.03175252303481102]","[0.21345916390419006, 0.33880120515823364, -0.02433733455836773]"
"[0.5438467264175415, 0.9259490966796875, 1.3032817491875903e-07]","[0.6661589741706848, 0.7715680003166199, -0.029024042189121246]","[0.702582597732544, 0.5586361885070801, -0.02293531969189644]","[0.6790552735328674, 0.3978540897369385, -0.025700433179736137]","[0.5796040296554565, 0.33619287610054016, -0.02630843222141266]","[0.5647640228271484, 0.44060638546943665, 0.06555052101612091]","[0.5366414785385132, 0.29293912649154663, 0.023565184324979782]","[0.5285672545433044, 0.2930038571357727, -0.027073854580521584]","[0.5157495737075806, 0.32255586981773376, -0.05673855543136597]","[0.47873935103416443, 0.44330713152885437, 0.05082352086901665]","[0.4194650650024414, 0.2666492462158203, 0.03895074129104614]","[0.37873485684394836, 0.15047210454940796, 0.002468626480549574]","[0.3365582823753357, 0.0575675368309021, -0.02627790905535221]","[0.4085160493850708, 0.4867071807384491, 0.0201749075204134]","[0.3523446321487427, 0.3174726068973541, -0.002390191424638033]","[0.32170745730400085, 0.20533394813537598, -0.03190496563911438]","[0.2914464771747589, 0.1133299171924591, -0.05235392227768898]","[0.3434140086174011, 0.5616149306297302, -0.01713518798351288]","[0.30561327934265137, 0.4382516145706177, -0.037590064108371735]","[0.2792590260505676, 0.3540722727775574, -0.04645499214529991]","[0.25564512610435486, 0.27481991052627563, -0.05268533527851105]"
"[0.18653282523155212, 0.6697606444358826, 3.903957690454263e-07]","[0.35144612193107605, 0.7091957330703735, -0.04401812329888344]","[0.5382968783378601, 0.6777185201644897, -0.05852163955569267]","[0.6796079874038696, 0.6305860280990601, -0.07942820340394974]","[0.7316619753837585, 0.5315641760826111, -0.0953594222664833]","[0.5966383218765259, 0.5060497522354126, 0.03286554664373398]","[0.7194950580596924, 0.42692092061042786, -0.023618187755346298]","[0.7160216569900513, 0.44999539852142334, -0.07584959268569946]","[0.6754777431488037, 0.4915339946746826, -0.0997110977768898]","[0.5611093044281006, 0.4243341088294983, 0.028999367728829384]","[0.6985867023468018, 0.3111252784729004, 0.015102548524737358]","[0.7741826772689819, 0.23674723505973816, -0.009362175129354]","[0.8379355072975159, 0.17414590716362, -0.02712983265519142]","[0.5055201053619385, 0.3733574450016022, 0.008616968989372253]","[0.6229162812232971, 0.26380783319473267, -0.004524945747107267]","[0.7010005116462708, 0.19976499676704407, -0.010677630081772804]","[0.7610294222831726, 0.14691224694252014, -0.014753064140677452]","[0.4269769489765167, 0.34105002880096436, -0.021081678569316864]","[0.5183517336845398, 0.25930461287498474, -0.0259252842515707]","[0.5816112756729126, 0.20321163535118103, -0.01735086739063263]","[0.6393567323684692, 0.15418747067451477, -0.009913125075399876]"
"[0.41051867604255676, 0.8815802335739136, 4.785129021911416e-07]","[0.5658557415008545, 0.7928009033203125, -0.064664825797081]","[0.6861371994018555, 0.6075161695480347, -0.07597550004720688]","[0.7285683751106262, 0.43891793489456177, -0.08962677419185638]","[0.6391092538833618, 0.36252525448799133, -0.09495597332715988]","[0.5888490676879883, 0.4583265781402588, 0.04174019396305084]","[0.5947376489639282, 0.3006381392478943, -0.012052955105900764]","[0.5900019407272339, 0.3212048411369324, -0.05828775838017464]","[0.5805650949478149, 0.3857535719871521, -0.07390864938497543]","[0.4928865432739258, 0.43614351749420166, 0.05102697014808655]","[0.4895128607749939, 0.25044089555740356, 0.045645952224731445]","[0.4832962155342102, 0.1348261833190918, 0.03304706886410713]","[0.4803262948989868, 0.03277313709259033, 0.028400762006640434]","[0.4086853563785553, 0.4504498839378357, 0.0390477180480957]","[0.40266239643096924, 0.28363579511642456, 0.02797335758805275]","[0.4078598916530609, 0.17496803402900696, 0.028102925047278404]","[0.4099005460739136, 0.08844417333602905, 0.034582652151584625]","[0.32081127166748047, 0.4901014268398285, 0.015375345014035702]","[0.3239918053150177, 0.3630874454975128, 0.012178832665085793]","[0.32625117897987366, 0.27867627143859863, 0.024208426475524902]","[0.3317505121231079, 0.20202958583831787, 0.03881559893488884]"
