Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.6226441264152527, 0.8272228240966797, -5.366667323869478e-07]","[0.7290022969245911, 0.7381604909896851, -0.12110672891139984]","[0.7358782291412354, 0.5271456241607666, -0.15121734142303467]","[0.6273654103279114, 0.3730708360671997, -0.16154824197292328]","[0.5091197490692139, 0.2950160801410675, -0.15997150540351868]","[0.6106511950492859, 0.3420122563838959, -0.07873781025409698]","[0.4932207465171814, 0.17209522426128387, -0.15875156223773956]","[0.39743494987487793, 0.08142831921577454, -0.20065242052078247]","[0.3129267394542694, 0.0004944801330566406, -0.22683663666248322]","[0.5082086324691772, 0.4027377963066101, -0.05494306609034538]","[0.40644145011901855, 0.3482634425163269, -0.16177675127983093]","[0.47964489459991455, 0.4865788221359253, -0.17996810376644135]","[0.542716383934021, 0.5273947715759277, -0.16702313721179962]","[0.42545831203460693, 0.4762250483036041, -0.04879982769489288]","[0.3390129804611206, 0.4477073550224304, -0.17116454243659973]","[0.43153953552246094, 0.5740410685539246, -0.15483538806438446]","[0.4929870069026947, 0.5904626250267029, -0.11390970647335052]","[0.3541675806045532, 0.5617820024490356, -0.05289904773235321]","[0.28898853063583374, 0.5320397019386292, -0.14425450563430786]","[0.3668188750743866, 0.6202750205993652, -0.13404251635074615]","[0.4204167127609253, 0.6404341459274292, -0.1052175983786583]"
"[0.8438062071800232, 0.37490761280059814, -3.5334207382220484e-07]","[0.7739831209182739, 0.24391725659370422, -0.07964720577001572]","[0.6023932695388794, 0.1950434148311615, -0.12125006318092346]","[0.45636478066444397, 0.2535969614982605, -0.1567041426897049]","[0.36825814843177795, 0.34632667899131775, -0.18350590765476227]","[0.3944016098976135, 0.33457911014556885, -0.08254042267799377]","[0.2253463864326477, 0.4469512403011322, -0.19868594408035278]","[0.12465256452560425, 0.5265915989875793, -0.27199849486351013]","[0.03393298387527466, 0.6052408218383789, -0.31488099694252014]","[0.4463227689266205, 0.4640660881996155, -0.07997386902570724]","[0.384112149477005, 0.5200921297073364, -0.19074058532714844]","[0.5683141946792603, 0.4470961093902588, -0.19928240776062012]","[0.6181312799453735, 0.39206159114837646, -0.18461225926876068]","[0.511435866355896, 0.5668163895606995, -0.09238982200622559]","[0.437002569437027, 0.6285742521286011, -0.20946095883846283]","[0.5909079909324646, 0.546142578125, -0.1652320772409439]","[0.6398723125457764, 0.49047785997390747, -0.11052356660366058]","[0.5876997709274292, 0.6544476747512817, -0.11230567842721939]","[0.5273889899253845, 0.7154780626296997, -0.19447343051433563]","[0.6325643658638, 0.6432000398635864, -0.16372132301330566]","[0.6744552850723267, 0.5904264450073242, -0.12306484580039978]"
"[0.864332914352417, 0.4052637219429016, 4.929435135636595e-07]","[0.7354760766029358, 0.26676416397094727, -0.08264317363500595]","[0.5340815782546997, 0.22045034170150757, -0.10872157663106918]","[0.3715263605117798, 0.26837870478630066, -0.1284799724817276]","[0.3129410743713379, 0.3737826347351074, -0.14518053829669952]","[0.38398656249046326, 0.38792750239372253, -0.04119427502155304]","[0.22319358587265015, 0.4916101098060608, -0.10539624840021133]","[0.11366429924964905, 0.5725703239440918, -0.15334708988666534]","[0.01847362518310547, 0.6302659511566162, -0.1897110939025879]","[0.43611302971839905, 0.49116817116737366, -0.03985096141695976]","[0.32694271206855774, 0.5736501216888428, -0.1432369351387024]","[0.4621841311454773, 0.5166497826576233, -0.18639995157718658]","[0.5583252310752869, 0.45482051372528076, -0.1910940408706665]","[0.5112873911857605, 0.5700538158416748, -0.048921000212430954]","[0.4338774085044861, 0.6477197408676147, -0.1513284295797348]","[0.5561345219612122, 0.567973792552948, -0.1550653576850891]","[0.6267414093017578, 0.49270951747894287, -0.13054373860359192]","[0.5990796089172363, 0.6277419924736023, -0.06477982550859451]","[0.5324687361717224, 0.6935151219367981, -0.1370345503091812]","[0.610938310623169, 0.6325548887252808, -0.13280966877937317]","[0.6632049083709717, 0.5645277500152588, -0.11183110624551773]"
"[0.8097372651100159, 0.6923940777778625, -2.0684130674908374e-07]","[0.8416504859924316, 0.5334353446960449, -0.12195689231157303]","[0.7155203819274902, 0.3533517122268677, -0.14941570162773132]","[0.5061712265014648, 0.31796741485595703, -0.15566974878311157]","[0.3589468002319336, 0.3376554846763611, -0.14175564050674438]","[0.5020831227302551, 0.2857665419578552, -0.05746796354651451]","[0.3044320046901703, 0.24128040671348572, -0.15826822817325592]","[0.18056657910346985, 0.2567988932132721, -0.21939070522785187]","[0.05347365140914917, 0.23955762386322021, -0.2557937800884247]","[0.44650503993034363, 0.40277814865112305, -0.03557208552956581]","[0.33220815658569336, 0.4083917438983917, -0.12261459976434708]","[0.4950747489929199, 0.48714563250541687, -0.13953560590744019]","[0.5731660723686218, 0.461677610874176, -0.13519223034381866]","[0.42435723543167114, 0.5149864554405212, -0.03708573803305626]","[0.3317110538482666, 0.527366042137146, -0.15044689178466797]","[0.5060815811157227, 0.5894025564193726, -0.13501442968845367]","[0.5780860185623169, 0.5462644100189209, -0.09977272897958755]","[0.426177978515625, 0.6248096227645874, -0.049995873123407364]","[0.35649508237838745, 0.635019063949585, -0.13397885859012604]","[0.4854816198348999, 0.6726995706558228, -0.12093337625265121]","[0.5442240238189697, 0.6560884714126587, -0.09321656823158264]"
"[0.4923022985458374, 0.7018760442733765, -1.6953462989022228e-07]","[0.49348586797714233, 0.746026873588562, 0.011297707445919514]","[0.5156062245368958, 0.7859713435173035, 0.014090395532548428]","[0.5448828339576721, 0.806988000869751, 0.012213611975312233]","[0.5725456476211548, 0.8127005100250244, 0.007759637665003538]","[0.531346321105957, 0.805324912071228, 0.01333871390670538]","[0.5794328451156616, 0.8250769376754761, 0.0038967940490692854]","[0.6104627847671509, 0.8305392265319824, -0.00568327447399497]","[0.630476713180542, 0.8293284177780151, -0.01077516283839941]","[0.5463853478431702, 0.7974902391433716, 0.00263050920329988]","[0.593481183052063, 0.8184552192687988, -0.0032661177683621645]","[0.6253045201301575, 0.8216385245323181, -0.010240222327411175]","[0.6482247710227966, 0.817183792591095, -0.014793330803513527]","[0.5611061453819275, 0.7844284176826477, -0.008205567486584187]","[0.6050538420677185, 0.8056128025054932, -0.01443385984748602]","[0.6335946321487427, 0.8069375157356262, -0.018916433677077293]","[0.6526554226875305, 0.8032882809638977, -0.02125699445605278]","[0.5728175044059753, 0.7671022415161133, -0.017915518954396248]","[0.6078643798828125, 0.7869495153427124, -0.022844748571515083]","[0.6293739080429077, 0.789771318435669, -0.022781213745474815]","[0.6448482275009155, 0.7877734899520874, -0.021606234833598137]"
"[0.6673159003257751, 0.7890830039978027, -2.538142780394992e-07]","[0.7612722516059875, 0.6683859825134277, -0.07890628278255463]","[0.7530456781387329, 0.4632801413536072, -0.09795684367418289]","[0.6497536897659302, 0.3181801438331604, -0.11082985997200012]","[0.5462007522583008, 0.24393334984779358, -0.11770912259817123]","[0.5832456350326538, 0.3320460617542267, -0.03576549515128136]","[0.4597451388835907, 0.1877622902393341, -0.10186254978179932]","[0.3676951825618744, 0.112418994307518, -0.1426074355840683]","[0.28742602467536926, 0.04282388091087341, -0.17037521302700043]","[0.495384156703949, 0.4064982533454895, -0.032744087278842926]","[0.4086538553237915, 0.32800552248954773, -0.12943218648433685]","[0.49049073457717896, 0.44895100593566895, -0.15831294655799866]","[0.5616932511329651, 0.5014947056770325, -0.1544882208108902]","[0.4338180422782898, 0.4987642168998718, -0.04195969179272652]","[0.3607192933559418, 0.45952266454696655, -0.1480412781238556]","[0.4584813714027405, 0.5609360933303833, -0.14120197296142578]","[0.5314208269119263, 0.5838712453842163, -0.10936253517866135]","[0.3859778642654419, 0.5964723825454712, -0.05733022466301918]","[0.3238731026649475, 0.5550838708877563, -0.13149522244930267]","[0.40083563327789307, 0.6190361380577087, -0.1219123899936676]","[0.4643627107143402, 0.6390466690063477, -0.09728603065013885]"
"[0.7780656814575195, 0.7728399038314819, -7.303584226292514e-08]","[0.8288407325744629, 0.6459060907363892, -0.11937852203845978]","[0.7637404203414917, 0.44687846302986145, -0.15210328996181488]","[0.6241098642349243, 0.33716315031051636, -0.16345666348934174]","[0.5065157413482666, 0.2839636504650116, -0.15953734517097473]","[0.6451946496963501, 0.3591999113559723, -0.0981576070189476]","[0.5082878470420837, 0.24601611495018005, -0.19819582998752594]","[0.4214172959327698, 0.1948087364435196, -0.2504989504814148]","[0.31644290685653687, 0.11887288093566895, -0.2829866409301758]","[0.5455343127250671, 0.4444076716899872, -0.07790829241275787]","[0.4822409152984619, 0.3996538519859314, -0.17246472835540771]","[0.5963205695152283, 0.5232187509536743, -0.17152921855449677]","[0.6204618811607361, 0.5190630555152893, -0.1531878411769867]","[0.47610390186309814, 0.5422308444976807, -0.0778178945183754]","[0.42412275075912476, 0.5090007781982422, -0.18910039961338043]","[0.5487737655639648, 0.6137518286705017, -0.15371382236480713]","[0.5721796154975891, 0.5958783626556396, -0.10782347619533539]","[0.42973387241363525, 0.6502835750579834, -0.08842147886753082]","[0.3955717086791992, 0.6279776096343994, -0.16227638721466064]","[0.49853113293647766, 0.6860092878341675, -0.1353904753923416]","[0.5246520042419434, 0.6838077306747437, -0.10229158401489258]"
"[0.7963955402374268, 0.4555361866950989, 1.2951284134032903e-07]","[0.6977607011795044, 0.3767687976360321, -0.13260208070278168]","[0.5099670886993408, 0.3366893231868744, -0.16930051147937775]","[0.34660524129867554, 0.3924068510532379, -0.187020942568779]","[0.21621569991111755, 0.4390411972999573, -0.18569022417068481]","[0.34108591079711914, 0.3647744059562683, -0.06248311325907707]","[0.16809862852096558, 0.4339848756790161, -0.1466570645570755]","[0.05412200093269348, 0.4886486530303955, -0.18302205204963684]","[-0.0686269998550415, 0.5297741889953613, -0.2026614099740982]","[0.37643665075302124, 0.46398377418518066, -0.03324329853057861]","[0.30853867530822754, 0.533144474029541, -0.1335805207490921]","[0.4665791392326355, 0.49873512983322144, -0.1353309154510498]","[0.488731324672699, 0.4482279121875763, -0.10949084907770157]","[0.42840641736984253, 0.5488918423652649, -0.027345139533281326]","[0.3795430660247803, 0.6198567152023315, -0.14931859076023102]","[0.5295182466506958, 0.5629598498344421, -0.12362688034772873]","[0.5393644571304321, 0.5022768378257751, -0.0752757266163826]","[0.49086856842041016, 0.6272927522659302, -0.03351939469575882]","[0.4542470872402191, 0.6759143471717834, -0.12141987681388855]","[0.561509907245636, 0.6218423247337341, -0.10767475515604019]","[0.5857161283493042, 0.5740150213241577, -0.07614418119192123]"
"[0.7328585982322693, 0.7070056200027466, -6.059772204025649e-07]","[0.806016743183136, 0.5420733690261841, -0.11306219547986984]","[0.7263438105583191, 0.32494834065437317, -0.13120439648628235]","[0.5556986331939697, 0.2228836864233017, -0.1317492425441742]","[0.4260169267654419, 0.16824129223823547, -0.12777093052864075]","[0.5450055003166199, 0.2637973427772522, -0.07847569137811661]","[0.366761714220047, 0.14334368705749512, -0.14965291321277618]","[0.23491522669792175, 0.09505724906921387, -0.17809495329856873]","[0.12339913845062256, 0.04913190007209778, -0.19279947876930237]","[0.46681031584739685, 0.3561810255050659, -0.05197848379611969]","[0.3509708046913147, 0.30459344387054443, -0.1617792546749115]","[0.48466259241104126, 0.427236944437027, -0.16191913187503815]","[0.5761507153511047, 0.4606729745864868, -0.12553858757019043]","[0.4058661162853241, 0.4593537747859955, -0.041970837861299515]","[0.31488192081451416, 0.42257454991340637, -0.17388911545276642]","[0.464863657951355, 0.5302805304527283, -0.1409681886434555]","[0.5428630113601685, 0.5500057339668274, -0.07680093497037888]","[0.36691272258758545, 0.571847677230835, -0.03981305658817291]","[0.27031636238098145, 0.5278600454330444, -0.13208794593811035]","[0.3845772445201874, 0.5872340202331543, -0.10602300614118576]","[0.45954614877700806, 0.6063600778579712, -0.059337954968214035]"
"[0.7841617465019226, 0.49188345670700073, -1.2105915914162324e-07]","[0.7281227111816406, 0.4079299867153168, -0.11870057880878448]","[0.5377597808837891, 0.33972442150115967, -0.1411714404821396]","[0.3690182864665985, 0.3691861629486084, -0.14329074323177338]","[0.24560990929603577, 0.41219592094421387, -0.12711769342422485]","[0.3793453276157379, 0.330130398273468, -0.05481315031647682]","[0.22797612845897675, 0.3750438392162323, -0.1363828182220459]","[0.12616026401519775, 0.41815468668937683, -0.17576168477535248]","[0.013263612985610962, 0.4480404257774353, -0.19851909577846527]","[0.3936370611190796, 0.43433278799057007, -0.02772766537964344]","[0.30932605266571045, 0.4984060227870941, -0.1176646277308464]","[0.4629877209663391, 0.48692527413368225, -0.11704294383525848]","[0.4897976219654083, 0.44563254714012146, -0.09266925603151321]","[0.4272770285606384, 0.5282248854637146, -0.022834261879324913]","[0.3639335036277771, 0.5920027494430542, -0.1405792534351349]","[0.5216769576072693, 0.5597681999206543, -0.11553849279880524]","[0.5427739024162292, 0.5069177746772766, -0.06950154900550842]","[0.4734461009502411, 0.6143395900726318, -0.027941832318902016]","[0.4323215186595917, 0.6591726541519165, -0.1160205602645874]","[0.5474249720573425, 0.6241005659103394, -0.10393954068422318]","[0.5736755132675171, 0.5821818113327026, -0.07512619346380234]"
"[0.6632865071296692, 0.6764712333679199, -5.937685045864782e-07]","[0.7603145837783813, 0.5851324200630188, -0.09012307971715927]","[0.7085464000701904, 0.3933195471763611, -0.11173968762159348]","[0.573747992515564, 0.27248451113700867, -0.12268278747797012]","[0.4620782434940338, 0.22050292789936066, -0.12910455465316772]","[0.5254533290863037, 0.2986130714416504, -0.059537094086408615]","[0.3826645612716675, 0.17697736620903015, -0.12167557328939438]","[0.2848508954048157, 0.12211398780345917, -0.15101435780525208]","[0.20898982882499695, 0.08551666140556335, -0.17085863649845123]","[0.4554607570171356, 0.38669607043266296, -0.04900910332798958]","[0.35587090253829956, 0.3242838978767395, -0.14890877902507782]","[0.46004894375801086, 0.43644821643829346, -0.16427473723888397]","[0.5393742918968201, 0.480293869972229, -0.1482362449169159]","[0.4117344319820404, 0.47971317172050476, -0.05132194608449936]","[0.33331626653671265, 0.45831727981567383, -0.16469764709472656]","[0.44738009572029114, 0.5452486276626587, -0.14568249881267548]","[0.5192364454269409, 0.5614129304885864, -0.10353247076272964]","[0.3789205253124237, 0.5790979862213135, -0.06019553914666176]","[0.3078407049179077, 0.5591517686843872, -0.14666494727134705]","[0.4000624120235443, 0.6131425499916077, -0.13685458898544312]","[0.4628034830093384, 0.6216281652450562, -0.11054129898548126]"
"[0.824995756149292, 0.4235737919807434, 1.136188529926585e-07]","[0.6969832181930542, 0.28875163197517395, -0.07834896445274353]","[0.4858689308166504, 0.25117579102516174, -0.0984460785984993]","[0.3149007558822632, 0.3231671154499054, -0.11291514337062836]","[0.21730737388134003, 0.4114306569099426, -0.11887451261281967]","[0.3401629328727722, 0.37873125076293945, -0.021727146580815315]","[0.1747828722000122, 0.4635779857635498, -0.09400143474340439]","[0.07880008220672607, 0.5389643907546997, -0.1387479603290558]","[-0.009762078523635864, 0.603370726108551, -0.16698551177978516]","[0.3871774673461914, 0.4840775430202484, -0.021110422909259796]","[0.2724977731704712, 0.5546162128448486, -0.11693465709686279]","[0.40496504306793213, 0.5039049386978149, -0.14616599678993225]","[0.47933390736579895, 0.4429745078086853, -0.1423736959695816]","[0.46012964844703674, 0.5696837902069092, -0.03489157184958458]","[0.39181753993034363, 0.6377877593040466, -0.14089764654636383]","[0.5158787369728088, 0.5669023990631104, -0.13419747352600098]","[0.5599913597106934, 0.4954219460487366, -0.1014445349574089]","[0.5469365119934082, 0.6400232911109924, -0.05514565855264664]","[0.4820617139339447, 0.6986563205718994, -0.12555831670761108]","[0.5653441548347473, 0.6398875713348389, -0.11307213455438614]","[0.6070254445075989, 0.5820267200469971, -0.08653120696544647]"
