Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.7687258720397949, 0.7338368892669678, 1.1316509471726022e-06]","[0.8227999806404114, 0.6275149583816528, -0.06927184760570526]","[0.7561671733856201, 0.4799596071243286, -0.09726285189390182]","[0.6213983297348022, 0.43068739771842957, -0.12481142580509186]","[0.5098682045936584, 0.4152345359325409, -0.14997921884059906]","[0.6039109230041504, 0.38955599069595337, -0.03751242905855179]","[0.47387975454330444, 0.27332603931427, -0.09559891372919083]","[0.3743879199028015, 0.1988503783941269, -0.13815262913703918]","[0.2888127267360687, 0.14105835556983948, -0.16771218180656433]","[0.5296930074691772, 0.4520028531551361, -0.049477897584438324]","[0.372837632894516, 0.3344918191432953, -0.12795525789260864]","[0.2684975266456604, 0.2513202428817749, -0.1847890168428421]","[0.17442426085472107, 0.19011428952217102, -0.21272329986095428]","[0.49065718054771423, 0.5420282483100891, -0.06940442323684692]","[0.4151458740234375, 0.4625639319419861, -0.18765981495380402]","[0.5395693182945251, 0.5246368646621704, -0.20234587788581848]","[0.6184186935424805, 0.5702794790267944, -0.17672079801559448]","[0.47660934925079346, 0.6507959365844727, -0.09295793622732162]","[0.43078774213790894, 0.5748533010482788, -0.19563770294189453]","[0.5373404026031494, 0.6043291091918945, -0.1965165138244629]","[0.6096656322479248, 0.6336084008216858, -0.1715402752161026]"
"[0.704216480255127, 0.8468260169029236, 2.576612587290583e-06]","[0.8219959735870361, 0.7671176195144653, -0.1883554756641388]","[0.8161767721176147, 0.6373928785324097, -0.29168909788131714]","[0.6940901875495911, 0.5377064347267151, -0.3643181025981903]","[0.5531713962554932, 0.4523145854473114, -0.4280630946159363]","[0.7251788973808289, 0.39986518025398254, -0.25851139426231384]","[0.5978043675422668, 0.2496354579925537, -0.3995100259780884]","[0.49955758452415466, 0.1601124107837677, -0.483662486076355]","[0.4112831950187683, 0.07102623581886292, -0.5372799038887024]","[0.5881807804107666, 0.4446600079536438, -0.22918696701526642]","[0.47006094455718994, 0.28274935483932495, -0.4019940197467804]","[0.3593306541442871, 0.18888115882873535, -0.49515700340270996]","[0.2661949396133423, 0.09999048709869385, -0.5405617356300354]","[0.48869338631629944, 0.534574568271637, -0.20706899464130402]","[0.4182165265083313, 0.4877622723579407, -0.3973380923271179]","[0.54557865858078, 0.6052796244621277, -0.3960492014884949]","[0.6338616609573364, 0.6720287799835205, -0.3504360020160675]","[0.42254912853240967, 0.6422567963600159, -0.19683220982551575]","[0.4081534147262573, 0.6354111433029175, -0.3596418499946594]","[0.5266558527946472, 0.7146647572517395, -0.35711491107940674]","[0.5998982191085815, 0.7558191418647766, -0.31816235184669495]"
"[0.6203712224960327, 0.86411452293396, 2.893015960125922e-07]","[0.7019949555397034, 0.7416336536407471, -0.07310029119253159]","[0.7014964818954468, 0.5414456129074097, -0.08987107127904892]","[0.5921939015388489, 0.4221265912055969, -0.10352244973182678]","[0.48221614956855774, 0.343528151512146, -0.1154758408665657]","[0.6329568028450012, 0.40059274435043335, -0.012317587621510029]","[0.5528644323348999, 0.2382369041442871, -0.05467400699853897]","[0.4939035177230835, 0.142195463180542, -0.09150990098714828]","[0.43381816148757935, 0.055139511823654175, -0.11875951290130615]","[0.5399763584136963, 0.4346591532230377, -0.01879015564918518]","[0.4443933665752411, 0.25753912329673767, -0.07035956531763077]","[0.389252632856369, 0.15883895754814148, -0.11354642361402512]","[0.3232118785381317, 0.05570340156555176, -0.13750675320625305]","[0.46196961402893066, 0.5110062956809998, -0.037105873227119446]","[0.4081856906414032, 0.42047548294067383, -0.13396619260311127]","[0.4800349771976471, 0.5336744785308838, -0.15812842547893524]","[0.5251287221908569, 0.5902571678161621, -0.14759327471256256]","[0.39591214060783386, 0.6056753396987915, -0.06009059026837349]","[0.3564727306365967, 0.5300326347351074, -0.1419033408164978]","[0.42402833700180054, 0.6029621362686157, -0.1471913605928421]","[0.47856077551841736, 0.6523227095603943, -0.13500520586967468]"
"[0.85451340675354, 0.6335216164588928, 1.0899890412474633e-06]","[0.8637540340423584, 0.4955008924007416, -0.11783827841281891]","[0.7460077404975891, 0.39575356245040894, -0.16668936610221863]","[0.587714433670044, 0.4091539680957794, -0.20394299924373627]","[0.44886693358421326, 0.4333411157131195, -0.2353692501783371]","[0.5739226341247559, 0.3079211711883545, -0.08852874487638474]","[0.399526447057724, 0.2650432586669922, -0.1685815453529358]","[0.2698812484741211, 0.25511109828948975, -0.2213609665632248]","[0.1583569347858429, 0.24475176632404327, -0.25480350852012634]","[0.5070547461509705, 0.40851253271102905, -0.08282734453678131]","[0.30367517471313477, 0.3726511597633362, -0.18288451433181763]","[0.1708301603794098, 0.3584396243095398, -0.24113383889198303]","[0.057612210512161255, 0.3428818881511688, -0.26377153396606445]","[0.49223607778549194, 0.5147444009780884, -0.08961096405982971]","[0.37006232142448425, 0.5123785734176636, -0.2358556091785431]","[0.520691454410553, 0.5395361185073853, -0.2555491626262665]","[0.6246968507766724, 0.5448938012123108, -0.22593790292739868]","[0.5184924602508545, 0.6257359981536865, -0.10313412547111511]","[0.4504643380641937, 0.6197755336761475, -0.23376424610614777]","[0.5710967779159546, 0.6197962760925293, -0.2437056601047516]","[0.6565247178077698, 0.6018619537353516, -0.21818219125270844]"
"[0.582476794719696, 0.8554006218910217, 2.0757950380811963e-07]","[0.6772266626358032, 0.7462974786758423, -0.06871675699949265]","[0.6990180015563965, 0.5589423775672913, -0.08953862637281418]","[0.59046870470047, 0.42929306626319885, -0.10857333242893219]","[0.4858090281486511, 0.34639617800712585, -0.12472958117723465]","[0.6339205503463745, 0.4080258011817932, -0.010341760702431202]","[0.5541355609893799, 0.2491728514432907, -0.06236345320940018]","[0.493156760931015, 0.15918707847595215, -0.10582955926656723]","[0.4333046078681946, 0.07370215654373169, -0.13637369871139526]","[0.5423088073730469, 0.43919670581817627, -0.018626214936375618]","[0.4445858597755432, 0.2612660527229309, -0.07796180248260498]","[0.394752562046051, 0.16546127200126648, -0.12575268745422363]","[0.3368462920188904, 0.05407628417015076, -0.15129223465919495]","[0.4694508910179138, 0.5099318027496338, -0.03846510499715805]","[0.4054863154888153, 0.42530906200408936, -0.1339624971151352]","[0.47045329213142395, 0.5479852557182312, -0.1547328233718872]","[0.5204094648361206, 0.6026005744934082, -0.1428881585597992]","[0.4093504846096039, 0.5957805514335632, -0.06286610662937164]","[0.36538079380989075, 0.5376213788986206, -0.14212404191493988]","[0.4279113709926605, 0.6213314533233643, -0.14485539495944977]","[0.4855457842350006, 0.6655889749526978, -0.13064561784267426]"
"[0.8726250529289246, 0.36866334080696106, 6.296363608271349e-07]","[0.7854053974151611, 0.2547709345817566, -0.09454613924026489]","[0.6092492341995239, 0.25729799270629883, -0.12969765067100525]","[0.5035012364387512, 0.38682129979133606, -0.159569650888443]","[0.4189234972000122, 0.5029277205467224, -0.1863906979560852]","[0.41194742918014526, 0.31605637073516846, -0.03350203484296799]","[0.2645212709903717, 0.40238410234451294, -0.09908761084079742]","[0.16503503918647766, 0.4725087881088257, -0.15135563910007477]","[0.0784921646118164, 0.5337831974029541, -0.18879473209381104]","[0.4312804639339447, 0.4285680055618286, -0.04141967371106148]","[0.2530265748500824, 0.5409198999404907, -0.12324129790067673]","[0.15439781546592712, 0.6096186637878418, -0.18021740019321442]","[0.05999937653541565, 0.6766880750656128, -0.20627011358737946]","[0.4967206120491028, 0.5137569308280945, -0.06420577317476273]","[0.4044210612773895, 0.5922272801399231, -0.19955667853355408]","[0.543175458908081, 0.5147713422775269, -0.22737257182598114]","[0.6213147640228271, 0.45257583260536194, -0.20783591270446777]","[0.5931109189987183, 0.5830935835838318, -0.09259945899248123]","[0.5319379568099976, 0.6324113607406616, -0.21270062029361725]","[0.6269466876983643, 0.5596941709518433, -0.22690176963806152]","[0.6799919605255127, 0.488566517829895, -0.2108825296163559]"
"[0.846407413482666, 0.6274012327194214, 7.617514370394929e-07]","[0.8345066905021667, 0.49637162685394287, -0.09904058277606964]","[0.7020687460899353, 0.39542636275291443, -0.12811841070652008]","[0.5390387177467346, 0.4172605872154236, -0.14876535534858704]","[0.40099072456359863, 0.44401687383651733, -0.16466371715068817]","[0.5389338731765747, 0.3117331266403198, -0.01877162978053093]","[0.37231385707855225, 0.28141167759895325, -0.07035209238529205]","[0.24845606088638306, 0.27410459518432617, -0.1142360046505928]","[0.14181312918663025, 0.2684229016304016, -0.1467127948999405]","[0.47861212491989136, 0.39964941143989563, -0.01725645735859871]","[0.27589064836502075, 0.3746870458126068, -0.08388931304216385]","[0.15483295917510986, 0.36595419049263, -0.13466566801071167]","[0.04196155071258545, 0.35922351479530334, -0.1572834700345993]","[0.47186315059661865, 0.4977812170982361, -0.0311795175075531]","[0.3500704765319824, 0.5014598369598389, -0.1543418914079666]","[0.4901024103164673, 0.5336349010467529, -0.18320652842521667]","[0.5763787031173706, 0.5401383638381958, -0.16562439501285553]","[0.5008774399757385, 0.6076602935791016, -0.05101251229643822]","[0.4157821536064148, 0.6059067845344543, -0.16742992401123047]","[0.528078556060791, 0.6148954629898071, -0.18324369192123413]","[0.6076545119285583, 0.6022020578384399, -0.16765260696411133]"
"[0.9333068132400513, 0.5524230003356934, 1.0133824162039673e-06]","[0.9313928484916687, 0.44110527634620667, -0.11486747860908508]","[0.8315719366073608, 0.3529243767261505, -0.16720595955848694]","[0.7092443704605103, 0.3669798970222473, -0.21327424049377441]","[0.5845614075660706, 0.3834976255893707, -0.25376391410827637]","[0.5687049031257629, 0.3163696229457855, -0.08859378844499588]","[0.38784658908843994, 0.30010271072387695, -0.1673736423254013]","[0.268473744392395, 0.31059205532073975, -0.21810509264469147]","[0.16730281710624695, 0.32041534781455994, -0.2487218677997589]","[0.5356367230415344, 0.42118993401527405, -0.09138362109661102]","[0.32095134258270264, 0.4105070233345032, -0.18580380082130432]","[0.1789378821849823, 0.4202641546726227, -0.24567724764347076]","[0.06540781259536743, 0.42778944969177246, -0.27072077989578247]","[0.5591237545013428, 0.5289211273193359, -0.10731060057878494]","[0.4545139670372009, 0.5289397239685059, -0.25435832142829895]","[0.5961939692497253, 0.5287837982177734, -0.2805592715740204]","[0.7005820274353027, 0.5210423469543457, -0.254107803106308]","[0.621131420135498, 0.6397733688354492, -0.12987792491912842]","[0.5502567887306213, 0.6427162885665894, -0.2597232460975647]","[0.6638616323471069, 0.6201832294464111, -0.27096861600875854]","[0.7555927038192749, 0.594373345375061, -0.2458549439907074]"
"[0.8802303075790405, 0.5302721261978149, 6.115129167483246e-07]","[0.8473981618881226, 0.3972817361354828, -0.10737959295511246]","[0.6917460560798645, 0.33484014868736267, -0.14098314940929413]","[0.5423415899276733, 0.38338932394981384, -0.16630426049232483]","[0.4069562256336212, 0.4097538888454437, -0.18509817123413086]","[0.5041110515594482, 0.2876267433166504, -0.042223360389471054]","[0.3322961926460266, 0.29831501841545105, -0.1120133101940155]","[0.2055673897266388, 0.32313019037246704, -0.16148371994495392]","[0.09995883703231812, 0.34961163997650146, -0.19191251695156097]","[0.47863754630088806, 0.3981335461139679, -0.03876994922757149]","[0.2765430808067322, 0.4160376489162445, -0.12634876370429993]","[0.1497696340084076, 0.4401947259902954, -0.180230051279068]","[0.04341176152229309, 0.46359801292419434, -0.19920864701271057]","[0.49891889095306396, 0.5029128193855286, -0.05149851366877556]","[0.39607200026512146, 0.5251189470291138, -0.1892908662557602]","[0.5453153848648071, 0.5124325752258301, -0.21192193031311035]","[0.64112389087677, 0.4914056062698364, -0.18389664590358734]","[0.5495796203613281, 0.607123851776123, -0.07126742601394653]","[0.470643550157547, 0.6142815351486206, -0.1907854676246643]","[0.5824507474899292, 0.5889309644699097, -0.1999262273311615]","[0.6584588885307312, 0.5534202456474304, -0.17637626826763153]"
"[0.7859898805618286, 0.8087319135665894, 9.967566256818827e-07]","[0.8627880811691284, 0.7218402624130249, -0.10829343646764755]","[0.834999680519104, 0.5905085802078247, -0.15681403875350952]","[0.7189979553222656, 0.5284816026687622, -0.19885972142219543]","[0.613766610622406, 0.46445921063423157, -0.2354476898908615]","[0.6750130653381348, 0.408189594745636, -0.08172262459993362]","[0.5403714179992676, 0.27812832593917847, -0.1586081087589264]","[0.43793389201164246, 0.2070959061384201, -0.20754334330558777]","[0.353499174118042, 0.15152934193611145, -0.2370763123035431]","[0.5761870741844177, 0.4642733931541443, -0.08457847684621811]","[0.4081128239631653, 0.32432153820991516, -0.18026481568813324]","[0.288163959980011, 0.2428734302520752, -0.2392057627439499]","[0.189904123544693, 0.17856355011463165, -0.26195335388183594]","[0.5199534893035889, 0.5562023520469666, -0.09995115548372269]","[0.4296188950538635, 0.48938143253326416, -0.24654832482337952]","[0.5432789325714111, 0.579128623008728, -0.2720155417919159]","[0.6297500133514404, 0.6377230882644653, -0.24459409713745117]","[0.4935435652732849, 0.6745097637176514, -0.12079565227031708]","[0.4391145706176758, 0.6366780996322632, -0.2497701793909073]","[0.5403746962547302, 0.6920074224472046, -0.2607782781124115]","[0.622913122177124, 0.7264837622642517, -0.23541393876075745]"
