Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.5676088929176331, 0.9206231832504272, -7.012627065705601e-07]","[0.7201216816902161, 0.7966918349266052, -0.07000501453876495]","[0.7958235740661621, 0.5788401961326599, -0.09106287360191345]","[0.7078547477722168, 0.43952926993370056, -0.10564081370830536]","[0.5624160766601562, 0.469176322221756, -0.10266119986772537]","[0.6582456231117249, 0.4147088825702667, -0.04996591806411743]","[0.6096082329750061, 0.3055683374404907, -0.11093907058238983]","[0.6358062028884888, 0.44443657994270325, -0.12898322939872742]","[0.6605600118637085, 0.5241454839706421, -0.13145460188388824]","[0.5380305051803589, 0.44108790159225464, -0.05239352211356163]","[0.4960203170776367, 0.3362204432487488, -0.1429121047258377]","[0.552146852016449, 0.5130131840705872, -0.1615130454301834]","[0.5848995447158813, 0.5919495820999146, -0.15168321132659912]","[0.419704794883728, 0.4838850498199463, -0.06814907491207123]","[0.3715590238571167, 0.37215152382850647, -0.15583436191082]","[0.4568748474121094, 0.5357611775398254, -0.16203419864177704]","[0.5086987614631653, 0.6406764388084412, -0.14281228184700012]","[0.31259456276893616, 0.5449256896972656, -0.08888613432645798]","[0.23209455609321594, 0.4106908142566681, -0.1361541748046875]","[0.19714975357055664, 0.3352032005786896, -0.15501785278320312]","[0.14905545115470886, 0.23870666325092316, -0.16326762735843658]"
"[0.5217950940132141, 0.8006577491760254, -8.142318961290584e-07]","[0.6749656200408936, 0.6678842902183533, -0.0580967478454113]","[0.7265740633010864, 0.4466935694217682, -0.06906560063362122]","[0.5995469093322754, 0.3192933201789856, -0.0780688002705574]","[0.4412808418273926, 0.38332727551460266, -0.07154031097888947]","[0.557370662689209, 0.32131993770599365, -0.009794920682907104]","[0.5274949669837952, 0.17979419231414795, -0.05628072842955589]","[0.5649518966674805, 0.3032987117767334, -0.07078075408935547]","[0.5874971151351929, 0.37299367785453796, -0.07062821835279465]","[0.455287367105484, 0.34864339232444763, -0.013933706097304821]","[0.40948912501335144, 0.20650584995746613, -0.0829160213470459]","[0.4763842523097992, 0.3416280746459961, -0.10140889883041382]","[0.5104935765266418, 0.41380923986434937, -0.09259666502475739]","[0.36054664850234985, 0.3888532817363739, -0.031125802546739578]","[0.32495778799057007, 0.27061206102371216, -0.10209517925977707]","[0.42443403601646423, 0.3936377763748169, -0.10922927409410477]","[0.47819679975509644, 0.4852108955383301, -0.0897534117102623]","[0.2705245316028595, 0.4346708655357361, -0.05305757373571396]","[0.20735636353492737, 0.29140448570251465, -0.07956767082214355]","[0.18653735518455505, 0.19654105603694916, -0.08762922883033752]","[0.15368157625198364, 0.09654252231121063, -0.08970753103494644]"
"[0.5020289421081543, 0.81647789478302, -8.087697551673045e-07]","[0.6773544549942017, 0.6657906770706177, -0.031031709164381027]","[0.7325394153594971, 0.42498156428337097, -0.020306842401623726]","[0.6751840710639954, 0.23642498254776, -0.01887887343764305]","[0.5360686182975769, 0.2317206710577011, -0.010862928815186024]","[0.6308978199958801, 0.3191375434398651, 0.07143358141183853]","[0.6057309508323669, 0.17525535821914673, 0.03107198141515255]","[0.6157570481300354, 0.26344144344329834, 0.001022706157527864]","[0.6273261904716492, 0.363529235124588, -0.010019507259130478]","[0.5193662643432617, 0.3378479480743408, 0.05506568029522896]","[0.478305846452713, 0.19180172681808472, -0.03034345805644989]","[0.5186566114425659, 0.3225320875644684, -0.08515927195549011]","[0.5479850769042969, 0.4406643211841583, -0.09678860753774643]","[0.40777555108070374, 0.36405301094055176, 0.024751516059041023]","[0.37054362893104553, 0.2385328710079193, -0.06824367493391037]","[0.4411139488220215, 0.3717391788959503, -0.11485674232244492]","[0.48799771070480347, 0.49131518602371216, -0.11576557159423828]","[0.2973731756210327, 0.4009934961795807, -0.006948464550077915]","[0.25696393847465515, 0.24321141839027405, -0.04815393313765526]","[0.24520763754844666, 0.13934673368930817, -0.0745084211230278]","[0.23314997553825378, 0.04397350549697876, -0.08812804520130157]"
"[0.3101125657558441, 0.7482963800430298, -1.2172577044111677e-06]","[0.49695006012916565, 0.7630728483200073, -0.07141856104135513]","[0.6805879473686218, 0.6496725082397461, -0.09069525450468063]","[0.6680849194526672, 0.48965388536453247, -0.11088420450687408]","[0.5336934328079224, 0.4340525269508362, -0.11496242135763168]","[0.6602234244346619, 0.4337693452835083, -0.003325758269056678]","[0.7486522197723389, 0.31243517994880676, -0.07969296723604202]","[0.6897169351577759, 0.41639891266822815, -0.11446815729141235]","[0.6393294930458069, 0.47557756304740906, -0.11853721737861633]","[0.5653746724128723, 0.37558144330978394, -0.004735922906547785]","[0.6394070386886597, 0.2558298408985138, -0.0995468944311142]","[0.5946788787841797, 0.3885221481323242, -0.13378305733203888]","[0.562797486782074, 0.454540878534317, -0.125997394323349]","[0.4707680642604828, 0.33759352564811707, -0.02221331000328064]","[0.5273407101631165, 0.24389784038066864, -0.11423785239458084]","[0.49952057003974915, 0.39910057187080383, -0.11484222859144211]","[0.46589428186416626, 0.49737825989723206, -0.07936729490756989]","[0.37169551849365234, 0.30490827560424805, -0.04621336609125137]","[0.437921404838562, 0.16940340399742126, -0.07644618302583694]","[0.4948035776615143, 0.10082289576530457, -0.06880376487970352]","[0.5485414266586304, 0.024332761764526367, -0.0509612038731575]"
"[0.32214099168777466, 0.8168034553527832, -1.0956367759717978e-06]","[0.5592661499977112, 0.7736672759056091, -0.04418433830142021]","[0.7393080592155457, 0.5998033881187439, -0.04082527384161949]","[0.746869683265686, 0.3908959627151489, -0.044069867581129074]","[0.6156046390533447, 0.3144833743572235, -0.03641705960035324]","[0.6540808081626892, 0.414963036775589, 0.04300045967102051]","[0.7077431678771973, 0.252693235874176, -0.014171198941767216]","[0.6705980896949768, 0.36684879660606384, -0.03689968213438988]","[0.636252224445343, 0.474099338054657, -0.03296048194169998]","[0.5390252470970154, 0.37860432267189026, 0.03606902435421944]","[0.585321307182312, 0.21865439414978027, -0.06088566780090332]","[0.5466195940971375, 0.3841008245944977, -0.10187339037656784]","[0.5142437219619751, 0.5059921145439148, -0.09561817348003387]","[0.4235630929470062, 0.3494732975959778, 0.014743884094059467]","[0.46641892194747925, 0.20399276912212372, -0.07993008196353912]","[0.4488707184791565, 0.3788889944553375, -0.09690733999013901]","[0.4255921542644501, 0.5152850151062012, -0.07136493176221848]","[0.29808512330055237, 0.33040347695350647, -0.009595311246812344]","[0.3338879644870758, 0.15838056802749634, -0.04137227311730385]","[0.3689657747745514, 0.06612858176231384, -0.04969039186835289]","[0.40529024600982666, -0.023208677768707275, -0.045397866517305374]"
"[0.1960510015487671, 0.7516031265258789, -9.63436264100892e-07]","[0.4189968705177307, 0.7870627641677856, -0.07572455704212189]","[0.629423975944519, 0.6868979334831238, -0.10585704445838928]","[0.7129536271095276, 0.49668407440185547, -0.13185857236385345]","[0.6433876752853394, 0.347051739692688, -0.13804002106189728]","[0.7039724588394165, 0.5010609030723572, -0.029388288035988808]","[0.7770066261291504, 0.34875112771987915, -0.1219816580414772]","[0.6691386103630066, 0.4502539038658142, -0.17663173377513885]","[0.6148409843444824, 0.5427879691123962, -0.20017044246196747]","[0.6049249768257141, 0.4221769869327545, -0.028752204030752182]","[0.6596967577934265, 0.28294360637664795, -0.13929495215415955]","[0.5406532883644104, 0.43712347745895386, -0.17363667488098145]","[0.49923503398895264, 0.5299745798110962, -0.17483928799629211]","[0.5025779008865356, 0.35070741176605225, -0.04693571478128433]","[0.560634434223175, 0.20366200804710388, -0.15253865718841553]","[0.47645303606987, 0.3706953525543213, -0.16426369547843933]","[0.4255532920360565, 0.4918231666088104, -0.14605431258678436]","[0.3977336883544922, 0.29484009742736816, -0.07158362120389938]","[0.47223806381225586, 0.11972436308860779, -0.1304960995912552]","[0.5200513601303101, 0.024975478649139404, -0.1541631668806076]","[0.5764507055282593, -0.0766679048538208, -0.16368070244789124]"
"[0.19392937421798706, 0.7513175010681152, -1.2876461141786422e-06]","[0.3930516541004181, 0.8269932270050049, -0.06997562199831009]","[0.6106557846069336, 0.7990971803665161, -0.086947001516819]","[0.7515952587127686, 0.6745498180389404, -0.10622242093086243]","[0.7445530891418457, 0.5281513929367065, -0.11940766125917435]","[0.6070854663848877, 0.561788022518158, 0.00808662362396717]","[0.6618714928627014, 0.49468958377838135, -0.0951605960726738]","[0.5606352090835571, 0.5666080713272095, -0.15860037505626678]","[0.4577377140522003, 0.6468001008033752, -0.17079903185367584]","[0.5183290243148804, 0.45861923694610596, 0.010232742875814438]","[0.6288543939590454, 0.36095955967903137, -0.12192118167877197]","[0.49129199981689453, 0.4762166738510132, -0.1817818135023117]","[0.37049204111099243, 0.584524393081665, -0.17659756541252136]","[0.42530420422554016, 0.37029385566711426, -0.004440831486135721]","[0.5201576352119446, 0.2658732831478119, -0.12046516686677933]","[0.40608513355255127, 0.3944167196750641, -0.13624492287635803]","[0.3111617863178253, 0.5091733932495117, -0.0995701253414154]","[0.3149193823337555, 0.29340144991874695, -0.023711910471320152]","[0.41976532340049744, 0.14956244826316833, -0.05923394858837128]","[0.4796499013900757, 0.08340901136398315, -0.05424785986542702]","[0.5400049686431885, 0.025456368923187256, -0.033296652138233185]"
"[0.3944677412509918, 0.7781621217727661, -1.1000410040651332e-06]","[0.5846871733665466, 0.7411268949508667, -0.05913109704852104]","[0.7199840545654297, 0.538554310798645, -0.06394268572330475]","[0.6698759198188782, 0.33111727237701416, -0.06720614433288574]","[0.5361591577529907, 0.2584383487701416, -0.05081969499588013]","[0.6867014169692993, 0.3993353545665741, 0.002195313572883606]","[0.7149801850318909, 0.22420011460781097, -0.06581469625234604]","[0.6742509007453918, 0.35003527998924255, -0.09778601676225662]","[0.6638978719711304, 0.4288727641105652, -0.10550623387098312]","[0.5760458707809448, 0.36581483483314514, 0.0031073319260030985]","[0.5811808109283447, 0.19972175359725952, -0.07455014437437057]","[0.5607044696807861, 0.349516361951828, -0.09212786704301834]","[0.5740727782249451, 0.4105865955352783, -0.08106393367052078]","[0.4613982141017914, 0.3546982407569885, -0.013559804297983646]","[0.4534667134284973, 0.22455866634845734, -0.09600258618593216]","[0.4592188000679016, 0.39527255296707153, -0.0935438871383667]","[0.46357861161231995, 0.5131888389587402, -0.06274791806936264]","[0.3508351445198059, 0.35352399945259094, -0.03575405478477478]","[0.3722735643386841, 0.1899212747812271, -0.07751968502998352]","[0.3824886083602905, 0.09189829230308533, -0.0863393247127533]","[0.38004520535469055, -0.004326671361923218, -0.08323030173778534]"
"[0.5540613532066345, 0.8527071475982666, 9.716191584629996e-08]","[0.6953070163726807, 0.6376384496688843, -0.057428304105997086]","[0.7080909609794617, 0.39365559816360474, -0.06524715572595596]","[0.567126452922821, 0.23747506737709045, -0.07343121618032455]","[0.40617457032203674, 0.2845470905303955, -0.07096334546804428]","[0.5769452452659607, 0.33734768629074097, 0.04286764934659004]","[0.4868810176849365, 0.19828468561172485, -0.0039707086980342865]","[0.4939661920070648, 0.22856278717517853, -0.03813905268907547]","[0.5295923352241516, 0.2873331904411316, -0.05497586727142334]","[0.4576956033706665, 0.37945178151130676, 0.03868875652551651]","[0.3597722053527832, 0.24177683889865875, -0.06313633173704147]","[0.4312414824962616, 0.3650197386741638, -0.12420453131198883]","[0.506330132484436, 0.4844132661819458, -0.13465696573257446]","[0.34512168169021606, 0.4341425597667694, 0.020083630457520485]","[0.2584986984729767, 0.30509182810783386, -0.08767121285200119]","[0.3746696412563324, 0.42044538259506226, -0.13719362020492554]","[0.4725501537322998, 0.5330789089202881, -0.13515964150428772]","[0.2460530698299408, 0.5095804333686829, -0.0011810692958533764]","[0.1569139063358307, 0.36599504947662354, -0.06265554577112198]","[0.11119106411933899, 0.2736614942550659, -0.10211285948753357]","[0.06735971570014954, 0.19539229571819305, -0.12051083147525787]"
"[0.5453491806983948, 0.9108445644378662, -1.3369296993914759e-06]","[0.7443066239356995, 0.7909837961196899, -0.0969686508178711]","[0.8742016553878784, 0.5465126633644104, -0.1195182055234909]","[0.8541464805603027, 0.3429972529411316, -0.13730202615261078]","[0.7346441745758057, 0.25364020466804504, -0.1430988311767578]","[0.6613651514053345, 0.40253931283950806, -0.037845101207494736]","[0.652637779712677, 0.31043970584869385, -0.14941111207008362]","[0.6422706246376038, 0.4558144807815552, -0.2042311578989029]","[0.63800048828125, 0.5983515977859497, -0.20933954417705536]","[0.508145272731781, 0.402043879032135, -0.024801332503557205]","[0.5023521780967712, 0.26085278391838074, -0.16757681965827942]","[0.5036829710006714, 0.44529396295547485, -0.2192295640707016]","[0.5162645578384399, 0.6083616018295288, -0.20739519596099854]","[0.36447787284851074, 0.4252791106700897, -0.03155958279967308]","[0.34262990951538086, 0.28899967670440674, -0.1668400913476944]","[0.38376903533935547, 0.46165215969085693, -0.18786031007766724]","[0.42768430709838867, 0.6121702790260315, -0.15052825212478638]","[0.22999894618988037, 0.4766446053981781, -0.04436292499303818]","[0.16062581539154053, 0.2834545373916626, -0.11293668299913406]","[0.11631959676742554, 0.1667616367340088, -0.13472749292850494]","[0.08439755439758301, 0.05535969138145447, -0.1286415457725525]"
