Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.5272223353385925, 0.8066515326499939, -2.4407418663940916e-07]","[0.7033138871192932, 0.6737614274024963, -0.07557021081447601]","[0.7471895217895508, 0.4475587010383606, -0.09404764324426651]","[0.6435527801513672, 0.2689729332923889, -0.10857908427715302]","[0.5102782249450684, 0.21352770924568176, -0.10715010017156601]","[0.800434410572052, 0.3737771511077881, 0.017304208129644394]","[0.7515407800674438, 0.17215029895305634, -0.05020120367407799]","[0.7115152478218079, 0.2715492248535156, -0.09722114354372025]","[0.718313455581665, 0.36025628447532654, -0.12314189970493317]","[0.6732562184333801, 0.37547001242637634, 0.020683148875832558]","[0.6099545955657959, 0.18748904764652252, -0.050775058567523956]","[0.5845271944999695, 0.3034006655216217, -0.08814774453639984]","[0.6176306009292603, 0.37106573581695557, -0.09991858899593353]","[0.5427048802375793, 0.3958752155303955, 0.002833748934790492]","[0.482027143239975, 0.23986490070819855, -0.07763522118330002]","[0.4907612204551697, 0.32062873244285583, -0.11372576653957367]","[0.5329810380935669, 0.3731122314929962, -0.11940653622150421]","[0.4149123430252075, 0.4361249804496765, -0.022228583693504333]","[0.3389025032520294, 0.29820847511291504, -0.08205415308475494]","[0.30468833446502686, 0.2408495396375656, -0.11205359548330307]","[0.29225537180900574, 0.18612755835056305, -0.12572085857391357]"
"[0.6403419375419617, 0.8911150097846985, -7.447274015248695e-07]","[0.8290716409683228, 0.7820633053779602, -0.07791271060705185]","[0.9475265145301819, 0.548163115978241, -0.09111659973859787]","[0.9232220649719238, 0.34379273653030396, -0.1036556139588356]","[0.809485137462616, 0.24879710376262665, -0.10960760712623596]","[0.7885837554931641, 0.4155973494052887, -0.0016337954439222813]","[0.7705737948417664, 0.3216565251350403, -0.10952597111463547]","[0.7443509101867676, 0.4515697956085205, -0.17134979367256165]","[0.7334856390953064, 0.5707331895828247, -0.18802419304847717]","[0.6432740688323975, 0.4088216722011566, -0.002000220585614443]","[0.6239713430404663, 0.2826700210571289, -0.1354120373725891]","[0.6343883872032166, 0.4673745632171631, -0.18641531467437744]","[0.6597265601158142, 0.616553783416748, -0.17981858551502228]","[0.5132216215133667, 0.4325459897518158, -0.02226274646818638]","[0.47525325417518616, 0.29623955488204956, -0.16875770688056946]","[0.5114189386367798, 0.493347704410553, -0.18663150072097778]","[0.5596500635147095, 0.6498726010322571, -0.14885930716991425]","[0.390305757522583, 0.483267605304718, -0.045802462846040726]","[0.36358633637428284, 0.32872629165649414, -0.13855020701885223]","[0.37751322984695435, 0.3723774552345276, -0.1464700549840927]","[0.40599384903907776, 0.42321816086769104, -0.12432114779949188]"
"[0.8056110143661499, 0.7347687482833862, -1.6670580862410134e-06]","[0.9149627685546875, 0.5153289437294006, -0.05964362621307373]","[0.8542375564575195, 0.24532820284366608, -0.06724968552589417]","[0.7128733396530151, 0.08156764507293701, -0.07533251494169235]","[0.5515949726104736, 0.10371987521648407, -0.07466553151607513]","[0.6496095061302185, 0.22501954436302185, -0.027889655902981758]","[0.5335178971290588, 0.17048457264900208, -0.129191055893898]","[0.5992454290390015, 0.3068695664405823, -0.1866067796945572]","[0.6829431056976318, 0.4205997586250305, -0.2052580714225769]","[0.5304739475250244, 0.3290121257305145, -0.03787105903029442]","[0.39525628089904785, 0.25931650400161743, -0.17631474137306213]","[0.5191173553466797, 0.4049150347709656, -0.2298688143491745]","[0.6368968486785889, 0.5150583982467651, -0.2318907529115677]","[0.4364991784095764, 0.4345296621322632, -0.06361208111047745]","[0.2966044843196869, 0.37533849477767944, -0.1937781721353531]","[0.4438708424568176, 0.4856444001197815, -0.22552978992462158]","[0.5738089680671692, 0.5646656155586243, -0.21101343631744385]","[0.3693612813949585, 0.5494681596755981, -0.09231653064489365]","[0.18054863810539246, 0.4670170247554779, -0.16045792400836945]","[0.06408119201660156, 0.42308759689331055, -0.18946532905101776]","[-0.037205278873443604, 0.36161649227142334, -0.20085012912750244]"
"[0.7664436101913452, 0.6809463500976562, -3.451311272328894e-07]","[0.8179885149002075, 0.47725701332092285, -0.07892566919326782]","[0.7264819145202637, 0.2994512617588043, -0.11792776733636856]","[0.5235751271247864, 0.2507699131965637, -0.15070287883281708]","[0.3842576742172241, 0.3354192078113556, -0.16396725177764893]","[0.5876611471176147, 0.24249109625816345, -0.04815591871738434]","[0.46102574467658997, 0.12279422581195831, -0.13573186099529266]","[0.539836585521698, 0.21976161003112793, -0.18170101940631866]","[0.6070365905761719, 0.2902652621269226, -0.2009817510843277]","[0.5082416534423828, 0.32516545057296753, -0.04461435228586197]","[0.38704195618629456, 0.24876746535301208, -0.13913173973560333]","[0.514834463596344, 0.33883658051490784, -0.16355463862419128]","[0.5894339680671692, 0.36319252848625183, -0.1632491499185562]","[0.4418000876903534, 0.4210032820701599, -0.05986824631690979]","[0.3192824125289917, 0.3507825434207916, -0.1574806571006775]","[0.4656921625137329, 0.40305739641189575, -0.17213444411754608]","[0.5691952109336853, 0.42973291873931885, -0.16173170506954193]","[0.3898192048072815, 0.5222535729408264, -0.08101246505975723]","[0.2332843840122223, 0.48398682475090027, -0.1472468376159668]","[0.14862367510795593, 0.4556022882461548, -0.1755395531654358]","[0.053658485412597656, 0.41834399104118347, -0.18906348943710327]"
"[0.5300552845001221, 0.8387395143508911, 2.5161503458548395e-07]","[0.7709952592849731, 0.7522894144058228, -0.038694433867931366]","[0.8765823841094971, 0.542654812335968, -0.06273052096366882]","[0.8088250160217285, 0.374016135931015, -0.09035161882638931]","[0.6405466198921204, 0.33254823088645935, -0.11454473435878754]","[0.8265727162361145, 0.43258970975875854, -0.03653498739004135]","[0.8178744316101074, 0.2375946044921875, -0.1062205359339714]","[0.8086366057395935, 0.34036678075790405, -0.15378433465957642]","[0.7986999154090881, 0.44807425141334534, -0.18593105673789978]","[0.7103835344314575, 0.4195885956287384, -0.06756355613470078]","[0.7004483342170715, 0.19909465312957764, -0.14884085953235626]","[0.7304322719573975, 0.31991124153137207, -0.19472944736480713]","[0.7435438632965088, 0.4418720602989197, -0.21672198176383972]","[0.58191978931427, 0.42838239669799805, -0.10847650468349457]","[0.5507192611694336, 0.21888969838619232, -0.19322633743286133]","[0.6071062088012695, 0.3360225260257721, -0.23399260640144348]","[0.6594594717025757, 0.4506356716156006, -0.24858587980270386]","[0.4526071846485138, 0.46349942684173584, -0.15265610814094543]","[0.36395007371902466, 0.31779199838638306, -0.22935037314891815]","[0.3574249744415283, 0.3178069591522217, -0.2681005597114563]","[0.3668045103549957, 0.3280583620071411, -0.29039809107780457]"
"[0.5299440026283264, 0.8539738655090332, -4.546403715721681e-07]","[0.7101608514785767, 0.7805411219596863, -0.10095570981502533]","[0.8163679838180542, 0.5420145392417908, -0.12989947199821472]","[0.7600693106651306, 0.32130879163742065, -0.15446972846984863]","[0.5982588529586792, 0.2641017436981201, -0.15468822419643402]","[0.7848688960075378, 0.36005327105522156, 0.0029161337297409773]","[0.7864753007888794, 0.17999593913555145, -0.08459923416376114]","[0.7546123266220093, 0.30227527022361755, -0.12302882969379425]","[0.7418135404586792, 0.41196250915527344, -0.12831972539424896]","[0.6498216390609741, 0.3441072106361389, 0.011306365951895714]","[0.6219010949134827, 0.19058695435523987, -0.10647356510162354]","[0.6258826851844788, 0.34497299790382385, -0.14571735262870789]","[0.650907039642334, 0.42319929599761963, -0.13623526692390442]","[0.5128831267356873, 0.3541572391986847, -0.006149882450699806]","[0.48941004276275635, 0.22214864194393158, -0.13558965921401978]","[0.5300984382629395, 0.40795013308525085, -0.1651269644498825]","[0.5598331689834595, 0.5382583737373352, -0.1411316692829132]","[0.38443848490715027, 0.3856222927570343, -0.031023887917399406]","[0.34933996200561523, 0.21935133635997772, -0.10272877663373947]","[0.32943156361579895, 0.11346849799156189, -0.1348033845424652]","[0.30565425753593445, -0.001967132091522217, -0.14133578538894653]"
"[0.6023301482200623, 0.8871128559112549, -2.240611536308279e-07]","[0.8293062448501587, 0.7626057863235474, -0.052409250289201736]","[0.938078761100769, 0.5309681296348572, -0.06277910619974136]","[0.9096194505691528, 0.3302885890007019, -0.08015832304954529]","[0.7835498452186584, 0.25792810320854187, -0.09389296174049377]","[0.8016977310180664, 0.4279986321926117, 0.028006428852677345]","[0.7943814396858215, 0.31640154123306274, -0.07421945780515671]","[0.7611125111579895, 0.4240921139717102, -0.14723066985607147]","[0.7301711440086365, 0.5383737683296204, -0.18088997900485992]","[0.6544067859649658, 0.4219406247138977, 0.011550375260412693]","[0.6469178199768066, 0.29504624009132385, -0.10978212207555771]","[0.6656899452209473, 0.46276748180389404, -0.1691989153623581]","[0.6772953271865845, 0.6093418598175049, -0.17883054912090302]","[0.5176294445991516, 0.44717156887054443, -0.02222336269915104]","[0.49880144000053406, 0.2971995770931244, -0.15507376194000244]","[0.548494815826416, 0.4798036217689514, -0.17144574224948883]","[0.5855951309204102, 0.6268310546875, -0.14298221468925476]","[0.38719502091407776, 0.5102502703666687, -0.05881308764219284]","[0.3829292953014374, 0.39103761315345764, -0.1517045497894287]","[0.4218088984489441, 0.5044997930526733, -0.15295667946338654]","[0.4552415907382965, 0.6106532216072083, -0.12968505918979645]"
"[0.6394386887550354, 0.7199668884277344, -4.0081269503389194e-07]","[0.756798505783081, 0.5177270174026489, -0.04563865438103676]","[0.7010518908500671, 0.29098328948020935, -0.045393433421850204]","[0.5517427921295166, 0.15121228992938995, -0.05343534052371979]","[0.38688185811042786, 0.17661073803901672, -0.043787237256765366]","[0.6886867880821228, 0.19618304073810577, 0.12036191672086716]","[0.587479293346405, 0.0478968620300293, 0.06979776918888092]","[0.5786612629890442, 0.15356454253196716, 0.03927562013268471]","[0.6139500737190247, 0.25254929065704346, 0.035286709666252136]","[0.5699859857559204, 0.24470660090446472, 0.11448673903942108]","[0.45855391025543213, 0.12540292739868164, 0.022772105410695076]","[0.5073809027671814, 0.26580750942230225, -0.025942141190171242]","[0.5754669308662415, 0.3558204174041748, -0.02220355160534382]","[0.45797374844551086, 0.3123374283313751, 0.08508957922458649]","[0.36564093828201294, 0.2287290096282959, -0.017808353528380394]","[0.47545117139816284, 0.356380820274353, -0.06627704948186874]","[0.571183979511261, 0.43856921792030334, -0.05763271823525429]","[0.33998721837997437, 0.39614373445510864, 0.05356927588582039]","[0.24018236994743347, 0.2590731978416443, 0.0025193234905600548]","[0.185196191072464, 0.1829807609319687, -0.02637346275150776]","[0.13956058025360107, 0.10648981481790543, -0.032793596386909485]"
"[0.8001337647438049, 0.5567134022712708, -8.953282417678565e-07]","[0.8110769391059875, 0.37691253423690796, -0.10102632641792297]","[0.6243538856506348, 0.20367993414402008, -0.12004456669092178]","[0.40653470158576965, 0.19695809483528137, -0.13491226732730865]","[0.317374050617218, 0.338771253824234, -0.12679432332515717]","[0.44528549909591675, 0.17833144962787628, 0.02073042280972004]","[0.2861645221710205, 0.11945707350969315, -0.062009092420339584]","[0.376038521528244, 0.18791769444942474, -0.09657396376132965]","[0.46162641048431396, 0.22538679838180542, -0.09484990686178207]","[0.38760027289390564, 0.3044881522655487, 0.03599248826503754]","[0.2508125305175781, 0.2726832926273346, -0.08364380896091461]","[0.3898300230503082, 0.32594287395477295, -0.1252925544977188]","[0.46740734577178955, 0.334496408700943, -0.10856810957193375]","[0.3544374108314514, 0.4337524175643921, 0.025904444977641106]","[0.23709432780742645, 0.42530542612075806, -0.10460061579942703]","[0.4172794818878174, 0.45506352186203003, -0.13304691016674042]","[0.5506572127342224, 0.4712226986885071, -0.09796439111232758]","[0.3345733880996704, 0.5568242073059082, 0.008844154886901379]","[0.17078818380832672, 0.5280938744544983, -0.05284051224589348]","[0.059707581996917725, 0.5190074443817139, -0.07672838121652603]","[-0.050493478775024414, 0.5068057775497437, -0.07220742851495743]"
"[0.49431902170181274, 0.7214155197143555, -7.609077101733419e-07]","[0.658592939376831, 0.6974294185638428, -0.08660675585269928]","[0.7987582087516785, 0.4897803068161011, -0.09500487893819809]","[0.7805109620094299, 0.27485349774360657, -0.10026276111602783]","[0.6590951681137085, 0.18142443895339966, -0.08475454151630402]","[0.8172585368156433, 0.35552477836608887, 0.06270188838243484]","[0.8569138050079346, 0.20786091685295105, 0.0019767521880567074]","[0.809104323387146, 0.27932676672935486, -0.025686124339699745]","[0.7813194394111633, 0.3506488800048828, -0.02349786087870598]","[0.6928173303604126, 0.3170647621154785, 0.07489364594221115]","[0.6962122917175293, 0.17069940268993378, -0.024728812277317047]","[0.6730655431747437, 0.28324875235557556, -0.07107460498809814]","[0.669364869594574, 0.3493657112121582, -0.061255861073732376]","[0.5667526721954346, 0.3063923418521881, 0.06361109018325806]","[0.5648270845413208, 0.19775795936584473, -0.05992165207862854]","[0.5764005780220032, 0.3638228476047516, -0.09514272958040237]","[0.580542802810669, 0.47398847341537476, -0.06679628789424896]","[0.44673195481300354, 0.31123316287994385, 0.04809705168008804]","[0.465551495552063, 0.17837953567504883, -0.01268208958208561]","[0.4672384262084961, 0.09931941330432892, -0.030854927375912666]","[0.4643441438674927, 0.003397315740585327, -0.02251652255654335]"
