Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.5110432505607605, 0.8987606763839722, 7.040471814434568e-07]","[0.6299321055412292, 0.7922594547271729, -0.06675490736961365]","[0.6539703011512756, 0.6075020432472229, -0.07835091650485992]","[0.6066864132881165, 0.45721110701560974, -0.09202726185321808]","[0.5744635462760925, 0.3427202105522156, -0.10204283893108368]","[0.6063121557235718, 0.4802856147289276, -0.01167378295212984]","[0.6286855340003967, 0.30557599663734436, -0.0559682697057724]","[0.6332675218582153, 0.196719229221344, -0.08200714737176895]","[0.6312426924705505, 0.10088318586349487, -0.09964320063591003]","[0.503969669342041, 0.4874725341796875, -0.019182652235031128]","[0.4558791518211365, 0.28940683603286743, -0.09041308611631393]","[0.4208803176879883, 0.15961074829101562, -0.13547030091285706]","[0.379827082157135, 0.05272531509399414, -0.15515266358852386]","[0.41197967529296875, 0.5383330583572388, -0.037304166704416275]","[0.38636061549186707, 0.43138983845710754, -0.16076558828353882]","[0.4436880946159363, 0.5649624466896057, -0.18327826261520386]","[0.4805135130882263, 0.662695050239563, -0.16071929037570953]","[0.32876360416412354, 0.6153371334075928, -0.05822249874472618]","[0.32386377453804016, 0.5311182737350464, -0.1680644154548645]","[0.37799257040023804, 0.6246641874313354, -0.17922398447990417]","[0.4182065427303314, 0.7064502239227295, -0.1607382446527481]"
"[0.7042937874794006, 0.7451854944229126, 4.835601998820493e-07]","[0.7374892234802246, 0.5734722018241882, -0.05119048058986664]","[0.6436130404472351, 0.42767301201820374, -0.057513635605573654]","[0.4908902943134308, 0.38307178020477295, -0.06515626609325409]","[0.3734893500804901, 0.36992982029914856, -0.0695234164595604]","[0.5136088132858276, 0.37697723507881165, -0.003162731882184744]","[0.4024273753166199, 0.24275195598602295, -0.024872390553355217]","[0.31649601459503174, 0.16789944469928741, -0.04247494041919708]","[0.24125896394252777, 0.10456791520118713, -0.059025347232818604]","[0.43628281354904175, 0.4365811049938202, -0.0073327068239450455]","[0.28528469800949097, 0.326773464679718, -0.04109174385666847]","[0.19349467754364014, 0.2509312033653259, -0.0709327831864357]","[0.11381322145462036, 0.20443804562091827, -0.09126380831003189]","[0.3982321619987488, 0.5132588148117065, -0.020254084840416908]","[0.27404195070266724, 0.417097270488739, -0.0852336511015892]","[0.3801098167896271, 0.42437249422073364, -0.10669621080160141]","[0.4643329083919525, 0.4570313096046448, -0.10385934263467789]","[0.3794383406639099, 0.6018050312995911, -0.037606995552778244]","[0.2971856892108917, 0.5042519569396973, -0.0960446447134018]","[0.3634801506996155, 0.4806048572063446, -0.11263619363307953]","[0.436139315366745, 0.48433810472488403, -0.11414133757352829]"
"[0.23337161540985107, 0.7764016389846802, 1.1784725302277366e-06]","[0.38095158338546753, 0.8049483895301819, -0.08592791855335236]","[0.5288591384887695, 0.6878601908683777, -0.09761138260364532]","[0.5989829897880554, 0.5417333245277405, -0.10492530465126038]","[0.6617019176483154, 0.4373953640460968, -0.10749441385269165]","[0.5976567268371582, 0.5780653953552246, -0.02142070233821869]","[0.7415664792060852, 0.4702703654766083, -0.06369584798812866]","[0.8249534368515015, 0.3874536454677582, -0.08733794838190079]","[0.8931196928024292, 0.3099793791770935, -0.10316858440637589]","[0.5201060771942139, 0.497710257768631, -0.017903991043567657]","[0.6231233477592468, 0.33578240871429443, -0.08411367237567902]","[0.6866226196289062, 0.21359938383102417, -0.12451156973838806]","[0.7307004332542419, 0.1076662540435791, -0.1390029639005661]","[0.4220966696739197, 0.4635820984840393, -0.027227886021137238]","[0.45854488015174866, 0.3528556823730469, -0.15368394553661346]","[0.39340680837631226, 0.48801201581954956, -0.1772480010986328]","[0.35212796926498413, 0.5846612453460693, -0.15214771032333374]","[0.30667558312416077, 0.4604976177215576, -0.040623780339956284]","[0.3378410339355469, 0.39786434173583984, -0.16307339072227478]","[0.3035447299480438, 0.5041259527206421, -0.18129776418209076]","[0.28479987382888794, 0.589565634727478, -0.16362938284873962]"
"[0.45454683899879456, 0.7960389852523804, 6.118000897004094e-07]","[0.5552449226379395, 0.7082178592681885, -0.09048225730657578]","[0.6089423894882202, 0.5407853126525879, -0.0988345593214035]","[0.5856500864028931, 0.39004915952682495, -0.097442626953125]","[0.5817152857780457, 0.276456356048584, -0.09115555137395859]","[0.6225510239601135, 0.45108261704444885, -0.015632200986146927]","[0.6546576619148254, 0.28411656618118286, -0.044010695070028305]","[0.6760824918746948, 0.1717664897441864, -0.06436554342508316]","[0.6958512663841248, 0.07648089528083801, -0.07968348264694214]","[0.5307110548019409, 0.4431282579898834, 0.0011446616845205426]","[0.5003684759140015, 0.25939464569091797, -0.04163975641131401]","[0.4854625463485718, 0.14240291714668274, -0.07578758895397186]","[0.46308672428131104, 0.045363157987594604, -0.09120010584592819]","[0.4406454563140869, 0.47438377141952515, 0.00437573017552495]","[0.39523258805274963, 0.3727547824382782, -0.09156260639429092]","[0.40749025344848633, 0.5035452246665955, -0.12515802681446075]","[0.4296042323112488, 0.5897982120513916, -0.11803200095891953]","[0.3637235164642334, 0.5304454565048218, 0.0033313417807221413]","[0.3328744173049927, 0.4718273878097534, -0.0898103341460228]","[0.35164445638656616, 0.5646107196807861, -0.11328545212745667]","[0.3803015947341919, 0.6306138634681702, -0.10947850346565247]"
"[0.3632991909980774, 0.6494056582450867, 4.627284795333253e-07]","[0.4812071621417999, 0.6310847997665405, -0.10064001381397247]","[0.5887373685836792, 0.5262715220451355, -0.10620525479316711]","[0.6238396763801575, 0.38798990845680237, -0.09623920917510986]","[0.6588498950004578, 0.2902939021587372, -0.08010159432888031]","[0.6572081446647644, 0.4760676920413971, -0.009859373793005943]","[0.7487430572509766, 0.3416982591152191, -0.03165026381611824]","[0.797572135925293, 0.24006080627441406, -0.05092362314462662]","[0.838533341884613, 0.1562161147594452, -0.06613221019506454]","[0.5871778726577759, 0.41801396012306213, 0.0167442224919796]","[0.6308289170265198, 0.25450408458709717, -0.022123565897345543]","[0.6449090242385864, 0.13436225056648254, -0.060860224068164825]","[0.6502891778945923, 0.036737293004989624, -0.0785750076174736]","[0.5042312145233154, 0.39200514554977417, 0.029106616973876953]","[0.5175740122795105, 0.27772217988967896, -0.06477919965982437]","[0.4473717212677002, 0.3722350001335144, -0.1018742024898529]","[0.41331884264945984, 0.441241979598999, -0.09645155817270279]","[0.4183708727359772, 0.3946860730648041, 0.03655435889959335]","[0.4247589409351349, 0.3235209584236145, -0.06103268265724182]","[0.3820972740650177, 0.4002798795700073, -0.08589481562376022]","[0.3638736605644226, 0.4619067907333374, -0.0802595391869545]"
"[0.3093658685684204, 0.7309532165527344, 1.013578525999037e-06]","[0.4900015592575073, 0.7275731563568115, -0.04162139445543289]","[0.6218771934509277, 0.5928935408592224, -0.021667083725333214]","[0.6716880202293396, 0.44821590185165405, -0.0064138388261199]","[0.7035570740699768, 0.34422701597213745, 0.01111202035099268]","[0.6344717144966125, 0.5267321467399597, 0.06377196311950684]","[0.7618305087089539, 0.412608802318573, 0.05254581943154335]","[0.8440220952033997, 0.33515840768814087, 0.03865966945886612]","[0.9175044298171997, 0.26650962233543396, 0.024970754981040955]","[0.5518225431442261, 0.4644604027271271, 0.05718569457530975]","[0.6429921984672546, 0.3185006082057953, 0.018373580649495125]","[0.709192156791687, 0.2137630581855774, -0.022380121052265167]","[0.7542962431907654, 0.1215345561504364, -0.04466317966580391]","[0.45335274934768677, 0.42824700474739075, 0.03775167092680931]","[0.5145416259765625, 0.31438758969306946, -0.06306391209363937]","[0.4574783444404602, 0.44237443804740906, -0.09469844400882721]","[0.41359078884124756, 0.5280407071113586, -0.08352065086364746]","[0.34470880031585693, 0.40214821696281433, 0.017286507412791252]","[0.4076339602470398, 0.311339795589447, -0.08016609400510788]","[0.38387545943260193, 0.3971598148345947, -0.10353630781173706]","[0.36940714716911316, 0.46967411041259766, -0.0998535305261612]"
"[0.5140576958656311, 0.7604712247848511, 6.478777692109361e-08]","[0.6177950501441956, 0.5992113351821899, -0.03583570942282677]","[0.6146128177642822, 0.4369533360004425, -0.010082144290208817]","[0.5422436594963074, 0.31357434391975403, 0.01144328247755766]","[0.47710108757019043, 0.2339215725660324, 0.03644683584570885]","[0.5925161242485046, 0.366495281457901, 0.1049845740199089]","[0.5655564069747925, 0.21008355915546417, 0.10794254392385483]","[0.5307467579841614, 0.12287087738513947, 0.09285489469766617]","[0.5040339231491089, 0.05192285776138306, 0.07915300130844116]","[0.5039464831352234, 0.3872145414352417, 0.10700132697820663]","[0.44094014167785645, 0.22392821311950684, 0.08801334351301193]","[0.39142492413520813, 0.12557531893253326, 0.04550199583172798]","[0.34739354252815247, 0.052022695541381836, 0.02069735713303089]","[0.42667216062545776, 0.4320560097694397, 0.09502425789833069]","[0.38176798820495605, 0.31712645292282104, 0.020254818722605705]","[0.4136839509010315, 0.41931241750717163, -0.026377474889159203]","[0.4387204647064209, 0.5005015134811401, -0.032085806131362915]","[0.35453152656555176, 0.4867404103279114, 0.08210691809654236]","[0.33375832438468933, 0.40130114555358887, 0.004188294056802988]","[0.35801905393600464, 0.47545385360717773, -0.025405792519450188]","[0.38721132278442383, 0.5411746501922607, -0.029224054887890816]"
"[0.6875635981559753, 0.7235605716705322, 7.569513513772108e-07]","[0.6824163198471069, 0.5906805396080017, -0.09559939801692963]","[0.587304949760437, 0.4476969242095947, -0.107039675116539]","[0.4623899757862091, 0.37148693203926086, -0.10795629769563675]","[0.37629246711730957, 0.29463356733322144, -0.10182536393404007]","[0.5361096262931824, 0.37475672364234924, -0.018579602241516113]","[0.4320019483566284, 0.2392200529575348, -0.05177445709705353]","[0.3629125952720642, 0.15141741931438446, -0.07313525676727295]","[0.3088424503803253, 0.07435423135757446, -0.08744984865188599]","[0.47061169147491455, 0.442653089761734, 7.8770455729682e-05]","[0.30995774269104004, 0.3443578779697418, -0.051085464656353]","[0.2068919837474823, 0.27701789140701294, -0.09103769063949585]","[0.11706143617630005, 0.22772587835788727, -0.10819243639707565]","[0.43732017278671265, 0.5331052541732788, 0.005053043831139803]","[0.3319840431213379, 0.5057199001312256, -0.09906037151813507]","[0.44525885581970215, 0.5823974609375, -0.13340574502944946]","[0.5295870900154114, 0.619518518447876, -0.12326841801404953]","[0.4314427971839905, 0.6274139881134033, 0.005632821004837751]","[0.3686550259590149, 0.6169715523719788, -0.09432853013277054]","[0.456186443567276, 0.6643271446228027, -0.11805560439825058]","[0.5275874137878418, 0.6831190586090088, -0.1113782748579979]"
"[0.24888238310813904, 0.6966427564620972, 1.2717537174466997e-06]","[0.398104190826416, 0.6967251300811768, -0.09173860400915146]","[0.5621089339256287, 0.6054027676582336, -0.09932450205087662]","[0.6342949271202087, 0.4683353900909424, -0.09954256564378738]","[0.7217739820480347, 0.3722143769264221, -0.08895935863256454]","[0.6175421476364136, 0.5522870421409607, 0.002684646053239703]","[0.7664400935173035, 0.4493589997291565, -0.03884408622980118]","[0.8574792146682739, 0.38550764322280884, -0.05541709437966347]","[0.9373452663421631, 0.31746286153793335, -0.06443627178668976]","[0.5422289371490479, 0.48185595870018005, 0.011877433396875858]","[0.6605252027511597, 0.3372107744216919, -0.06301198899745941]","[0.7283875942230225, 0.2573898136615753, -0.10696040093898773]","[0.7950401902198792, 0.16139161586761475, -0.11963000893592834]","[0.4410523772239685, 0.4502076208591461, 0.006038938648998737]","[0.4672245681285858, 0.3617309629917145, -0.12905876338481903]","[0.3911586403846741, 0.49130865931510925, -0.15464894473552704]","[0.37135618925094604, 0.5528841018676758, -0.12855473160743713]","[0.33077359199523926, 0.435320109128952, -0.0030011397320777178]","[0.3531340956687927, 0.37874019145965576, -0.1208207756280899]","[0.3074719309806824, 0.4817942976951599, -0.13602761924266815]","[0.3047095537185669, 0.5325876474380493, -0.11863193660974503]"
"[0.46985024213790894, 0.7946289777755737, 1.5383529117229955e-08]","[0.6035703420639038, 0.6718003749847412, -0.0515388622879982]","[0.6203941106796265, 0.4960920512676239, -0.04531698673963547]","[0.5387875437736511, 0.35106608271598816, -0.04297128692269325]","[0.4915049374103546, 0.2491002380847931, -0.037073031067848206]","[0.6174461841583252, 0.3837689161300659, 0.05086973309516907]","[0.6169491410255432, 0.2189667969942093, 0.04445645958185196]","[0.6051114797592163, 0.1210167407989502, 0.028316203504800797]","[0.5960298776626587, 0.03789028525352478, 0.009879015386104584]","[0.516853928565979, 0.38024309277534485, 0.048552483320236206]","[0.4702266752719879, 0.21357829868793488, 0.023874586448073387]","[0.4409109055995941, 0.11266720294952393, -0.0117282560095191]","[0.4124813973903656, 0.03057718276977539, -0.036508310586214066]","[0.4304581880569458, 0.41626524925231934, 0.03230920061469078]","[0.38640403747558594, 0.28264957666397095, -0.033560290932655334]","[0.42369544506073, 0.3786178231239319, -0.06959265470504761]","[0.45404142141342163, 0.456930011510849, -0.07732459902763367]","[0.34825730323791504, 0.4664326310157776, 0.01144720520824194]","[0.32120761275291443, 0.3498367667198181, -0.05178561806678772]","[0.35427358746528625, 0.39781391620635986, -0.07897306233644485]","[0.40203315019607544, 0.45719316601753235, -0.08995817601680756]"
