Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.17710328102111816, 0.7040239572525024, 6.901073561493831e-07]","[0.33120131492614746, 0.7274302244186401, -0.09095524251461029]","[0.5256770849227905, 0.6683306097984314, -0.1383659541606903]","[0.6948074102401733, 0.6485312581062317, -0.17851516604423523]","[0.824985146522522, 0.6731510162353516, -0.21927903592586517]","[0.527335524559021, 0.45196837186813354, -0.0682467594742775]","[0.6358523368835449, 0.29770147800445557, -0.11538709700107574]","[0.7059545516967773, 0.19537079334259033, -0.13886792957782745]","[0.7516174912452698, 0.10853403806686401, -0.15946988761425018]","[0.4267320930957794, 0.39268791675567627, -0.05950615927577019]","[0.4981665313243866, 0.2908855080604553, -0.14545951783657074]","[0.4146445393562317, 0.4410971701145172, -0.15056639909744263]","[0.36852696537971497, 0.5284022092819214, -0.12799204885959625]","[0.3111589550971985, 0.3609265387058258, -0.061776548624038696]","[0.36282819509506226, 0.29696667194366455, -0.15479165315628052]","[0.3007417321205139, 0.4512409269809723, -0.1259576827287674]","[0.2715887427330017, 0.5189053416252136, -0.07840010523796082]","[0.18715161085128784, 0.34875237941741943, -0.07091853022575378]","[0.23851263523101807, 0.2735646665096283, -0.13267244398593903]","[0.21619239449501038, 0.387093722820282, -0.106577068567276]","[0.20076847076416016, 0.4460323452949524, -0.07165773957967758]"
"[0.08437606692314148, 0.5713309049606323, 3.209534042980522e-07]","[0.24206066131591797, 0.6340318918228149, -0.12984423339366913]","[0.4414297342300415, 0.6477982997894287, -0.17556358873844147]","[0.6251727342605591, 0.6698265671730042, -0.20425306260585785]","[0.7687109112739563, 0.6996058225631714, -0.22200658917427063]","[0.5505383610725403, 0.43623238801956177, -0.044692497700452805]","[0.6855428814888, 0.3138278126716614, -0.07748338580131531]","[0.7583093643188477, 0.23637235164642334, -0.09179474413394928]","[0.8194536566734314, 0.1556805968284607, -0.10329771041870117]","[0.46458664536476135, 0.36399000883102417, -0.009636434726417065]","[0.5285732746124268, 0.23827135562896729, -0.057439688593149185]","[0.4186960458755493, 0.3335762619972229, -0.051100295037031174]","[0.3918178081512451, 0.40050286054611206, -0.031313199549913406]","[0.360259085893631, 0.3152955174446106, 0.005218811333179474]","[0.37993156909942627, 0.22762036323547363, -0.067934550344944]","[0.2930540442466736, 0.341268390417099, -0.05544406175613403]","[0.2936180531978607, 0.4120350182056427, -0.027533015236258507]","[0.2653931677341461, 0.2894109785556793, 0.00924342218786478]","[0.28806981444358826, 0.2154306173324585, -0.042930129915475845]","[0.23116722702980042, 0.2986520528793335, -0.0342215895652771]","[0.2252713441848755, 0.3630147874355316, -0.016492029651999474]"
"[0.38178059458732605, 0.9119366407394409, 3.0725121291652613e-07]","[0.5377181172370911, 0.7837311625480652, -0.12064231932163239]","[0.6350922584533691, 0.6107068061828613, -0.16022774577140808]","[0.6993201971054077, 0.43844375014305115, -0.17842882871627808]","[0.8252468705177307, 0.3537404537200928, -0.18035788834095]","[0.4755827784538269, 0.41529542207717896, -0.03680308163166046]","[0.44227272272109985, 0.2466326802968979, -0.08246153593063354]","[0.41773223876953125, 0.1493859589099884, -0.10200059413909912]","[0.3910514712333679, 0.05455148220062256, -0.11253613978624344]","[0.3646322786808014, 0.45263388752937317, 0.0008581767906434834]","[0.32406675815582275, 0.34504133462905884, -0.03908146917819977]","[0.3652641475200653, 0.5146466493606567, -0.015158457681536674]","[0.39853259921073914, 0.5554956793785095, 0.019020548090338707]","[0.26312893629074097, 0.5048081874847412, 0.016962289810180664]","[0.22126367688179016, 0.4044574797153473, -0.04967562481760979]","[0.28482431173324585, 0.5630875825881958, -0.017488593235611916]","[0.32509154081344604, 0.5893985033035278, 0.025448106229305267]","[0.17802289128303528, 0.5695481300354004, 0.022746294736862183]","[0.13321802020072937, 0.46276506781578064, -0.007292820140719414]","[0.1985071897506714, 0.5615315437316895, 0.026294995099306107]","[0.23270052671432495, 0.6070834398269653, 0.06110752746462822]"
"[0.10442039370536804, 0.5768153667449951, 8.309844190534932e-08]","[0.24504679441452026, 0.6267389059066772, -0.08849713206291199]","[0.46273866295814514, 0.6170797348022461, -0.12695728242397308]","[0.6433118581771851, 0.6500812768936157, -0.1591934859752655]","[0.758025050163269, 0.7277168035507202, -0.18731142580509186]","[0.526563823223114, 0.4323086738586426, -0.061691828072071075]","[0.6711699962615967, 0.31782910227775574, -0.11428850144147873]","[0.7588850855827332, 0.23991182446479797, -0.1445167511701584]","[0.8308422565460205, 0.16804268956184387, -0.17066402733325958]","[0.4467184543609619, 0.3583013117313385, -0.05391416698694229]","[0.5015918016433716, 0.27993345260620117, -0.1445605307817459]","[0.3848690390586853, 0.3805338740348816, -0.16182935237884521]","[0.32591789960861206, 0.45114654302597046, -0.15561284124851227]","[0.3481575846672058, 0.30478012561798096, -0.058191604912281036]","[0.38874149322509766, 0.23565347492694855, -0.15242786705493927]","[0.29529228806495667, 0.3482007384300232, -0.133499413728714]","[0.2528723478317261, 0.41801804304122925, -0.09972116351127625]","[0.2488974630832672, 0.2690150737762451, -0.07039247453212738]","[0.2924945652484894, 0.19750940799713135, -0.1356230229139328]","[0.23775964975357056, 0.281207799911499, -0.12375359237194061]","[0.21470078825950623, 0.34636738896369934, -0.10282059758901596]"
"[0.42696619033813477, 0.8869931697845459, 9.509017928621688e-08]","[0.5383025407791138, 0.7472108602523804, -0.08800314366817474]","[0.611055314540863, 0.5595488548278809, -0.10322006791830063]","[0.6861804723739624, 0.404751181602478, -0.10883408784866333]","[0.7831584215164185, 0.31935372948646545, -0.10505105555057526]","[0.4852851331233978, 0.4187726080417633, -0.0007598630036227405]","[0.462336927652359, 0.245713472366333, -0.027384303510189056]","[0.44052138924598694, 0.13915178179740906, -0.04466383904218674]","[0.4105755090713501, 0.0409756600856781, -0.06179020181298256]","[0.3910662531852722, 0.4574683606624603, 0.018955877050757408]","[0.338005006313324, 0.35510459542274475, -0.04010539501905441]","[0.3761712312698364, 0.499273419380188, -0.04757023602724075]","[0.41246092319488525, 0.5618168115615845, -0.033717285841703415]","[0.3036274015903473, 0.5183423757553101, 0.02317713014781475]","[0.2515904903411865, 0.4501909613609314, -0.05532235652208328]","[0.3086877465248108, 0.5825252532958984, -0.03980445861816406]","[0.35336315631866455, 0.6225714683532715, -0.0061233616434037685]","[0.22647607326507568, 0.5869731307029724, 0.019258100539445877]","[0.1799910068511963, 0.5207617878913879, -0.0336652435362339]","[0.23023834824562073, 0.6086474061012268, -0.018894759938120842]","[0.2751448452472687, 0.6460422873497009, 0.005402095150202513]"
"[0.2625740170478821, 0.9039352536201477, 3.6605942455025797e-07]","[0.4590061604976654, 0.8346948623657227, -0.10879720002412796]","[0.6226752400398254, 0.6844204664230347, -0.1550411731004715]","[0.7591062188148499, 0.5619615316390991, -0.1918419897556305]","[0.8844507932662964, 0.49168235063552856, -0.22333985567092896]","[0.45706456899642944, 0.4277045428752899, -0.044027820229530334]","[0.44760215282440186, 0.24330680072307587, -0.09161609411239624]","[0.4296746551990509, 0.13165968656539917, -0.12627075612545013]","[0.40016332268714905, 0.028428763151168823, -0.15663111209869385]","[0.3327210247516632, 0.44696730375289917, -0.02912014350295067]","[0.290327787399292, 0.32552462816238403, -0.1049882248044014]","[0.3093525767326355, 0.4932875633239746, -0.12498075515031815]","[0.33645501732826233, 0.5857148170471191, -0.12328409403562546]","[0.214458167552948, 0.5036417245864868, -0.030376099050045013]","[0.17622783780097961, 0.40791448950767517, -0.12268459796905518]","[0.21772941946983337, 0.5636630654335022, -0.11518115550279617]","[0.2595997452735901, 0.6406811475753784, -0.09031584113836288]","[0.12333318591117859, 0.583231508731842, -0.04042920470237732]","[0.09295564889907837, 0.49823781847953796, -0.10679971426725388]","[0.13352248072624207, 0.6021603941917419, -0.09937454760074615]","[0.178791344165802, 0.6618773937225342, -0.08263397961854935]"
"[0.2535581588745117, 0.7269769906997681, 5.852488129676203e-07]","[0.425048828125, 0.6982999444007874, -0.06655919551849365]","[0.5844746828079224, 0.600242018699646, -0.08472064137458801]","[0.720346212387085, 0.5331306457519531, -0.09880979359149933]","[0.8390102386474609, 0.5236207246780396, -0.10838937014341354]","[0.5405789017677307, 0.4190710484981537, -0.006371115334331989]","[0.6205379366874695, 0.26540541648864746, -0.03816569223999977]","[0.6764310598373413, 0.1640297770500183, -0.05746635049581528]","[0.713671088218689, 0.07871803641319275, -0.07599607110023499]","[0.4440668821334839, 0.38263723254203796, -0.0009620459750294685]","[0.4980325996875763, 0.28045734763145447, -0.0693574994802475]","[0.44094306230545044, 0.4242427349090576, -0.07716052979230881]","[0.4101162552833557, 0.5094581842422485, -0.05976760759949684]","[0.33377498388290405, 0.3762274980545044, -0.007277988363057375]","[0.3724372386932373, 0.29962682723999023, -0.08614784479141235]","[0.33516156673431396, 0.4450564980506897, -0.059197135269641876]","[0.3238426446914673, 0.5059700012207031, -0.01602749153971672]","[0.21923509240150452, 0.38594210147857666, -0.01942725107073784]","[0.2590855360031128, 0.3033677339553833, -0.07044456899166107]","[0.24804949760437012, 0.40806955099105835, -0.044483404606580734]","[0.2486644685268402, 0.46055254340171814, -0.011748423799872398]"
"[0.22983449697494507, 0.7481821775436401, 2.994579233472905e-07]","[0.3869759142398834, 0.7545720934867859, -0.12576791644096375]","[0.5642231702804565, 0.6545120477676392, -0.17473940551280975]","[0.7161870002746582, 0.5492869019508362, -0.20489706099033356]","[0.8433367013931274, 0.4913185238838196, -0.21969258785247803]","[0.5103462934494019, 0.4191564917564392, -0.0730917900800705]","[0.5427747964859009, 0.24710601568222046, -0.1323048174381256]","[0.5613363981246948, 0.1462390124797821, -0.14836524426937103]","[0.5807933807373047, 0.04312804341316223, -0.1559217870235443]","[0.3981204628944397, 0.402478963136673, -0.04004727676510811]","[0.39483779668807983, 0.3087000846862793, -0.09966670721769333]","[0.36837491393089294, 0.4723034203052521, -0.07095113396644592]","[0.4032518267631531, 0.49468064308166504, -0.032915450632572174]","[0.29331499338150024, 0.4054328203201294, -0.02891567163169384]","[0.2926165461540222, 0.32195818424224854, -0.11151554435491562]","[0.2855828106403351, 0.474929541349411, -0.06723061203956604]","[0.32261645793914795, 0.49070364236831665, -0.018064722418785095]","[0.19895672798156738, 0.41968637704849243, -0.02941226027905941]","[0.19336125254631042, 0.35627496242523193, -0.08539824187755585]","[0.1994968056678772, 0.46810880303382874, -0.06017579138278961]","[0.21681225299835205, 0.5015292167663574, -0.029080158099532127]"
"[0.09261268377304077, 0.5536563396453857, 5.105993636789208e-07]","[0.24735891819000244, 0.6639744639396667, -0.09727620333433151]","[0.4438345730304718, 0.6988942623138428, -0.14221708476543427]","[0.623949408531189, 0.7142865061759949, -0.1820458173751831]","[0.7534374594688416, 0.7540473341941833, -0.22238284349441528]","[0.5184662938117981, 0.41296595335006714, -0.02993638627231121]","[0.6680291891098022, 0.28949978947639465, -0.060872361063957214]","[0.7495520710945129, 0.20684856176376343, -0.08707466721534729]","[0.8056626915931702, 0.139155775308609, -0.1109369695186615]","[0.4470495283603668, 0.32630908489227295, -0.018016446381807327]","[0.5922763347625732, 0.18781372904777527, -0.07820872962474823]","[0.5196568965911865, 0.2645500898361206, -0.10231916606426239]","[0.4511232078075409, 0.3467712104320526, -0.10175585001707077]","[0.35689032077789307, 0.2665700316429138, -0.019186656922101974]","[0.48557937145233154, 0.1424105167388916, -0.08946526050567627]","[0.40868431329727173, 0.23384034633636475, -0.08946346491575241]","[0.3386109471321106, 0.31935128569602966, -0.06958896666765213]","[0.2494923174381256, 0.23117128014564514, -0.029296517372131348]","[0.35587233304977417, 0.1260523945093155, -0.08372277766466141]","[0.3144109845161438, 0.1939200907945633, -0.08134344220161438]","[0.26465728878974915, 0.2683093547821045, -0.0681469738483429]"
"[0.15738672018051147, 0.6359388828277588, 2.747923701917898e-07]","[0.3243357539176941, 0.655886173248291, -0.08791781961917877]","[0.5091283917427063, 0.6195264458656311, -0.12476085871458054]","[0.6840832829475403, 0.6191141605377197, -0.14999127388000488]","[0.8082417249679565, 0.6705800294876099, -0.16432040929794312]","[0.5247179865837097, 0.4018988013267517, -0.0480329692363739]","[0.6336560249328613, 0.2578217387199402, -0.08835472911596298]","[0.6989370584487915, 0.16582277417182922, -0.1090647503733635]","[0.7458478212356567, 0.07791000604629517, -0.12836764752864838]","[0.4276939630508423, 0.34902453422546387, -0.031865157186985016]","[0.47765034437179565, 0.2762638032436371, -0.09087858349084854]","[0.3928176164627075, 0.42129620909690857, -0.08416885882616043]","[0.3623170852661133, 0.48641854524612427, -0.0658765584230423]","[0.31228384375572205, 0.3244611322879791, -0.028378309682011604]","[0.3477112054824829, 0.27602219581604004, -0.10045626014471054]","[0.2898074984550476, 0.4158223867416382, -0.06318973749876022]","[0.27706560492515564, 0.46747636795043945, -0.02075609378516674]","[0.2009817361831665, 0.3247464597225189, -0.03276271000504494]","[0.2332226037979126, 0.2626551687717438, -0.07107707113027573]","[0.20784789323806763, 0.3620126247406006, -0.03699352219700813]","[0.2063867747783661, 0.40191182494163513, -0.005220847204327583]"
