Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.4462537169456482, 0.44408339262008667, -2.0214437768117932e-07]","[0.59248286485672, 0.5078504681587219, -0.17156173288822174]","[0.7339211702346802, 0.4944239854812622, -0.32939600944519043]","[0.7781662940979004, 0.5117179751396179, -0.45390641689300537]","[0.7536798715591431, 0.5387726426124573, -0.5832273364067078]","[0.8365428447723389, 0.23962870240211487, -0.4968588352203369]","[0.875206708908081, 0.26496052742004395, -0.6748746633529663]","[0.7993054389953613, 0.4079888164997101, -0.7798953056335449]","[0.7195688486099243, 0.5281715989112854, -0.853416383266449]","[0.6862534880638123, 0.14421746134757996, -0.48463353514671326]","[0.7006279230117798, 0.18680575489997864, -0.6668946743011475]","[0.628410816192627, 0.3823750615119934, -0.7491357922554016]","[0.5731182098388672, 0.5429677963256836, -0.8236255049705505]","[0.5205997824668884, 0.12588226795196533, -0.46686503291130066]","[0.5384718775749207, 0.1777113378047943, -0.65281742811203]","[0.4835081994533539, 0.3546564280986786, -0.7320219278335571]","[0.47197359800338745, 0.48367318511009216, -0.7790158987045288]","[0.35106974840164185, 0.16636501252651215, -0.45355531573295593]","[0.3584335446357727, 0.2636137902736664, -0.6081091165542603]","[0.3501138389110565, 0.42666468024253845, -0.6772815585136414]","[0.37287962436676025, 0.5582811236381531, -0.7292933464050293]"
"[0.2585962414741516, 0.7991839647293091, -5.357281338547182e-07]","[0.17330732941627502, 0.5829958915710449, -0.10676062107086182]","[0.2180885672569275, 0.34511470794677734, -0.14637619256973267]","[0.3632696270942688, 0.27538591623306274, -0.18134014308452606]","[0.44769877195358276, 0.35271769762039185, -0.20091180503368378]","[0.4982657730579376, 0.24986061453819275, -0.0009606985840946436]","[0.5893370509147644, 0.13485267758369446, -0.07569889724254608]","[0.5747277736663818, 0.20643654465675354, -0.1430779993534088]","[0.526496410369873, 0.309975802898407, -0.18704406917095184]","[0.6160475015640259, 0.34743785858154297, 0.012447778135538101]","[0.7289541959762573, 0.20284128189086914, -0.07703886926174164]","[0.706990122795105, 0.2625477910041809, -0.150672048330307]","[0.6434931755065918, 0.351063996553421, -0.18855661153793335]","[0.6907671689987183, 0.4621358811855316, 0.003459923667833209]","[0.8114198446273804, 0.3132651448249817, -0.09154079854488373]","[0.8076757788658142, 0.3385411500930786, -0.1631850153207779]","[0.7304942607879639, 0.40655970573425293, -0.1940222680568695]","[0.7417321801185608, 0.6134807467460632, -0.016466330736875534]","[0.8176130056381226, 0.4829534590244293, -0.11031238734722137]","[0.8220457434654236, 0.46108344197273254, -0.17758126556873322]","[0.7805213332176208, 0.47354134917259216, -0.21335570514202118]"
"[0.38105085492134094, 0.2308245450258255, -6.749264684913214e-07]","[0.3781144618988037, 0.3404621183872223, -0.13630253076553345]","[0.3939831852912903, 0.4424796402454376, -0.30372217297554016]","[0.4557896852493286, 0.5167729258537292, -0.4500058889389038]","[0.512616753578186, 0.5787333846092224, -0.6025970578193665]","[0.13928349316120148, 0.4813658595085144, -0.47143620252609253]","[0.2851380705833435, 0.6157355904579163, -0.7003781199455261]","[0.44030672311782837, 0.6530811786651611, -0.8259727358818054]","[0.5874317288398743, 0.667851448059082, -0.8991177082061768]","[0.13685433566570282, 0.4426315426826477, -0.5104281902313232]","[0.2840997874736786, 0.577682375907898, -0.7504155039787292]","[0.48611509799957275, 0.6231544017791748, -0.8517117500305176]","[0.637073278427124, 0.640385091304779, -0.9183839559555054]","[0.19884750247001648, 0.3891928791999817, -0.5490753650665283]","[0.33621707558631897, 0.5630531311035156, -0.7689568996429443]","[0.534221887588501, 0.6563057899475098, -0.8508778810501099]","[0.6902068853378296, 0.6943407654762268, -0.896260142326355]","[0.3149424195289612, 0.3468366861343384, -0.5875442028045654]","[0.43755820393562317, 0.4630930423736572, -0.7655214071273804]","[0.5846588015556335, 0.5495477914810181, -0.8322949409484863]","[0.7092052102088928, 0.5900765061378479, -0.8730901479721069]"
"[0.32977405190467834, 0.2697926163673401, -1.3351996130950283e-06]","[0.2944537401199341, 0.31409919261932373, -0.06405668705701828]","[0.3066868782043457, 0.3774471879005432, -0.1040809154510498]","[0.33275070786476135, 0.4536671042442322, -0.13203606009483337]","[0.36473461985588074, 0.5110625624656677, -0.16601479053497314]","[0.3874928653240204, 0.15860459208488464, -0.13546141982078552]","[0.5421792268753052, 0.16673484444618225, -0.17575307190418243]","[0.6237523555755615, 0.23144498467445374, -0.2096170037984848]","[0.658897876739502, 0.29736819863319397, -0.235925555229187]","[0.4247291088104248, 0.12023112177848816, -0.12910722196102142]","[0.5491421222686768, 0.1576635092496872, -0.16701339185237885]","[0.6127822399139404, 0.2494341880083084, -0.20380902290344238]","[0.6439589262008667, 0.33070528507232666, -0.24537521600723267]","[0.44149261713027954, 0.12893471121788025, -0.12027440965175629]","[0.5399070978164673, 0.18658378720283508, -0.1818796843290329]","[0.5829634666442871, 0.2787467837333679, -0.21975570917129517]","[0.605362057685852, 0.35805565118789673, -0.24708311259746552]","[0.44308504462242126, 0.1737162172794342, -0.11108747124671936]","[0.48979103565216064, 0.24396520853042603, -0.16341139376163483]","[0.5097898840904236, 0.314885675907135, -0.1758563369512558]","[0.5232234001159668, 0.3824577331542969, -0.18776503205299377]"
"[0.681038498878479, 0.20000548660755157, -1.0757212294265628e-06]","[0.5590980648994446, 0.19507811963558197, -0.07855703681707382]","[0.474977970123291, 0.2094266563653946, -0.16301056742668152]","[0.4381762742996216, 0.29752200841903687, -0.24336646497249603]","[0.42471596598625183, 0.3973469138145447, -0.3309035897254944]","[0.6002382636070251, 0.09057047218084335, -0.1721988320350647]","[0.5611662268638611, 0.15960316359996796, -0.2768843472003937]","[0.5304058790206909, 0.28150641918182373, -0.35204604268074036]","[0.4999418556690216, 0.36564940214157104, -0.3947979211807251]","[0.7244205474853516, 0.144281268119812, -0.19117173552513123]","[0.7105134725570679, 0.2253407984972, -0.28661948442459106]","[0.6467385292053223, 0.34658437967300415, -0.33146020770072937]","[0.5860277414321899, 0.4134630560874939, -0.3580317497253418]","[0.8193776607513428, 0.2166973054409027, -0.21299682557582855]","[0.8078910708427429, 0.3031063675880432, -0.3159874379634857]","[0.7415109872817993, 0.4175000786781311, -0.33160969614982605]","[0.676106333732605, 0.4816054105758667, -0.32909291982650757]","[0.8761062026023865, 0.2949768304824829, -0.23834621906280518]","[0.900966465473175, 0.3913268446922302, -0.31335896253585815]","[0.8762108087539673, 0.4832906126976013, -0.30132073163986206]","[0.8416829705238342, 0.5410678386688232, -0.2833862900733948]"
"[0.5992349982261658, 0.2819543778896332, -7.09670928245032e-07]","[0.5172989964485168, 0.1902868151664734, -0.08528518676757812]","[0.4736560881137848, 0.19101214408874512, -0.14529429376125336]","[0.44497549533843994, 0.29146862030029297, -0.19053713977336884]","[0.4366205334663391, 0.4230736494064331, -0.24167323112487793]","[0.6184839010238647, 0.16958969831466675, -0.17153985798358917]","[0.6414729356765747, 0.2006603479385376, -0.24143460392951965]","[0.6245505809783936, 0.2895306348800659, -0.296884149312973]","[0.604840099811554, 0.3592672348022461, -0.3362886309623718]","[0.702652096748352, 0.2572004795074463, -0.16103491187095642]","[0.7620416283607483, 0.3195658028125763, -0.22421897947788239]","[0.7436048984527588, 0.39885008335113525, -0.26250919699668884]","[0.7134958505630493, 0.44341787695884705, -0.3011501431465149]","[0.7571029663085938, 0.3466624617576599, -0.14951270818710327]","[0.7961429357528687, 0.4197196960449219, -0.21486474573612213]","[0.7802202105522156, 0.4599268138408661, -0.21412551403045654]","[0.758849024772644, 0.47636404633522034, -0.21471209824085236]","[0.7874309420585632, 0.429282009601593, -0.14249247312545776]","[0.8037623763084412, 0.49701714515686035, -0.18911971151828766]","[0.7970606088638306, 0.5226335525512695, -0.17100046575069427]","[0.7828187346458435, 0.5338201522827148, -0.1586611270904541]"
"[0.2636972963809967, 0.2375365048646927, -1.0508804280107142e-06]","[0.2300078272819519, 0.30965256690979004, -0.05278220400214195]","[0.2672281563282013, 0.37506091594696045, -0.11549641937017441]","[0.33277586102485657, 0.41787415742874146, -0.16689932346343994]","[0.39375630021095276, 0.4584301710128784, -0.23055507242679596]","[0.24735291302204132, 0.17390543222427368, -0.1961817592382431]","[0.38819393515586853, 0.19835811853408813, -0.2618514895439148]","[0.47611936926841736, 0.2803109884262085, -0.31163156032562256]","[0.5313448309898376, 0.3610803484916687, -0.3481500744819641]","[0.3203277289867401, 0.08669076859951019, -0.2084270715713501]","[0.48484498262405396, 0.1445971578359604, -0.2720968425273895]","[0.5815238356590271, 0.2535139322280884, -0.3075908422470093]","[0.6385679244995117, 0.33972012996673584, -0.3460000157356262]","[0.39473769068717957, 0.06159380078315735, -0.2119942456483841]","[0.5593242645263672, 0.144724503159523, -0.27486374974250793]","[0.6366697549819946, 0.24592027068138123, -0.283962219953537]","[0.6757252216339111, 0.3137121796607971, -0.29385799169540405]","[0.4715046286582947, 0.07657891511917114, -0.21559567749500275]","[0.6216152906417847, 0.1521022468805313, -0.2668311893939972]","[0.6848849654197693, 0.22298887372016907, -0.25840097665786743]","[0.7182621955871582, 0.27221134305000305, -0.253488153219223]"
"[0.5293278694152832, 0.11739642918109894, -5.20353069077828e-07]","[0.6175575852394104, 0.14189191162586212, -0.018344594165682793]","[0.7097628116607666, 0.21010740101337433, -0.05127032846212387]","[0.7544137835502625, 0.28865376114845276, -0.08237199485301971]","[0.7803869247436523, 0.36302846670150757, -0.11280510574579239]","[0.634422779083252, 0.14863374829292297, -0.10412198305130005]","[0.7080204486846924, 0.31075042486190796, -0.14449100196361542]","[0.7214425206184387, 0.3286944329738617, -0.15473389625549316]","[0.7146874070167542, 0.30420058965682983, -0.15359824895858765]","[0.5720683932304382, 0.16072958707809448, -0.11431530117988586]","[0.655802309513092, 0.36414164304733276, -0.14934279024600983]","[0.6584194302558899, 0.35532835125923157, -0.1479446440935135]","[0.6477397084236145, 0.29925400018692017, -0.14404569566249847]","[0.5107771158218384, 0.183155357837677, -0.12051014602184296]","[0.5835205316543579, 0.3764873147010803, -0.14608310163021088]","[0.5933142304420471, 0.3525753617286682, -0.12466661632061005]","[0.5942785739898682, 0.2950058877468109, -0.10801345109939575]","[0.4529469609260559, 0.21575646102428436, -0.1257142424583435]","[0.5241671204566956, 0.35619282722473145, -0.14392033219337463]","[0.5406234860420227, 0.34322088956832886, -0.12490338087081909]","[0.5452886819839478, 0.29857560992240906, -0.1095377579331398]"
"[0.3330131769180298, 0.434023916721344, -1.4747392924618907e-06]","[0.42502182722091675, 0.36959201097488403, -0.07974755764007568]","[0.5093128681182861, 0.277580589056015, -0.15435060858726501]","[0.6005385518074036, 0.21852275729179382, -0.22663381695747375]","[0.6645103096961975, 0.18962004780769348, -0.2971385717391968]","[0.3177139163017273, 0.08346621692180634, -0.10588037222623825]","[0.4623821973800659, 0.08464143425226212, -0.19629919528961182]","[0.5493475198745728, 0.1842908263206482, -0.2569471597671509]","[0.582679033279419, 0.25956204533576965, -0.2940579056739807]","[0.250929057598114, 0.08853922039270401, -0.11451435834169388]","[0.4000263512134552, 0.10293599218130112, -0.19928306341171265]","[0.4849230647087097, 0.23202580213546753, -0.2378147542476654]","[0.49986714124679565, 0.3171647787094116, -0.2571609318256378]","[0.21447907388210297, 0.13376712799072266, -0.13136063516139984]","[0.31469282507896423, 0.11845220625400543, -0.2393716424703598]","[0.41702181100845337, 0.23552535474300385, -0.2588011622428894]","[0.44584810733795166, 0.3096631169319153, -0.25392869114875793]","[0.19821487367153168, 0.21033382415771484, -0.15119221806526184]","[0.2965356707572937, 0.24040907621383667, -0.24451062083244324]","[0.3956487774848938, 0.3263022303581238, -0.25477761030197144]","[0.43968313932418823, 0.37887871265411377, -0.2464563101530075]"
"[0.4486239552497864, 0.26514431834220886, 1.1164433999510948e-07]","[0.43377184867858887, 0.2521020770072937, -0.022681359201669693]","[0.4958031475543976, 0.23814842104911804, -0.08734773099422455]","[0.5704351663589478, 0.27066001296043396, -0.15063506364822388]","[0.6582849025726318, 0.30573710799217224, -0.2162521332502365]","[0.3609439730644226, 0.09212265908718109, -0.16480399668216705]","[0.5226449966430664, 0.18370544910430908, -0.2310873121023178]","[0.5716916918754578, 0.2591756582260132, -0.2726150453090668]","[0.6001842021942139, 0.30036845803260803, -0.298732727766037]","[0.41531050205230713, 0.06922885775566101, -0.1959790587425232]","[0.6001302003860474, 0.2740447521209717, -0.26672130823135376]","[0.5767532587051392, 0.3343290090560913, -0.2897416949272156]","[0.5476112961769104, 0.30356475710868835, -0.30557093024253845]","[0.4782036244869232, 0.08520156145095825, -0.2182023823261261]","[0.6404137015342712, 0.315620481967926, -0.2736358046531677]","[0.6017782688140869, 0.347250759601593, -0.2538546621799469]","[0.5726922154426575, 0.2886851727962494, -0.23535418510437012]","[0.5457236766815186, 0.1318661868572235, -0.24042455852031708]","[0.6690652370452881, 0.2943703830242157, -0.2800137996673584]","[0.6452316641807556, 0.3238361179828644, -0.2606622576713562]","[0.619243860244751, 0.2843167781829834, -0.24644063413143158]"
