Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.4214375913143158, 0.6799050569534302, 7.164350677157927e-07]","[0.6072852611541748, 0.6767604351043701, -0.04581790417432785]","[0.7425933480262756, 0.5224850177764893, -0.0760146751999855]","[0.7354953289031982, 0.36594846844673157, -0.11033732444047928]","[0.6951417922973633, 0.23914948105812073, -0.13563553988933563]","[0.7220557928085327, 0.33665305376052856, -0.03724104166030884]","[0.821723461151123, 0.2420983761548996, -0.11171509325504303]","[0.8623782396316528, 0.34437096118927, -0.13764280080795288]","[0.8218255639076233, 0.44940444827079773, -0.13450239598751068]","[0.6272635459899902, 0.2863548696041107, -0.05935083329677582]","[0.7535549998283386, 0.09414568543434143, -0.129908487200737]","[0.8090575933456421, 0.2170659750699997, -0.1376054584980011]","[0.7845889329910278, 0.32905641198158264, -0.11832716315984726]","[0.5168486833572388, 0.2614631950855255, -0.09342894703149796]","[0.6638273596763611, 0.1726709008216858, -0.19391481578350067]","[0.6488381624221802, 0.35456958413124084, -0.17215979099273682]","[0.5830656290054321, 0.43657243251800537, -0.1232951208949089]","[0.3993271291255951, 0.26891326904296875, -0.12925401329994202]","[0.5491474866867065, 0.23262789845466614, -0.20966549217700958]","[0.5476821660995483, 0.3635890781879425, -0.18393220007419586]","[0.48597365617752075, 0.41822290420532227, -0.14212793111801147]"
"[0.408517062664032, 0.4395942687988281, -7.450021826116426e-07]","[0.5033169388771057, 0.38561588525772095, -0.0891408696770668]","[0.5946357250213623, 0.2707224190235138, -0.16204816102981567]","[0.6356074810028076, 0.19837287068367004, -0.2305140644311905]","[0.6142243146896362, 0.19097155332565308, -0.2908370792865753]","[0.45483434200286865, 0.14783009886741638, -0.13495784997940063]","[0.49934121966362, 0.05325017124414444, -0.25267359614372253]","[0.5808755159378052, 0.12896491587162018, -0.30350854992866516]","[0.6289545297622681, 0.20659522712230682, -0.31897827982902527]","[0.3599308729171753, 0.20042194426059723, -0.1354193538427353]","[0.4154103398323059, 0.1286407858133316, -0.25664424896240234]","[0.5101953148841858, 0.258269339799881, -0.27587878704071045]","[0.534949004650116, 0.34906357526779175, -0.2656283676624298]","[0.2828286290168762, 0.27133679389953613, -0.14850164949893951]","[0.35990697145462036, 0.23362997174263, -0.26668116450309753]","[0.4444693624973297, 0.36261868476867676, -0.25058797001838684]","[0.45025503635406494, 0.44436514377593994, -0.21265876293182373]","[0.22155605256557465, 0.35139012336730957, -0.16667070984840393]","[0.30670419335365295, 0.3050680160522461, -0.23763911426067352]","[0.3708541989326477, 0.39340996742248535, -0.22022776305675507]","[0.3656732141971588, 0.460760235786438, -0.19184227287769318]"
"[0.4465661346912384, 0.5411112904548645, 4.666773634198762e-07]","[0.5887124538421631, 0.4898719787597656, -0.1369018852710724]","[0.7220746278762817, 0.4622676372528076, -0.27978599071502686]","[0.7891137003898621, 0.47547996044158936, -0.4087447226047516]","[0.7933331727981567, 0.4557861089706421, -0.538691520690918]","[0.6333277225494385, 0.12013273686170578, -0.3163785934448242]","[0.6768476366996765, 0.20496529340744019, -0.522830069065094]","[0.718537449836731, 0.34835928678512573, -0.6494481563568115]","[0.7220326066017151, 0.43426650762557983, -0.725602388381958]","[0.4441528618335724, 0.13866311311721802, -0.34457945823669434]","[0.5190847516059875, 0.2219921499490738, -0.5506599545478821]","[0.6045982837677002, 0.40225639939308167, -0.6226117610931396]","[0.6209920048713684, 0.47561484575271606, -0.66314697265625]","[0.2807736098766327, 0.23650436103343964, -0.38312315940856934]","[0.37281009554862976, 0.3294636607170105, -0.5677170753479004]","[0.49393725395202637, 0.4510316252708435, -0.5678266286849976]","[0.5346559882164001, 0.47795557975769043, -0.5545467734336853]","[0.13747626543045044, 0.3819269835948944, -0.42994198203086853]","[0.2109389305114746, 0.46432793140411377, -0.5675715208053589]","[0.3208538293838501, 0.5314874649047852, -0.5734249353408813]","[0.38099461793899536, 0.532935619354248, -0.5680501461029053]"
"[0.4247828722000122, 0.4542449116706848, -8.268415854217892e-07]","[0.48141950368881226, 0.42732709646224976, -0.10870498418807983]","[0.5620461106300354, 0.39164721965789795, -0.20340001583099365]","[0.6386886239051819, 0.4028269648551941, -0.2820814549922943]","[0.7301657795906067, 0.41883090138435364, -0.34183353185653687]","[0.7397653460502625, 0.21656882762908936, -0.20472295582294464]","[0.8208407163619995, 0.33232638239860535, -0.3413357138633728]","[0.7314302325248718, 0.48448485136032104, -0.3896300792694092]","[0.6538088917732239, 0.5164991617202759, -0.4121799170970917]","[0.6875485181808472, 0.18269075453281403, -0.2089247703552246]","[0.7328606247901917, 0.34470734000205994, -0.3544592261314392]","[0.6188051104545593, 0.5109819769859314, -0.36843010783195496]","[0.5567643046379089, 0.5108461976051331, -0.3641001582145691]","[0.6036905646324158, 0.19952991604804993, -0.2238623946905136]","[0.6331629157066345, 0.3772674798965454, -0.3586662709712982]","[0.5469999313354492, 0.5170944333076477, -0.3148159384727478]","[0.49088579416275024, 0.5011610984802246, -0.26790478825569153]","[0.5031464099884033, 0.24167384207248688, -0.24673134088516235]","[0.5253739356994629, 0.3952420949935913, -0.3381595015525818]","[0.4850364625453949, 0.4955422878265381, -0.31481239199638367]","[0.4532516300678253, 0.47562968730926514, -0.28433990478515625]"
"[0.5893505811691284, 0.8237502574920654, -5.154795985617966e-07]","[0.7135000824928284, 0.7017579078674316, -0.05534374341368675]","[0.713335394859314, 0.43153828382492065, -0.07921842485666275]","[0.60602867603302, 0.26828065514564514, -0.1051795557141304]","[0.5104357600212097, 0.1438671350479126, -0.11072739958763123]","[0.5518941283226013, 0.2625049948692322, 0.0014176986878737807]","[0.6665688157081604, 0.11555390059947968, -0.13790494203567505]","[0.7783588171005249, 0.2576896548271179, -0.2001374065876007]","[0.7923130989074707, 0.4076109528541565, -0.21105578541755676]","[0.4325557053089142, 0.2688209116458893, -0.02454373799264431]","[0.5814923048019409, 0.06397669017314911, -0.15519383549690247]","[0.6852050423622131, 0.23662063479423523, -0.1835225522518158]","[0.66900235414505, 0.33601436018943787, -0.16351643204689026]","[0.3298579156398773, 0.32602640986442566, -0.07267051935195923]","[0.5229246020317078, 0.23882731795310974, -0.2233579456806183]","[0.5961793065071106, 0.4539564847946167, -0.20777004957199097]","[0.5314230918884277, 0.521478533744812, -0.15272149443626404]","[0.24694614112377167, 0.4214625358581543, -0.12235787510871887]","[0.43173524737358093, 0.34724098443984985, -0.21380354464054108]","[0.489343523979187, 0.48461565375328064, -0.1807508021593094]","[0.41784101724624634, 0.5274722576141357, -0.13173438608646393]"
"[0.43279772996902466, 0.3966682553291321, 2.7256496650807094e-06]","[0.44432300329208374, 0.5943672060966492, -0.11404647678136826]","[0.46620696783065796, 0.7503721714019775, -0.26507723331451416]","[0.5303934812545776, 0.8120156526565552, -0.38485172390937805]","[0.5632413625717163, 0.7457878589630127, -0.4992239773273468]","[0.17136543989181519, 0.5653694272041321, -0.5286600589752197]","[0.46420884132385254, 0.5555395483970642, -0.7011204361915588]","[0.6219232678413391, 0.6263248920440674, -0.7369887232780457]","[0.6510241627693176, 0.6869080662727356, -0.7303833365440369]","[0.18859702348709106, 0.3496469259262085, -0.5197449922561646]","[0.5066798329353333, 0.34495553374290466, -0.7027845978736877]","[0.6940687894821167, 0.48359203338623047, -0.6959585547447205]","[0.7100921869277954, 0.5926350951194763, -0.6717110276222229]","[0.2587478458881378, 0.19814881682395935, -0.4965685307979584]","[0.5718709230422974, 0.18038725852966309, -0.6451654434204102]","[0.7242062091827393, 0.31392741203308105, -0.6325660943984985]","[0.7195934653282166, 0.4196866750717163, -0.6001719832420349]","[0.3628218173980713, 0.11244037747383118, -0.47391271591186523]","[0.5672719478607178, 0.08719527721405029, -0.5836694836616516]","[0.6893962025642395, 0.16921588778495789, -0.6055227518081665]","[0.713798999786377, 0.2567533254623413, -0.6073507070541382]"
"[0.3462216854095459, 0.7604501247406006, 6.81876485941757e-07]","[0.519176721572876, 0.7773072123527527, -0.04169314727187157]","[0.7007133960723877, 0.5990018248558044, -0.07224877178668976]","[0.7199044227600098, 0.406180202960968, -0.11171295493841171]","[0.7245427966117859, 0.25080665946006775, -0.13763867318630219]","[0.6968728303909302, 0.3851853609085083, -0.011979657225310802]","[0.8393913507461548, 0.33507874608039856, -0.12832914292812347]","[0.8661279082298279, 0.49011674523353577, -0.17540128529071808]","[0.7872273921966553, 0.6116920709609985, -0.17772185802459717]","[0.618819534778595, 0.3087042570114136, -0.04626106470823288]","[0.8329775333404541, 0.2165285348892212, -0.15036490559577942]","[0.8443615436553955, 0.38823097944259644, -0.16774466633796692]","[0.7794291973114014, 0.4709949791431427, -0.14763307571411133]","[0.5086575746536255, 0.2660745084285736, -0.09832057356834412]","[0.7035980820655823, 0.3050066828727722, -0.23453876376152039]","[0.6121820211410522, 0.5018709301948547, -0.20779211819171906]","[0.5018333196640015, 0.5202310085296631, -0.1481805294752121]","[0.378312349319458, 0.2599849998950958, -0.15047676861286163]","[0.5646352171897888, 0.3341420590877533, -0.24384813010692596]","[0.5151456594467163, 0.47002387046813965, -0.20603497326374054]","[0.4291374087333679, 0.46245521306991577, -0.1540239155292511]"
"[0.4643273949623108, 0.7237181067466736, 9.60907584612869e-08]","[0.6393853425979614, 0.6812636852264404, -0.06251510977745056]","[0.7910534739494324, 0.4966433048248291, -0.10137879848480225]","[0.7560176849365234, 0.31857559084892273, -0.13775169849395752]","[0.6873577833175659, 0.1937985122203827, -0.15693676471710205]","[0.7185910940170288, 0.22298136353492737, -0.06788226962089539]","[0.8837721347808838, 0.23014383018016815, -0.18789876997470856]","[0.8546595573425293, 0.38789594173431396, -0.23695512115955353]","[0.7919595837593079, 0.4873034656047821, -0.24670745432376862]","[0.5922585129737854, 0.16958503425121307, -0.08922936767339706]","[0.7972549796104431, 0.1460423767566681, -0.21810318529605865]","[0.7884204983711243, 0.3402971029281616, -0.23829911649227142]","[0.7469848394393921, 0.46783608198165894, -0.2134973555803299]","[0.46462345123291016, 0.17649933695793152, -0.1240047812461853]","[0.647492527961731, 0.25758233666419983, -0.2585228979587555]","[0.6474520564079285, 0.48166486620903015, -0.2408968210220337]","[0.6239972710609436, 0.5960246324539185, -0.1868022233247757]","[0.34306204319000244, 0.23191842436790466, -0.16242414712905884]","[0.5167328119277954, 0.34668099880218506, -0.2482643723487854]","[0.5430625677108765, 0.5072637796401978, -0.2310473769903183]","[0.5410813093185425, 0.5833426713943481, -0.1915494054555893]"
"[0.4803972840309143, 0.6764162182807922, 3.3705035207276524e-07]","[0.6486274003982544, 0.5300308465957642, 0.06694120913743973]","[0.6431682109832764, 0.36806708574295044, 0.07972423732280731]","[0.6118454337120056, 0.25422051548957825, 0.06054709479212761]","[0.5962068438529968, 0.19241853058338165, 0.042311135679483414]","[0.48264193534851074, 0.2705637812614441, 0.06397662311792374]","[0.47435712814331055, 0.08213292062282562, 0.017590252682566643]","[0.5779634118080139, 0.1308811753988266, -0.001943594659678638]","[0.6370941996574402, 0.2209378331899643, -0.003035387024283409]","[0.3802294135093689, 0.2863612771034241, -0.006114475429058075]","[0.40184730291366577, 0.08148975670337677, -0.06521204859018326]","[0.5202516317367554, 0.18415285646915436, -0.07968369871377945]","[0.5520163178443909, 0.29031386971473694, -0.06986172497272491]","[0.31406134366989136, 0.3275689482688904, -0.07840382307767868]","[0.37449344992637634, 0.14557969570159912, -0.13936856389045715]","[0.4958181083202362, 0.27242496609687805, -0.12104345113039017]","[0.5043467879295349, 0.3720191717147827, -0.08709991723299026]","[0.2709767520427704, 0.3808733820915222, -0.14625364542007446]","[0.35524556040763855, 0.25203168392181396, -0.19496656954288483]","[0.45498988032341003, 0.3287329077720642, -0.17718692123889923]","[0.4701298773288727, 0.41238224506378174, -0.14860837161540985]"
"[0.5479588508605957, 0.7331891655921936, 1.034110709952074e-06]","[0.7044414281845093, 0.5525031685829163, 0.016895923763513565]","[0.6714853644371033, 0.3452317416667938, 0.015863265842199326]","[0.5639835000038147, 0.23601387441158295, -0.007601073943078518]","[0.4599398374557495, 0.18623356521129608, -0.026068493723869324]","[0.5275208950042725, 0.26937124133110046, 0.037826765328645706]","[0.46054592728614807, 0.10551115870475769, -0.017874883487820625]","[0.5658102035522461, 0.11367528140544891, -0.03822159022092819]","[0.6472978591918945, 0.19470122456550598, -0.03637765347957611]","[0.42915427684783936, 0.30865025520324707, -0.013485671021044254]","[0.3680509924888611, 0.09119220077991486, -0.07466903328895569]","[0.5062093138694763, 0.13696791231632233, -0.07927864789962769]","[0.574772834777832, 0.23733612895011902, -0.059468429535627365]","[0.3392618000507355, 0.3654179871082306, -0.07397270202636719]","[0.3520101010799408, 0.1720622479915619, -0.15080323815345764]","[0.4845176935195923, 0.2898619472980499, -0.11951632052659988]","[0.5039616823196411, 0.3912237882614136, -0.06869430840015411]","[0.26737284660339355, 0.4392082095146179, -0.13463416695594788]","[0.3325778841972351, 0.2866915762424469, -0.20320864021778107]","[0.4419095516204834, 0.3624093532562256, -0.18187710642814636]","[0.4551458954811096, 0.4459611177444458, -0.14423422515392303]"
