Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.3706988990306854, 0.761532187461853, 1.2377838629618054e-06]","[0.5390301942825317, 0.569649338722229, 0.13542543351650238]","[0.5749506950378418, 0.406510591506958, 0.17140717804431915]","[0.6435657739639282, 0.2956112027168274, 0.16278304159641266]","[0.6723001003265381, 0.19313877820968628, 0.15505468845367432]","[0.25438329577445984, 0.30654585361480713, 0.1631426066160202]","[0.3906172513961792, 0.10684625804424286, 0.1333128660917282]","[0.5357469916343689, 0.0893450677394867, 0.10454115271568298]","[0.6212814450263977, 0.1403074860572815, 0.09729910641908646]","[0.23622074723243713, 0.305011123418808, 0.0652700737118721]","[0.3966188430786133, 0.06088279187679291, 0.02664913237094879]","[0.5646071434020996, 0.06903548538684845, 0.0014262323966249824]","[0.6446813941001892, 0.15169581770896912, -0.0004156334907747805]","[0.26658517122268677, 0.31729036569595337, -0.031531382352113724]","[0.4157940447330475, 0.06316150724887848, -0.049728672951459885]","[0.5801700949668884, 0.0803922563791275, -0.034259989857673645]","[0.6511996984481812, 0.15615105628967285, -0.011969235725700855]","[0.34535467624664307, 0.343019038438797, -0.12121332436800003]","[0.4926074147224426, 0.1416037380695343, -0.11585216224193573]","[0.6144480109214783, 0.12862251698970795, -0.0851789265871048]","[0.6750235557556152, 0.16331630945205688, -0.05584227293729782]"
"[0.354248046875, 0.6759921312332153, 6.60589989820437e-07]","[0.5137233734130859, 0.6473388075828552, -0.008890284225344658]","[0.6432830095291138, 0.5223774909973145, -0.04650427773594856]","[0.7582976818084717, 0.44908905029296875, -0.10103947669267654]","[0.7972301840782166, 0.3712359070777893, -0.15223868191242218]","[0.41827091574668884, 0.27315422892570496, -0.012189005501568317]","[0.5581651329994202, 0.11078038811683655, -0.11190839856863022]","[0.7227696776390076, 0.16870364546775818, -0.1827436238527298]","[0.8139247894287109, 0.265340656042099, -0.21350130438804626]","[0.37079185247421265, 0.2747708261013031, -0.05762474983930588]","[0.5405184626579285, 0.07844354212284088, -0.15233010053634644]","[0.7258924841880798, 0.15056270360946655, -0.203390970826149]","[0.8128272294998169, 0.25205203890800476, -0.22038383781909943]","[0.33906781673431396, 0.3000392019748688, -0.11205103993415833]","[0.5140436887741089, 0.09016430377960205, -0.20903193950653076]","[0.7003617286682129, 0.17083989083766937, -0.22439037263393402]","[0.7839933633804321, 0.2757660448551178, -0.20989887416362762]","[0.33697208762168884, 0.35503268241882324, -0.16686968505382538]","[0.5075995922088623, 0.19958434998989105, -0.24760966002941132]","[0.6663088798522949, 0.2314751297235489, -0.25592464208602905]","[0.7547192573547363, 0.3014152944087982, -0.24225978553295135]"
"[0.367595374584198, 0.32228904962539673, -4.324271429823057e-08]","[0.4388204514980316, 0.2181238830089569, -0.0757862776517868]","[0.612949550151825, 0.17949265241622925, -0.10423161834478378]","[0.7651703953742981, 0.24270719289779663, -0.12077440321445465]","[0.8519474267959595, 0.34547266364097595, -0.1289546638727188]","[0.6481490135192871, 0.18949951231479645, -0.07808928936719894]","[0.7666016817092896, 0.2523183226585388, -0.10984092950820923]","[0.821317195892334, 0.30444660782814026, -0.11913882195949554]","[0.8477816581726074, 0.3429003357887268, -0.12745188176631927]","[0.6544123291969299, 0.3005700409412384, -0.057744089514017105]","[0.7724143862724304, 0.32868197560310364, -0.09067066758871078]","[0.818608283996582, 0.37015482783317566, -0.09800766408443451]","[0.827307939529419, 0.3948418200016022, -0.10424710810184479]","[0.6492918133735657, 0.4114874303340912, -0.046594735234975815]","[0.7830778360366821, 0.4276353716850281, -0.09881202131509781]","[0.8306496739387512, 0.43131306767463684, -0.10838362574577332]","[0.8431875705718994, 0.4148063361644745, -0.10729912668466568]","[0.6390541791915894, 0.5342813730239868, -0.040736615657806396]","[0.7680754065513611, 0.5409328937530518, -0.10024666786193848]","[0.8231395483016968, 0.5120605826377869, -0.12389715760946274]","[0.8431245684623718, 0.4681229293346405, -0.13276122510433197]"
"[0.35405606031417847, 0.5946648716926575, 1.4840367157376022e-06]","[0.5317525863647461, 0.6399626135826111, 0.058166876435279846]","[0.6808395981788635, 0.5805370807647705, 0.06644806265830994]","[0.8043574690818787, 0.5368245840072632, 0.046758949756622314]","[0.8623735308647156, 0.4480718672275543, 0.028687914833426476]","[0.5398144721984863, 0.28968244791030884, 0.09923605620861053]","[0.7246266007423401, 0.20432162284851074, 0.07657656818628311]","[0.8378818035125732, 0.28538408875465393, 0.0612906888127327]","[0.8675423860549927, 0.3901776075363159, 0.06147661805152893]","[0.500045120716095, 0.24226877093315125, 0.04073575511574745]","[0.7374464869499207, 0.13399352133274078, 0.006800925824791193]","[0.8662896156311035, 0.2467471808195114, -0.0120547479018569]","[0.8984432220458984, 0.3769743740558624, -0.012206383049488068]","[0.476441353559494, 0.22800885140895844, -0.022829851135611534]","[0.7398943901062012, 0.1284058690071106, -0.05863155424594879]","[0.8680928349494934, 0.25609222054481506, -0.06401140242815018]","[0.8899530172348022, 0.37915924191474915, -0.05555960536003113]","[0.4683126211166382, 0.25409170985221863, -0.08294419944286346]","[0.7161847352981567, 0.2114194929599762, -0.10904078185558319]","[0.8234350681304932, 0.2995113432407379, -0.10699478536844254]","[0.8524218797683716, 0.3858485817909241, -0.0985209196805954]"
"[0.6905999183654785, 0.30576249957084656, 1.8052527366307913e-06]","[0.5636940598487854, 0.3869316279888153, -0.10873188823461533]","[0.49471527338027954, 0.4458606243133545, -0.21358177065849304]","[0.5226967334747314, 0.4620833396911621, -0.2867572009563446]","[0.5926423668861389, 0.4481475353240967, -0.36031201481819153]","[0.550131618976593, 0.18058286607265472, -0.388100802898407]","[0.630211353302002, 0.1686801165342331, -0.5353195071220398]","[0.66009920835495, 0.23034608364105225, -0.6111428737640381]","[0.6848363876342773, 0.2766471207141876, -0.644635021686554]","[0.6625639796257019, 0.11235064268112183, -0.3655230402946472]","[0.7888535261154175, 0.30619293451309204, -0.5079469680786133]","[0.7734526991844177, 0.4744875133037567, -0.5286091566085815]","[0.7320534586906433, 0.5652623176574707, -0.5320704579353333]","[0.7658241987228394, 0.13060128688812256, -0.33206915855407715]","[0.8618602156639099, 0.37812483310699463, -0.4367772936820984]","[0.8115413784980774, 0.5037842392921448, -0.4081730544567108]","[0.7391229867935181, 0.5480049252510071, -0.3666423559188843]","[0.8417999744415283, 0.18726740777492523, -0.3027847707271576]","[0.8880636692047119, 0.37017303705215454, -0.35331034660339355]","[0.8371962904930115, 0.4707166850566864, -0.3243962526321411]","[0.7733902931213379, 0.5155876278877258, -0.29456204175949097]"
"[0.47883254289627075, 0.2805008292198181, -5.720756348637224e-07]","[0.4579634666442871, 0.35885894298553467, -0.16491642594337463]","[0.4236992597579956, 0.3858127295970917, -0.2823607325553894]","[0.43668973445892334, 0.3675442636013031, -0.37152594327926636]","[0.444624662399292, 0.33125609159469604, -0.4559650421142578]","[0.38000479340553284, 0.17769412696361542, -0.31512826681137085]","[0.5249980688095093, 0.1488213986158371, -0.44932112097740173]","[0.6370180249214172, 0.19453802704811096, -0.5200729966163635]","[0.7172736525535583, 0.2553538680076599, -0.5558156967163086]","[0.4205802381038666, 0.09355393052101135, -0.2799018919467926]","[0.5932486057281494, 0.11094639450311661, -0.42292681336402893]","[0.7077590227127075, 0.20271214842796326, -0.4639280438423157]","[0.7786720991134644, 0.2906733751296997, -0.4771929979324341]","[0.47197261452674866, 0.049605369567871094, -0.24915556609630585]","[0.6287743449211121, 0.08071175217628479, -0.3833501935005188]","[0.7293392419815063, 0.17286205291748047, -0.3903474807739258]","[0.7886916995048523, 0.25552013516426086, -0.3724827170372009]","[0.5240387916564941, 0.03759157657623291, -0.2285471111536026]","[0.6470910906791687, 0.05790603905916214, -0.3335014283657074]","[0.7243869304656982, 0.1337915062904358, -0.34278935194015503]","[0.768622636795044, 0.20398306846618652, -0.32995736598968506]"
"[0.42564234137535095, 0.18213945627212524, 1.3852819620296941e-06]","[0.5422241687774658, 0.1869071125984192, -0.0030637828167527914]","[0.6707849502563477, 0.20561236143112183, -0.02671286277472973]","[0.7562228441238403, 0.2736203372478485, -0.05606977269053459]","[0.8130620121955872, 0.3401636481285095, -0.08244511485099792]","[0.7410783171653748, 0.08117450773715973, -0.040775228291749954]","[0.8382870554924011, 0.21835611760616302, -0.0980205312371254]","[0.8816635608673096, 0.3238863945007324, -0.1366070806980133]","[0.9045882821083069, 0.4091041684150696, -0.15814721584320068]","[0.7147905826568604, 0.08869701623916626, -0.06894393265247345]","[0.8286901712417603, 0.22882972657680511, -0.12355850636959076]","[0.8726561069488525, 0.34123432636260986, -0.14758199453353882]","[0.8951424956321716, 0.4340096712112427, -0.15976759791374207]","[0.6782658696174622, 0.12602052092552185, -0.09963466972112656]","[0.7956775426864624, 0.2488192915916443, -0.1461959034204483]","[0.8468078374862671, 0.3562539219856262, -0.15803666412830353]","[0.8742213249206543, 0.4444175958633423, -0.16040518879890442]","[0.6377645134925842, 0.18389657139778137, -0.13135211169719696]","[0.7354739904403687, 0.2731320261955261, -0.16124358773231506]","[0.7883422374725342, 0.3447379469871521, -0.1666519045829773]","[0.8235429525375366, 0.4101864695549011, -0.16696149110794067]"
"[0.33033910393714905, 0.3485819697380066, 1.0654757716110907e-06]","[0.4539605975151062, 0.2942788004875183, 0.039070602506399155]","[0.5474599599838257, 0.21271246671676636, 0.030769390985369682]","[0.6262675523757935, 0.17382659018039703, 0.0072685349732637405]","[0.7000852823257446, 0.17060020565986633, -0.014954552054405212]","[0.5305182337760925, 0.026077449321746826, 0.007718182634562254]","[0.6775809526443481, 0.10017642378807068, -0.035722341388463974]","[0.7625817060470581, 0.17469526827335358, -0.06942808628082275]","[0.816818118095398, 0.2410885989665985, -0.08980730921030045]","[0.510102391242981, 0.020407579839229584, -0.036174699664115906]","[0.6969682574272156, 0.10870888084173203, -0.07498680800199509]","[0.7771030068397522, 0.20118348300457, -0.09170833975076675]","[0.8249186873435974, 0.2772049307823181, -0.10131845623254776]","[0.4983341693878174, 0.05276472866535187, -0.07946936041116714]","[0.6821244955062866, 0.14299242198467255, -0.11346447467803955]","[0.7508864402770996, 0.2384847104549408, -0.11737646907567978]","[0.781647801399231, 0.31410157680511475, -0.11600571870803833]","[0.4973963499069214, 0.1135479211807251, -0.12051378190517426]","[0.6474889516830444, 0.19032400846481323, -0.13644173741340637]","[0.7026839852333069, 0.26276159286499023, -0.12976206839084625]","[0.730422854423523, 0.3180214464664459, -0.1226898655295372]"
"[0.32315099239349365, 0.4284675717353821, 7.73963222400198e-07]","[0.379425585269928, 0.36260610818862915, 0.042737070471048355]","[0.41410088539123535, 0.2754904329776764, 0.024231329560279846]","[0.47060343623161316, 0.19500839710235596, -0.007745114155113697]","[0.5389259457588196, 0.13695593178272247, -0.03929765149950981]","[0.3638755679130554, 0.11038362234830856, -0.04977506399154663]","[0.5561584234237671, 0.11103228479623795, -0.1077871322631836]","[0.6686593294143677, 0.1905847042798996, -0.13659362494945526]","[0.7441047430038452, 0.26446449756622314, -0.15021277964115143]","[0.37155285477638245, 0.08312100917100906, -0.10084483027458191]","[0.5931347012519836, 0.08147087693214417, -0.15908096730709076]","[0.7185583114624023, 0.16718098521232605, -0.16907469928264618]","[0.7867894172668457, 0.2517666220664978, -0.16973614692687988]","[0.39913514256477356, 0.09234631061553955, -0.14705321192741394]","[0.6118427515029907, 0.0703728124499321, -0.20009009540081024]","[0.7319002151489258, 0.16241033375263214, -0.19112107157707214]","[0.7938175201416016, 0.2505749762058258, -0.1774727702140808]","[0.4473019540309906, 0.1257854402065277, -0.18889015913009644]","[0.6214733719825745, 0.11937279254198074, -0.2303791642189026]","[0.7123958468437195, 0.18911035358905792, -0.22267739474773407]","[0.7600740194320679, 0.25688692927360535, -0.20861327648162842]"
"[0.5307671427726746, 0.773216724395752, 3.202665936896665e-07]","[0.6498486995697021, 0.5881023406982422, -0.031857773661613464]","[0.6987127661705017, 0.39335477352142334, -0.05391652137041092]","[0.724322497844696, 0.23299309611320496, -0.09080452471971512]","[0.6323440074920654, 0.1432991325855255, -0.1260378360748291]","[0.4818597435951233, 0.2520446181297302, 0.043287940323352814]","[0.4611993134021759, 0.06113696098327637, -0.03515876457095146]","[0.5457097291946411, 0.0532769113779068, -0.11260687559843063]","[0.6111034154891968, 0.11497339606285095, -0.15203149616718292]","[0.4040229618549347, 0.2688228189945221, 0.020208505913615227]","[0.378805011510849, 0.051975443959236145, -0.05912424251437187]","[0.4772741496562958, 0.05456008017063141, -0.13627967238426208]","[0.5536516904830933, 0.13547447323799133, -0.17515122890472412]","[0.3230953812599182, 0.3065577745437622, -0.016652345657348633]","[0.2828035056591034, 0.11125540733337402, -0.07218647748231888]","[0.3835962116718292, 0.08661957085132599, -0.12300948053598404]","[0.47470396757125854, 0.14717653393745422, -0.14632637798786163]","[0.24091553688049316, 0.3680276572704315, -0.0601089671254158]","[0.18745452165603638, 0.21104732155799866, -0.09776367247104645]","[0.2509828209877014, 0.1423318088054657, -0.12900881469249725]","[0.33951544761657715, 0.14095216989517212, -0.14620676636695862]"
