Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.8540908694267273, 0.572292685508728, 1.4124995004749508e-06]","[0.7992748618125916, 0.6041035056114197, -0.22057461738586426]","[0.6383148431777954, 0.5886523723602295, -0.3028869330883026]","[0.4728052020072937, 0.5767714977264404, -0.3278973698616028]","[0.3207502067089081, 0.5707646608352661, -0.3493240773677826]","[0.6233991980552673, 0.31845033168792725, -0.2810360789299011]","[0.47729527950286865, 0.18349261581897736, -0.37732625007629395]","[0.38963067531585693, 0.06845027208328247, -0.442363440990448]","[0.3206985592842102, -0.010075896978378296, -0.47793081402778625]","[0.588689386844635, 0.34021860361099243, -0.17889170348644257]","[0.4058113098144531, 0.3854627311229706, -0.28620702028274536]","[0.30386483669281006, 0.509104311466217, -0.33564066886901855]","[0.26105451583862305, 0.6147959232330322, -0.3474847674369812]","[0.5681949853897095, 0.39432987570762634, -0.08592446893453598]","[0.39850887656211853, 0.4755048453807831, -0.2203095555305481]","[0.3459940254688263, 0.5720035433769226, -0.2760334312915802]","[0.32481658458709717, 0.6309475302696228, -0.279310017824173]","[0.5606924295425415, 0.43695586919784546, 0.0008367062546312809]","[0.4840124249458313, 0.5157455205917358, -0.10737442970275879]","[0.5177712440490723, 0.5700119137763977, -0.1337510347366333]","[0.5680248141288757, 0.5957764387130737, -0.12564364075660706]"
"[0.7187361717224121, 0.146910160779953, -4.21578050691096e-07]","[0.733866274356842, 0.19341209530830383, -0.26370906829833984]","[0.6399147510528564, 0.3158356547355652, -0.34397122263908386]","[0.5607330799102783, 0.44968411326408386, -0.3612440824508667]","[0.49425145983695984, 0.5867279767990112, -0.3680221438407898]","[0.3996414542198181, 0.2757125496864319, -0.27582859992980957]","[0.23984761536121368, 0.42384153604507446, -0.374196320772171]","[0.12912511825561523, 0.5198472738265991, -0.44187864661216736]","[0.04077574610710144, 0.6073350310325623, -0.4821105897426605]","[0.4116778075695038, 0.32816994190216064, -0.1543383151292801]","[0.44170692563056946, 0.510650098323822, -0.2875557839870453]","[0.5891624689102173, 0.5541085004806519, -0.34420448541641235]","[0.6970018148422241, 0.5489979982376099, -0.34869423508644104]","[0.43770384788513184, 0.3894138038158417, -0.050409071147441864]","[0.4806194603443146, 0.5322824120521545, -0.19501052796840668]","[0.6095418930053711, 0.5197516083717346, -0.24746917188167572]","[0.6761219501495361, 0.48267030715942383, -0.23981058597564697]","[0.4578307867050171, 0.4315532147884369, 0.03883550688624382]","[0.5136994123458862, 0.5483478307723999, -0.08502420783042908]","[0.6097195744514465, 0.5422775149345398, -0.12671945989131927]","[0.6761208176612854, 0.5189816951751709, -0.12155130505561829]"
"[0.8635200262069702, 0.2284606695175171, -4.062501943735697e-07]","[0.8487927913665771, 0.2914355993270874, -0.24181315302848816]","[0.7118043303489685, 0.36788687109947205, -0.32608532905578613]","[0.5828268527984619, 0.4720691442489624, -0.3582923412322998]","[0.4689934551715851, 0.5765300989151001, -0.38792628049850464]","[0.5002337098121643, 0.2522488534450531, -0.2545918822288513]","[0.2926715314388275, 0.33973586559295654, -0.34418073296546936]","[0.15868371725082397, 0.39074015617370605, -0.406998872756958]","[0.05026695132255554, 0.4410918354988098, -0.44552138447761536]","[0.48558560013771057, 0.2971932590007782, -0.14954467117786407]","[0.4362165927886963, 0.4984571933746338, -0.2812579572200775]","[0.5306214094161987, 0.6345593929290771, -0.34163346886634827]","[0.6200913190841675, 0.7159223556518555, -0.3502577543258667]","[0.4951338469982147, 0.3563128709793091, -0.05833127349615097]","[0.48102784156799316, 0.5268645286560059, -0.19346411526203156]","[0.5843373537063599, 0.5917769074440002, -0.23981308937072754]","[0.6590532064437866, 0.609412670135498, -0.2321244776248932]","[0.5147495865821838, 0.3998320698738098, 0.01893194578588009]","[0.5121036171913147, 0.5437003970146179, -0.09632471948862076]","[0.5876741409301758, 0.5870133638381958, -0.12948870658874512]","[0.6532037854194641, 0.5991575717926025, -0.12036823481321335]"
"[0.9037688970565796, 0.532372772693634, -6.058475605641434e-07]","[0.8564609885215759, 0.550722599029541, -0.260072261095047]","[0.6879556179046631, 0.5127038359642029, -0.32603347301483154]","[0.5200735330581665, 0.505818247795105, -0.32668018341064453]","[0.36949944496154785, 0.5100319981575012, -0.312518835067749]","[0.6145432591438293, 0.28430837392807007, -0.2584584355354309]","[0.3977729380130768, 0.22890785336494446, -0.36680641770362854]","[0.2501735985279083, 0.19359877705574036, -0.44038817286491394]","[0.1259814202785492, 0.16343046724796295, -0.48153629899024963]","[0.582374095916748, 0.33073949813842773, -0.1361858993768692]","[0.4369947016239166, 0.45917797088623047, -0.2732616066932678]","[0.5002154111862183, 0.6030527353286743, -0.3246167004108429]","[0.5698999166488647, 0.6768792271614075, -0.3226439654827118]","[0.5408247709274292, 0.3882409930229187, -0.03420794755220413]","[0.44532090425491333, 0.5086715817451477, -0.17633987963199615]","[0.5611929297447205, 0.5951117277145386, -0.21076691150665283]","[0.6375688314437866, 0.602665364742279, -0.1900617629289627]","[0.5138790011405945, 0.431244432926178, 0.05143754184246063]","[0.4591118395328522, 0.547062873840332, -0.06473110616207123]","[0.5513539910316467, 0.6089625358581543, -0.09277695417404175]","[0.6210490465164185, 0.623009204864502, -0.07645732164382935]"
"[0.8459476232528687, 0.597052812576294, 1.0471438827153179e-06]","[0.8117133378982544, 0.5964900255203247, -0.19450505077838898]","[0.6472761631011963, 0.5759978294372559, -0.268360435962677]","[0.46699047088623047, 0.5684334635734558, -0.2970912456512451]","[0.3187272548675537, 0.5704665184020996, -0.3221737742424011]","[0.6386784911155701, 0.3250349164009094, -0.22747902572155]","[0.498116135597229, 0.17250393331050873, -0.3093641996383667]","[0.40964528918266296, 0.048691779375076294, -0.3625611960887909]","[0.34180665016174316, -0.030351907014846802, -0.3954370617866516]","[0.5863396525382996, 0.36492958664894104, -0.14565829932689667]","[0.4067777395248413, 0.39340534806251526, -0.25332653522491455]","[0.3093801736831665, 0.5024334192276001, -0.31194552779197693]","[0.26845380663871765, 0.6016865968704224, -0.3321775794029236]","[0.5582478642463684, 0.4283594787120819, -0.0720302015542984]","[0.4062894582748413, 0.48801279067993164, -0.18818138539791107]","[0.3920884132385254, 0.5554314255714417, -0.226754829287529]","[0.40773454308509827, 0.5951146483421326, -0.2233649045228958]","[0.5511564612388611, 0.4807948172092438, -0.007328983396291733]","[0.46258342266082764, 0.5431505441665649, -0.11486935615539551]","[0.5045050382614136, 0.5853884220123291, -0.14308282732963562]","[0.5627539753913879, 0.5979942083358765, -0.1355525702238083]"
"[0.7170767784118652, 0.7308812737464905, -3.851482972550002e-07]","[0.6320235729217529, 0.692980945110321, -0.16511797904968262]","[0.5043820738792419, 0.5800518989562988, -0.20109327137470245]","[0.36738237738609314, 0.5082679390907288, -0.2018028050661087]","[0.26217371225357056, 0.45662620663642883, -0.19317232072353363]","[0.6041201949119568, 0.3711808919906616, -0.11470607668161392]","[0.4653722047805786, 0.2279788702726364, -0.14619134366512299]","[0.3799436688423157, 0.13684135675430298, -0.17671820521354675]","[0.30673688650131226, 0.05896255373954773, -0.19995388388633728]","[0.5513641238212585, 0.3831162452697754, -0.03973061963915825]","[0.39477670192718506, 0.3237498998641968, -0.0984005481004715]","[0.2827146649360657, 0.3728233277797699, -0.1462865024805069]","[0.21231260895729065, 0.43554800748825073, -0.16286616027355194]","[0.5020187497138977, 0.41244933009147644, 0.02299865521490574]","[0.3669222593307495, 0.3611506521701813, -0.03871944174170494]","[0.2862114906311035, 0.40990933775901794, -0.08966563642024994]","[0.23649126291275024, 0.4519963562488556, -0.1046665608882904]","[0.47652745246887207, 0.4558318555355072, 0.0739826038479805]","[0.3637377619743347, 0.4343845248222351, 0.014665489085018635]","[0.30175644159317017, 0.46196794509887695, -0.022853799164295197]","[0.26461267471313477, 0.5002190470695496, -0.032026369124650955]"
"[0.8597203493118286, 0.3174610733985901, 2.980511339956138e-07]","[0.8268152475357056, 0.38400012254714966, -0.20023669302463531]","[0.678020179271698, 0.4571530222892761, -0.2760978937149048]","[0.5329760313034058, 0.5437300205230713, -0.30381152033805847]","[0.42628151178359985, 0.625535249710083, -0.32985055446624756]","[0.5144475698471069, 0.27169954776763916, -0.26228827238082886]","[0.28731998801231384, 0.28740808367729187, -0.3517569303512573]","[0.15150007605552673, 0.290244460105896, -0.4073651432991028]","[0.040858060121536255, 0.2967718839645386, -0.44000622630119324]","[0.4894166886806488, 0.30435821413993835, -0.17729821801185608]","[0.3536139130592346, 0.4661763906478882, -0.2895663380622864]","[0.3642405867576599, 0.6288479566574097, -0.3383847773075104]","[0.3967950940132141, 0.7380561232566833, -0.3482591211795807]","[0.48634329438209534, 0.35976725816726685, -0.0998493880033493]","[0.399925172328949, 0.5372970700263977, -0.21525761485099792]","[0.43345552682876587, 0.6459543704986572, -0.25371649861335754]","[0.47288745641708374, 0.6961687207221985, -0.24804674088954926]","[0.5046564340591431, 0.4045591354370117, -0.032227903604507446]","[0.4536784887313843, 0.5493567585945129, -0.12393403053283691]","[0.4931773543357849, 0.6039435863494873, -0.14523911476135254]","[0.5358515977859497, 0.6256072521209717, -0.1337926983833313]"
"[0.7647847533226013, 0.7463324069976807, -1.3301031742685154e-07]","[0.7526589035987854, 0.7588534355163574, -0.23735053837299347]","[0.670606255531311, 0.6817665100097656, -0.3307291269302368]","[0.5366582870483398, 0.6125030517578125, -0.3766968548297882]","[0.40281760692596436, 0.532443642616272, -0.4156019985675812]","[0.7118043899536133, 0.39734572172164917, -0.26243147253990173]","[0.5622928738594055, 0.23074686527252197, -0.36606279015541077]","[0.4647364616394043, 0.12114608287811279, -0.4401419758796692]","[0.3757263422012329, 0.029665470123291016, -0.48915934562683105]","[0.6284763813018799, 0.41053083539009094, -0.1753567010164261]","[0.44448500871658325, 0.4156675636768341, -0.32027146220207214]","[0.350920706987381, 0.5089576840400696, -0.3987187445163727]","[0.2995741665363312, 0.5741746425628662, -0.42584434151649475]","[0.5496596693992615, 0.4396483898162842, -0.10294102132320404]","[0.40602198243141174, 0.4821525514125824, -0.2487989068031311]","[0.40426406264305115, 0.5953256487846375, -0.2958422005176544]","[0.42516618967056274, 0.6612150073051453, -0.29132989048957825]","[0.4940156638622284, 0.4697827100753784, -0.046185098588466644]","[0.38780856132507324, 0.49476179480552673, -0.17230843007564545]","[0.3771992325782776, 0.5767550468444824, -0.20886710286140442]","[0.3798936605453491, 0.6384220123291016, -0.20404000580310822]"
"[0.7928231954574585, 0.19138886034488678, -5.89238823067717e-07]","[0.7841100692749023, 0.2378394901752472, -0.23395586013793945]","[0.6639964580535889, 0.3367688059806824, -0.308601438999176]","[0.5600839853286743, 0.46565836668014526, -0.3334779143333435]","[0.4707246422767639, 0.581177830696106, -0.35183921456336975]","[0.4392309784889221, 0.2661842703819275, -0.2259266972541809]","[0.24841658771038055, 0.38931751251220703, -0.30641937255859375]","[0.12572598457336426, 0.4559943974018097, -0.36088401079177856]","[0.026569783687591553, 0.5172786116600037, -0.3943195641040802]","[0.4417703151702881, 0.3284922242164612, -0.12612618505954742]","[0.4347385764122009, 0.5178203582763672, -0.25595611333847046]","[0.5576715469360352, 0.6085461378097534, -0.31647253036499023]","[0.6616369485855103, 0.6513293385505676, -0.322305291891098]","[0.4626513123512268, 0.3939874768257141, -0.04161481931805611]","[0.4815559387207031, 0.545232892036438, -0.1786370575428009]","[0.6009005904197693, 0.558634340763092, -0.22874432802200317]","[0.6730841994285583, 0.5417932271957397, -0.2201618254184723]","[0.4886053502559662, 0.4349425733089447, 0.029292015358805656]","[0.5115517377853394, 0.5668016076087952, -0.08655079454183578]","[0.5979745388031006, 0.5790071487426758, -0.12236020714044571]","[0.6632653474807739, 0.5705345869064331, -0.11328725516796112]"
"[0.6824783682823181, 0.6700084209442139, -6.048019827176176e-07]","[0.6075143218040466, 0.6625170707702637, -0.1642341911792755]","[0.46279197931289673, 0.6046823263168335, -0.20874403417110443]","[0.3130655586719513, 0.5594568848609924, -0.2161598801612854]","[0.19060851633548737, 0.514485239982605, -0.21215085685253143]","[0.5568692684173584, 0.37560412287712097, -0.1581178456544876]","[0.35495975613594055, 0.26399070024490356, -0.20191724598407745]","[0.2365182638168335, 0.20665481686592102, -0.23652565479278564]","[0.1349557638168335, 0.15803194046020508, -0.26159045100212097]","[0.5121469497680664, 0.38712114095687866, -0.08536795526742935]","[0.32194212079048157, 0.3516109883785248, -0.15066079795360565]","[0.22754620015621185, 0.41815483570098877, -0.19756555557250977]","[0.1845828741788864, 0.4872015714645386, -0.21798571944236755]","[0.4646162986755371, 0.40824127197265625, -0.022859595715999603]","[0.2883407771587372, 0.37930330634117126, -0.08294758945703506]","[0.23895105719566345, 0.4519992470741272, -0.12523648142814636]","[0.22747133672237396, 0.511038064956665, -0.1386996954679489]","[0.4324151873588562, 0.4222472310066223, 0.028375104069709778]","[0.29225391149520874, 0.41777461767196655, -0.024380801245570183]","[0.24239817261695862, 0.4588485062122345, -0.05590314418077469]","[0.23162370920181274, 0.5000407099723816, -0.06524067372083664]"
