Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.1590467393398285, 0.38202422857284546, 1.157506162030586e-07]","[0.22659289836883545, 0.3981989622116089, 0.0031157478224486113]","[0.29288482666015625, 0.3712918758392334, 0.008632603101432323]","[0.33071014285087585, 0.33743521571159363, 0.00880454108119011]","[0.3509085178375244, 0.3113784193992615, 0.00922858901321888]","[0.31790870428085327, 0.2984726130962372, 0.03115222603082657]","[0.3725435733795166, 0.27388331294059753, 0.021950744092464447]","[0.4128618836402893, 0.2639921307563782, 0.007596725132316351]","[0.4438958168029785, 0.2557297945022583, -0.002993495436385274]","[0.31109222769737244, 0.2856502830982208, 0.020695721730589867]","[0.3676769733428955, 0.2598732113838196, 0.014107154682278633]","[0.41048622131347656, 0.2511277496814728, 0.0005596064147539437]","[0.44819194078445435, 0.2431349754333496, -0.009750153869390488]","[0.30453595519065857, 0.2834221422672272, 0.007117110304534435]","[0.3614201545715332, 0.2563977837562561, -0.0005349952261894941]","[0.40168508887290955, 0.24923759698867798, -0.007768494542688131]","[0.4338211417198181, 0.24379953742027283, -0.012042158283293247]","[0.2966705858707428, 0.29078736901283264, -0.007865351624786854]","[0.3420852720737457, 0.26643773913383484, -0.012748241424560547]","[0.3753226399421692, 0.25636667013168335, -0.012259377166628838]","[0.40065300464630127, 0.25144854187965393, -0.011541317217051983]"
"[0.8423546552658081, 0.26155754923820496, -9.417345836482127e-07]","[0.7414737939834595, 0.361602783203125, -0.16197478771209717]","[0.5569324493408203, 0.49793410301208496, -0.20459213852882385]","[0.44518139958381653, 0.6601004600524902, -0.2082841992378235]","[0.37215012311935425, 0.7932778596878052, -0.20026852190494537]","[0.34671327471733093, 0.2741813659667969, -0.11306373029947281]","[0.19876714050769806, 0.4814733862876892, -0.16313600540161133]","[0.12221002578735352, 0.6259280443191528, -0.22384731471538544]","[0.05919942259788513, 0.7428281903266907, -0.26126858592033386]","[0.34958162903785706, 0.289810448884964, -0.03281320631504059]","[0.27892011404037476, 0.5057632923126221, -0.08191373199224472]","[0.3737918734550476, 0.5372023582458496, -0.12473084032535553]","[0.45136189460754395, 0.5316909551620483, -0.14362598955631256]","[0.3660483658313751, 0.33128878474235535, 0.03426477313041687]","[0.3151237368583679, 0.5295438766479492, -0.011031151749193668]","[0.41170838475227356, 0.5184137225151062, -0.049658261239528656]","[0.4770791530609131, 0.48489004373550415, -0.06225905567407608]","[0.39478227496147156, 0.37071719765663147, 0.08760630339384079]","[0.35028448700904846, 0.5265818238258362, 0.04271746426820755]","[0.418662965297699, 0.5395692586898804, 0.02115420065820217]","[0.4727703034877777, 0.5250396728515625, 0.020403891801834106]"
"[0.8358960151672363, 0.23229649662971497, -1.1025194908143021e-06]","[0.7585207223892212, 0.36168572306632996, -0.20636039972305298]","[0.5984055995941162, 0.5274022221565247, -0.24885275959968567]","[0.4862898886203766, 0.7005441188812256, -0.23702101409435272]","[0.41151297092437744, 0.8453185558319092, -0.20285646617412567]","[0.3582909107208252, 0.3151869475841522, -0.14445552229881287]","[0.1885128617286682, 0.5368893146514893, -0.19991953670978546]","[0.11682438850402832, 0.6965861320495605, -0.25256431102752686]","[0.06012451648712158, 0.8096868991851807, -0.2796923816204071]","[0.36685672402381897, 0.31824856996536255, -0.030550247058272362]","[0.3006379306316376, 0.5545495748519897, -0.06781362742185593]","[0.4098174273967743, 0.5564237236976624, -0.08416116237640381]","[0.48049241304397583, 0.49338364601135254, -0.08499105274677277]","[0.3796326518058777, 0.34940317273139954, 0.0626029223203659]","[0.3301878869533539, 0.5579515695571899, 0.022677572444081306]","[0.4312126636505127, 0.5316358208656311, -0.005953298415988684]","[0.47509878873825073, 0.46260881423950195, -0.012534328736364841]","[0.3996758460998535, 0.3819849193096161, 0.13808761537075043]","[0.3745742440223694, 0.5344007015228271, 0.09598461538553238]","[0.45057570934295654, 0.5224108099937439, 0.07126583158969879]","[0.5033291578292847, 0.48186028003692627, 0.06835481524467468]"
"[0.6786754131317139, 0.19203521311283112, -1.1989715176241589e-06]","[0.6375376582145691, 0.32280269265174866, -0.178853377699852]","[0.5322042107582092, 0.5187080502510071, -0.24500851333141327]","[0.5128782391548157, 0.7182317972183228, -0.2748415470123291]","[0.48958820104599, 0.8790584206581116, -0.3021089434623718]","[0.20144464075565338, 0.38116124272346497, -0.143875390291214]","[0.19568519294261932, 0.6464674472808838, -0.19953466951847076]","[0.20482167601585388, 0.8097782135009766, -0.25911954045295715]","[0.19948528707027435, 0.9339495897293091, -0.29728037118911743]","[0.221110999584198, 0.38517192006111145, -0.06561340391635895]","[0.288282185792923, 0.6561414003372192, -0.12791123986244202]","[0.40020108222961426, 0.6917415857315063, -0.17963476479053497]","[0.46423494815826416, 0.6920970678329468, -0.20354673266410828]","[0.27287060022354126, 0.4127868115901947, 0.0009347520535811782]","[0.358629435300827, 0.6663563847541809, -0.06472785025835037]","[0.47108224034309387, 0.6538606882095337, -0.10960151255130768]","[0.5174391269683838, 0.6226539611816406, -0.1224989965558052]","[0.3381403684616089, 0.4402223229408264, 0.05424809455871582]","[0.40849778056144714, 0.6503826379776001, -0.008836413733661175]","[0.4961562156677246, 0.6579923629760742, -0.031179312616586685]","[0.5439363121986389, 0.6378267407417297, -0.02785276249051094]"
"[0.7549288272857666, 0.19501562416553497, -1.13486498776183e-06]","[0.6879358291625977, 0.32524558901786804, -0.1783273071050644]","[0.5474032759666443, 0.5108196139335632, -0.2285713255405426]","[0.48020315170288086, 0.696157693862915, -0.23423779010772705]","[0.4315751791000366, 0.8432695865631104, -0.22870372235774994]","[0.27235013246536255, 0.32406067848205566, -0.13622218370437622]","[0.1917404681444168, 0.5655347108840942, -0.19189594686031342]","[0.15806178748607635, 0.7289350032806396, -0.25820744037628174]","[0.12872356176376343, 0.8582615852355957, -0.2983723282814026]","[0.2957588732242584, 0.32421377301216125, -0.04482229799032211]","[0.2844526171684265, 0.5731567144393921, -0.0953596979379654]","[0.38099443912506104, 0.6098837852478027, -0.14162226021289825]","[0.4533693194389343, 0.6026775240898132, -0.16312190890312195]","[0.33319759368896484, 0.3511373698711395, 0.03340718895196915]","[0.3346940279006958, 0.57729572057724, -0.015346456319093704]","[0.42685210704803467, 0.5700960755348206, -0.05957738682627678]","[0.48059171438217163, 0.5394597053527832, -0.07497652620077133]","[0.37539753317832947, 0.3783296048641205, 0.09784599393606186]","[0.3908192813396454, 0.5619720220565796, 0.048356086015701294]","[0.4714726209640503, 0.5735805034637451, 0.024798588827252388]","[0.5282980799674988, 0.5591649413108826, 0.024861611425876617]"
"[0.5962551832199097, 0.17397844791412354, -1.0845938049897086e-06]","[0.6217565536499023, 0.2940758466720581, -0.2083466649055481]","[0.5904062986373901, 0.48543259501457214, -0.26154738664627075]","[0.5956655740737915, 0.6701123118400574, -0.2630228102207184]","[0.5992544889450073, 0.8276289701461792, -0.24184156954288483]","[0.2916582524776459, 0.42607057094573975, -0.1709728240966797]","[0.23855265974998474, 0.6932145357131958, -0.24907253682613373]","[0.25811368227005005, 0.8617496490478516, -0.3084593713283539]","[0.2715243995189667, 0.9936776161193848, -0.34004974365234375]","[0.302427738904953, 0.4291989803314209, -0.06514383852481842]","[0.3654137849807739, 0.6625416874885559, -0.13098183274269104]","[0.4652930796146393, 0.5991770625114441, -0.15289022028446198]","[0.4766790568828583, 0.5026037096977234, -0.15230168402194977]","[0.3269404172897339, 0.4482840895652771, 0.02023257128894329]","[0.39241230487823486, 0.6470395922660828, -0.04216393828392029]","[0.47067731618881226, 0.5728250741958618, -0.05727917328476906]","[0.4574126601219177, 0.49280619621276855, -0.051472026854753494]","[0.354398250579834, 0.46800798177719116, 0.08831852674484253]","[0.4162493944168091, 0.5981001853942871, 0.03208514675498009]","[0.48045438528060913, 0.5410047769546509, 0.01875876449048519]","[0.4929649233818054, 0.466111421585083, 0.027272457256913185]"
"[0.5642523169517517, 0.17590931057929993, -1.107520574805676e-06]","[0.6269264817237854, 0.3081461191177368, -0.20198681950569153]","[0.6197125315666199, 0.5067612528800964, -0.2501218020915985]","[0.624714732170105, 0.6891319751739502, -0.25181663036346436]","[0.6389724016189575, 0.846392035484314, -0.23178069293498993]","[0.30278638005256653, 0.4484706521034241, -0.13395176827907562]","[0.2645859122276306, 0.6985374093055725, -0.18684865534305573]","[0.27860620617866516, 0.8508737087249756, -0.2255210131406784]","[0.28809571266174316, 0.9672520160675049, -0.24564988911151886]","[0.28105536103248596, 0.443000853061676, -0.03557286784052849]","[0.3610110878944397, 0.683732807636261, -0.09347955882549286]","[0.46376967430114746, 0.6146208643913269, -0.10962126404047012]","[0.47084230184555054, 0.5128449201583862, -0.1015998125076294]","[0.27642565965652466, 0.45439431071281433, 0.04127361997961998]","[0.35403528809547424, 0.6641532182693481, -0.02494538202881813]","[0.443450927734375, 0.5962495803833008, -0.04318203777074814]","[0.44102320075035095, 0.5210694670677185, -0.033783361315727234]","[0.27206745743751526, 0.4692555069923401, 0.10236959904432297]","[0.32123368978500366, 0.6339279413223267, 0.047883689403533936]","[0.3824428915977478, 0.5938012599945068, 0.034275270998477936]","[0.3968675136566162, 0.5213118195533752, 0.043658845126628876]"
"[0.12798669934272766, 0.4779711067676544, -5.877276265664477e-08]","[0.14358095824718475, 0.4124557077884674, 0.013061330653727055]","[0.19235444068908691, 0.35747456550598145, 0.010422898456454277]","[0.23340211808681488, 0.3319758176803589, 0.0006353878998197615]","[0.27293646335601807, 0.32666486501693726, -0.006865284871309996]","[0.20972184836864471, 0.3161906898021698, 0.016778478398919106]","[0.27583789825439453, 0.29824042320251465, -0.0018026537727564573]","[0.30748045444488525, 0.30775535106658936, -0.014741155318915844]","[0.3151821494102478, 0.31864267587661743, -0.020990220829844475]","[0.224965900182724, 0.33330732583999634, -0.001357209519483149]","[0.2934795022010803, 0.31601953506469727, -0.01459403894841671]","[0.31626367568969727, 0.33081912994384766, -0.02262186072766781]","[0.32251113653182983, 0.34237760305404663, -0.028061257675290108]","[0.24179649353027344, 0.35650014877319336, -0.021166298538446426]","[0.3092453181743622, 0.33861735463142395, -0.031935807317495346]","[0.32467135787010193, 0.3627222180366516, -0.031091419979929924]","[0.32350167632102966, 0.3821883797645569, -0.029623745009303093]","[0.25950396060943604, 0.3853115141391754, -0.04108206182718277]","[0.3164002299308777, 0.3706943392753601, -0.044721174985170364]","[0.3305322527885437, 0.3850397765636444, -0.03910909593105316]","[0.32905250787734985, 0.3978062570095062, -0.03478679060935974]"
"[0.28958311676979065, 0.768623411655426, 2.2271740363066783e-07]","[0.32511505484580994, 0.7077479362487793, 0.002245529554784298]","[0.3205251097679138, 0.6302493810653687, 0.005938930436968803]","[0.29836100339889526, 0.5786404609680176, 0.005114786326885223]","[0.281083881855011, 0.5448781251907349, 0.003872739849612117]","[0.29156187176704407, 0.5875206589698792, 0.02350284904241562]","[0.2844184935092926, 0.5260597467422485, 0.012512761168181896]","[0.28819936513900757, 0.4851306080818176, -0.002185874618589878]","[0.29345062375068665, 0.45263636112213135, -0.012776801362633705]","[0.26997530460357666, 0.5890446305274963, 0.012517939321696758]","[0.26273036003112793, 0.5235734581947327, 0.0036660025361925364]","[0.26928871870040894, 0.47688525915145874, -0.010568283498287201]","[0.27703019976615906, 0.4377939701080322, -0.021213149651885033]","[0.2501028776168823, 0.592789351940155, -0.0013561504893004894]","[0.24162787199020386, 0.5252123475074768, -0.01074705645442009]","[0.2486238330602646, 0.4806566834449768, -0.01923322305083275]","[0.25547611713409424, 0.44699627161026, -0.024463942274451256]","[0.2315574586391449, 0.601352870464325, -0.01623082347214222]","[0.2226121723651886, 0.5437688231468201, -0.022533569484949112]","[0.2256450206041336, 0.5044012069702148, -0.023375606164336205]","[0.23171466588974, 0.4753856956958771, -0.023687826469540596]"
"[0.11788637936115265, 0.4759509265422821, 3.262886849597635e-08]","[0.12960636615753174, 0.41044244170188904, 0.008725743740797043]","[0.1746358573436737, 0.35745784640312195, 0.0032498359214514494]","[0.21620804071426392, 0.3329303562641144, -0.007489650044590235]","[0.254314124584198, 0.3309626877307892, -0.016386959701776505]","[0.1923101395368576, 0.3208792805671692, 0.002272670390084386]","[0.2581309378147125, 0.2993486225605011, -0.01624954491853714]","[0.2962356507778168, 0.30609244108200073, -0.027606263756752014]","[0.31325840950012207, 0.3154614269733429, -0.03367770090699196]","[0.20904898643493652, 0.33957865834236145, -0.013330847024917603]","[0.2766495943069458, 0.3214792013168335, -0.02685284987092018]","[0.3017074465751648, 0.3349505066871643, -0.032084204256534576]","[0.31094470620155334, 0.34623172879219055, -0.036061421036720276]","[0.22631481289863586, 0.3671590983867645, -0.02992675080895424]","[0.29217883944511414, 0.3517121374607086, -0.04149143397808075]","[0.30720555782318115, 0.3727400004863739, -0.03832751885056496]","[0.3064587116241455, 0.38967594504356384, -0.03571547940373421]","[0.24329937994480133, 0.4007939100265503, -0.04664536565542221]","[0.2954769730567932, 0.39213088154792786, -0.052929967641830444]","[0.306083619594574, 0.40700358152389526, -0.04753069207072258]","[0.30195069313049316, 0.4191555380821228, -0.04299667850136757]"
