Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.35211610794067383, 0.8195587396621704, 6.627225275224191e-07]","[0.509306788444519, 0.7528501152992249, -0.07304231077432632]","[0.6011973023414612, 0.5893608331680298, -0.06384952366352081]","[0.543908417224884, 0.4382171332836151, -0.045432619750499725]","[0.45696449279785156, 0.3483539819717407, -0.020144803449511528]","[0.6396524906158447, 0.4795305132865906, 0.0311253871768713]","[0.6604436039924622, 0.3183267116546631, 0.01404505968093872]","[0.6611127257347107, 0.20101377367973328, -0.009771897457540035]","[0.6569405794143677, 0.10257512331008911, -0.028619742020964622]","[0.5487265586853027, 0.45229965448379517, 0.032225675880908966]","[0.613185465335846, 0.2756666839122772, 0.02491150051355362]","[0.6487260460853577, 0.17674028873443604, 0.004430231172591448]","[0.6692854166030884, 0.08151942491531372, -0.007867143489420414]","[0.4470033049583435, 0.4553423523902893, 0.01480168104171753]","[0.45732441544532776, 0.327795147895813, -0.059202052652835846]","[0.4461493492126465, 0.4584861993789673, -0.0989384651184082]","[0.44931840896606445, 0.539915919303894, -0.09992168843746185]","[0.34141451120376587, 0.4808148443698883, -0.008517933078110218]","[0.35847702622413635, 0.3772323727607727, -0.08839711546897888]","[0.37197843194007874, 0.46426156163215637, -0.11342901736497879]","[0.3781347870826721, 0.538970410823822, -0.11691917479038239]"
"[0.3375268876552582, 0.7547194361686707, 1.3827132079313742e-06]","[0.4566555321216583, 0.7314846515655518, -0.08226513117551804]","[0.5486666560173035, 0.5932525396347046, -0.10266532748937607]","[0.5004011988639832, 0.43719321489334106, -0.11318768560886383]","[0.453937292098999, 0.3225451707839966, -0.11708338558673859]","[0.6233068704605103, 0.5147852301597595, -0.025653444230556488]","[0.6664215326309204, 0.3666972219944, -0.06123826652765274]","[0.6874995827674866, 0.2604638934135437, -0.08515075594186783]","[0.69886314868927, 0.16732048988342285, -0.10020852088928223]","[0.546733558177948, 0.47507309913635254, -0.017844650894403458]","[0.6506015062332153, 0.32635268568992615, -0.06587070971727371]","[0.7090495824813843, 0.2384551763534546, -0.09468153119087219]","[0.749006986618042, 0.15393322706222534, -0.10118135064840317]","[0.4622286856174469, 0.4665408432483673, -0.021795717999339104]","[0.46381399035453796, 0.3438812792301178, -0.12861855328083038]","[0.4358060359954834, 0.4561757743358612, -0.15187761187553406]","[0.4210074245929718, 0.5346379280090332, -0.12914638221263885]","[0.3711325526237488, 0.47998327016830444, -0.02873595803976059]","[0.39045149087905884, 0.39534246921539307, -0.12459862977266312]","[0.3777398467063904, 0.4890913963317871, -0.13073405623435974]","[0.3664560914039612, 0.5616199374198914, -0.10931618511676788]"
"[0.3044072091579437, 0.7649664878845215, 1.0525039897402166e-06]","[0.44604015350341797, 0.7516983151435852, -0.09651798009872437]","[0.5529924631118774, 0.6200613975524902, -0.09596086293458939]","[0.5368702411651611, 0.46179383993148804, -0.08150023967027664]","[0.49802881479263306, 0.34469717741012573, -0.05600573122501373]","[0.6323457360267639, 0.5365371108055115, 0.009569793939590454]","[0.6981713175773621, 0.38884443044662476, -0.010410839691758156]","[0.7303089499473572, 0.27228954434394836, -0.02954717166721821]","[0.7500906586647034, 0.17230644822120667, -0.045337971299886703]","[0.5571490526199341, 0.4826219975948334, 0.022761456668376923]","[0.6658746600151062, 0.337030827999115, 0.0014346011448651552]","[0.7304619550704956, 0.25223690271377563, -0.021914547309279442]","[0.7765476703643799, 0.16976985335350037, -0.03281340003013611]","[0.46281495690345764, 0.45948898792266846, 0.01569496840238571]","[0.5033774375915527, 0.3301723003387451, -0.07442004233598709]","[0.46714672446250916, 0.44146642088890076, -0.11394638568162918]","[0.4448958933353424, 0.5106740593910217, -0.1094055101275444]","[0.3576784133911133, 0.4561954140663147, 0.0017784887459129095]","[0.3984662592411041, 0.34311506152153015, -0.08800714462995529]","[0.3896486759185791, 0.40706491470336914, -0.11582602560520172]","[0.37193384766578674, 0.46131956577301025, -0.11815378814935684]"
"[0.6437334418296814, 0.8746086955070496, 9.813157930693706e-07]","[0.689470648765564, 0.7368096113204956, -0.05536377802491188]","[0.6464831233024597, 0.5522895455360413, -0.06668127328157425]","[0.5101022720336914, 0.4714411497116089, -0.07877351343631744]","[0.3843631148338318, 0.44551682472229004, -0.08743665367364883]","[0.5942090749740601, 0.4229658246040344, 0.006212082225829363]","[0.5124993324279785, 0.2730702757835388, -0.023286446928977966]","[0.4462354779243469, 0.17606335878372192, -0.05247439444065094]","[0.37991756200790405, 0.09650468826293945, -0.07469747960567474]","[0.5204346776008606, 0.4671594202518463, -0.003779032500460744]","[0.46877506375312805, 0.2810242176055908, -0.03951425105333328]","[0.4444858133792877, 0.1714988648891449, -0.07237262278795242]","[0.4053771197795868, 0.0827597975730896, -0.08894499391317368]","[0.4607419967651367, 0.5463501214981079, -0.024251552298665047]","[0.3885447382926941, 0.45347949862480164, -0.11267800629138947]","[0.4698773920536041, 0.5307217240333557, -0.14522919058799744]","[0.5215839147567749, 0.5949742794036865, -0.13864776492118835]","[0.41578054428100586, 0.6437960267066956, -0.04776909574866295]","[0.3885124623775482, 0.5610935688018799, -0.13227532804012299]","[0.46540743112564087, 0.6250115633010864, -0.14433297514915466]","[0.5253143310546875, 0.6897100210189819, -0.13383768498897552]"
"[0.520969569683075, 0.8810440301895142, 7.960319408084615e-07]","[0.6066458821296692, 0.7638806700706482, -0.08877258747816086]","[0.6079904437065125, 0.5851926803588867, -0.09799512475728989]","[0.4975181818008423, 0.4590300917625427, -0.10003098845481873]","[0.3972316384315491, 0.37472882866859436, -0.09319561719894409]","[0.6294622421264648, 0.43764322996139526, 0.022313842549920082]","[0.5712986588478088, 0.2775191068649292, -0.005178750026971102]","[0.5176880359649658, 0.16770681738853455, -0.03744008019566536]","[0.4673174023628235, 0.076966792345047, -0.06170240417122841]","[0.5412400960922241, 0.44351235032081604, 0.033944014459848404]","[0.5384128093719482, 0.2568778991699219, -0.0009300846140831709]","[0.5278888940811157, 0.14738145470619202, -0.040040794759988785]","[0.5116182565689087, 0.05942443013191223, -0.06128298491239548]","[0.4541950821876526, 0.48619791865348816, 0.027240999042987823]","[0.3824300765991211, 0.3754599690437317, -0.06016005948185921]","[0.40743979811668396, 0.4684295952320099, -0.10391566902399063]","[0.4391635060310364, 0.5444495677947998, -0.10477901250123978]","[0.37315934896469116, 0.5457955598831177, 0.013749956153333187]","[0.3177861273288727, 0.45556408166885376, -0.05950406938791275]","[0.3368106186389923, 0.5090909600257874, -0.0812995508313179]","[0.37238186597824097, 0.5586601495742798, -0.08267610520124435]"
"[0.6075570583343506, 0.8538903594017029, 5.068930022389395e-07]","[0.6503399014472961, 0.7106863260269165, -0.07291662693023682]","[0.6159989833831787, 0.5323740839958191, -0.0812358483672142]","[0.4797913432121277, 0.43811866641044617, -0.08285509049892426]","[0.3622628450393677, 0.3995298147201538, -0.07801516354084015]","[0.5970888137817383, 0.41067713499069214, 0.007021822966635227]","[0.5087606310844421, 0.2630518674850464, -0.012134869582951069]","[0.4364093840122223, 0.16660305857658386, -0.038592301309108734]","[0.36923420429229736, 0.08722487092018127, -0.06137247011065483]","[0.5165343880653381, 0.43772944808006287, 0.011721144430339336]","[0.4620482921600342, 0.263858437538147, 0.0018498462159186602]","[0.4301821291446686, 0.17640791833400726, -0.01943046599626541]","[0.38904833793640137, 0.10228389501571655, -0.03568251058459282]","[0.44919484853744507, 0.49783754348754883, 0.001759055652655661]","[0.3473397493362427, 0.3856845498085022, -0.05583196505904198]","[0.40584707260131836, 0.46733295917510986, -0.08849358558654785]","[0.4577066898345947, 0.5246061682701111, -0.09306994080543518]","[0.39354681968688965, 0.5740000605583191, -0.014821486547589302]","[0.3170892000198364, 0.4797775447368622, -0.07379284501075745]","[0.3695317506790161, 0.5288705229759216, -0.09130675345659256]","[0.42849001288414, 0.5828301310539246, -0.09436767548322678]"
"[0.6502816081047058, 0.8256653547286987, 7.850760539440671e-07]","[0.7205719947814941, 0.6474664211273193, -0.044495414942502975]","[0.6591266989707947, 0.46529045701026917, -0.04285643994808197]","[0.5215267539024353, 0.3851010501384735, -0.044575802981853485]","[0.40787309408187866, 0.4298064112663269, -0.04507661238312721]","[0.5376902222633362, 0.38536837697029114, 0.02873063087463379]","[0.4497314393520355, 0.2458113133907318, 0.01893606409430504]","[0.3816770911216736, 0.1621396839618683, 0.002563294256106019]","[0.3177703320980072, 0.09358102083206177, -0.014099021442234516]","[0.46309512853622437, 0.43153437972068787, 0.016783861443400383]","[0.3829711079597473, 0.263252854347229, 0.010261950083076954]","[0.34462177753448486, 0.16506974399089813, -0.003760421182960272]","[0.29846763610839844, 0.08381706476211548, -0.015179112553596497]","[0.40518635511398315, 0.5053001046180725, -0.007202313281595707]","[0.3338082432746887, 0.39031797647476196, -0.06484796106815338]","[0.4336570203304291, 0.45021846890449524, -0.08728296309709549]","[0.4987725019454956, 0.5154141783714294, -0.08269894868135452]","[0.3550325036048889, 0.5968956351280212, -0.035946037620306015]","[0.30120712518692017, 0.48542889952659607, -0.08821506053209305]","[0.3825781047344208, 0.5134744048118591, -0.09640643745660782]","[0.45234185457229614, 0.5673435926437378, -0.09333483874797821]"
"[0.49139735102653503, 0.9261664152145386, 1.4857878340990283e-06]","[0.6046687960624695, 0.8617086410522461, -0.09051606059074402]","[0.6726336479187012, 0.6958804726600647, -0.12565219402313232]","[0.6301131248474121, 0.5622826814651489, -0.15534424781799316]","[0.531330943107605, 0.4825020134449005, -0.17998777329921722]","[0.5736526250839233, 0.515213131904602, -0.061639994382858276]","[0.5201503038406372, 0.34838080406188965, -0.12396249175071716]","[0.4657447338104248, 0.24168093502521515, -0.16494512557983398]","[0.40847155451774597, 0.14759984612464905, -0.19136051833629608]","[0.48040807247161865, 0.5237451195716858, -0.06255244463682175]","[0.48007774353027344, 0.3134802579879761, -0.1376105397939682]","[0.4785936176776886, 0.18219497799873352, -0.1765953004360199]","[0.46518832445144653, 0.07180067896842957, -0.1905176043510437]","[0.3965201675891876, 0.5730389952659607, -0.0748821273446083]","[0.3605242669582367, 0.44519397616386414, -0.19849716126918793]","[0.40861836075782776, 0.5694039463996887, -0.20677903294563293]","[0.44559115171432495, 0.6628049612045288, -0.17489637434482574]","[0.3198931813240051, 0.6545072197914124, -0.09303805977106094]","[0.3195851445198059, 0.5951228737831116, -0.20312489569187164]","[0.3785477876663208, 0.6940802931785583, -0.20383678376674652]","[0.42013809084892273, 0.7676475048065186, -0.17712043225765228]"
"[0.37526392936706543, 0.8581247329711914, 1.5482411299672094e-06]","[0.5027517080307007, 0.835037112236023, -0.06894448399543762]","[0.6033533215522766, 0.6986749172210693, -0.09354206919670105]","[0.5658561587333679, 0.5592209696769714, -0.11588576436042786]","[0.487998366355896, 0.4687107801437378, -0.133527010679245]","[0.6002395749092102, 0.5028154850006104, -0.041721779853105545]","[0.6638058423995972, 0.3493248224258423, -0.0877242162823677]","[0.6986949443817139, 0.24095946550369263, -0.1163330003619194]","[0.7225927114486694, 0.1506829857826233, -0.1322406381368637]","[0.5056309700012207, 0.47282955050468445, -0.05092313513159752]","[0.5885552763938904, 0.29720330238342285, -0.10740391165018082]","[0.6618442535400391, 0.1898137927055359, -0.14245690405368805]","[0.7143200039863586, 0.09535112977027893, -0.15406936407089233]","[0.4097093343734741, 0.4827274978160858, -0.06871739029884338]","[0.45179712772369385, 0.42396724224090576, -0.17480739951133728]","[0.4642690420150757, 0.5513736605644226, -0.19703911244869232]","[0.45406150817871094, 0.6383562088012695, -0.1751958578824997]","[0.31151705980300903, 0.5200681090354919, -0.08987481147050858]","[0.37477272748947144, 0.4803544282913208, -0.17559893429279327]","[0.40733158588409424, 0.5853837728500366, -0.17619341611862183]","[0.41240960359573364, 0.6686815619468689, -0.1524517685174942]"
"[0.42983490228652954, 0.8779631853103638, 1.405093826178927e-06]","[0.5618364810943604, 0.8197354078292847, -0.054315391927957535]","[0.643337070941925, 0.6725066900253296, -0.07702483981847763]","[0.5796880722045898, 0.5437235832214355, -0.10296516120433807]","[0.4814760982990265, 0.4781828820705414, -0.1270740032196045]","[0.5979258418083191, 0.47104695439338684, -0.027319123968482018]","[0.6342280507087708, 0.3183286786079407, -0.06700839847326279]","[0.6504747867584229, 0.21400591731071472, -0.09593115001916885]","[0.6591015458106995, 0.12355446815490723, -0.11472798883914948]","[0.5031308531761169, 0.4599655270576477, -0.04590945690870285]","[0.563348650932312, 0.28026771545410156, -0.0927109345793724]","[0.6197581887245178, 0.16675159335136414, -0.12739348411560059]","[0.6535854935646057, 0.06431865692138672, -0.14388638734817505]","[0.41141068935394287, 0.4901314675807953, -0.07214256376028061]","[0.44207412004470825, 0.4074566066265106, -0.16647110879421234]","[0.47941476106643677, 0.5320632457733154, -0.1886812448501587]","[0.48526203632354736, 0.6230100989341736, -0.17153123021125793]","[0.31943485140800476, 0.550473690032959, -0.1011558398604393]","[0.3698859214782715, 0.4695058763027191, -0.17406077682971954]","[0.42597252130508423, 0.5592672228813171, -0.1723201721906662]","[0.44956958293914795, 0.6470218896865845, -0.1515558511018753]"
