Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.4235803484916687, 0.3075525164604187, -3.674057325042668e-07]","[0.48578333854675293, 0.23740805685520172, -0.11905260384082794]","[0.508717954158783, 0.14561322331428528, -0.1900143176317215]","[0.46155399084091187, 0.11151634156703949, -0.24395368993282318]","[0.3949882984161377, 0.11720061302185059, -0.291583389043808]","[0.32816338539123535, 0.07580149173736572, -0.13723991811275482]","[0.32856985926628113, 0.07429444789886475, -0.23245197534561157]","[0.3454936146736145, 0.11987343430519104, -0.2879534065723419]","[0.36288022994995117, 0.1597314476966858, -0.3168870508670807]","[0.23998671770095825, 0.14967787265777588, -0.11170073598623276]","[0.30266979336738586, 0.18208962678909302, -0.2076791524887085]","[0.3631322383880615, 0.26944470405578613, -0.2384021133184433]","[0.3700384497642517, 0.32780084013938904, -0.24511858820915222]","[0.19398042559623718, 0.23772135376930237, -0.09791961312294006]","[0.2670823335647583, 0.2863168716430664, -0.18847566843032837]","[0.3260018527507782, 0.35996127128601074, -0.1836755871772766]","[0.3277525305747986, 0.40222495794296265, -0.1639779657125473]","[0.17572376132011414, 0.33713749051094055, -0.0926876813173294]","[0.24133065342903137, 0.3868545591831207, -0.16016468405723572]","[0.2917000353336334, 0.4338679909706116, -0.15745054185390472]","[0.2937474846839905, 0.4611966013908386, -0.1402910202741623]"
"[0.4037678837776184, 0.5562871694564819, -1.920316435644054e-06]","[0.5818874835968018, 0.6346827149391174, -0.11445553600788116]","[0.7953099608421326, 0.5152783989906311, -0.15314732491970062]","[0.8254034519195557, 0.28132522106170654, -0.1727464199066162]","[0.7369210720062256, 0.13828037679195404, -0.17630325257778168]","[0.8079434633255005, 0.28026410937309265, -0.080450639128685]","[0.8448565006256104, 0.16320855915546417, -0.18946705758571625]","[0.7690101861953735, 0.31520169973373413, -0.22210177779197693]","[0.7345697283744812, 0.39349836111068726, -0.22524143755435944]","[0.6643555164337158, 0.21324068307876587, -0.05914997681975365]","[0.6991755366325378, 0.10284256190061569, -0.18186838924884796]","[0.6245682239532471, 0.3249701261520386, -0.18689832091331482]","[0.6008933782577515, 0.3987364172935486, -0.15614540874958038]","[0.5301069021224976, 0.1843152940273285, -0.0572221577167511]","[0.5531787276268005, 0.10048986226320267, -0.2038947492837906]","[0.49892377853393555, 0.32605016231536865, -0.16021868586540222]","[0.475589394569397, 0.3987267017364502, -0.09132649004459381]","[0.38751450181007385, 0.1781303733587265, -0.059393804520368576]","[0.41668251156806946, 0.1205318346619606, -0.1578977406024933]","[0.3839300572872162, 0.29457995295524597, -0.12455952912569046]","[0.3681116998195648, 0.3498605489730835, -0.07381701469421387]"
"[0.47179657220840454, 0.8247103691101074, 5.825028779327113e-07]","[0.6647592782974243, 0.6656128168106079, -0.04898577928543091]","[0.7476718425750732, 0.42977219820022583, -0.05625066161155701]","[0.6405830383300781, 0.2357368916273117, -0.07119147479534149]","[0.4670824408531189, 0.21014975011348724, -0.07744009047746658]","[0.6432011127471924, 0.2679515779018402, 0.08179961889982224]","[0.6135090589523315, 0.10443159937858582, 0.026289163157343864]","[0.6253595948219299, 0.062085509300231934, -0.014477000571787357]","[0.6114442348480225, 0.07341238856315613, -0.03526090830564499]","[0.5039524435997009, 0.285410612821579, 0.06412109732627869]","[0.4817962646484375, 0.1325514316558838, -0.010941416956484318]","[0.5203053951263428, 0.28266793489456177, -0.04051009193062782]","[0.55219566822052, 0.36180660128593445, -0.03318100795149803]","[0.38118866086006165, 0.3441448211669922, 0.027589939534664154]","[0.36251986026763916, 0.22763225436210632, -0.08356025069952011]","[0.43171006441116333, 0.39837872982025146, -0.08978341519832611]","[0.46618175506591797, 0.4727455675601959, -0.05669537931680679]","[0.2552230656147003, 0.4266824722290039, -0.012373669072985649]","[0.2670830488204956, 0.32181504368782043, -0.09505093097686768]","[0.32003530859947205, 0.428641676902771, -0.09108671545982361]","[0.34578949213027954, 0.48655980825424194, -0.06655356287956238]"
"[0.3007989823818207, 0.6929644346237183, 8.656058412270795e-07]","[0.5238656997680664, 0.7166360020637512, -0.06398791074752808]","[0.7273828387260437, 0.5820884704589844, -0.08181837201118469]","[0.7561241984367371, 0.3885919153690338, -0.10484641790390015]","[0.6666738390922546, 0.25899001955986023, -0.12493083626031876]","[0.7357567548751831, 0.42637330293655396, 0.036127395927906036]","[0.825033962726593, 0.2826489806175232, -0.035988252609968185]","[0.8718493580818176, 0.23351851105690002, -0.09824453294277191]","[0.8539879322052002, 0.23513168096542358, -0.13329797983169556]","[0.6304831504821777, 0.3541916608810425, 0.024002956226468086]","[0.7125502228736877, 0.19021166861057281, -0.06510867923498154]","[0.7147592902183533, 0.26905834674835205, -0.12236160039901733]","[0.687604546546936, 0.35489460825920105, -0.14036090672016144]","[0.5011376738548279, 0.3160853385925293, -0.005797144025564194]","[0.572842538356781, 0.19826851785182953, -0.1268647462129593]","[0.541718602180481, 0.35400134325027466, -0.16304221749305725]","[0.4985315203666687, 0.4627753794193268, -0.1529127061367035]","[0.35628148913383484, 0.2990172803401947, -0.039584092795848846]","[0.43599313497543335, 0.22690606117248535, -0.13771501183509827]","[0.418102890253067, 0.3331766128540039, -0.15861952304840088]","[0.3856196403503418, 0.41489583253860474, -0.15389667451381683]"
"[0.6512145400047302, 0.40076202154159546, 1.1223624341027971e-07]","[0.7166133522987366, 0.3839775323867798, -0.15733323991298676]","[0.7343418002128601, 0.352056622505188, -0.2751062512397766]","[0.6674219965934753, 0.33444589376449585, -0.3747636377811432]","[0.570692777633667, 0.31305795907974243, -0.47059276700019836]","[0.7298153638839722, 0.16033099591732025, -0.2217739224433899]","[0.7294024229049683, 0.08084440231323242, -0.36824002861976624]","[0.6754028797149658, 0.09647002816200256, -0.4402806758880615]","[0.6434162855148315, 0.14184093475341797, -0.4738349914550781]","[0.6269273161888123, 0.15114980936050415, -0.19642825424671173]","[0.5091457366943359, 0.09109599888324738, -0.34784460067749023]","[0.4707825481891632, 0.23895947635173798, -0.36366143822669983]","[0.48682934045791626, 0.3128927946090698, -0.3421120047569275]","[0.5287237167358398, 0.1764545440673828, -0.18879222869873047]","[0.40021783113479614, 0.18508219718933105, -0.332224577665329]","[0.38941532373428345, 0.325177401304245, -0.29570895433425903]","[0.4228765368461609, 0.3761344254016876, -0.237252339720726]","[0.4400104582309723, 0.22104182839393616, -0.1924864500761032]","[0.3311733305454254, 0.2699151337146759, -0.28629323840141296]","[0.3290863633155823, 0.36728477478027344, -0.2641177773475647]","[0.3699767291545868, 0.3916645646095276, -0.22501444816589355]"
"[0.5039266347885132, 0.45938682556152344, -1.1871139804497943e-06]","[0.6573142409324646, 0.5041162967681885, -0.14557601511478424]","[0.8101603388786316, 0.4133520722389221, -0.21758493781089783]","[0.8128940463066101, 0.25940051674842834, -0.26017236709594727]","[0.7322400212287903, 0.1319286823272705, -0.28130286931991577]","[0.7922886610031128, 0.1953660398721695, -0.18539394438266754]","[0.7741271257400513, 0.2856389284133911, -0.29641714692115784]","[0.7190701961517334, 0.392655611038208, -0.32709580659866333]","[0.7112897634506226, 0.3649975061416626, -0.34238487482070923]","[0.6624943017959595, 0.1395650953054428, -0.15588292479515076]","[0.6405371427536011, 0.27495938539505005, -0.2753305435180664]","[0.6069595813751221, 0.39770257472991943, -0.28045234084129333]","[0.6045662760734558, 0.3458065986633301, -0.2704358994960785]","[0.5405705571174622, 0.12631824612617493, -0.1424635350704193]","[0.5085806250572205, 0.2784186899662018, -0.26202377676963806]","[0.4951513409614563, 0.4011112451553345, -0.23171290755271912]","[0.4920530915260315, 0.3568386435508728, -0.1968105435371399]","[0.42417699098587036, 0.13307440280914307, -0.14052653312683105]","[0.40143242478370667, 0.2878888249397278, -0.23077261447906494]","[0.384570449590683, 0.3850771188735962, -0.23111943900585175]","[0.37188833951950073, 0.3468489348888397, -0.21828675270080566]"
"[0.34155941009521484, 0.7455909252166748, -1.7604878621568787e-06]","[0.5841255187988281, 0.6733301877975464, -0.03648090735077858]","[0.7822564244270325, 0.520088791847229, -0.047054849565029144]","[0.8579819202423096, 0.3073647618293762, -0.07545156031847]","[0.7557127475738525, 0.18479397892951965, -0.09622563421726227]","[0.7281391620635986, 0.33573129773139954, 0.08979448676109314]","[0.8309005498886108, 0.17475095391273499, 0.012237121351063251]","[0.8130357265472412, 0.2762163579463959, -0.040003225207328796]","[0.7581806182861328, 0.3565934896469116, -0.06307889521121979]","[0.6195138692855835, 0.2781258821487427, 0.06871403753757477]","[0.7151356339454651, 0.10089980065822601, -0.022193364799022675]","[0.6960189938545227, 0.2682497501373291, -0.0618169829249382]","[0.64032381772995, 0.36281535029411316, -0.061479922384023666]","[0.4947802722454071, 0.24524860084056854, 0.02769448794424534]","[0.5981152653694153, 0.08366668224334717, -0.08526874333620071]","[0.5844342112541199, 0.2695005238056183, -0.08801096677780151]","[0.5165233612060547, 0.3787957429885864, -0.05498909577727318]","[0.3472280204296112, 0.23615017533302307, -0.015716563910245895]","[0.4691411554813385, 0.10945833474397659, -0.08680379390716553]","[0.4708408713340759, 0.24119606614112854, -0.07395868003368378]","[0.4078068733215332, 0.3394225835800171, -0.04535128176212311]"
"[0.6166524887084961, 0.803193986415863, 5.585723670264997e-07]","[0.7269366979598999, 0.5587917566299438, -0.05625379830598831]","[0.676990270614624, 0.313571959733963, -0.0681697353720665]","[0.49436885118484497, 0.19678601622581482, -0.0873894989490509]","[0.3299635648727417, 0.2669627368450165, -0.09536657482385635]","[0.5178915858268738, 0.22311799228191376, 0.06368553638458252]","[0.3961130976676941, 0.08149699866771698, 0.0015896406257525086]","[0.4064618945121765, 0.06588228046894073, -0.03779352828860283]","[0.42670947313308716, 0.09479403495788574, -0.056830644607543945]","[0.40945369005203247, 0.30171141028404236, 0.04950535297393799]","[0.2897646427154541, 0.1863953024148941, -0.030874183401465416]","[0.3949652910232544, 0.28472810983657837, -0.06124936044216156]","[0.47108814120292664, 0.32568085193634033, -0.05726151168346405]","[0.3245820999145508, 0.4101738929748535, 0.015535412356257439]","[0.23665177822113037, 0.3263171911239624, -0.10214241594076157]","[0.37869104743003845, 0.43978387117385864, -0.11681287735700607]","[0.45614856481552124, 0.48552465438842773, -0.08950850367546082]","[0.2503824830055237, 0.5415078401565552, -0.022321851924061775]","[0.21057498455047607, 0.451608806848526, -0.10825016349554062]","[0.3079473376274109, 0.5213879942893982, -0.11282788217067719]","[0.3664599657058716, 0.5639772415161133, -0.09434477984905243]"
"[0.3919854462146759, 0.7012938857078552, -2.394145042217133e-07]","[0.571631669998169, 0.7296655178070068, -0.07469430565834045]","[0.7748134732246399, 0.5534611344337463, -0.10041165351867676]","[0.7609760761260986, 0.3297702372074127, -0.12614528834819794]","[0.6237816214561462, 0.22064733505249023, -0.13125547766685486]","[0.7941929697990417, 0.29798102378845215, -0.017209922894835472]","[0.827657163143158, 0.1357996165752411, -0.12105076014995575]","[0.7551748156547546, 0.28819286823272705, -0.17830722033977509]","[0.7289972901344299, 0.36431941390037537, -0.20669494569301605]","[0.632724404335022, 0.2405700385570526, -0.030082818120718002]","[0.6772526502609253, 0.12259620428085327, -0.14521552622318268]","[0.6267694234848022, 0.31935322284698486, -0.18136143684387207]","[0.6218554973602295, 0.35659581422805786, -0.18098637461662292]","[0.4870980381965637, 0.2460380345582962, -0.06169350817799568]","[0.5256933569908142, 0.166423037648201, -0.18373224139213562]","[0.49594464898109436, 0.3817422389984131, -0.16820061206817627]","[0.488273024559021, 0.4200533628463745, -0.1279502958059311]","[0.35492581129074097, 0.2696980834007263, -0.09996423870325089]","[0.40035107731819153, 0.25206077098846436, -0.17209434509277344]","[0.38806143403053284, 0.39116019010543823, -0.1497933268547058]","[0.38482967019081116, 0.4110744297504425, -0.11663386225700378]"
"[0.4203452467918396, 0.5215848684310913, -6.053149377294176e-07]","[0.4873301684856415, 0.41323867440223694, -0.10868994891643524]","[0.5319763422012329, 0.24853995442390442, -0.20030146837234497]","[0.49314767122268677, 0.14134004712104797, -0.2826891243457794]","[0.3929543197154999, 0.15608187019824982, -0.3498740494251251]","[0.32580506801605225, 0.16536295413970947, -0.16833142936229706]","[0.3251532316207886, 0.07912492752075195, -0.31792011857032776]","[0.43302232027053833, 0.16421401500701904, -0.3739270567893982]","[0.46196720004081726, 0.21879756450653076, -0.3935898542404175]","[0.22738519310951233, 0.26216813921928406, -0.17285098135471344]","[0.2663106620311737, 0.17612981796264648, -0.33673903346061707]","[0.4249142110347748, 0.3029046654701233, -0.3523831069469452]","[0.4205546975135803, 0.34798771142959595, -0.33613520860671997]","[0.16691355407238007, 0.37500864267349243, -0.1918809711933136]","[0.24252663552761078, 0.31749847531318665, -0.3464047312736511]","[0.3917934000492096, 0.42553210258483887, -0.2962713837623596]","[0.37937575578689575, 0.4755949378013611, -0.23381227254867554]","[0.1224745661020279, 0.49958664178848267, -0.21763339638710022]","[0.21243616938591003, 0.4643140733242035, -0.31045642495155334]","[0.3262921869754791, 0.525583028793335, -0.27597132325172424]","[0.30674412846565247, 0.566950798034668, -0.2338612675666809]"
