Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.5103384852409363, 0.8934584856033325, 9.528565669825184e-07]","[0.6552806496620178, 0.7737890481948853, -0.04850590229034424]","[0.6951393485069275, 0.5752770900726318, -0.04890132695436478]","[0.6011809706687927, 0.4367007315158844, -0.05296849459409714]","[0.4682753384113312, 0.4262743592262268, -0.05660272389650345]","[0.6283450722694397, 0.4352547228336334, 0.01967381127178669]","[0.6342566609382629, 0.2622325122356415, 0.006630954798310995]","[0.628014862537384, 0.1550603210926056, -0.011609549634158611]","[0.6171155571937561, 0.060905635356903076, -0.03019428625702858]","[0.5330033302307129, 0.4426746368408203, 0.006559318397194147]","[0.5367884635925293, 0.25682324171066284, -0.012545842677354813]","[0.5484499931335449, 0.13818269968032837, -0.04243416339159012]","[0.5388773679733276, 0.03374478220939636, -0.06426655501127243]","[0.44125086069107056, 0.4862317740917206, -0.016761068254709244]","[0.4221949577331543, 0.3565530776977539, -0.08638501912355423]","[0.487876832485199, 0.4542846381664276, -0.12170322239398956]","[0.5173258781433105, 0.5409457087516785, -0.12331503629684448]","[0.34555453062057495, 0.5470888018608093, -0.04353766515851021]","[0.3458070456981659, 0.4293736219406128, -0.10499293357133865]","[0.4099503755569458, 0.48797518014907837, -0.12052124738693237]","[0.4528530240058899, 0.5643764734268188, -0.12061145901679993]"
"[0.6784795522689819, 0.8466578722000122, 9.770417364052264e-07]","[0.7425230741500854, 0.7104833126068115, -0.06705621629953384]","[0.7190360426902771, 0.5615223050117493, -0.08417519927024841]","[0.5861960649490356, 0.5066623091697693, -0.09960206598043442]","[0.4640521705150604, 0.5229958891868591, -0.1123923733830452]","[0.5669061541557312, 0.40846535563468933, -0.012904437258839607]","[0.4720951318740845, 0.26087573170661926, -0.0399044044315815]","[0.4071078896522522, 0.17726659774780273, -0.07166353613138199]","[0.3462511897087097, 0.10312604904174805, -0.09914260357618332]","[0.4755593538284302, 0.44430291652679443, -0.014900218695402145]","[0.3814096450805664, 0.2912493348121643, -0.04384202882647514]","[0.32328423857688904, 0.1888011246919632, -0.08442869782447815]","[0.2656935453414917, 0.10443657636642456, -0.11604323238134384]","[0.4188501238822937, 0.5134892463684082, -0.026661057025194168]","[0.30802157521247864, 0.3915964961051941, -0.08530333638191223]","[0.36674463748931885, 0.4490657150745392, -0.11259078979492188]","[0.41677749156951904, 0.5144637823104858, -0.11479620635509491]","[0.37923476099967957, 0.6120147109031677, -0.04444684833288193]","[0.29405197501182556, 0.5071607828140259, -0.09584634751081467]","[0.3375703692436218, 0.525631308555603, -0.10437226295471191]","[0.3912343382835388, 0.5734317302703857, -0.10016965866088867]"
"[0.3941953778266907, 0.8671212196350098, 9.968877066057757e-07]","[0.5512676239013672, 0.7969492673873901, -0.06378013640642166]","[0.6417092680931091, 0.6311803460121155, -0.05998193472623825]","[0.5894294381141663, 0.4935814440250397, -0.05126182362437248]","[0.47155165672302246, 0.4329174757003784, -0.039117660373449326]","[0.6305102109909058, 0.478718638420105, 0.015710556879639626]","[0.6784849762916565, 0.3090031147003174, 0.005809555295854807]","[0.6982662081718445, 0.2031344175338745, -0.008147467859089375]","[0.7138245105743408, 0.11171326041221619, -0.02091599814593792]","[0.5381181240081787, 0.4545668959617615, 0.01289093866944313]","[0.5849744081497192, 0.27277421951293945, 0.005819051526486874]","[0.6131496429443359, 0.1668033003807068, -0.014548498205840588]","[0.6286532878875732, 0.06553855538368225, -0.027233052998781204]","[0.43850094079971313, 0.46978235244750977, -0.0027813322376459837]","[0.4491932988166809, 0.35019856691360474, -0.06556782871484756]","[0.45732247829437256, 0.47127020359039307, -0.09639504551887512]","[0.46354085206985474, 0.5464123487472534, -0.09346867352724075]","[0.33111274242401123, 0.5093844532966614, -0.023109206929802895]","[0.34233587980270386, 0.40675774216651917, -0.08358310163021088]","[0.3724142909049988, 0.4866805672645569, -0.0951409637928009]","[0.3900734782218933, 0.5609227418899536, -0.09002908319234848]"
"[0.664852499961853, 0.8165426254272461, 1.5720332839919138e-06]","[0.724250853061676, 0.717394232749939, -0.08532916009426117]","[0.6680679321289062, 0.556729793548584, -0.11029623448848724]","[0.5172443389892578, 0.5158225893974304, -0.12815244495868683]","[0.38564831018447876, 0.5109950304031372, -0.14098891615867615]","[0.5815186500549316, 0.4095064699649811, -0.036690015345811844]","[0.49532803893089294, 0.250320702791214, -0.08048274368047714]","[0.4396609663963318, 0.15233811736106873, -0.10778284072875977]","[0.3908000886440277, 0.07515314221382141, -0.1242498978972435]","[0.49533993005752563, 0.4540172219276428, -0.03704867884516716]","[0.4012078046798706, 0.27615201473236084, -0.0934089794754982]","[0.35718774795532227, 0.17034566402435303, -0.13162286579608917]","[0.31288862228393555, 0.08337846398353577, -0.14335095882415771]","[0.44188177585601807, 0.5317525267601013, -0.04851429909467697]","[0.345146119594574, 0.45397767424583435, -0.16550730168819427]","[0.440558522939682, 0.5465115904808044, -0.19181141257286072]","[0.5052419900894165, 0.6035771369934082, -0.1691174954175949]","[0.40950432419776917, 0.6318373680114746, -0.06301791220903397]","[0.3600296676158905, 0.5815210938453674, -0.17398156225681305]","[0.4468842148780823, 0.6532454490661621, -0.18343918025493622]","[0.5094471573829651, 0.7032649517059326, -0.16027946770191193]"
"[0.5886543393135071, 0.8943457007408142, 1.811157289921539e-06]","[0.6883881092071533, 0.8127409219741821, -0.11343052983283997]","[0.6827012300491333, 0.6508988738059998, -0.15440666675567627]","[0.5500316619873047, 0.5833284258842468, -0.18186238408088684]","[0.41120225191116333, 0.5704340934753418, -0.20414401590824127]","[0.5668171048164368, 0.4501586854457855, -0.0713559165596962]","[0.5070745348930359, 0.27182960510253906, -0.1223938912153244]","[0.4720993936061859, 0.16613958775997162, -0.1569824069738388]","[0.4407026469707489, 0.07577985525131226, -0.1789373755455017]","[0.46238216757774353, 0.46952036023139954, -0.05751741677522659]","[0.40486636757850647, 0.269661009311676, -0.11441805213689804]","[0.37946248054504395, 0.1508844494819641, -0.15301647782325745]","[0.353208065032959, 0.05501869320869446, -0.16794735193252563]","[0.39092007279396057, 0.535420835018158, -0.05566779524087906]","[0.30745989084243774, 0.41565853357315063, -0.16644452512264252]","[0.36956480145454407, 0.5140249729156494, -0.18948790431022644]","[0.417041540145874, 0.5903354287147522, -0.16949991881847382]","[0.34325188398361206, 0.6373990178108215, -0.060011301189661026]","[0.30493196845054626, 0.5726035833358765, -0.16883383691310883]","[0.3767770528793335, 0.6470630168914795, -0.17846180498600006]","[0.43241792917251587, 0.7113090753555298, -0.15649209916591644]"
"[0.27131739258766174, 0.8183649778366089, 1.1208392152184388e-06]","[0.4422966241836548, 0.8225466012954712, -0.07971537858247757]","[0.5757527351379395, 0.690595269203186, -0.08128216117620468]","[0.560623824596405, 0.5336662530899048, -0.07442741096019745]","[0.488167405128479, 0.42609691619873047, -0.06358136981725693]","[0.6137197017669678, 0.554892361164093, 0.00015753073967061937]","[0.7158861756324768, 0.40909093618392944, -0.02736014686524868]","[0.7743715643882751, 0.30672162771224976, -0.05169518664479256]","[0.8219990134239197, 0.22495225071907043, -0.0685829296708107]","[0.5353536605834961, 0.502326488494873, -0.0015114233829081059]","[0.6455470323562622, 0.33747559785842896, -0.023945624008774757]","[0.7121307253837585, 0.23127630352973938, -0.051756005734205246]","[0.7605975270271301, 0.12826299667358398, -0.06540103256702423]","[0.43840137124061584, 0.47603070735931396, -0.019950607791543007]","[0.4960514307022095, 0.37630462646484375, -0.10796751827001572]","[0.4514906406402588, 0.4979657530784607, -0.14798933267593384]","[0.4296097159385681, 0.5675649642944336, -0.14382167160511017]","[0.3289700746536255, 0.47582554817199707, -0.04363178089261055]","[0.3842335343360901, 0.3852677047252655, -0.12675900757312775]","[0.380351185798645, 0.48262789845466614, -0.1460438221693039]","[0.36290639638900757, 0.5563885569572449, -0.1419563740491867]"
"[0.4989757537841797, 0.8744729161262512, 1.0479882348590763e-06]","[0.6129295229911804, 0.7625789046287537, -0.06157256290316582]","[0.6352506875991821, 0.5937246084213257, -0.06805367022752762]","[0.5368407964706421, 0.49463120102882385, -0.07196011394262314]","[0.4318903088569641, 0.466975599527359, -0.07260870933532715]","[0.5882919430732727, 0.4398505389690399, -0.005143753252923489]","[0.5781182050704956, 0.2641192078590393, -0.029945144429802895]","[0.5627855658531189, 0.1544698178768158, -0.05282813683152199]","[0.5468679666519165, 0.05858305096626282, -0.07105349749326706]","[0.4907485246658325, 0.4516734182834625, -0.011157406494021416]","[0.4753402769565582, 0.27269235253334045, -0.035967543721199036]","[0.47435852885246277, 0.168426513671875, -0.06250405311584473]","[0.4661741256713867, 0.06992641091346741, -0.07927550375461578]","[0.39781370759010315, 0.5038759112358093, -0.027808746322989464]","[0.3659502863883972, 0.38028454780578613, -0.1019321084022522]","[0.408946692943573, 0.49030163884162903, -0.11877718567848206]","[0.4306882619857788, 0.5596226453781128, -0.1061948761343956]","[0.30467724800109863, 0.5822697877883911, -0.048832595348358154]","[0.2937704920768738, 0.4796193242073059, -0.11439221352338791]","[0.3391880393028259, 0.5518196821212769, -0.11269965022802353]","[0.3666198253631592, 0.6115522384643555, -0.09688238054513931]"
"[0.54522705078125, 0.9223440885543823, 6.440153015319083e-07]","[0.6622452735900879, 0.8065484762191772, -0.0476800911128521]","[0.6878513097763062, 0.6035443544387817, -0.039605531841516495]","[0.5756737589836121, 0.4874098598957062, -0.03439159691333771]","[0.43840229511260986, 0.4653468132019043, -0.027943743392825127]","[0.6257808208465576, 0.4419258236885071, 0.033139731734991074]","[0.6073316931724548, 0.2730901837348938, 0.02353052981197834]","[0.584818959236145, 0.16938567161560059, 0.008054960519075394]","[0.5588186979293823, 0.07923871278762817, -0.006276615895330906]","[0.5292820334434509, 0.4570840299129486, 0.017722144722938538]","[0.5056878328323364, 0.26645857095718384, 0.004658365156501532]","[0.4927680492401123, 0.14893975853919983, -0.024014020338654518]","[0.4663683772087097, 0.04250642657279968, -0.04279978573322296]","[0.44055819511413574, 0.5129861831665039, -0.00970505177974701]","[0.4083206057548523, 0.4172653257846832, -0.08098010718822479]","[0.4673520624637604, 0.5290445685386658, -0.12007445842027664]","[0.5019702315330505, 0.603271484375, -0.12173355370759964]","[0.3549230992794037, 0.5878195762634277, -0.04041110724210739]","[0.3282933235168457, 0.48691052198410034, -0.10009550303220749]","[0.3865399956703186, 0.5510445833206177, -0.11283858120441437]","[0.43304288387298584, 0.6153947114944458, -0.1104077696800232]"
"[0.6465363502502441, 0.8714771270751953, 7.753026238788152e-07]","[0.7402688264846802, 0.7178806066513062, -0.04346548020839691]","[0.7166903018951416, 0.5184281468391418, -0.04608357697725296]","[0.5778021812438965, 0.4266735315322876, -0.0527726411819458]","[0.4470997452735901, 0.44627952575683594, -0.060277309268713]","[0.5956888794898987, 0.4024907052516937, 0.008579129353165627]","[0.5370226502418518, 0.24214617908000946, -0.008269227109849453]","[0.4910516142845154, 0.14465749263763428, -0.027878889814019203]","[0.4478701949119568, 0.06004413962364197, -0.04664815217256546]","[0.5059770941734314, 0.4394707977771759, -0.007943323813378811]","[0.43825310468673706, 0.2621467709541321, -0.02626398205757141]","[0.4043582081794739, 0.1506199836730957, -0.053721413016319275]","[0.36124321818351746, 0.05572345852851868, -0.07428902387619019]","[0.4364604353904724, 0.5109977722167969, -0.03322196006774902]","[0.38103193044662476, 0.40370699763298035, -0.09758350998163223]","[0.47164490818977356, 0.47593867778778076, -0.12774105370044708]","[0.5290626883506775, 0.5430797934532166, -0.12815947830677032]","[0.373611718416214, 0.6018802523612976, -0.06169285252690315]","[0.33296242356300354, 0.5001404285430908, -0.11738704144954681]","[0.41281625628471375, 0.5342732071876526, -0.12916088104248047]","[0.48211154341697693, 0.5874008536338806, -0.12771113216876984]"
"[0.5566738247871399, 0.9104692935943604, 1.0134967851627152e-06]","[0.6816231608390808, 0.7814110517501831, -0.053271204233169556]","[0.7054077982902527, 0.5797628164291382, -0.06028571352362633]","[0.5940761566162109, 0.4527129828929901, -0.07072543352842331]","[0.4579674005508423, 0.4556463956832886, -0.08048953115940094]","[0.6198169589042664, 0.42745617032051086, 0.0057440646924078465]","[0.6090805530548096, 0.25231918692588806, -0.016550563275814056]","[0.5923370122909546, 0.14198008179664612, -0.0383320227265358]","[0.5744320750236511, 0.047541677951812744, -0.05702334642410278]","[0.5227870941162109, 0.4439309537410736, -0.009378586895763874]","[0.5124542117118835, 0.25659650564193726, -0.03710569441318512]","[0.5142927765846252, 0.136134535074234, -0.06883689016103745]","[0.4989379048347473, 0.03247547149658203, -0.08933824300765991]","[0.43626177310943604, 0.49968934059143066, -0.034558702260255814]","[0.4046696424484253, 0.3885107636451721, -0.10963156819343567]","[0.4754095673561096, 0.48664581775665283, -0.1415310949087143]","[0.5131012201309204, 0.5729852914810181, -0.13819219172000885]","[0.3513416647911072, 0.5775525569915771, -0.06382158398628235]","[0.3321060836315155, 0.4657016098499298, -0.12251274287700653]","[0.3988480865955353, 0.5209671854972839, -0.13066799938678741]","[0.4482883810997009, 0.5947110056877136, -0.1243087500333786]"
