Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.4137311577796936, 0.8607288599014282, 1.4280745972428122e-06]","[0.5445014834403992, 0.8033915758132935, -0.0574997253715992]","[0.6310973763465881, 0.648409366607666, -0.07477948069572449]","[0.555402934551239, 0.5182150602340698, -0.09035436809062958]","[0.4520273208618164, 0.4559951424598694, -0.10607966780662537]","[0.6160925030708313, 0.5047432780265808, -0.046768564730882645]","[0.7050412893295288, 0.3350445628166199, -0.08754999935626984]","[0.7583474516868591, 0.232571542263031, -0.11420349031686783]","[0.8014209866523743, 0.14225146174430847, -0.13084076344966888]","[0.5092407464981079, 0.479763001203537, -0.05948701128363609]","[0.5565952062606812, 0.2805735468864441, -0.10225944221019745]","[0.5917187929153442, 0.16865023970603943, -0.134524866938591]","[0.6110488176345825, 0.06009191274642944, -0.15106356143951416]","[0.4044470191001892, 0.4937957227230072, -0.07813367247581482]","[0.4244927167892456, 0.39859136939048767, -0.16399100422859192]","[0.43546295166015625, 0.531843364238739, -0.1776878535747528]","[0.43114423751831055, 0.6076102256774902, -0.15770868957042694]","[0.29625096917152405, 0.536868691444397, -0.09953723102807999]","[0.3180464804172516, 0.4285435080528259, -0.16477584838867188]","[0.3539227247238159, 0.5246341824531555, -0.1516600251197815]","[0.36571818590164185, 0.6057782769203186, -0.12445735186338425]"
"[0.18337103724479675, 0.7216224670410156, 2.5277213921981456e-07]","[0.36485129594802856, 0.7790967226028442, -0.05445508658885956]","[0.5350399613380432, 0.6958743929862976, -0.03578401729464531]","[0.5544318556785583, 0.5452480912208557, -0.010627920739352703]","[0.494915246963501, 0.4309912919998169, 0.014649211429059505]","[0.606610894203186, 0.5674787163734436, 0.005134337581694126]","[0.7547139525413513, 0.46108555793762207, -0.0036784405820071697]","[0.8462766408920288, 0.38626188039779663, -0.012783286161720753]","[0.9232991933822632, 0.3306759297847748, -0.024299975484609604]","[0.5326974987983704, 0.48731040954589844, 0.00018072430975735188]","[0.6663870811462402, 0.3333580195903778, -0.00756807392463088]","[0.7473295331001282, 0.23901581764221191, -0.027543392032384872]","[0.8160654902458191, 0.15209853649139404, -0.04219825193285942]","[0.43614059686660767, 0.4411793649196625, -0.016771968454122543]","[0.4976166784763336, 0.35044431686401367, -0.08794496208429337]","[0.42569512128829956, 0.46238183975219727, -0.13226664066314697]","[0.39440762996673584, 0.5412206053733826, -0.13996180891990662]","[0.3245195150375366, 0.4247153401374817, -0.035998325794935226]","[0.38165387511253357, 0.33149582147598267, -0.11545567959547043]","[0.35864996910095215, 0.4198538661003113, -0.14619998633861542]","[0.3335258960723877, 0.4976212680339813, -0.15534146130084991]"
"[0.6068024039268494, 0.9043470025062561, 7.540374440395681e-07]","[0.6931124925613403, 0.7759729623794556, -0.048273611813783646]","[0.6864826083183289, 0.5788023471832275, -0.05719257518649101]","[0.5746299624443054, 0.46743035316467285, -0.06994859874248505]","[0.44804275035858154, 0.4769326150417328, -0.08074427396059036]","[0.5953674912452698, 0.4375776946544647, -0.00920943170785904]","[0.5806339383125305, 0.2540317177772522, -0.0312236025929451]","[0.5671558976173401, 0.14459294080734253, -0.04771512374281883]","[0.5479166507720947, 0.05202391743659973, -0.06343811750411987]","[0.49249139428138733, 0.4645586609840393, -0.02412884309887886]","[0.4114854037761688, 0.2855668067932129, -0.061282649636268616]","[0.36874839663505554, 0.1777212917804718, -0.09367387741804123]","[0.3134855329990387, 0.08146503567695618, -0.11222757399082184]","[0.41576582193374634, 0.5356497764587402, -0.04547286406159401]","[0.3709295988082886, 0.4406670331954956, -0.12216564267873764]","[0.45983028411865234, 0.5368301868438721, -0.14494803547859192]","[0.5083407759666443, 0.6087344884872437, -0.1360139399766922]","[0.35742300748825073, 0.6281964778900146, -0.06991823017597198]","[0.32800209522247314, 0.5465574264526367, -0.12932808697223663]","[0.4009828269481659, 0.5947537422180176, -0.1340041309595108]","[0.4551582634449005, 0.6452890634536743, -0.12413390725851059]"
"[0.46452248096466064, 0.918542206287384, 1.1685013987516868e-06]","[0.6054888963699341, 0.8118376731872559, -0.06693878024816513]","[0.6651451587677002, 0.6155810356140137, -0.06982214748859406]","[0.5754706859588623, 0.48183974623680115, -0.0718659833073616]","[0.4360618591308594, 0.447456955909729, -0.06985047459602356]","[0.6228774189949036, 0.46672746539115906, 0.014766272157430649]","[0.669940173625946, 0.29052793979644775, 0.002126878360286355]","[0.6950214505195618, 0.17946547269821167, -0.009516197256743908]","[0.7095385789871216, 0.08827662467956543, -0.019558338448405266]","[0.5151169300079346, 0.46553486585617065, 0.008510100655257702]","[0.511563241481781, 0.26553553342819214, -0.012669091112911701]","[0.5184205770492554, 0.14809083938598633, -0.03843669220805168]","[0.5080857276916504, 0.04418373107910156, -0.05091174691915512]","[0.41261547803878784, 0.5064919590950012, -0.010506797581911087]","[0.3934290111064911, 0.3987067937850952, -0.09204132854938507]","[0.4394095540046692, 0.5283432006835938, -0.12420350313186646]","[0.45882540941238403, 0.6112880706787109, -0.1157151535153389]","[0.3155190646648407, 0.5649683475494385, -0.0337166003882885]","[0.308351069688797, 0.46230438351631165, -0.10095272958278656]","[0.3604525029659271, 0.541732668876648, -0.10941517353057861]","[0.393215537071228, 0.6123330593109131, -0.09930191934108734]"
"[0.6349822282791138, 0.827704668045044, 1.5997247828636318e-06]","[0.7264198660850525, 0.7604383826255798, -0.10878121107816696]","[0.7361884117126465, 0.6571835279464722, -0.16499221324920654]","[0.6231802701950073, 0.6177141666412354, -0.21432459354400635]","[0.4928234815597534, 0.6085708737373352, -0.26100480556488037]","[0.61174476146698, 0.42866677045822144, -0.10157524049282074]","[0.5757881999015808, 0.2426908314228058, -0.16690748929977417]","[0.5490449070930481, 0.13103601336479187, -0.20980589091777802]","[0.5203971266746521, 0.038811057806015015, -0.23710742592811584]","[0.48986050486564636, 0.44860705733299255, -0.09483783692121506]","[0.3918398320674896, 0.27557286620140076, -0.16655102372169495]","[0.3274874687194824, 0.1706921011209488, -0.21239912509918213]","[0.2665948271751404, 0.08665737509727478, -0.23411209881305695]","[0.41250714659690857, 0.5125255584716797, -0.09802637994289398]","[0.3047618865966797, 0.42202675342559814, -0.20334412157535553]","[0.3693895936012268, 0.5089668035507202, -0.22476786375045776]","[0.4219762086868286, 0.5786150693893433, -0.20771868526935577]","[0.36344560980796814, 0.6087521314620972, -0.10839209705591202]","[0.29222947359085083, 0.5479528903961182, -0.19721347093582153]","[0.3433687090873718, 0.5940462946891785, -0.20223602652549744]","[0.40135514736175537, 0.6426699161529541, -0.1823890507221222]"
"[0.5173246264457703, 0.8876953125, 1.1167248885612935e-06]","[0.6536733508110046, 0.8336492776870728, -0.059103455394506454]","[0.6907748579978943, 0.6643571257591248, -0.06751198321580887]","[0.5630760192871094, 0.5652979612350464, -0.07285512238740921]","[0.4323124289512634, 0.5470486879348755, -0.07959900051355362]","[0.6039589047431946, 0.47036075592041016, -0.02258296310901642]","[0.5917322635650635, 0.2927887439727783, -0.04539157822728157]","[0.5748565196990967, 0.17871028184890747, -0.06281311810016632]","[0.5644958019256592, 0.08512353897094727, -0.08007033914327621]","[0.4921524226665497, 0.483210951089859, -0.03294657915830612]","[0.4334384799003601, 0.28024667501449585, -0.0653180256485939]","[0.4031376242637634, 0.16221940517425537, -0.09844724833965302]","[0.3712136149406433, 0.06064078211784363, -0.11668369919061661]","[0.40996015071868896, 0.5375636219978333, -0.05145139992237091]","[0.3584609925746918, 0.40832555294036865, -0.14654940366744995]","[0.3975141644477844, 0.4985811412334442, -0.18635348975658417]","[0.4229133129119873, 0.5586068034172058, -0.18568456172943115]","[0.3471008539199829, 0.6227877140045166, -0.07115757465362549]","[0.3258155286312103, 0.5555586218833923, -0.1688576638698578]","[0.3821585774421692, 0.6474559307098389, -0.19084587693214417]","[0.4228149950504303, 0.7203830480575562, -0.18685351312160492]"
"[0.4740670919418335, 0.9181022047996521, 1.1782980209318339e-06]","[0.6135860681533813, 0.810498833656311, -0.057991452515125275]","[0.6733273267745972, 0.616850733757019, -0.06508632749319077]","[0.5808894634246826, 0.4805266857147217, -0.07282252609729767]","[0.4497770071029663, 0.441738486289978, -0.07825762033462524]","[0.6215880513191223, 0.47950103878974915, 0.0023289306554943323]","[0.6730979681015015, 0.3008894920349121, -0.012156372889876366]","[0.7017563581466675, 0.19217312335968018, -0.024633251130580902]","[0.7196075320243835, 0.10087332129478455, -0.035243380814790726]","[0.511313259601593, 0.47421836853027344, -0.0067982799373567104]","[0.515622079372406, 0.26896965503692627, -0.026813900098204613]","[0.5284088253974915, 0.15193313360214233, -0.05108349397778511]","[0.5215617418289185, 0.04716244339942932, -0.064516581594944]","[0.4099118411540985, 0.5102809071540833, -0.025565553456544876]","[0.40803924202919006, 0.3957477807998657, -0.09678170084953308]","[0.4601002633571625, 0.5219457149505615, -0.12024229019880295]","[0.4775238037109375, 0.6049166917800903, -0.10986611992120743]","[0.31408408284187317, 0.5678822994232178, -0.04795212671160698]","[0.3218551278114319, 0.45021599531173706, -0.1031930223107338]","[0.37888410687446594, 0.5251986980438232, -0.10242008417844772]","[0.4095146059989929, 0.5982964038848877, -0.08820045739412308]"
"[0.5877367258071899, 0.9155796766281128, 1.0103185559273697e-06]","[0.6744239926338196, 0.8005149364471436, -0.055618952959775925]","[0.6808969974517822, 0.6032845973968506, -0.07331153750419617]","[0.5565557479858398, 0.4862973690032959, -0.09130775183439255]","[0.42357611656188965, 0.4579702615737915, -0.1060095876455307]","[0.5996407270431519, 0.4797039031982422, -0.029903901740908623]","[0.5805637836456299, 0.2871139347553253, -0.06272746622562408]","[0.5646826028823853, 0.1767401099205017, -0.08095953613519669]","[0.5470181703567505, 0.08324223756790161, -0.09567680209875107]","[0.49938157200813293, 0.5088415741920471, -0.04371865838766098]","[0.4296254515647888, 0.29279595613479614, -0.0951259583234787]","[0.4036712050437927, 0.17224863171577454, -0.13138636946678162]","[0.36725008487701416, 0.07480216026306152, -0.14932073652744293]","[0.4220345914363861, 0.5740084052085876, -0.06315487623214722]","[0.3882899284362793, 0.44697436690330505, -0.16548851132392883]","[0.47068503499031067, 0.5374988317489624, -0.19295355677604675]","[0.5105623006820679, 0.6110734939575195, -0.1818590611219406]","[0.3677549958229065, 0.657113790512085, -0.08416160941123962]","[0.38572990894317627, 0.5866252183914185, -0.18172994256019592]","[0.46102312207221985, 0.6670110821723938, -0.1973038613796234]","[0.49909573793411255, 0.737402081489563, -0.18732039630413055]"
"[0.22086340188980103, 0.6045037508010864, 9.709143569125445e-07]","[0.31077495217323303, 0.6704392433166504, -0.07394038140773773]","[0.4142511487007141, 0.6323789954185486, -0.1109173521399498]","[0.4498577117919922, 0.5068212151527405, -0.14490409195423126]","[0.44135481119155884, 0.40117061138153076, -0.1793462038040161]","[0.584723711013794, 0.5239404439926147, -0.0807163268327713]","[0.7682942152023315, 0.47173574566841125, -0.12766213715076447]","[0.8684463500976562, 0.4440254271030426, -0.16287097334861755]","[0.9544781446456909, 0.41283321380615234, -0.19084550440311432]","[0.5374715328216553, 0.4283655285835266, -0.07986001670360565]","[0.6777756214141846, 0.28913938999176025, -0.12890614569187164]","[0.7485941648483276, 0.21444275975227356, -0.16591614484786987]","[0.8118083477020264, 0.14547863602638245, -0.1899741142988205]","[0.4566097855567932, 0.3802807033061981, -0.08407159149646759]","[0.5353044867515564, 0.28044795989990234, -0.1573881208896637]","[0.4750932455062866, 0.3505539000034332, -0.1710062026977539]","[0.43158960342407227, 0.4064347445964813, -0.16124282777309418]","[0.35320907831192017, 0.362876832485199, -0.0930076539516449]","[0.4101058840751648, 0.29100409150123596, -0.15786448121070862]","[0.3797791600227356, 0.353568971157074, -0.15743598341941833]","[0.35212892293930054, 0.42242860794067383, -0.14230510592460632]"
"[0.38124796748161316, 0.8602921962738037, 9.880372999759857e-07]","[0.5304445028305054, 0.7933998107910156, -0.05095848813652992]","[0.6300784349441528, 0.6306329369544983, -0.05807318165898323]","[0.5779479742050171, 0.4844682812690735, -0.06609278172254562]","[0.4594454765319824, 0.430763304233551, -0.07462335377931595]","[0.618511438369751, 0.4844571352005005, -0.005970141384750605]","[0.707952618598938, 0.32913947105407715, -0.02209138497710228]","[0.7575699090957642, 0.23212268948554993, -0.03718052804470062]","[0.7997097969055176, 0.14909154176712036, -0.05261034891009331]","[0.5176777243614197, 0.4505537152290344, -0.01920950971543789]","[0.5375702977180481, 0.25473490357398987, -0.040349576622247696]","[0.5530154705047607, 0.14001032710075378, -0.06925535947084427]","[0.5566360354423523, 0.03487482666969299, -0.08836030960083008]","[0.4161269962787628, 0.46730130910873413, -0.03993943706154823]","[0.4304778575897217, 0.353681743144989, -0.10412754118442535]","[0.45872122049331665, 0.4653734564781189, -0.13428737223148346]","[0.4672267436981201, 0.5481279492378235, -0.13378745317459106]","[0.3151088058948517, 0.5175711512565613, -0.06375084072351456]","[0.32431498169898987, 0.4063245952129364, -0.1181880384683609]","[0.3677136301994324, 0.47711217403411865, -0.12599804997444153]","[0.39015012979507446, 0.5541127324104309, -0.11966360360383987]"
