Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.592214822769165, 0.8676062226295471, 1.516630959486065e-06]","[0.6710652112960815, 0.7435901165008545, -0.10554288327693939]","[0.636141836643219, 0.5551028251647949, -0.11331626772880554]","[0.4925648868083954, 0.4623515009880066, -0.10282468050718307]","[0.3558928370475769, 0.4305906891822815, -0.0845249593257904]","[0.6247873902320862, 0.4020322859287262, -0.01143636368215084]","[0.6193504333496094, 0.22749516367912292, 0.00040970102418214083]","[0.6147638559341431, 0.11293509602546692, 0.00648735836148262]","[0.6172298192977905, 0.03236064314842224, 0.007225303910672665]","[0.5110169649124146, 0.41763079166412354, 0.01434040255844593]","[0.46109694242477417, 0.22608958184719086, 0.05488720163702965]","[0.4315721094608307, 0.12048617005348206, 0.06758488714694977]","[0.4137759208679199, 0.043232351541519165, 0.0703611820936203]","[0.4227786362171173, 0.468606173992157, 0.020215682685375214]","[0.33581215143203735, 0.28732752799987793, 0.0010694414377212524]","[0.2923426032066345, 0.1942213773727417, -0.04979436844587326]","[0.25297901034355164, 0.11581829190254211, -0.08283820748329163]","[0.3597310781478882, 0.5487638115882874, 0.016178619116544724]","[0.3031172454357147, 0.4339335262775421, -0.03074176423251629]","[0.33601611852645874, 0.45770418643951416, -0.06337655335664749]","[0.36562711000442505, 0.5136088728904724, -0.08301663398742676]"
"[0.6258603930473328, 0.7983837723731995, 1.3041359352428117e-06]","[0.6531902551651001, 0.6941447257995605, -0.11053860932588577]","[0.5979236960411072, 0.5456401705741882, -0.13314279913902283]","[0.437114953994751, 0.4872647523880005, -0.1321289986371994]","[0.31569045782089233, 0.4863024652004242, -0.12797614932060242]","[0.6025537848472595, 0.3967723250389099, -0.08152574300765991]","[0.5592347383499146, 0.2138577699661255, -0.09211576730012894]","[0.5311954617500305, 0.11632741987705231, -0.10466066002845764]","[0.5142860412597656, 0.022819697856903076, -0.11886943876743317]","[0.5106673240661621, 0.4174550771713257, -0.05056081339716911]","[0.4445025324821472, 0.2347179353237152, -0.042999327182769775]","[0.40815019607543945, 0.13515210151672363, -0.06036490947008133]","[0.38338518142700195, 0.0532146692276001, -0.07897631078958511]","[0.4389919638633728, 0.4729421138763428, -0.030539145693182945]","[0.32187217473983765, 0.3492543399333954, -0.06350094079971313]","[0.2607933282852173, 0.2863467335700989, -0.1198904812335968]","[0.2132326364517212, 0.22297945618629456, -0.1574387550354004]","[0.39635318517684937, 0.5526338219642639, -0.01796014979481697]","[0.33924490213394165, 0.4961410164833069, -0.06552018970251083]","[0.3709482252597809, 0.5437057018280029, -0.0899013802409172]","[0.40127044916152954, 0.5991365909576416, -0.10430651903152466]"
"[0.24851223826408386, 0.7435004711151123, 1.787566702660115e-06]","[0.39327162504196167, 0.7624931335449219, -0.06393111497163773]","[0.5496898293495178, 0.6596662998199463, -0.06973786652088165]","[0.5682678818702698, 0.4981510043144226, -0.06140672042965889]","[0.5051253437995911, 0.3841407299041748, -0.05300326272845268]","[0.6181320548057556, 0.5475437641143799, -0.044330522418022156]","[0.7774548530578613, 0.47289329767227173, -0.05400415137410164]","[0.8697974681854248, 0.4252249300479889, -0.05909227579832077]","[0.9474539756774902, 0.38794392347335815, -0.0644666776061058]","[0.5485243797302246, 0.4598618745803833, -0.04551825299859047]","[0.7098971605300903, 0.34457260370254517, -0.04091804474592209]","[0.8033734560012817, 0.28160083293914795, -0.049498286098241806]","[0.8731822371482849, 0.23274877667427063, -0.0562981553375721]","[0.4584099054336548, 0.41201651096343994, -0.0544537790119648]","[0.5724958181381226, 0.24659329652786255, -0.10019612312316895]","[0.6445646286010742, 0.176632821559906, -0.15212397277355194]","[0.7035792469978333, 0.10869407653808594, -0.1848013699054718]","[0.345026433467865, 0.4033994972705841, -0.06504742801189423]","[0.44206082820892334, 0.3554873466491699, -0.12670396268367767]","[0.43270981311798096, 0.44809409976005554, -0.14255361258983612]","[0.39329901337623596, 0.5240731239318848, -0.14832641184329987]"
"[0.3420292139053345, 0.8040525913238525, 1.3037409871685668e-06]","[0.47418317198753357, 0.779594898223877, -0.10897190868854523]","[0.5656573176383972, 0.634570300579071, -0.11280620098114014]","[0.5152473449707031, 0.45935148000717163, -0.09102161973714828]","[0.4294973909854889, 0.36341971158981323, -0.0625385120511055]","[0.6526016592979431, 0.5049540996551514, -0.039557430893182755]","[0.7700536251068115, 0.36392050981521606, -0.03715479001402855]","[0.8359352350234985, 0.2807309031486511, -0.041457824409008026]","[0.8879079222679138, 0.2147614061832428, -0.04881376400589943]","[0.5594760179519653, 0.44484204053878784, -0.00875187013298273]","[0.65181565284729, 0.2746880352497101, 0.008819503709673882]","[0.7084879279136658, 0.17777907848358154, -0.001315330620855093]","[0.7494361400604248, 0.11187320947647095, -0.012378483079373837]","[0.4581453800201416, 0.42547112703323364, 0.007120903115719557]","[0.507681131362915, 0.2375769317150116, -0.020481687039136887]","[0.5501999855041504, 0.14040455222129822, -0.08041217178106308]","[0.5813791751861572, 0.05518019199371338, -0.12025298923254013]","[0.35095760226249695, 0.44497835636138916, 0.015730753540992737]","[0.39447498321533203, 0.3088933229446411, -0.02892431616783142]","[0.42048415541648865, 0.3469589948654175, -0.053523048758506775]","[0.42029285430908203, 0.40819233655929565, -0.06783971190452576]"
"[0.30249056220054626, 0.7712814807891846, 1.543831217531988e-06]","[0.43041855096817017, 0.7781535387039185, -0.10228805243968964]","[0.5375790596008301, 0.652484118938446, -0.1217515617609024]","[0.49413883686065674, 0.4898180365562439, -0.12034213542938232]","[0.39981788396835327, 0.3947969675064087, -0.1144968643784523]","[0.6066563129425049, 0.4718869626522064, -0.06847169250249863]","[0.7241998314857483, 0.3452644944190979, -0.07558398693799973]","[0.7940037250518799, 0.2640695869922638, -0.08302581310272217]","[0.8459634184837341, 0.1944994032382965, -0.09320572763681412]","[0.5094596743583679, 0.398916631937027, -0.04393509775400162]","[0.5767099261283875, 0.21882128715515137, -0.03518003597855568]","[0.6115031242370605, 0.12826010584831238, -0.04472395032644272]","[0.6326617002487183, 0.053325772285461426, -0.05508239567279816]","[0.4200206398963928, 0.38147586584091187, -0.03023379109799862]","[0.43401429057121277, 0.20604564249515533, -0.06002219766378403]","[0.4509105086326599, 0.1147870123386383, -0.10721065104007721]","[0.45469754934310913, 0.03394460678100586, -0.13719217479228973]","[0.3340069055557251, 0.4035632610321045, -0.023830225691199303]","[0.37853318452835083, 0.3003891110420227, -0.06724224239587784]","[0.4016960859298706, 0.3324581980705261, -0.08841979503631592]","[0.39696985483169556, 0.3765926659107208, -0.09867561608552933]"
"[0.31912288069725037, 0.8147760033607483, 1.3629481827592826e-06]","[0.4400448501110077, 0.801694929599762, -0.08621086925268173]","[0.5301779508590698, 0.7009891867637634, -0.1012905165553093]","[0.47771376371383667, 0.5286247730255127, -0.09667897969484329]","[0.39930814504623413, 0.42901772260665894, -0.09059558808803558]","[0.6230134963989258, 0.5217355489730835, -0.07176527380943298]","[0.7574295997619629, 0.38787567615509033, -0.08863337337970734]","[0.8264516592025757, 0.3078418970108032, -0.10418307036161423]","[0.8869000673294067, 0.236837238073349, -0.11948607116937637]","[0.5384039282798767, 0.4474656283855438, -0.06187709420919418]","[0.6430160403251648, 0.27679264545440674, -0.06900180876255035]","[0.6961677670478821, 0.18050655722618103, -0.09811999648809433]","[0.7459975481033325, 0.10140857100486755, -0.12022776901721954]","[0.4440731406211853, 0.42846906185150146, -0.059141140431165695]","[0.5012201070785522, 0.24557581543922424, -0.10025253146886826]","[0.5338772535324097, 0.14678746461868286, -0.1560882329940796]","[0.5710825324058533, 0.05099496245384216, -0.19090384244918823]","[0.3287533223628998, 0.4646255373954773, -0.06032733991742134]","[0.3715815842151642, 0.3310847878456116, -0.10326970368623734]","[0.3880595266819, 0.3725317120552063, -0.11231744289398193]","[0.3823983669281006, 0.435808002948761, -0.1133073940873146]"
"[0.2691149413585663, 0.7824587225914001, 1.7681099961919244e-06]","[0.3880762457847595, 0.8070369958877563, -0.09783295542001724]","[0.49658656120300293, 0.7328075170516968, -0.12412305921316147]","[0.4691212475299835, 0.5826679468154907, -0.12506715953350067]","[0.3994755446910858, 0.4792192280292511, -0.12678422033786774]","[0.5903134346008301, 0.5439240336418152, -0.1104763075709343]","[0.7360820770263672, 0.40715348720550537, -0.15594717860221863]","[0.8124183416366577, 0.32505881786346436, -0.18609736859798431]","[0.8804008960723877, 0.2529049217700958, -0.2048354595899582]","[0.5082235336303711, 0.4792558550834656, -0.09626927226781845]","[0.6377748250961304, 0.31162238121032715, -0.15019913017749786]","[0.7066853046417236, 0.21125298738479614, -0.19124948978424072]","[0.7712192535400391, 0.1288386881351471, -0.20650075376033783]","[0.4204402565956116, 0.46151211857795715, -0.0866815596818924]","[0.48343321681022644, 0.29861417412757874, -0.1694772094488144]","[0.5378633141517639, 0.20158985257148743, -0.2177746742963791]","[0.5997651815414429, 0.10981112718582153, -0.234453484416008]","[0.31206217408180237, 0.4977302849292755, -0.07947536557912827]","[0.3580714464187622, 0.4205518066883087, -0.14764824509620667]","[0.35509344935417175, 0.4915682375431061, -0.14048920571804047]","[0.34060871601104736, 0.570154070854187, -0.12022091448307037]"
"[0.3900298476219177, 0.8854280710220337, 1.571291136315267e-06]","[0.48934489488601685, 0.8444210886955261, -0.1086258590221405]","[0.5425348877906799, 0.6865910291671753, -0.13810864090919495]","[0.45023179054260254, 0.5297632217407227, -0.14532609283924103]","[0.36125344038009644, 0.42205560207366943, -0.15087339282035828]","[0.6292591094970703, 0.5275644063949585, -0.08294633030891418]","[0.7164897918701172, 0.34904050827026367, -0.11237363517284393]","[0.7671199440956116, 0.24554118514060974, -0.1365654021501541]","[0.8107407689094543, 0.15371522307395935, -0.15643246471881866]","[0.535171627998352, 0.48437929153442383, -0.06210340932011604]","[0.6109482049942017, 0.28580015897750854, -0.08384862542152405]","[0.6543164849281311, 0.1728859841823578, -0.11603569239377975]","[0.6929347515106201, 0.08308592438697815, -0.13710926473140717]","[0.44138652086257935, 0.48875758051872253, -0.05143323168158531]","[0.4457513391971588, 0.29229652881622314, -0.11375661939382553]","[0.4553390145301819, 0.1840818226337433, -0.17586936056613922]","[0.47048598527908325, 0.09046861529350281, -0.2132810354232788]","[0.3536432087421417, 0.5311893224716187, -0.04583265259861946]","[0.3661850690841675, 0.43393436074256897, -0.1298239678144455]","[0.37809911370277405, 0.5070587396621704, -0.1576613485813141]","[0.38720083236694336, 0.5842999815940857, -0.16658394038677216]"
"[0.5231230854988098, 0.8523359894752502, 1.239651965079247e-06]","[0.6169267296791077, 0.7578467130661011, -0.06500066071748734]","[0.6257472634315491, 0.5739848613739014, -0.05388360098004341]","[0.5039706230163574, 0.4634339511394501, -0.027270188555121422]","[0.37819504737854004, 0.44031116366386414, 0.003173179691657424]","[0.6112329363822937, 0.4274060130119324, -0.007699794601649046]","[0.6272919774055481, 0.25061652064323425, -0.0009753537597134709]","[0.6280869245529175, 0.15099331736564636, 0.00011335282033542171]","[0.6389458775520325, 0.05798882246017456, -0.004660940263420343]","[0.5129376649856567, 0.42383790016174316, -0.0037689232267439365]","[0.4957434833049774, 0.23038694262504578, 0.019923100247979164]","[0.4837722182273865, 0.12067300081253052, 0.012480772100389004]","[0.4805546998977661, 0.028907328844070435, 0.0015052504604682326]","[0.42486345767974854, 0.45941823720932007, -0.011385378427803516]","[0.36270871758461, 0.2800055742263794, -0.045883581042289734]","[0.33466190099716187, 0.17761561274528503, -0.10526243597269058]","[0.3159087300300598, 0.06889665126800537, -0.14451174437999725]","[0.3541768491268158, 0.5378049612045288, -0.022767895832657814]","[0.3370359539985657, 0.4441887140274048, -0.07376629114151001]","[0.3836098313331604, 0.5144785642623901, -0.09581346064805984]","[0.4126603901386261, 0.5936431884765625, -0.10879978537559509]"
"[0.46386125683784485, 0.888390064239502, 1.6270566902676364e-06]","[0.5521969199180603, 0.8415549993515015, -0.1043722853064537]","[0.5826948881149292, 0.6905947923660278, -0.13968202471733093]","[0.46117115020751953, 0.5573489665985107, -0.15352924168109894]","[0.35813742876052856, 0.462704062461853, -0.16814474761486053]","[0.6299649477005005, 0.5074328184127808, -0.10801663249731064]","[0.6889081001281738, 0.3195918798446655, -0.14689001441001892]","[0.7213393449783325, 0.20636679232120514, -0.1739819049835205]","[0.7515645027160645, 0.10338148474693298, -0.19488875567913055]","[0.5283042788505554, 0.4765010476112366, -0.09124623239040375]","[0.5613706111907959, 0.2693083882331848, -0.1209440603852272]","[0.5826275944709778, 0.15020498633384705, -0.1551092565059662]","[0.6036356091499329, 0.0480768084526062, -0.17768846452236176]","[0.43763789534568787, 0.4920136332511902, -0.08214180916547775]","[0.4005395472049713, 0.3059118986129761, -0.14609073102474213]","[0.38973885774612427, 0.1957715004682541, -0.20459365844726562]","[0.38815146684646606, 0.09136202931404114, -0.24131830036640167]","[0.35732269287109375, 0.547357439994812, -0.07778540253639221]","[0.3490508794784546, 0.47625482082366943, -0.15704508125782013]","[0.37293827533721924, 0.5522415041923523, -0.1809486299753189]","[0.3932362198829651, 0.6257398128509521, -0.18904046714305878]"
