Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.585335910320282, 0.7041671276092529, -5.046559863330913e-07]","[0.7116769552230835, 0.6020585894584656, -0.10138636082410812]","[0.7340928316116333, 0.377731591463089, -0.13099871575832367]","[0.6119580268859863, 0.24548384547233582, -0.147201806306839]","[0.4797632694244385, 0.22977955639362335, -0.1446124166250229]","[0.5516920685768127, 0.224530428647995, -0.060929879546165466]","[0.4753422141075134, 0.083132803440094, -0.1617686003446579]","[0.44047194719314575, 0.063021719455719, -0.19981466233730316]","[0.4153040051460266, 0.1018563061952591, -0.2069932371377945]","[0.4295504689216614, 0.3104497790336609, -0.04815417900681496]","[0.3884350061416626, 0.25017210841178894, -0.14013336598873138]","[0.48635777831077576, 0.414345920085907, -0.12509505450725555]","[0.5258060097694397, 0.43260934948921204, -0.08855703473091125]","[0.33884018659591675, 0.39523881673812866, -0.05795148387551308]","[0.28783708810806274, 0.3459870219230652, -0.1699458360671997]","[0.3994060158729553, 0.4774044454097748, -0.11818802356719971]","[0.42741474509239197, 0.486477255821228, -0.05757293850183487]","[0.25136813521385193, 0.49093860387802124, -0.0782887190580368]","[0.21911999583244324, 0.4533208906650543, -0.15321730077266693]","[0.31046587228775024, 0.5408202409744263, -0.1183093935251236]","[0.33374202251434326, 0.5600305795669556, -0.07481493055820465]"
"[0.7035315036773682, 0.7052798271179199, -5.176235049475508e-07]","[0.7405966520309448, 0.5831345319747925, -0.15997889637947083]","[0.6510765552520752, 0.45267003774642944, -0.22262845933437347]","[0.5154049396514893, 0.39144426584243774, -0.2665611803531647]","[0.3752772808074951, 0.3694937825202942, -0.29745545983314514]","[0.47557663917541504, 0.2571330964565277, -0.08363153040409088]","[0.33658379316329956, 0.13154110312461853, -0.21209552884101868]","[0.2366357147693634, 0.14076262712478638, -0.2961871027946472]","[0.21202769875526428, 0.20098653435707092, -0.3333989083766937]","[0.4125577211380005, 0.36323270201683044, -0.044318318367004395]","[0.2530665993690491, 0.3639213740825653, -0.19728855788707733]","[0.3429357707500458, 0.4902181029319763, -0.2524189352989197]","[0.44829583168029785, 0.5371801257133484, -0.24724192917346954]","[0.3704003393650055, 0.4730472266674042, -0.03141317144036293]","[0.23784321546554565, 0.4929298162460327, -0.1843261420726776]","[0.34105610847473145, 0.587091863155365, -0.19931967556476593]","[0.44159039855003357, 0.6044596433639526, -0.162918820977211]","[0.35516637563705444, 0.5782102346420288, -0.031418561935424805]","[0.2627134919166565, 0.6148713231086731, -0.1473666876554489]","[0.3419298529624939, 0.6649953126907349, -0.15971185266971588]","[0.42582768201828003, 0.6597899794578552, -0.1338621824979782]"
"[0.6826685667037964, 0.7002072930335999, -3.384335229839053e-07]","[0.6960756778717041, 0.5839235186576843, -0.2029993236064911]","[0.6002296805381775, 0.45811185240745544, -0.2530926465988159]","[0.47266310453414917, 0.40107840299606323, -0.2694302499294281]","[0.3543514311313629, 0.35744720697402954, -0.272058367729187]","[0.5091676115989685, 0.2682221829891205, -0.08506600558757782]","[0.3894089162349701, 0.15755818784236908, -0.18941274285316467]","[0.27821746468544006, 0.15146635472774506, -0.26674124598503113]","[0.20771270990371704, 0.17150790989398956, -0.3097124397754669]","[0.4474327862262726, 0.3664042353630066, -0.022118091583251953]","[0.290144681930542, 0.33831948041915894, -0.16506093740463257]","[0.3444776237010956, 0.4626394212245941, -0.23828601837158203]","[0.4297717213630676, 0.5262531638145447, -0.24787229299545288]","[0.39752382040023804, 0.474585622549057, 0.010447152890264988]","[0.2746400237083435, 0.46811097860336304, -0.15455621480941772]","[0.3598994314670563, 0.5738571882247925, -0.2129935473203659]","[0.43601277470588684, 0.6026073694229126, -0.20227213203907013]","[0.3779641389846802, 0.5749087333679199, 0.02885182574391365]","[0.290400892496109, 0.6010041832923889, -0.1059926301240921]","[0.3611307442188263, 0.6555636525154114, -0.15236680209636688]","[0.4305832087993622, 0.6636679768562317, -0.15191276371479034]"
"[0.5065975785255432, 0.7842364311218262, -1.9964836894814653e-07]","[0.642849862575531, 0.7296180129051208, -0.17846575379371643]","[0.6698853373527527, 0.599884569644928, -0.2569355070590973]","[0.5538151264190674, 0.48870623111724854, -0.30961838364601135]","[0.4451083838939667, 0.3817128837108612, -0.34954023361206055]","[0.6199347376823425, 0.33116644620895386, -0.17420150339603424]","[0.6431934237480164, 0.08609327673912048, -0.31889107823371887]","[0.5484949946403503, 0.06360873579978943, -0.38493841886520386]","[0.4593554735183716, 0.10114909708499908, -0.41080614924430847]","[0.4918555021286011, 0.36474716663360596, -0.132439523935318]","[0.33767515420913696, 0.32442909479141235, -0.31015661358833313]","[0.36029738187789917, 0.4843960106372833, -0.34870028495788574]","[0.43522199988365173, 0.554777979850769, -0.32733166217803955]","[0.3904881477355957, 0.43498724699020386, -0.11374644190073013]","[0.25944286584854126, 0.476878821849823, -0.3036162257194519]","[0.34154078364372253, 0.6128805875778198, -0.2961947023868561]","[0.4431910812854767, 0.6276940107345581, -0.2358967363834381]","[0.3178887367248535, 0.519173264503479, -0.10598236322402954]","[0.24212850630283356, 0.5612879991531372, -0.2594757676124573]","[0.31478285789489746, 0.6606372594833374, -0.2623392641544342]","[0.4064251780509949, 0.6744139194488525, -0.21898730099201202]"
"[0.6149758100509644, 0.7749240398406982, -4.85651241888263e-07]","[0.6902694702148438, 0.6515966057777405, -0.08874349296092987]","[0.6939169764518738, 0.463500440120697, -0.1133279874920845]","[0.5399283170700073, 0.37311556935310364, -0.1267600655555725]","[0.4011708199977875, 0.3394351601600647, -0.1218491867184639]","[0.5767368674278259, 0.2635069787502289, -0.037137471139431]","[0.48766660690307617, 0.08376377820968628, -0.1365974098443985]","[0.40873128175735474, 0.07808059453964233, -0.1858241707086563]","[0.3542335033416748, 0.1179242879152298, -0.20471949875354767]","[0.464665949344635, 0.3434997498989105, -0.0314154252409935]","[0.3483271896839142, 0.264110267162323, -0.14233452081680298]","[0.41312962770462036, 0.43500518798828125, -0.1671581119298935]","[0.4829637110233307, 0.48942020535469055, -0.1557108759880066]","[0.3826454281806946, 0.4335993528366089, -0.04524553194642067]","[0.27090778946876526, 0.3785814940929413, -0.17866726219654083]","[0.3732771873474121, 0.5267401933670044, -0.17384640872478485]","[0.4538380205631256, 0.5524899363517761, -0.1375662237405777]","[0.3233822286128998, 0.5325741767883301, -0.06472181528806686]","[0.2436583936214447, 0.5174292325973511, -0.166299507021904]","[0.32692843675613403, 0.6138496398925781, -0.16326987743377686]","[0.39280909299850464, 0.6321725845336914, -0.1362660527229309]"
"[0.33908385038375854, 0.7064783573150635, 8.474809476410883e-08]","[0.46771687269210815, 0.7519164085388184, -0.18967482447624207]","[0.5822685956954956, 0.6757280826568604, -0.2969788908958435]","[0.5602178573608398, 0.528093159198761, -0.38655540347099304]","[0.5196588039398193, 0.3953215777873993, -0.4603498876094818]","[0.7802379727363586, 0.4445221424102783, -0.1483703851699829]","[0.8700619339942932, 0.2645207643508911, -0.2947825789451599]","[0.8147484660148621, 0.19020161032676697, -0.3725402057170868]","[0.7310792207717896, 0.1642877459526062, -0.40540626645088196]","[0.6510928869247437, 0.3668989837169647, -0.11164963245391846]","[0.6000170707702637, 0.24826376140117645, -0.27106815576553345]","[0.47619619965553284, 0.38475707173347473, -0.3113693296909332]","[0.467377632856369, 0.4956301152706146, -0.3029820919036865]","[0.519761323928833, 0.33199265599250793, -0.10394090414047241]","[0.44507721066474915, 0.2396441251039505, -0.2720305621623993]","[0.3731282949447632, 0.39293360710144043, -0.27109935879707336]","[0.4068724513053894, 0.49923598766326904, -0.22994054853916168]","[0.4046650826931, 0.3173677921295166, -0.11130872368812561]","[0.35066816210746765, 0.24610881507396698, -0.23205719888210297]","[0.30274510383605957, 0.35971489548683167, -0.22927255928516388]","[0.33088284730911255, 0.45567068457603455, -0.19647271931171417]"
"[0.5511114001274109, 0.7210578918457031, -7.352980446739821e-07]","[0.6692677736282349, 0.6171334981918335, -0.16536687314510345]","[0.7088562250137329, 0.44091570377349854, -0.22416318953037262]","[0.5578718781471252, 0.3416154980659485, -0.25421905517578125]","[0.421164333820343, 0.3183540403842926, -0.2584418058395386]","[0.56971675157547, 0.21976254880428314, -0.11881519109010696]","[0.4486580491065979, 0.07146374881267548, -0.2484745979309082]","[0.35430607199668884, 0.09629210084676743, -0.31441137194633484]","[0.2757260501384735, 0.11627465486526489, -0.3401714563369751]","[0.45361006259918213, 0.28529930114746094, -0.07449746876955032]","[0.339726060628891, 0.26850759983062744, -0.19194933772087097]","[0.41521400213241577, 0.4376022517681122, -0.20860159397125244]","[0.48959410190582275, 0.4495924115180969, -0.1950664073228836]","[0.35993295907974243, 0.35043543577194214, -0.057631853967905045]","[0.24990573525428772, 0.3475884795188904, -0.19215160608291626]","[0.3461400866508484, 0.49677008390426636, -0.1762278974056244]","[0.431532084941864, 0.4894692301750183, -0.13495689630508423]","[0.2747419476509094, 0.4192442297935486, -0.05521853268146515]","[0.19576305150985718, 0.4190666675567627, -0.14893195033073425]","[0.2782973349094391, 0.525627851486206, -0.1366139054298401]","[0.34843623638153076, 0.5406141877174377, -0.10404320061206818]"
"[0.5422423481941223, 0.7931696176528931, 1.4022990058037976e-07]","[0.6562071442604065, 0.7399441003799438, -0.16656385362148285]","[0.7146411538124084, 0.5807105302810669, -0.24870042502880096]","[0.6117956042289734, 0.4517468810081482, -0.3123047947883606]","[0.4955942928791046, 0.3684271574020386, -0.3587651252746582]","[0.6739271879196167, 0.28968745470046997, -0.09240970015525818]","[0.641394853591919, 0.12407985329627991, -0.2193656712770462]","[0.5799832940101624, 0.062171921133995056, -0.2769196927547455]","[0.518555223941803, 0.08774255216121674, -0.29215681552886963]","[0.5273109078407288, 0.3217114210128784, -0.05609173700213432]","[0.4559943675994873, 0.24262353777885437, -0.20017528533935547]","[0.4660871624946594, 0.44618380069732666, -0.21237137913703918]","[0.5250117182731628, 0.5346570014953613, -0.17409648001194]","[0.40751194953918457, 0.36944231390953064, -0.04943881928920746]","[0.3200615346431732, 0.33077022433280945, -0.20649012923240662]","[0.37256208062171936, 0.5061250925064087, -0.1751762181520462]","[0.4473543167114258, 0.566131591796875, -0.10716071724891663]","[0.2952638864517212, 0.4303647577762604, -0.05708465352654457]","[0.2147945761680603, 0.3908214867115021, -0.16762074828147888]","[0.26540371775627136, 0.5201752185821533, -0.1491042524576187]","[0.3383331298828125, 0.5708472728729248, -0.10175538063049316]"
"[0.6732127070426941, 0.6474806666374207, 8.620077096566092e-08]","[0.7290446758270264, 0.5484064221382141, -0.22009626030921936]","[0.6827341914176941, 0.44567930698394775, -0.34081852436065674]","[0.5416282415390015, 0.4499140977859497, -0.43670833110809326]","[0.402165949344635, 0.4654131829738617, -0.516692042350769]","[0.4795968234539032, 0.23120591044425964, -0.18414683640003204]","[0.32687291502952576, 0.11263798922300339, -0.346902072429657]","[0.23015227913856506, 0.15485911071300507, -0.430256187915802]","[0.1860094517469406, 0.23649868369102478, -0.4636270999908447]","[0.38741961121559143, 0.33169999718666077, -0.134432852268219]","[0.263529896736145, 0.36636650562286377, -0.3173902630805969]","[0.38147392868995667, 0.5220896601676941, -0.3560279607772827]","[0.4869338870048523, 0.5495766997337341, -0.3359690010547638]","[0.32917162775993347, 0.4364342987537384, -0.11732020974159241]","[0.23661355674266815, 0.5025239586830139, -0.30137938261032104]","[0.36865925788879395, 0.60914146900177, -0.29379376769065857]","[0.46511217951774597, 0.5980184674263, -0.2407156229019165]","[0.285931795835495, 0.5378462672233582, -0.11854942888021469]","[0.22961178421974182, 0.601822555065155, -0.2570764720439911]","[0.33796459436416626, 0.6666184067726135, -0.25932466983795166]","[0.4280647933483124, 0.6539446711540222, -0.22367022931575775]"
"[0.5053817629814148, 0.774536669254303, -4.433890126165352e-07]","[0.633347749710083, 0.6682920455932617, -0.18317310512065887]","[0.6757062077522278, 0.47714775800704956, -0.25443023443222046]","[0.5749579668045044, 0.32758763432502747, -0.2999061048030853]","[0.46624115109443665, 0.2366207093000412, -0.32577943801879883]","[0.6351080536842346, 0.2644973695278168, -0.11917541176080704]","[0.5274924039840698, 0.09571647644042969, -0.25379523634910583]","[0.40057194232940674, 0.08358396589756012, -0.33385589718818665]","[0.2970055341720581, 0.08682562410831451, -0.37081488966941833]","[0.5073189735412598, 0.3117985725402832, -0.0710388645529747]","[0.35694262385368347, 0.2553446888923645, -0.20955975353717804]","[0.38140684366226196, 0.430310994386673, -0.2524004876613617]","[0.44946298003196716, 0.5101863145828247, -0.25385814905166626]","[0.39890074729919434, 0.37975776195526123, -0.05160018801689148]","[0.25865936279296875, 0.34234675765037537, -0.20478428900241852]","[0.3174159526824951, 0.5049475431442261, -0.21095596253871918]","[0.4068349003791809, 0.5553333163261414, -0.17977575957775116]","[0.3109267055988312, 0.4506039619445801, -0.0472026988863945]","[0.20859384536743164, 0.421108603477478, -0.16018937528133392]","[0.255008339881897, 0.5351124405860901, -0.16524343192577362]","[0.32697105407714844, 0.5804455280303955, -0.14279493689537048]"
