Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.3731742203235626, 0.8013077974319458, -5.340251050256484e-07]","[0.5769578218460083, 0.6816288828849792, -0.06551247090101242]","[0.7489676475524902, 0.44643130898475647, -0.059989526867866516]","[0.8810708522796631, 0.28807270526885986, -0.05520240217447281]","[0.9683682322502136, 0.18894651532173157, -0.031067857518792152]","[0.6229671239852905, 0.3281635046005249, 0.033825699239969254]","[0.6080694794654846, 0.1459246426820755, -0.05664566904306412]","[0.5824035406112671, 0.26475512981414795, -0.10211945325136185]","[0.59129399061203, 0.3823385238647461, -0.11123142391443253]","[0.48380959033966064, 0.3315688669681549, 0.034453555941581726]","[0.4744984805583954, 0.1627703160047531, -0.0956692174077034]","[0.4688046872615814, 0.32801252603530884, -0.1540406495332718]","[0.4938828945159912, 0.4503379464149475, -0.1587194949388504]","[0.35052183270454407, 0.3463953733444214, 0.01166590303182602]","[0.33352044224739075, 0.200581893324852, -0.11614610999822617]","[0.3610599935054779, 0.3757304251194, -0.15067678689956665]","[0.4035005569458008, 0.5019251108169556, -0.1352166086435318]","[0.23199889063835144, 0.38271549344062805, -0.01541060023009777]","[0.21079117059707642, 0.23305492103099823, -0.08247887343168259]","[0.18855348229408264, 0.1539621353149414, -0.1142880842089653]","[0.18621110916137695, 0.06082707643508911, -0.12286300212144852]"
"[0.28469523787498474, 0.6847991943359375, -1.3275970331960707e-06]","[0.515576958656311, 0.6847041249275208, -0.05855107679963112]","[0.7327886819839478, 0.5870640873908997, -0.06742507964372635]","[0.8766824007034302, 0.47176671028137207, -0.08264612406492233]","[0.9922453165054321, 0.40614423155784607, -0.08641562610864639]","[0.643264889717102, 0.3786221742630005, 0.036017902195453644]","[0.7266390323638916, 0.2599520683288574, -0.03392180800437927]","[0.6544606685638428, 0.3671113848686218, -0.0736396536231041]","[0.5840330123901367, 0.4723007082939148, -0.07538695633411407]","[0.5453820824623108, 0.31289032101631165, 0.04504789784550667]","[0.6246345043182373, 0.2084435373544693, -0.04568885266780853]","[0.5460342168807983, 0.3558342754840851, -0.0871744453907013]","[0.4905738830566406, 0.47348272800445557, -0.08070523291826248]","[0.4444253742694855, 0.2654590606689453, 0.03778742626309395]","[0.5215192437171936, 0.15811675786972046, -0.0421021468937397]","[0.4629169702529907, 0.29496461153030396, -0.048033058643341064]","[0.41582050919532776, 0.41096192598342896, -0.015083861537277699]","[0.3353663980960846, 0.2299211174249649, 0.025104377418756485]","[0.41064390540122986, 0.07984650135040283, 0.0004524772521108389]","[0.46121925115585327, 0.006986439228057861, 0.004924282897263765]","[0.5093356370925903, -0.04794606566429138, 0.024597687646746635]"
"[0.5918814539909363, 0.8165837526321411, -5.398914382226394e-08]","[0.7152317762374878, 0.6715753078460693, -0.1056605875492096]","[0.7645142078399658, 0.43763795495033264, -0.1355690360069275]","[0.761444091796875, 0.2426275908946991, -0.14978423714637756]","[0.7880195379257202, 0.10330083966255188, -0.14317205548286438]","[0.6177128553390503, 0.33574676513671875, -0.049019407480955124]","[0.505882203578949, 0.26629382371902466, -0.11839523166418076]","[0.5565299987792969, 0.39463451504707336, -0.135934978723526]","[0.6128879189491272, 0.42902398109436035, -0.14011822640895844]","[0.49952828884124756, 0.3920637369155884, -0.024180440232157707]","[0.3959583044052124, 0.3248412609100342, -0.09787620604038239]","[0.48927971720695496, 0.48428112268447876, -0.0983147993683815]","[0.5601081252098083, 0.4876570701599121, -0.08662475645542145]","[0.39666274189949036, 0.46447479724884033, -0.01846468076109886]","[0.3020966053009033, 0.403492271900177, -0.11062843352556229]","[0.40582239627838135, 0.5465551614761353, -0.0871916115283966]","[0.4751463532447815, 0.5597275495529175, -0.05434514209628105]","[0.31132039427757263, 0.5444077253341675, -0.02074592560529709]","[0.22788968682289124, 0.5115807056427002, -0.09089682251214981]","[0.27419477701187134, 0.5888808369636536, -0.08631719648838043]","[0.29871517419815063, 0.5966987609863281, -0.06942727416753769]"
"[0.3773028254508972, 0.8442316055297852, -9.943942131940275e-07]","[0.579351544380188, 0.7769657373428345, -0.09146936982870102]","[0.7593186497688293, 0.557489275932312, -0.11383048444986343]","[0.8739984631538391, 0.385938823223114, -0.12518492341041565]","[0.9653468132019043, 0.28294509649276733, -0.11851980537176132]","[0.6173318028450012, 0.3894602656364441, -0.09849224984645844]","[0.5974876880645752, 0.28271549940109253, -0.1962800770998001]","[0.5677862763404846, 0.4421509802341461, -0.22572897374629974]","[0.5562151074409485, 0.5594239234924316, -0.222710981965065]","[0.47641676664352417, 0.3941514790058136, -0.08951474726200104]","[0.4697072505950928, 0.31282034516334534, -0.22044658660888672]","[0.47151410579681396, 0.5058813095092773, -0.25172388553619385]","[0.4817259609699249, 0.632530689239502, -0.24176110327243805]","[0.3518553078174591, 0.41999417543411255, -0.09659282118082047]","[0.33715009689331055, 0.3396598696708679, -0.2227892428636551]","[0.3674975633621216, 0.5169839859008789, -0.23550531268119812]","[0.3935825526714325, 0.6322739124298096, -0.20981085300445557]","[0.24211567640304565, 0.4636048376560211, -0.10854732990264893]","[0.21749117970466614, 0.325082391500473, -0.1794603168964386]","[0.1992499828338623, 0.26720643043518066, -0.1971437782049179]","[0.18759888410568237, 0.191180020570755, -0.19526734948158264]"
"[0.3372434377670288, 0.746065080165863, -1.8974260740378668e-07]","[0.5666711330413818, 0.7446147203445435, -0.07759514451026917]","[0.7855117321014404, 0.6179197430610657, -0.08928185701370239]","[0.9149012565612793, 0.4742777943611145, -0.0957019105553627]","[1.0175682306289673, 0.41788458824157715, -0.08639448136091232]","[0.6808433532714844, 0.39966991543769836, -0.0031951204873621464]","[0.7076250910758972, 0.24974876642227173, -0.09851859509944916]","[0.648408055305481, 0.3877752423286438, -0.13406120240688324]","[0.610121488571167, 0.49552011489868164, -0.1357237845659256]","[0.56423419713974, 0.3417368531227112, 0.005923009943217039]","[0.598460853099823, 0.18846407532691956, -0.10081817209720612]","[0.5450205206871033, 0.3593035638332367, -0.12472204118967056]","[0.5279102921485901, 0.45787087082862854, -0.10877173393964767]","[0.4537890553474426, 0.3213639557361603, -0.005608729086816311]","[0.4745327830314636, 0.17112839221954346, -0.1243717223405838]","[0.4349403977394104, 0.33504432439804077, -0.1139923557639122]","[0.4262596070766449, 0.4309786558151245, -0.06890018284320831]","[0.3387499451637268, 0.3289041519165039, -0.021880924701690674]","[0.35251691937446594, 0.20808857679367065, -0.10103970766067505]","[0.3390304446220398, 0.31395864486694336, -0.0923018530011177]","[0.3421364426612854, 0.39155393838882446, -0.059763286262750626]"
"[0.44074395298957825, 0.7770103812217712, -8.02035344804608e-07]","[0.6126011610031128, 0.7605395317077637, -0.07237035036087036]","[0.7998947501182556, 0.6054132580757141, -0.09538938105106354]","[0.9085630178451538, 0.47955167293548584, -0.11374300718307495]","[0.9698866605758667, 0.40066081285476685, -0.1250389665365219]","[0.6928496360778809, 0.4362829923629761, -0.07241550832986832]","[0.7166037559509277, 0.311900794506073, -0.17756570875644684]","[0.6467472314834595, 0.4126943349838257, -0.22684738039970398]","[0.6014316082000732, 0.5132703185081482, -0.24242639541625977]","[0.5668491125106812, 0.4016568660736084, -0.0726243257522583]","[0.5779917240142822, 0.3183380961418152, -0.20021699368953705]","[0.5231097340583801, 0.4800392985343933, -0.2328275740146637]","[0.4962853491306305, 0.6060909032821655, -0.22558970749378204]","[0.46036651730537415, 0.40920111536979675, -0.08687974512577057]","[0.46418294310569763, 0.33379697799682617, -0.21721552312374115]","[0.420188307762146, 0.49593186378479004, -0.21345238387584686]","[0.4087718427181244, 0.6129984855651855, -0.17600320279598236]","[0.3762662410736084, 0.4470787048339844, -0.10465558618307114]","[0.36577972769737244, 0.3927507698535919, -0.19889190793037415]","[0.3327416777610779, 0.4925706386566162, -0.19872017204761505]","[0.3291708528995514, 0.576431155204773, -0.17380353808403015]"
"[0.48368680477142334, 0.7290902733802795, -2.8925995820827666e-07]","[0.6171748042106628, 0.6273522973060608, -0.1358095109462738]","[0.7397587299346924, 0.377589613199234, -0.1670236885547638]","[0.8198897838592529, 0.17721767723560333, -0.17927367985248566]","[0.902986466884613, 0.037148088216781616, -0.16910812258720398]","[0.6119524836540222, 0.26171931624412537, -0.051249172538518906]","[0.5627927780151367, 0.08236944675445557, -0.14524103701114655]","[0.5549994111061096, 0.20618490874767303, -0.16915471851825714]","[0.5759381055831909, 0.3204633593559265, -0.15893594920635223]","[0.47323745489120483, 0.2813025712966919, -0.008585168980062008]","[0.41888827085494995, 0.13140907883644104, -0.13604030013084412]","[0.4372100830078125, 0.31162214279174805, -0.15944592654705048]","[0.4856431484222412, 0.41578570008277893, -0.13394036889076233]","[0.34508514404296875, 0.32555457949638367, 0.007792301010340452]","[0.2962067425251007, 0.20646128058433533, -0.13428260385990143]","[0.3414855897426605, 0.37920287251472473, -0.13908840715885162]","[0.41168513894081116, 0.47980642318725586, -0.09598585218191147]","[0.25556689500808716, 0.38848039507865906, 0.01655636914074421]","[0.20106294751167297, 0.2770649194717407, -0.07949758321046829]","[0.19586604833602905, 0.2951968014240265, -0.09881383925676346]","[0.2114117443561554, 0.2803419530391693, -0.08505715429782867]"
"[0.4158497452735901, 0.7655249834060669, -2.7636278332465736e-07]","[0.5769580006599426, 0.6316652297973633, -0.1278272271156311]","[0.7060987949371338, 0.3857632875442505, -0.14888577163219452]","[0.8016994595527649, 0.1841779351234436, -0.15263661742210388]","[0.8972131609916687, 0.05188073217868805, -0.13104882836341858]","[0.6090258359909058, 0.2612627446651459, 0.004927625879645348]","[0.5581349730491638, 0.0792144387960434, -0.0643254816532135]","[0.5447768568992615, 0.19275355339050293, -0.08383699506521225]","[0.5594849586486816, 0.30220040678977966, -0.07280655205249786]","[0.46798062324523926, 0.28048235177993774, 0.05192361772060394]","[0.4109487533569336, 0.13506267964839935, -0.04217539355158806]","[0.42286378145217896, 0.31432604789733887, -0.07174666225910187]","[0.4671877324581146, 0.4133186340332031, -0.05915661156177521]","[0.33499860763549805, 0.3156037926673889, 0.07116877287626266]","[0.2776161730289459, 0.20796974003314972, -0.028562290593981743]","[0.32324761152267456, 0.3761675953865051, -0.05282751843333244]","[0.3863165080547333, 0.47611498832702637, -0.0355256013572216]","[0.22523140907287598, 0.3716827630996704, 0.08244095742702484]","[0.15892279148101807, 0.2278665006160736, 0.03768501430749893]","[0.12007299065589905, 0.16349434852600098, 0.016444146633148193]","[0.10148218274116516, 0.07653114199638367, 0.014523807913064957]"
"[0.5787052512168884, 0.8246725797653198, -4.7827546723056e-07]","[0.718780517578125, 0.7061717510223389, -0.1340520828962326]","[0.797339141368866, 0.46809121966362, -0.17208029329776764]","[0.8069242238998413, 0.2782330811023712, -0.18583627045154572]","[0.8607693910598755, 0.15089650452136993, -0.17773908376693726]","[0.6278520226478577, 0.32583287358283997, -0.10301109403371811]","[0.5095894932746887, 0.26871544122695923, -0.18864959478378296]","[0.5439866185188293, 0.4033254384994507, -0.21217268705368042]","[0.6023313999176025, 0.4603077173233032, -0.2124442458152771]","[0.5013090372085571, 0.37736275792121887, -0.06645602732896805]","[0.4035632610321045, 0.32431331276893616, -0.16892020404338837]","[0.4707353711128235, 0.4829501509666443, -0.18491245806217194]","[0.5443764925003052, 0.5206687450408936, -0.1745372861623764]","[0.39215222001075745, 0.4472765624523163, -0.05047904700040817]","[0.2968401610851288, 0.4009983539581299, -0.1679844707250595]","[0.3778396248817444, 0.533322811126709, -0.1734013706445694]","[0.4592847526073456, 0.5742650628089905, -0.14882777631282806]","[0.30698704719543457, 0.5286204218864441, -0.04214468225836754]","[0.18997153639793396, 0.44016844034194946, -0.1166575700044632]","[0.13477107882499695, 0.4201700687408447, -0.13104000687599182]","[0.0881224274635315, 0.36142098903656006, -0.1263314038515091]"
"[0.34702828526496887, 0.8259974718093872, -1.3293807796799229e-06]","[0.5550557374954224, 0.7820324897766113, -0.0937982127070427]","[0.7310742139816284, 0.6477941870689392, -0.1520358920097351]","[0.8656203746795654, 0.5050953030586243, -0.20895738899707794]","[0.9650959968566895, 0.4261862635612488, -0.25007885694503784]","[0.5889500379562378, 0.44455885887145996, -0.07793018966913223]","[0.6674119234085083, 0.3245677351951599, -0.17228442430496216]","[0.6275025606155396, 0.45328378677368164, -0.2019520401954651]","[0.5875507593154907, 0.5193875432014465, -0.20805643498897552]","[0.4610063433647156, 0.40320461988449097, -0.07086474448442459]","[0.5390413999557495, 0.2999749779701233, -0.17011627554893494]","[0.49644213914871216, 0.483089417219162, -0.1776331514120102]","[0.4503488540649414, 0.526125431060791, -0.1637508124113083]","[0.3362397849559784, 0.38674604892730713, -0.08001817762851715]","[0.40883585810661316, 0.2755798101425171, -0.18300651013851166]","[0.388250470161438, 0.45679378509521484, -0.16439498960971832]","[0.34595534205436707, 0.5432259440422058, -0.12300027906894684]","[0.21619491279125214, 0.3813612461090088, -0.09791740775108337]","[0.22597607970237732, 0.18889716267585754, -0.15807753801345825]","[0.2303156554698944, 0.08543166518211365, -0.15862390398979187]","[0.22987455129623413, -0.030654996633529663, -0.1433243453502655]"
