Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.54108065366745, 0.8164181113243103, -7.300302939938774e-08]","[0.6556940078735352, 0.7689685225486755, -0.09462647885084152]","[0.6496663093566895, 0.546322762966156, -0.12916845083236694]","[0.5120350122451782, 0.4003593921661377, -0.15129493176937103]","[0.37222933769226074, 0.3688790500164032, -0.1699298769235611]","[0.5311349630355835, 0.3809536397457123, -0.07121481746435165]","[0.43737268447875977, 0.2001868039369583, -0.13915196061134338]","[0.37054362893104553, 0.098795086145401, -0.16363747417926788]","[0.3059072196483612, 0.015388637781143188, -0.17939165234565735]","[0.42693519592285156, 0.4409598708152771, -0.06016330420970917]","[0.3344382643699646, 0.3433515429496765, -0.17841805517673492]","[0.42778390645980835, 0.4753609895706177, -0.1918339878320694]","[0.47604674100875854, 0.5292312502861023, -0.1641623079776764]","[0.3507980704307556, 0.5201736092567444, -0.059795934706926346]","[0.28268617391586304, 0.47476354241371155, -0.20255571603775024]","[0.4087636172771454, 0.6023106575012207, -0.17316530644893646]","[0.4620908498764038, 0.6487566828727722, -0.11284005641937256]","[0.2799699902534485, 0.6165406703948975, -0.06339039653539658]","[0.2500784397125244, 0.5988555550575256, -0.17721019685268402]","[0.35719776153564453, 0.6940426230430603, -0.16157123446464539]","[0.4025081396102905, 0.7240663766860962, -0.12126868218183517]"
"[0.5925693511962891, 0.8286439180374146, 2.8536771878862055e-07]","[0.6924196481704712, 0.6684266328811646, -0.07671508938074112]","[0.6911141872406006, 0.4659477770328522, -0.10826144367456436]","[0.5652115345001221, 0.3252558410167694, -0.13914720714092255]","[0.44020968675613403, 0.24909423291683197, -0.16260439157485962]","[0.5503355860710144, 0.33839231729507446, 0.004097075667232275]","[0.4436449110507965, 0.18359601497650146, -0.06775261461734772]","[0.35590964555740356, 0.1056911051273346, -0.12529213726520538]","[0.2540573477745056, 0.03955778479576111, -0.16369648277759552]","[0.4578092396259308, 0.40280231833457947, -0.0009709167643450201]","[0.3943750858306885, 0.28470858931541443, -0.09501194208860397]","[0.49692896008491516, 0.41328394412994385, -0.13491185009479523]","[0.5492836833000183, 0.4859793484210968, -0.13991983234882355]","[0.3865400552749634, 0.4888366460800171, -0.022076701745390892]","[0.3276248276233673, 0.3888007402420044, -0.14398834109306335]","[0.4510267376899719, 0.532294750213623, -0.14089831709861755]","[0.5094671249389648, 0.598544716835022, -0.10522113740444183]","[0.3188706338405609, 0.5869393348693848, -0.048911549150943756]","[0.28119516372680664, 0.5045906901359558, -0.14310552179813385]","[0.37652209401130676, 0.6006649732589722, -0.13512815535068512]","[0.43027567863464355, 0.6513115763664246, -0.1075744777917862]"
"[0.710145890712738, 0.785382866859436, 2.796066951304965e-07]","[0.7247931361198425, 0.6198594570159912, -0.06467749923467636]","[0.6842347979545593, 0.46988049149513245, -0.08034459501504898]","[0.5493791699409485, 0.42121022939682007, -0.08580335229635239]","[0.4353002905845642, 0.44655853509902954, -0.08221565932035446]","[0.48398682475090027, 0.38132742047309875, -0.028506144881248474]","[0.34288978576660156, 0.26186126470565796, -0.06895257532596588]","[0.2503741383552551, 0.19061748683452606, -0.09970193356275558]","[0.16454821825027466, 0.1299247443675995, -0.1239498034119606]","[0.4172138273715973, 0.46894949674606323, -0.024863235652446747]","[0.33561694622039795, 0.3840518295764923, -0.061943307518959045]","[0.4575565457344055, 0.48247870802879333, -0.06093701347708702]","[0.521162748336792, 0.515146017074585, -0.049701813608407974]","[0.3783782124519348, 0.5673920512199402, -0.031850263476371765]","[0.31087028980255127, 0.5077409148216248, -0.08446171134710312]","[0.4396436810493469, 0.5815647840499878, -0.06294768303632736]","[0.49725595116615295, 0.6028052568435669, -0.03384631872177124]","[0.3617020547389984, 0.6834427714347839, -0.04565189406275749]","[0.2797100841999054, 0.6244873404502869, -0.07319328933954239]","[0.37351512908935547, 0.6476593017578125, -0.04266896843910217]","[0.4274803400039673, 0.6664255857467651, -0.01386938989162445]"
"[0.33983293175697327, 0.7406574487686157, -1.51220874045066e-07]","[0.46671488881111145, 0.7456846237182617, -0.0824122354388237]","[0.6279750466346741, 0.6558229923248291, -0.1002821996808052]","[0.6239410042762756, 0.48843368887901306, -0.10281775891780853]","[0.5512354373931885, 0.3842793107032776, -0.09394639730453491]","[0.6714500784873962, 0.4950960874557495, -0.05330643430352211]","[0.7541694045066833, 0.346091091632843, -0.10838551074266434]","[0.7804854512214661, 0.2627067565917969, -0.13308770954608917]","[0.8186572790145874, 0.16644194722175598, -0.15147826075553894]","[0.5747386813163757, 0.44343090057373047, -0.0495789498090744]","[0.6176415681838989, 0.372688889503479, -0.12515588104724884]","[0.5414882302284241, 0.5179232358932495, -0.13233500719070435]","[0.5265251398086548, 0.5506940484046936, -0.11758275330066681]","[0.47894927859306335, 0.4184225797653198, -0.056945692747831345]","[0.5020907521247864, 0.35718244314193726, -0.15393054485321045]","[0.447346031665802, 0.5104081034660339, -0.12731467187404633]","[0.44446760416030884, 0.5343592166900635, -0.08445548266172409]","[0.36694058775901794, 0.41195011138916016, -0.0701216608285904]","[0.40320244431495667, 0.35754072666168213, -0.13122870028018951]","[0.38284093141555786, 0.4671531915664673, -0.09642510861158371]","[0.36403322219848633, 0.49435263872146606, -0.055634479969739914]"
"[0.43340247869491577, 0.8501196503639221, 6.572607276211784e-07]","[0.5904328227043152, 0.8008107542991638, -0.07081324607133865]","[0.7231835722923279, 0.6636186838150024, -0.11291727423667908]","[0.7145807147026062, 0.5175073146820068, -0.1516309380531311]","[0.6021547317504883, 0.4254634976387024, -0.18846829235553741]","[0.6262692213058472, 0.3917161822319031, -0.06415266543626785]","[0.6325672268867493, 0.19531691074371338, -0.12812288105487823]","[0.6380937695503235, 0.06612187623977661, -0.17099301517009735]","[0.6244852542877197, -0.04365205764770508, -0.20370739698410034]","[0.5151009559631348, 0.39632606506347656, -0.07530055195093155]","[0.5642109513282776, 0.2523796856403351, -0.1806485503911972]","[0.5920657515525818, 0.40939921140670776, -0.2181014120578766]","[0.5822675824165344, 0.4985767602920532, -0.2183929979801178]","[0.40822863578796387, 0.4372289478778839, -0.09151250869035721]","[0.4481070339679718, 0.36782240867614746, -0.2154778391122818]","[0.48673319816589355, 0.5469487309455872, -0.20454490184783936]","[0.4777210056781769, 0.6240423917770386, -0.1631472110748291]","[0.29665231704711914, 0.49750250577926636, -0.11053211987018585]","[0.35467106103897095, 0.4327752888202667, -0.1977415680885315]","[0.39787185192108154, 0.5647123456001282, -0.17347927391529083]","[0.38826537132263184, 0.6313949823379517, -0.1349470317363739]"
"[0.4749217629432678, 0.8665502667427063, -1.1465068183724725e-07]","[0.5732358694076538, 0.7920395135879517, -0.10688271373510361]","[0.6224713921546936, 0.5974171757698059, -0.13902583718299866]","[0.5429000854492188, 0.4310127794742584, -0.15558260679244995]","[0.4282732903957367, 0.34316542744636536, -0.15748852491378784]","[0.5495775938034058, 0.3948565125465393, -0.06964711844921112]","[0.4936748743057251, 0.19495710730552673, -0.1452912837266922]","[0.45900553464889526, 0.07558402419090271, -0.17797067761421204]","[0.41643863916397095, -0.049197226762771606, -0.19861136376857758]","[0.43991005420684814, 0.4416100084781647, -0.05513275787234306]","[0.4036242365837097, 0.3457324206829071, -0.13388296961784363]","[0.46927815675735474, 0.5249700546264648, -0.12197943031787872]","[0.5053682923316956, 0.5498001575469971, -0.09382035583257675]","[0.3523353040218353, 0.50606369972229, -0.05890782177448273]","[0.3165004253387451, 0.44938015937805176, -0.16454091668128967]","[0.4013493061065674, 0.61795973777771, -0.1270747035741806]","[0.4336349070072174, 0.6295796632766724, -0.07708315551280975]","[0.26717662811279297, 0.5841601490974426, -0.07234503328800201]","[0.25219419598579407, 0.5295721888542175, -0.14625340700149536]","[0.3249979615211487, 0.6403635740280151, -0.11988584697246552]","[0.3437983989715576, 0.670045018196106, -0.08583696186542511]"
"[0.3791894316673279, 0.7601768374443054, -4.3371997549002117e-07]","[0.5136994123458862, 0.7387889623641968, -0.08181124925613403]","[0.6358495354652405, 0.5960491299629211, -0.09199150651693344]","[0.6003631949424744, 0.41433998942375183, -0.08717295527458191]","[0.49933260679244995, 0.33953216671943665, -0.06615155190229416]","[0.6682645678520203, 0.4260091185569763, -0.02982339821755886]","[0.6849719285964966, 0.25707292556762695, -0.09078498184680939]","[0.6681772470474243, 0.16880571842193604, -0.12267596274614334]","[0.6659396886825562, 0.06696853041648865, -0.1449720561504364]","[0.5579835176467896, 0.4113422632217407, -0.02209731750190258]","[0.5615627765655518, 0.3176427483558655, -0.09043619781732559]","[0.526388943195343, 0.480668306350708, -0.09186521917581558]","[0.5441253185272217, 0.5068762898445129, -0.07666045427322388]","[0.45903462171554565, 0.4109675884246826, -0.03026498854160309]","[0.44244420528411865, 0.33541908860206604, -0.1182326078414917]","[0.43323659896850586, 0.49646326899528503, -0.09137147665023804]","[0.4548327326774597, 0.5207223296165466, -0.05302681773900986]","[0.35270699858665466, 0.42098715901374817, -0.04635218158364296]","[0.35216742753982544, 0.3539749085903168, -0.1015748530626297]","[0.35529500246047974, 0.4666101038455963, -0.0751795843243599]","[0.35654905438423157, 0.4978107213973999, -0.04460945352911949]"
"[0.7561668157577515, 0.6754336953163147, 4.1148942386826093e-07]","[0.7529636025428772, 0.5392420291900635, -0.06043330579996109]","[0.6201722621917725, 0.4192827343940735, -0.0766649842262268]","[0.460356205701828, 0.43798089027404785, -0.08848657459020615]","[0.3637984097003937, 0.5245513916015625, -0.09487064927816391]","[0.4279748201370239, 0.3680785894393921, -0.0054723345674574375]","[0.27296996116638184, 0.30936986207962036, -0.035865895450115204]","[0.17132607102394104, 0.2704601585865021, -0.056060466915369034]","[0.08493146300315857, 0.244688019156456, -0.07683036476373672]","[0.3820158541202545, 0.47532254457473755, -0.010858584195375443]","[0.26103469729423523, 0.4330724775791168, -0.05231236293911934]","[0.38898175954818726, 0.48487311601638794, -0.05581654608249664]","[0.44518721103668213, 0.4825917184352875, -0.04615144804120064]","[0.37743693590164185, 0.5812342166900635, -0.0280414167791605]","[0.26383131742477417, 0.5484972596168518, -0.08970506489276886]","[0.3935466408729553, 0.570719301700592, -0.07485474646091461]","[0.4375923275947571, 0.5613951683044434, -0.04941379651427269]","[0.4014274477958679, 0.6980414390563965, -0.05172903090715408]","[0.31611981987953186, 0.6625567078590393, -0.09608445316553116]","[0.4039962887763977, 0.6582322120666504, -0.07835827767848969]","[0.44287222623825073, 0.6548863053321838, -0.057613253593444824]"
"[0.4482076168060303, 0.8667353391647339, -6.545413100411679e-08]","[0.5802373886108398, 0.7828214764595032, -0.04352394863963127]","[0.6493726372718811, 0.6079134941101074, -0.057147104293107986]","[0.5838529467582703, 0.46278882026672363, -0.07175425440073013]","[0.46721166372299194, 0.4041100740432739, -0.08418750762939453]","[0.5994139313697815, 0.41038769483566284, -0.0018570995889604092]","[0.576994776725769, 0.22467729449272156, -0.03991195186972618]","[0.5516332983970642, 0.1092270016670227, -0.07435228675603867]","[0.5183469653129578, 0.01350325345993042, -0.10345959663391113]","[0.4912002682685852, 0.424291729927063, -0.013312260620296001]","[0.480509489774704, 0.3037969768047333, -0.08803558349609375]","[0.5053152441978455, 0.4528362452983856, -0.12219209223985672]","[0.5131714344024658, 0.547309398651123, -0.1253211945295334]","[0.39169368147850037, 0.4659181237220764, -0.030189767479896545]","[0.36418506503105164, 0.3675774335861206, -0.11326251924037933]","[0.4162271320819855, 0.5155260562896729, -0.11170300841331482]","[0.4369552731513977, 0.6016741991043091, -0.08643043786287308]","[0.29177096486091614, 0.5287306308746338, -0.050214990973472595]","[0.27988898754119873, 0.4310280382633209, -0.11036643385887146]","[0.33128291368484497, 0.5278264880180359, -0.09698334336280823]","[0.36044931411743164, 0.6012887954711914, -0.07213374972343445]"
"[0.6040452718734741, 0.8711588382720947, -1.52518921936462e-07]","[0.6776782870292664, 0.7021987438201904, -0.05969815328717232]","[0.696969747543335, 0.5393694043159485, -0.07656588405370712]","[0.5963819026947021, 0.43144455552101135, -0.08641890436410904]","[0.4802767336368561, 0.4480994641780853, -0.0892755463719368]","[0.5319849848747253, 0.3903704285621643, -0.029418546706438065]","[0.4470698833465576, 0.21546338498592377, -0.06470082700252533]","[0.38967055082321167, 0.12405714392662048, -0.1000862792134285]","[0.3355643153190613, 0.039144814014434814, -0.13156604766845703]","[0.44457024335861206, 0.45159775018692017, -0.03221346065402031]","[0.39503610134124756, 0.3375510573387146, -0.068022720515728]","[0.4685749113559723, 0.4691212475299835, -0.08107233792543411]","[0.5091304183006287, 0.524714469909668, -0.08509301394224167]","[0.3774741590023041, 0.5303227305412292, -0.04270470142364502]","[0.3272525668144226, 0.4441964030265808, -0.07919076830148697]","[0.41798949241638184, 0.5467914938926697, -0.06780246645212173]","[0.45924997329711914, 0.6028233766555786, -0.053396742790937424]","[0.3315284550189972, 0.6353181600570679, -0.06124859303236008]","[0.25966182351112366, 0.5426934957504272, -0.07245273143053055]","[0.3372599482536316, 0.5845890641212463, -0.044496312737464905]","[0.3811032772064209, 0.6327093243598938, -0.023870309814810753]"
